,close,max,min,open
2018-12-19 01:00:00,134.47,134.52,134.43,134.5
2018-12-19 02:00:00,134.52,134.53,134.46,134.47
2018-12-19 03:00:00,134.52,134.54,134.51,134.52
2018-12-19 04:00:00,134.47,134.56,134.47,134.52
2018-12-19 05:00:00,134.55,134.55,134.44,134.47
2018-12-19 06:00:00,134.52,134.58,134.47,134.54
2018-12-19 07:00:00,134.56,134.8,134.49,134.52
2018-12-19 08:00:00,134.67,134.84,134.46,134.55
2018-12-19 09:00:00,134.55,134.81,134.5,134.68
2018-12-19 10:00:00,134.74,134.77,134.48,134.55
2018-12-19 11:00:00,134.7,134.81,134.62,134.75
2018-12-19 12:00:00,134.7,134.72,134.61,134.7
2018-12-19 13:00:00,134.68,134.73,134.62,134.7
2018-12-19 14:00:00,134.98,135.0,134.67,134.68
2018-12-19 15:00:00,134.89,135.08,134.88,134.98
2018-12-19 16:00:00,134.89,135.0,134.87,134.89
2018-12-19 17:00:00,134.93,135.0,134.86,134.89
2018-12-19 18:00:00,134.99,135.06,134.9,134.94
2018-12-19 19:00:00,134.54,135.0,134.49,135.0
2018-12-19 20:00:00,134.54,135.0,134.49,135.0
2018-12-19 21:00:00,134.54,135.0,134.49,135.0
2018-12-19 22:00:00,134.54,134.54,134.54,134.54
2018-12-19 23:00:00,134.54,134.54,134.54,134.54
2018-12-20 00:00:00,134.54,134.54,134.54,134.54
2018-12-20 01:00:00,134.54,134.54,134.54,134.54
2018-12-20 02:00:00,134.54,134.54,134.54,134.54
2018-12-20 03:00:00,134.54,134.54,134.54,134.54
2018-12-20 04:00:00,134.54,134.54,134.54,134.54
2018-12-20 05:00:00,134.54,134.54,134.54,134.54
2018-12-20 06:00:00,134.54,134.54,134.54,134.54
2018-12-20 07:00:00,134.54,134.54,134.54,134.54
2018-12-20 08:00:00,134.54,134.54,134.54,134.54
2018-12-20 09:00:00,137.81,138.01,134.51,134.53
2018-12-20 10:00:00,137.67,138.22,137.23,137.84
2018-12-20 11:00:00,137.06,138.05,136.89,137.66
2018-12-20 12:00:00,136.03,137.08,136.02,137.05
2018-12-20 13:00:00,135.76,136.81,135.64,136.03
2018-12-20 14:00:00,135.94,136.69,135.53,135.77
2018-12-20 15:00:00,135.34,135.97,135.34,135.96
2018-12-20 16:00:00,135.34,135.97,135.34,135.96
2018-12-20 17:00:00,135.34,135.97,135.34,135.96
2018-12-20 18:00:00,135.34,135.97,135.34,135.96
2018-12-20 19:00:00,135.34,135.97,135.34,135.96
2018-12-20 20:00:00,135.34,135.97,135.34,135.96
2018-12-20 21:00:00,135.34,135.97,135.34,135.96
2018-12-20 22:00:00,134.92,134.92,134.92,134.92
2018-12-20 23:00:00,134.92,134.92,134.92,134.92
2018-12-21 00:00:00,134.92,134.92,134.92,134.92
2018-12-21 01:00:00,134.92,134.92,134.92,134.92
2018-12-21 02:00:00,134.92,134.92,134.92,134.92
2018-12-21 03:00:00,134.92,134.92,134.92,134.92
2018-12-21 04:00:00,134.92,134.92,134.92,134.92
2018-12-21 05:00:00,134.88,134.92,134.88,134.91
2018-12-21 06:00:00,134.88,134.92,134.88,134.91
2018-12-21 07:00:00,134.79,134.92,134.75,134.87
2018-12-21 08:00:00,134.68,134.85,134.68,134.8
2018-12-21 09:00:00,134.98,135.32,134.6,134.67
2018-12-21 10:00:00,135.14,135.29,134.95,134.97
2018-12-21 11:00:00,135.06,135.25,134.97,135.15
2018-12-21 12:00:00,135.27,135.58,135.01,135.06
2018-12-21 13:00:00,135.27,135.58,135.01,135.06
2018-12-21 14:00:00,135.27,135.58,135.01,135.06
2018-12-21 15:00:00,135.27,135.58,135.01,135.06
2018-12-21 16:00:00,135.27,135.58,135.01,135.06
2018-12-21 17:00:00,135.27,135.58,135.01,135.06
2018-12-21 18:00:00,135.27,135.58,135.01,135.06
2018-12-21 19:00:00,135.27,135.58,135.01,135.06
2018-12-21 20:00:00,136.47,136.54,136.21,136.26
2018-12-21 21:00:00,136.47,136.47,136.45,136.47
2018-12-24 09:00:00,136.46,136.59,136.46,136.51
2018-12-24 10:00:00,136.54,136.63,136.46,136.47
2018-12-24 11:00:00,136.49,136.58,136.47,136.54
2018-12-24 12:00:00,136.46,136.49,136.46,136.49
2018-12-24 13:00:00,136.5,136.57,136.28,136.45
2018-12-24 14:00:00,136.78,136.99,136.5,136.5
2018-12-26 08:00:00,136.41,136.55,136.4,136.46
2018-12-26 09:00:00,136.47,136.49,136.33,136.42
2018-12-26 10:00:00,136.45,136.49,136.41,136.46
2018-12-26 11:00:00,136.48,136.49,136.41,136.45
2018-12-26 12:00:00,136.36,136.55,136.3,136.47
2018-12-26 13:00:00,136.26,136.5,136.25,136.36
2018-12-26 14:00:00,136.34,136.4,136.15,136.26
2018-12-26 15:00:00,136.1,136.34,136.1,136.34
2018-12-26 16:00:00,136.1,136.34,136.1,136.34
2018-12-26 17:00:00,137.53,137.55,136.07,136.1
2018-12-26 18:00:00,137.19,137.61,136.8,137.53
2018-12-26 19:00:00,137.64,137.88,136.74,137.21
2018-12-26 20:00:00,137.62,138.27,137.35,137.68
2018-12-26 21:00:00,137.61,137.93,137.54,137.66
2018-12-26 22:00:00,137.57,137.78,137.51,137.71
2018-12-26 23:00:00,137.33,137.62,137.26,137.62
2018-12-27 00:00:00,136.78,137.46,136.63,137.33
2018-12-27 01:00:00,136.71,137.07,136.71,136.78
2018-12-27 02:00:00,136.71,137.07,136.71,136.78
2018-12-27 03:00:00,136.71,137.07,136.71,136.78
2018-12-27 04:00:00,136.71,137.07,136.71,136.78
2018-12-27 05:00:00,136.71,137.07,136.71,136.78
2018-12-27 06:00:00,136.71,137.07,136.71,136.78
2018-12-27 07:00:00,136.71,137.07,136.71,136.78
