,close,max,min,open
2018-12-19 22:00:00,209.48,209.48,209.48,209.48
2018-12-19 23:00:00,209.48,209.48,209.48,209.48
2018-12-20 00:00:00,209.48,209.48,209.48,209.48
2018-12-20 01:00:00,209.48,209.48,209.48,209.48
2018-12-20 02:00:00,209.48,209.48,209.48,209.48
2018-12-20 03:00:00,209.48,209.48,209.48,209.48
2018-12-20 04:00:00,209.48,209.48,209.48,209.48
2018-12-20 05:00:00,209.48,209.48,209.48,209.48
2018-12-20 06:00:00,209.48,209.48,209.48,209.48
2018-12-20 07:00:00,209.48,209.48,209.48,209.48
2018-12-20 08:00:00,209.48,209.48,209.48,209.48
2018-12-20 09:00:00,215.71,216.04,209.39,209.47
2018-12-20 10:00:00,215.49,216.37,214.8,215.76
2018-12-20 11:00:00,214.53,216.1,214.27,215.49
2018-12-20 12:00:00,212.91,214.56,212.89,214.51
2018-12-20 13:00:00,212.47,214.14,212.29,212.9
2018-12-20 14:00:00,212.27,213.95,212.1,212.48
2018-12-20 15:00:00,212.03,212.28,212.03,212.28
2018-12-20 16:00:00,212.03,212.28,212.03,212.28
2018-12-20 17:00:00,212.03,212.28,212.03,212.28
2018-12-20 18:00:00,212.03,212.28,212.03,212.28
2018-12-20 19:00:00,212.03,212.28,212.03,212.28
2018-12-20 20:00:00,212.03,212.28,212.03,212.28
2018-12-20 21:00:00,212.03,212.28,212.03,212.28
2018-12-20 22:00:00,212.03,212.03,212.03,212.03
2018-12-20 23:00:00,212.03,212.03,212.03,212.03
2018-12-21 00:00:00,212.03,212.03,212.03,212.03
2018-12-21 01:00:00,212.03,212.03,212.03,212.03
2018-12-21 02:00:00,212.03,212.03,212.03,212.03
2018-12-21 03:00:00,212.03,212.03,212.03,212.03
2018-12-21 04:00:00,212.03,212.03,212.03,212.03
2018-12-21 05:00:00,212.03,212.03,212.03,212.03
2018-12-21 06:00:00,212.03,212.03,212.03,212.03
2018-12-21 07:00:00,212.03,212.03,212.03,212.03
2018-12-21 08:00:00,212.03,212.03,212.03,212.03
2018-12-21 09:00:00,212.03,212.03,212.03,212.03
2018-12-21 10:00:00,212.03,212.03,212.03,212.03
2018-12-21 11:00:00,212.03,212.03,212.03,212.03
2018-12-21 12:00:00,212.03,212.03,212.03,212.03
2018-12-21 13:00:00,212.03,212.03,212.03,212.03
2018-12-21 14:00:00,212.03,212.03,212.03,212.03
2018-12-21 15:00:00,212.03,212.03,212.03,212.03
2018-12-21 16:00:00,212.03,212.03,212.03,212.03
2018-12-21 17:00:00,212.03,212.03,212.03,212.03
2018-12-21 18:00:00,212.05,212.11,211.83,212.01
2018-12-21 19:00:00,211.91,212.07,211.83,212.05
2018-12-21 20:00:00,212.19,212.27,211.87,211.93
2018-12-21 21:00:00,212.2,212.19,212.2,212.19
2018-12-26 08:00:00,211.79,211.98,211.77,211.88
2018-12-26 09:00:00,212.02,212.09,211.67,211.8
2018-12-26 10:00:00,211.98,212.09,211.87,212.0
2018-12-26 11:00:00,212.06,212.09,211.86,211.98
2018-12-26 12:00:00,212.0,212.26,211.91,212.04
2018-12-26 13:00:00,211.87,212.19,211.86,211.99
2018-12-26 14:00:00,211.97,212.06,211.72,211.87
2018-12-26 15:00:00,211.61,211.98,211.61,211.98
2018-12-26 16:00:00,211.61,211.98,211.61,211.98
2018-12-26 17:00:00,212.39,212.42,211.59,211.59
2018-12-26 18:00:00,211.63,212.55,210.78,212.37
2018-12-26 19:00:00,212.56,212.94,210.9,211.65
2018-12-26 20:00:00,212.26,213.51,212.13,212.62
2018-12-26 21:00:00,212.25,212.4,212.22,212.27
2018-12-26 22:00:00,212.24,212.33,212.2,212.3
2018-12-26 23:00:00,212.12,212.25,212.09,212.25
2018-12-27 00:00:00,211.87,212.18,211.8,212.13
2018-12-27 01:00:00,211.77,212.0,211.77,211.87
2018-12-27 02:00:00,211.77,212.0,211.77,211.87
2018-12-27 03:00:00,211.77,212.0,211.77,211.87
2018-12-27 04:00:00,211.77,212.0,211.77,211.87
2018-12-27 05:00:00,211.77,212.0,211.77,211.87
2018-12-27 06:00:00,211.77,212.0,211.77,211.87
2018-12-27 07:00:00,211.77,212.0,211.77,211.87
2018-12-27 08:00:00,211.77,212.0,211.77,211.87
2018-12-27 09:00:00,211.77,212.0,211.77,211.87
2018-12-27 10:00:00,211.77,212.0,211.77,211.87
2018-12-27 11:00:00,211.77,212.0,211.77,211.87
2018-12-27 12:00:00,211.77,212.0,211.77,211.87
2018-12-27 13:00:00,211.77,212.0,211.77,211.87
2018-12-27 14:00:00,213.48,213.7,211.67,211.76
2018-12-27 15:00:00,210.36,213.51,210.3,213.49
2018-12-27 16:00:00,210.66,210.82,210.34,210.35
2018-12-27 17:00:00,211.3,211.65,210.64,210.66
2018-12-27 18:00:00,211.61,211.77,211.12,211.29
2018-12-27 19:00:00,211.62,211.76,211.48,211.6
2018-12-27 20:00:00,211.38,211.66,211.06,211.62
2018-12-27 21:00:00,211.09,211.43,211.09,211.39
2018-12-27 22:00:00,211.01,211.08,210.92,210.97
2018-12-27 23:00:00,211.03,211.14,210.98,211.0
2018-12-28 00:00:00,211.43,211.49,211.02,211.03
2018-12-28 01:00:00,211.5,211.51,211.32,211.44
2018-12-28 02:00:00,211.85,211.88,211.46,211.5
2018-12-28 03:00:00,211.7,211.99,211.7,211.85
2018-12-28 04:00:00,211.58,211.81,211.56,211.7
2018-12-28 05:00:00,211.67,211.78,211.58,211.58
2018-12-28 06:00:00,211.67,211.78,211.58,211.58
2018-12-28 07:00:00,211.69,211.86,211.51,211.8
2018-12-28 08:00:00,211.74,212.0,211.58,211.68
2018-12-28 09:00:00,211.36,211.78,211.06,211.75
2018-12-28 10:00:00,211.94,212.07,211.24,211.36
2018-12-28 11:00:00,211.29,212.11,210.6,211.94
2018-12-28 12:00:00,209.55,211.74,209.08,211.26
2018-12-28 13:00:00,209.33,210.63,208.77,209.56
2018-12-28 14:00:00,209.16,209.54,208.89,209.34
2018-12-28 15:00:00,208.7,209.23,208.61,209.17
2018-12-28 16:00:00,208.88,209.02,208.54,208.71
2018-12-28 17:00:00,208.81,209.01,208.57,208.88
2018-12-30 22:00:00,208.83,208.83,208.83,208.83
2019-01-02 15:00:00,207.64,209.09,207.12,208.81
2019-01-02 16:00:00,207.33,208.1,206.54,207.6
2019-01-02 17:00:00,209.43,209.83,207.31,207.36
2019-01-02 18:00:00,210.19,210.27,209.35,209.46
2019-01-02 19:00:00,208.66,210.47,208.66,210.18
2019-01-02 20:00:00,208.66,210.47,208.66,210.18
2019-01-02 21:00:00,208.66,210.47,208.66,210.18
2019-01-02 22:00:00,208.66,208.66,208.66,208.66
2019-01-02 23:00:00,208.66,208.66,208.66,208.66
2019-01-03 00:00:00,208.66,208.66,208.66,208.66
2019-01-03 01:00:00,208.66,208.66,208.66,208.66
2019-01-03 02:00:00,208.66,208.66,208.66,208.66
2019-01-03 03:00:00,208.66,208.66,208.66,208.66
2019-01-03 04:00:00,208.66,208.66,208.66,208.66
2019-01-03 05:00:00,208.66,208.66,208.66,208.66
2019-01-03 06:00:00,208.66,208.66,208.66,208.66
2019-01-03 07:00:00,208.66,208.66,208.66,208.66
2019-01-03 08:00:00,208.66,208.66,208.66,208.66
2019-01-03 09:00:00,208.66,208.66,208.66,208.66
2019-01-03 10:00:00,208.66,208.66,208.66,208.66
2019-01-03 11:00:00,208.66,208.66,208.66,208.66
2019-01-03 12:00:00,208.66,208.66,208.66,208.66
2019-01-03 13:00:00,208.66,208.66,208.66,208.66
2019-01-03 14:00:00,208.66,208.66,208.66,208.66
2019-01-03 15:00:00,208.66,208.66,208.66,208.66
2019-01-03 16:00:00,208.66,208.66,208.66,208.66
2019-01-03 17:00:00,208.66,208.66,208.66,208.66
2019-01-03 18:00:00,208.66,208.66,208.66,208.66
2019-01-03 19:00:00,208.66,208.66,208.66,208.66
2019-01-03 20:00:00,208.66,208.66,208.66,208.66
2019-01-03 21:00:00,208.66,208.66,208.66,208.66
2019-01-03 22:00:00,208.66,208.66,208.66,208.66
2019-01-03 23:00:00,208.66,208.66,208.66,208.66
2019-01-04 00:00:00,208.66,208.66,208.66,208.66
2019-01-04 01:00:00,208.66,208.66,208.66,208.66
2019-01-04 02:00:00,208.66,208.66,208.66,208.66
2019-01-04 03:00:00,208.66,208.66,208.66,208.66
2019-01-04 04:00:00,208.66,208.66,208.66,208.66
2019-01-04 05:00:00,208.66,208.66,208.66,208.66
2019-01-04 06:00:00,208.66,208.66,208.66,208.66
2019-01-04 07:00:00,208.54,208.65,208.48,208.65
2019-01-04 08:00:00,208.54,209.2,208.06,208.56
2019-01-04 09:00:00,208.13,209.38,208.09,208.51
2019-01-04 10:00:00,208.21,208.55,207.5,208.12
2019-01-04 11:00:00,208.81,209.11,208.12,208.21
2019-01-04 12:00:00,208.33,208.98,208.25,208.79
2019-01-04 13:00:00,205.6,208.49,205.6,208.36
2019-01-07 01:00:00,203.36,203.41,203.24,203.24
2019-01-07 02:00:00,203.33,203.39,203.24,203.36
2019-01-07 03:00:00,203.41,203.5,203.22,203.33
2019-01-07 04:00:00,203.33,203.61,203.33,203.4
2019-01-07 05:00:00,203.43,203.46,203.32,203.34
2019-01-07 06:00:00,203.43,203.46,203.32,203.34
2019-01-07 07:00:00,203.79,203.86,203.04,203.22
2019-01-07 08:00:00,203.65,203.9,203.56,203.8
2019-01-07 09:00:00,203.93,204.12,203.59,203.65
2019-01-07 10:00:00,203.86,204.04,203.76,203.94
2019-01-07 11:00:00,203.92,204.01,203.7,203.85
2019-01-07 12:00:00,203.89,204.11,203.8,203.91
2019-01-07 13:00:00,203.89,204.11,203.8,203.91
2019-01-07 14:00:00,203.89,204.11,203.8,203.91
2019-01-07 15:00:00,203.89,204.11,203.8,203.91
2019-01-07 16:00:00,203.89,204.11,203.8,203.91
2019-01-07 17:00:00,203.89,204.11,203.8,203.91
2019-01-07 18:00:00,203.89,204.11,203.8,203.91
2019-01-07 19:00:00,203.89,204.11,203.8,203.91
2019-01-07 20:00:00,203.89,204.11,203.8,203.91
2019-01-07 21:00:00,203.89,204.11,203.8,203.91
2019-01-07 22:00:00,204.44,204.44,204.44,204.44
2019-01-07 23:00:00,204.44,204.44,204.44,204.44
2019-01-08 00:00:00,204.44,204.44,204.44,204.44
2019-01-08 01:00:00,204.44,204.44,204.44,204.44
2019-01-08 02:00:00,204.44,204.44,204.44,204.44
2019-01-08 03:00:00,204.44,204.44,204.44,204.44
2019-01-08 04:00:00,204.44,204.44,204.44,204.44
2019-01-08 05:00:00,204.44,204.44,204.44,204.44
2019-01-08 06:00:00,204.44,204.44,204.44,204.44
2019-01-08 07:00:00,204.07,204.43,203.88,204.43
2019-01-08 08:00:00,204.07,204.43,203.88,204.43
2019-01-08 09:00:00,204.07,204.43,203.88,204.43
2019-01-08 10:00:00,204.07,204.43,203.88,204.43
2019-01-08 11:00:00,204.07,204.43,203.88,204.43
2019-01-08 12:00:00,204.07,204.43,203.88,204.43
2019-01-08 13:00:00,204.22,204.35,203.87,204.05
2019-01-08 14:00:00,203.76,204.3,203.76,204.22
2019-01-08 15:00:00,203.76,204.3,203.76,204.22
2019-01-08 16:00:00,203.76,204.3,203.76,204.22
2019-01-08 17:00:00,203.76,204.3,203.76,204.22
2019-01-08 18:00:00,203.76,204.3,203.76,204.22
2019-01-08 19:00:00,203.76,204.3,203.76,204.22
2019-01-08 20:00:00,203.76,204.3,203.76,204.22
2019-01-08 21:00:00,203.76,204.3,203.76,204.22
2019-01-08 22:00:00,203.76,203.76,203.76,203.76
2019-01-08 23:00:00,203.76,203.76,203.76,203.76
2019-01-09 00:00:00,203.76,203.76,203.76,203.76
2019-01-09 01:00:00,203.76,203.76,203.76,203.76
2019-01-09 02:00:00,203.76,203.76,203.76,203.76
2019-01-09 03:00:00,203.76,203.76,203.76,203.76
2019-01-09 04:00:00,203.76,203.76,203.76,203.76
2019-01-09 05:00:00,203.76,203.76,203.76,203.76
2019-01-09 06:00:00,203.76,203.76,203.76,203.76
2019-01-09 07:00:00,203.68,204.04,203.63,203.75
2019-01-09 08:00:00,203.61,203.97,203.54,203.68
2019-01-09 09:00:00,203.52,203.65,203.52,203.61
2019-01-09 10:00:00,203.52,203.65,203.52,203.61
2019-01-09 11:00:00,203.52,203.65,203.52,203.61
2019-01-09 12:00:00,203.52,203.65,203.52,203.61
2019-01-09 13:00:00,203.52,203.65,203.52,203.61
2019-01-09 14:00:00,207.04,207.05,203.5,203.5
2019-01-09 15:00:00,205.58,208.73,205.44,207.0
2019-01-09 16:00:00,206.94,208.28,205.49,205.59
2019-01-09 17:00:00,207.84,207.98,206.66,206.93
2019-01-09 18:00:00,208.15,208.57,207.39,207.79
2019-01-09 19:00:00,208.85,210.15,207.54,208.17
2019-01-09 20:00:00,209.92,209.93,208.8,208.83
2019-01-09 21:00:00,208.66,209.98,208.66,209.96
2019-01-09 22:00:00,209.0,209.04,208.05,208.3
2019-01-09 23:00:00,209.54,209.61,208.93,209.02
2019-01-10 00:00:00,209.67,210.0,209.15,209.55
2019-01-10 01:00:00,209.51,210.19,208.48,209.69
2019-01-10 02:00:00,209.55,209.77,209.01,209.52
2019-01-10 03:00:00,211.02,211.08,209.57,209.58
2019-01-10 04:00:00,209.97,211.02,209.93,211.02
2019-01-10 05:00:00,210.15,210.39,209.47,209.97
2019-01-10 06:00:00,210.15,210.39,209.47,209.97
2019-01-10 07:00:00,208.29,209.72,207.61,209.33
2019-01-10 08:00:00,207.08,209.88,207.01,208.23
2019-01-10 09:00:00,206.6,207.47,206.14,207.05
2019-01-10 10:00:00,206.94,207.4,205.94,206.54
2019-01-10 11:00:00,207.1,208.07,206.77,206.94
