,close,max,min,open
2018-12-19 01:00:00,109.49,109.56,109.3,109.35
2018-12-19 02:00:00,109.51,109.56,109.26,109.47
2018-12-19 03:00:00,109.41,109.58,109.39,109.51
2018-12-19 04:00:00,109.36,109.53,109.34,109.41
2018-12-19 05:00:00,109.43,109.46,109.29,109.36
2018-12-19 06:00:00,109.31,109.43,109.27,109.43
2018-12-19 07:00:00,109.36,109.49,109.31,109.32
2018-12-19 08:00:00,109.36,109.57,109.34,109.34
2018-12-19 09:00:00,109.5,109.58,109.34,109.36
2018-12-19 10:00:00,109.46,109.58,109.39,109.5
2018-12-19 11:00:00,109.15,109.53,109.1,109.46
2018-12-19 12:00:00,109.01,109.26,108.92,109.15
2018-12-19 13:00:00,108.99,109.14,108.96,109.01
2018-12-19 14:00:00,109.21,109.43,108.99,108.99
2018-12-19 15:00:00,108.91,109.31,108.74,109.22
2018-12-19 16:00:00,108.78,109.07,108.72,108.9
2018-12-19 17:00:00,108.46,108.83,108.46,108.78
2018-12-19 18:00:00,108.69,108.74,108.42,108.46
2018-12-19 19:00:00,107.17,108.7,107.02,108.68
2018-12-19 20:00:00,106.91,107.23,106.39,107.17
2018-12-19 21:00:00,106.9,107.13,106.64,106.91
2018-12-19 22:00:00,107.19,107.21,106.86,106.86
2018-12-19 23:00:00,106.87,107.21,106.81,107.21
2018-12-20 00:00:00,106.76,107.05,106.76,106.87
2018-12-20 01:00:00,106.68,107.12,106.63,106.76
2018-12-20 02:00:00,106.82,106.91,106.55,106.68
2018-12-20 03:00:00,106.77,106.92,106.75,106.82
2018-12-20 04:00:00,106.65,106.86,106.61,106.77
2018-12-20 05:00:00,106.69,106.79,106.59,106.65
2018-12-25 23:00:00,108.63,109.42,108.48,109.1
2018-12-26 00:00:00,108.26,108.63,107.95,108.62
2018-12-26 01:00:00,109.37,109.5,108.26,108.26
2018-12-26 02:00:00,109.68,109.76,109.38,109.39
2018-12-26 03:00:00,109.69,109.8,109.6,109.69
2018-12-26 04:00:00,109.7,109.78,109.64,109.69
2018-12-26 05:00:00,109.78,109.93,109.44,109.72
2018-12-26 06:00:00,110.01,110.17,109.75,109.78
2018-12-26 07:00:00,109.8,110.04,109.61,110.01
2018-12-26 08:00:00,109.71,110.02,109.53,109.8
2018-12-26 09:00:00,109.74,109.84,109.56,109.72
2018-12-26 10:00:00,109.88,109.9,109.63,109.76
2018-12-26 11:00:00,109.82,110.09,109.74,109.87
2018-12-26 12:00:00,109.59,109.84,109.4,109.82
2018-12-26 13:00:00,110.14,110.56,109.59,109.59
2018-12-26 14:00:00,110.11,110.68,109.88,110.15
2018-12-26 15:00:00,110.94,111.06,110.12,110.12
2018-12-26 16:00:00,110.48,111.1,110.48,110.92
2018-12-26 17:00:00,109.14,110.61,109.08,110.49
2018-12-26 18:00:00,108.52,109.59,108.5,109.13
2018-12-26 19:00:00,108.42,108.82,108.26,108.5
2018-12-26 20:00:00,108.37,108.55,108.02,108.42
2018-12-26 21:00:00,108.36,108.62,108.24,108.36
2018-12-26 22:00:00,108.28,108.28,108.28,108.28
2018-12-26 23:00:00,108.92,109.04,108.23,108.35
2018-12-27 00:00:00,109.19,109.19,108.87,108.92
2018-12-27 01:00:00,109.21,109.59,109.17,109.19
2018-12-27 02:00:00,109.12,109.33,108.95,109.21
2018-12-27 03:00:00,108.96,109.15,108.95,109.12
2018-12-27 04:00:00,109.01,109.1,108.93,108.96
2018-12-27 05:00:00,108.85,109.02,108.71,109.02
2019-01-02 17:00:00,110.91,110.91,110.9,110.91
2019-01-02 18:00:00,111.19,111.23,110.91,110.91
2019-01-02 19:00:00,111.06,111.21,111.06,111.2
2019-01-02 20:00:00,110.96,111.11,110.96,111.06
2019-01-02 21:00:00,110.84,111.02,110.84,110.96
2019-01-02 22:00:00,110.85,110.85,110.85,110.85
2019-01-02 23:00:00,110.7,110.76,110.67,110.73
2019-01-08 13:00:00,110.69,110.7,110.67,110.69
2019-01-08 14:00:00,110.71,110.71,110.65,110.69
2019-01-08 15:00:00,110.66,110.75,110.65,110.71
2019-01-08 16:00:00,110.7,110.72,110.64,110.66
2019-01-08 17:00:00,110.64,110.75,110.63,110.7
2019-01-08 18:00:00,110.72,110.73,110.62,110.64
2019-01-08 19:00:00,110.71,110.75,110.7,110.72
2019-01-08 20:00:00,110.7,110.73,110.7,110.71
2019-01-08 21:00:00,110.69,110.71,110.68,110.7
2019-01-08 22:00:00,110.69,110.69,110.69,110.69
2019-01-08 23:00:00,110.71,110.72,110.69,110.69
2019-01-09 00:00:00,110.7,110.72,110.67,110.71
2019-01-09 01:00:00,110.69,110.71,110.65,110.7
2019-01-09 02:00:00,110.74,110.74,110.67,110.69
2019-01-09 03:00:00,110.76,110.76,110.73,110.73
2019-01-09 04:00:00,110.79,110.81,110.76,110.76
2019-01-09 05:00:00,110.78,110.81,110.76,110.79
2019-01-09 06:00:00,110.79,110.82,110.77,110.78
2019-01-09 07:00:00,110.79,110.81,110.75,110.79
2019-01-09 08:00:00,110.78,110.79,110.76,110.79
2019-01-09 09:00:00,110.83,110.84,110.77,110.78
2019-01-09 10:00:00,110.84,110.89,110.79,110.83
2019-01-09 11:00:00,110.79,110.87,110.79,110.83
2019-01-09 12:00:00,110.8,110.89,110.79,110.79
2019-01-09 13:00:00,110.65,110.79,110.63,110.79
2019-01-09 14:00:00,110.62,110.66,110.62,110.66
2019-01-09 15:00:00,110.62,110.66,110.62,110.66
2019-01-09 16:00:00,110.62,110.66,110.62,110.66
2019-01-09 17:00:00,110.62,110.66,110.62,110.66
2019-01-09 18:00:00,110.62,110.66,110.62,110.66
2019-01-09 19:00:00,110.62,110.66,110.62,110.66
2019-01-09 20:00:00,110.62,110.66,110.62,110.66
2019-01-09 21:00:00,110.62,110.66,110.62,110.66
2019-01-09 22:00:00,110.62,110.62,110.62,110.62
2019-01-11 13:00:00,110.09,110.39,110.08,110.21
2019-01-11 14:00:00,110.12,110.25,110.08,110.08
2019-01-11 15:00:00,109.75,110.12,109.58,110.11
2019-01-11 16:00:00,109.92,109.98,109.72,109.75
2019-01-11 17:00:00,109.76,109.94,109.62,109.92
2019-01-11 18:00:00,109.76,109.94,109.62,109.92
2019-01-11 19:00:00,110.17,110.23,110.02,110.09
2019-01-13 22:00:00,110.28,110.28,110.28,110.28
2019-01-13 23:00:00,110.19,110.25,110.08,110.2
2019-01-14 00:00:00,110.01,110.18,109.88,110.17
2019-01-14 01:00:00,109.4,109.98,109.4,109.98
2019-01-14 02:00:00,109.4,109.98,109.4,109.98
2019-01-14 03:00:00,109.4,109.98,109.4,109.98
2019-01-14 04:00:00,109.4,109.98,109.4,109.98
2019-01-14 05:00:00,109.4,109.98,109.4,109.98
2019-01-14 06:00:00,109.4,109.98,109.4,109.98
2019-01-14 07:00:00,109.4,109.98,109.4,109.98
2019-01-14 08:00:00,109.4,109.98,109.4,109.98
2019-01-14 09:00:00,109.4,109.98,109.4,109.98
2019-01-14 10:00:00,109.4,109.98,109.4,109.98
2019-01-14 11:00:00,109.38,109.4,109.3,109.4
2019-01-14 12:00:00,109.34,109.39,109.29,109.39
2019-01-14 13:00:00,109.34,109.39,109.29,109.39
2019-01-14 14:00:00,109.34,109.39,109.29,109.39
2019-01-14 15:00:00,109.34,109.39,109.29,109.39
2019-01-14 16:00:00,109.34,109.39,109.29,109.39
2019-01-14 17:00:00,109.34,109.39,109.29,109.39
2019-01-14 18:00:00,109.34,109.39,109.29,109.39
2019-01-14 19:00:00,109.34,109.39,109.29,109.39
2019-01-14 20:00:00,109.34,109.39,109.29,109.39
2019-01-14 21:00:00,109.34,109.39,109.29,109.39
2019-01-14 22:00:00,109.36,109.37,109.35,109.36
2019-01-14 23:00:00,109.4,109.4,109.35,109.35
2019-01-15 00:00:00,109.43,109.43,109.39,109.4
2019-01-15 01:00:00,109.49,109.52,109.4,109.43
2019-01-15 02:00:00,109.47,109.52,109.47,109.49
2019-01-15 03:00:00,109.48,109.5,109.47,109.48
2019-01-15 04:00:00,109.46,109.49,109.44,109.49
2019-01-15 05:00:00,109.46,109.49,109.44,109.49
2019-01-15 06:00:00,109.4,109.48,109.4,109.48
2019-01-15 07:00:00,109.4,109.48,109.4,109.48
2019-01-15 08:00:00,109.45,109.51,109.39,109.39
2019-01-15 09:00:00,109.43,109.53,109.4,109.44
2019-01-15 10:00:00,109.41,109.47,109.4,109.45
2019-01-15 11:00:00,109.29,109.44,109.29,109.43
2019-01-15 12:00:00,109.29,109.31,109.21,109.27
2019-01-15 13:00:00,109.22,109.48,109.2,109.29
2019-01-15 14:00:00,109.4,109.4,109.19,109.22
2019-01-15 15:00:00,109.18,109.4,109.04,109.4
2019-01-15 16:00:00,108.8,109.18,108.79,109.18
2019-01-15 17:00:00,108.71,108.84,108.71,108.81
2019-01-15 18:00:00,108.67,108.77,108.63,108.71
2019-01-15 19:00:00,108.69,108.69,108.49,108.65
2019-01-15 20:00:00,108.75,108.76,108.58,108.66
2019-01-15 21:00:00,108.79,108.83,108.76,108.76
