,close,max,min,open
2018-12-19 01:00:00,129.87,130.05,129.72,130.01
2018-12-19 02:00:00,129.95,130.06,129.85,129.87
2018-12-19 03:00:00,130.07,130.12,129.9,129.95
2018-12-19 04:00:00,130.26,130.32,130.02,130.07
2018-12-19 05:00:00,130.07,130.33,130.06,130.26
2018-12-19 06:00:00,130.12,130.14,130.03,130.07
2018-12-19 07:00:00,129.91,130.13,129.81,130.12
2018-12-19 08:00:00,130.04,130.06,129.88,129.91
2018-12-19 09:00:00,130.13,130.18,130.0,130.04
2018-12-19 10:00:00,130.07,130.2,130.03,130.13
2018-12-19 11:00:00,130.22,130.28,130.05,130.07
2018-12-19 12:00:00,130.31,130.38,130.17,130.22
2018-12-19 13:00:00,130.35,130.43,130.27,130.31
2018-12-19 14:00:00,130.17,130.36,130.09,130.35
2018-12-19 15:00:00,130.31,130.34,130.04,130.18
2018-12-19 16:00:00,130.43,130.46,130.23,130.31
2018-12-19 17:00:00,130.45,130.52,130.33,130.43
2018-12-19 18:00:00,130.08,130.52,130.06,130.45
2018-12-19 19:00:00,131.02,131.09,129.97,130.06
2018-12-19 20:00:00,130.75,131.25,130.67,131.02
2018-12-19 21:00:00,130.85,130.95,130.69,130.75
2018-12-19 22:00:00,130.86,130.94,130.71,130.81
2018-12-19 23:00:00,130.83,130.92,130.75,130.86
2018-12-20 00:00:00,130.73,130.85,130.65,130.82
2018-12-20 01:00:00,130.76,130.8,130.64,130.73
2018-12-20 02:00:00,130.78,130.86,130.75,130.76
2018-12-20 03:00:00,130.93,130.94,130.76,130.78
2018-12-20 04:00:00,131.01,131.05,130.93,130.93
2018-12-20 05:00:00,131.18,131.31,130.98,131.01
2018-12-20 06:00:00,131.18,131.31,130.98,131.01
2018-12-20 07:00:00,131.18,131.31,130.98,131.01
2018-12-20 08:00:00,131.18,131.31,130.98,131.01
2018-12-20 09:00:00,131.18,131.31,130.98,131.01
2018-12-20 10:00:00,131.18,131.31,130.98,131.01
2018-12-20 11:00:00,131.18,131.31,130.98,131.01
2018-12-20 12:00:00,130.25,130.29,129.85,129.89
2018-12-20 13:00:00,130.81,130.83,130.18,130.25
2018-12-20 14:00:00,131.05,131.21,130.52,130.81
2018-12-20 15:00:00,131.76,132.07,130.98,131.05
