,close,max,min,open
2018-12-19 01:00:00,120.82,120.82,120.75,120.8
2018-12-19 02:00:00,120.82,120.82,120.75,120.8
2018-12-19 03:00:00,120.82,120.82,120.75,120.8
2018-12-19 04:00:00,120.82,120.82,120.75,120.8
2018-12-19 05:00:00,120.82,120.82,120.75,120.8
2018-12-19 06:00:00,120.82,120.82,120.75,120.8
2018-12-19 07:00:00,120.82,120.82,120.75,120.8
2018-12-19 08:00:00,120.82,120.82,120.75,120.8
2018-12-19 09:00:00,120.82,120.82,120.75,120.8
2018-12-19 10:00:00,120.82,120.82,120.75,120.8
2018-12-19 11:00:00,120.82,120.82,120.75,120.8
2018-12-19 12:00:00,120.82,120.82,120.75,120.8
2018-12-19 13:00:00,120.82,120.82,120.75,120.8
2018-12-19 14:00:00,120.82,120.82,120.75,120.8
2018-12-19 15:00:00,120.82,120.82,120.75,120.8
2018-12-19 16:00:00,120.82,120.82,120.75,120.8
2018-12-19 17:00:00,120.82,120.82,120.75,120.8
2018-12-19 18:00:00,120.89,120.96,120.75,120.84
2018-12-19 19:00:00,121.11,121.5,120.78,120.89
2018-12-19 20:00:00,120.93,121.08,120.38,121.07
2018-12-19 21:00:00,120.8,120.94,120.73,120.93
2018-12-19 22:00:00,120.94,120.95,120.79,120.79
2018-12-19 23:00:00,120.82,120.94,120.77,120.94
2018-12-20 00:00:00,120.83,120.84,120.83,120.83
2018-12-20 01:00:00,120.83,120.84,120.83,120.83
2018-12-20 02:00:00,120.83,120.84,120.83,120.83
2018-12-20 03:00:00,120.83,120.84,120.83,120.83
2018-12-20 04:00:00,120.83,120.84,120.83,120.83
2018-12-20 05:00:00,120.83,120.84,120.83,120.83
2018-12-20 06:00:00,120.83,120.84,120.83,120.83
2018-12-20 07:00:00,120.83,120.84,120.83,120.83
2018-12-20 08:00:00,120.83,120.84,120.83,120.83
2018-12-20 09:00:00,120.83,120.84,120.83,120.83
2018-12-20 10:00:00,120.83,120.84,120.83,120.83
2018-12-20 11:00:00,120.83,120.84,120.83,120.83
2018-12-20 12:00:00,120.83,120.84,120.83,120.83
2018-12-20 13:00:00,120.83,120.84,120.83,120.83
2018-12-20 14:00:00,120.83,120.84,120.83,120.83
2018-12-20 15:00:00,120.83,120.84,120.83,120.83
2018-12-20 16:00:00,120.83,120.84,120.83,120.83
2018-12-20 17:00:00,120.83,120.84,120.83,120.83
2018-12-20 18:00:00,120.83,120.84,120.83,120.83
2018-12-20 19:00:00,120.95,120.95,120.77,120.81
2018-12-20 20:00:00,120.9,120.95,120.88,120.95
2018-12-20 21:00:00,120.39,120.89,120.38,120.89
2018-12-20 22:00:00,120.57,120.7,119.95,120.15
2018-12-20 23:00:00,120.85,120.87,120.47,120.58
2018-12-21 00:00:00,120.85,120.87,120.47,120.58
2018-12-21 01:00:00,120.85,120.87,120.47,120.58
2018-12-21 02:00:00,120.85,120.87,120.47,120.58
2018-12-21 03:00:00,120.85,120.87,120.47,120.58
2018-12-21 04:00:00,120.85,120.87,120.47,120.58
2018-12-21 05:00:00,120.85,120.87,120.47,120.58
2018-12-21 06:00:00,120.85,120.87,120.47,120.58
2018-12-21 07:00:00,120.85,120.87,120.47,120.58
2018-12-21 08:00:00,120.85,120.87,120.47,120.58
2018-12-21 09:00:00,120.85,120.87,120.47,120.58
2018-12-21 10:00:00,120.85,120.87,120.47,120.58
2018-12-21 11:00:00,120.85,120.87,120.47,120.58
2018-12-21 12:00:00,120.85,120.87,120.47,120.58
2018-12-21 13:00:00,120.85,120.87,120.47,120.58
2018-12-21 14:00:00,120.85,120.87,120.47,120.58
2018-12-21 15:00:00,120.85,120.87,120.47,120.58
2018-12-21 16:00:00,120.85,120.87,120.47,120.58
2018-12-21 17:00:00,120.85,120.87,120.47,120.58
2018-12-21 18:00:00,120.84,120.92,120.75,120.84
2018-12-21 19:00:00,121.16,121.17,120.8,120.83
2018-12-23 22:00:00,121.08,121.16,120.78,121.16
2018-12-23 23:00:00,121.08,121.31,121.04,121.08
2018-12-24 00:00:00,121.28,121.33,121.04,121.07
2018-12-24 01:00:00,121.27,121.32,121.2,121.28
2018-12-24 02:00:00,121.25,121.32,121.24,121.27
2018-12-24 03:00:00,121.26,121.32,121.25,121.25
2018-12-24 04:00:00,121.26,121.29,121.24,121.26
2018-12-24 05:00:00,121.24,121.3,121.21,121.26
2018-12-24 06:00:00,121.24,121.3,121.21,121.26
2018-12-24 07:00:00,121.19,121.21,121.14,121.21
2018-12-24 08:00:00,121.23,121.25,121.16,121.19
2018-12-24 09:00:00,121.26,121.28,121.18,121.23
2018-12-24 10:00:00,121.3,121.3,121.22,121.26
2018-12-25 22:00:00,121.27,121.39,120.72,120.99
2018-12-25 23:00:00,121.44,121.52,121.22,121.27
2018-12-26 00:00:00,121.55,121.6,121.44,121.44
2018-12-26 01:00:00,121.51,121.61,121.49,121.55
2018-12-26 02:00:00,121.39,121.51,121.24,121.51
2018-12-26 03:00:00,121.39,121.43,121.37,121.39
2018-12-26 04:00:00,121.42,121.41,121.38,121.39
2018-12-26 05:00:00,121.42,121.41,121.38,121.39
2018-12-26 06:00:00,121.42,121.41,121.38,121.39
2018-12-26 07:00:00,121.42,121.41,121.38,121.39
2018-12-26 08:00:00,121.42,121.41,121.38,121.39
2018-12-26 09:00:00,121.42,121.41,121.38,121.39
2018-12-26 10:00:00,121.42,121.41,121.38,121.39
2018-12-26 11:00:00,121.42,121.41,121.38,121.39
2018-12-26 12:00:00,121.42,121.41,121.38,121.39
2018-12-26 13:00:00,121.42,121.41,121.38,121.39
2018-12-26 14:00:00,121.42,121.41,121.38,121.39
2018-12-26 15:00:00,121.42,121.41,121.38,121.39
2018-12-26 16:00:00,121.42,121.41,121.38,121.39
2018-12-26 17:00:00,121.42,121.41,121.38,121.39
2018-12-26 18:00:00,121.42,121.41,121.38,121.39
2018-12-26 19:00:00,121.04,121.44,121.01,121.41
2018-12-26 20:00:00,120.61,121.28,120.49,121.03
2018-12-26 21:00:00,120.45,120.97,120.45,120.61
2018-12-26 22:00:00,120.79,120.87,120.01,120.01
2018-12-26 23:00:00,121.09,121.2,120.69,120.79
2018-12-27 00:00:00,121.2,121.25,121.06,121.09
2018-12-27 01:00:00,121.22,121.22,121.18,121.2
2018-12-27 02:00:00,121.22,121.22,121.18,121.2
2018-12-27 03:00:00,121.22,121.22,121.18,121.2
2018-12-27 04:00:00,121.22,121.22,121.18,121.2
2018-12-27 05:00:00,121.22,121.22,121.18,121.2
2018-12-27 06:00:00,121.22,121.22,121.18,121.2
2018-12-27 07:00:00,121.22,121.22,121.18,121.2
2018-12-27 08:00:00,121.22,121.22,121.18,121.2
2018-12-27 09:00:00,121.22,121.22,121.18,121.2
2018-12-27 10:00:00,121.22,121.22,121.18,121.2
2018-12-27 11:00:00,121.22,121.22,121.18,121.2
2018-12-27 12:00:00,121.22,121.22,121.18,121.2
2018-12-27 13:00:00,121.22,121.22,121.18,121.2
2018-12-27 14:00:00,121.22,121.22,121.18,121.2
2018-12-27 15:00:00,121.22,121.22,121.18,121.2
2018-12-27 16:00:00,121.22,121.22,121.18,121.2
2018-12-27 17:00:00,121.22,121.22,121.18,121.2
2018-12-27 18:00:00,121.22,121.22,121.18,121.2
2018-12-27 19:00:00,121.2,121.2,121.19,121.2
2018-12-27 20:00:00,121.11,121.37,120.83,121.2
2018-12-27 21:00:00,120.78,121.28,120.78,121.11
2018-12-27 22:00:00,121.01,121.07,120.25,120.68
2018-12-27 23:00:00,121.08,121.11,120.88,121.01
2018-12-28 00:00:00,121.09,121.25,120.89,121.08
2018-12-28 01:00:00,121.08,121.21,121.03,121.09
2018-12-28 02:00:00,121.11,121.13,120.99,121.08
2018-12-28 03:00:00,121.07,121.15,121.07,121.11
2018-12-28 04:00:00,121.1,121.13,121.03,121.07
2018-12-28 05:00:00,121.09,121.1,121.08,121.1
2018-12-28 06:00:00,121.09,121.1,121.08,121.1
