,close,max,min,open
2018-12-19 01:00:00,114.45,114.45,114.24,114.31
2018-12-19 02:00:00,114.45,114.45,114.24,114.31
2018-12-19 03:00:00,114.45,114.45,114.24,114.31
2018-12-19 04:00:00,114.45,114.45,114.24,114.31
2018-12-19 05:00:00,114.45,114.45,114.24,114.31
2018-12-19 06:00:00,114.45,114.45,114.24,114.31
2018-12-19 07:00:00,114.45,114.45,114.24,114.31
2018-12-19 08:00:00,114.45,114.45,114.24,114.31
2018-12-19 09:00:00,114.45,114.45,114.24,114.31
2018-12-19 10:00:00,114.45,114.45,114.24,114.31
2018-12-19 11:00:00,114.45,114.45,114.24,114.31
2018-12-19 12:00:00,114.45,114.45,114.24,114.31
2018-12-19 13:00:00,114.45,114.45,114.24,114.31
2018-12-19 14:00:00,114.45,114.45,114.24,114.31
2018-12-19 15:00:00,114.45,114.45,114.24,114.31
2018-12-19 16:00:00,114.45,114.45,114.24,114.31
2018-12-19 17:00:00,114.45,114.45,114.24,114.31
2018-12-19 18:00:00,114.45,114.45,114.24,114.31
2018-12-19 19:00:00,114.45,114.45,114.24,114.31
2018-12-19 20:00:00,114.45,114.45,114.24,114.31
2018-12-19 21:00:00,114.88,114.91,114.14,114.41
2018-12-19 22:00:00,115.08,115.08,114.77,114.79
2018-12-19 23:00:00,115.08,115.08,114.77,114.79
2018-12-20 00:00:00,115.08,115.08,114.77,114.79
2018-12-20 01:00:00,115.08,115.08,114.77,114.79
2018-12-20 02:00:00,115.08,115.08,114.77,114.79
2018-12-20 03:00:00,115.08,115.08,114.77,114.79
2018-12-20 04:00:00,115.08,115.08,114.77,114.79
2018-12-20 05:00:00,115.08,115.08,114.77,114.79
2018-12-20 06:00:00,115.08,115.08,114.77,114.79
2018-12-20 07:00:00,115.08,115.08,114.77,114.79
2018-12-20 08:00:00,115.08,115.08,114.77,114.79
2018-12-20 09:00:00,115.08,115.08,114.77,114.79
2018-12-20 10:00:00,115.08,115.08,114.77,114.79
2018-12-20 11:00:00,115.08,115.08,114.77,114.79
2018-12-20 12:00:00,115.08,115.08,114.77,114.79
2018-12-20 13:00:00,115.08,115.08,114.77,114.79
2018-12-20 14:00:00,115.08,115.08,114.77,114.79
2018-12-20 15:00:00,115.08,115.08,114.77,114.79
2018-12-20 16:00:00,115.08,115.08,114.77,114.79
