,close,max,min,open
2019-07-28 21:00:00,165.0,165.0,165.0,165.0
2019-07-28 22:00:00,164.87,165.01,164.86,164.98
2019-07-28 23:00:00,164.93,164.98,164.84,164.87
2019-07-29 00:00:00,165.05,165.07,164.8,164.93
2019-07-29 01:00:00,165.22,165.37,165.04,165.04
2019-07-29 02:00:00,165.11,165.23,165.1,165.23
2019-07-29 03:00:00,164.97,165.14,164.95,165.11
2019-07-29 04:00:00,164.92,165.0,164.89,164.98
2019-07-29 05:00:00,164.92,164.98,164.78,164.91
2019-07-29 06:00:00,164.78,164.91,164.65,164.91
2019-07-29 07:00:00,164.72,164.87,164.68,164.78
2019-07-29 08:00:00,164.72,164.87,164.68,164.78
2019-07-29 09:00:00,164.72,164.87,164.68,164.78
2019-07-29 10:00:00,164.72,164.87,164.68,164.78
2019-07-29 11:00:00,164.72,164.87,164.68,164.78
2019-07-29 12:00:00,164.72,164.87,164.68,164.78
2019-07-29 13:00:00,164.72,164.87,164.68,164.78
2019-07-29 14:00:00,164.72,164.87,164.68,164.78
2019-07-29 15:00:00,164.72,164.87,164.68,164.78
2019-07-29 16:00:00,164.72,164.87,164.68,164.78
2019-07-29 17:00:00,164.72,164.87,164.68,164.78
2019-07-29 18:00:00,164.72,164.87,164.68,164.78
2019-07-29 19:00:00,164.72,164.87,164.68,164.78
2019-07-29 20:00:00,164.62,164.85,164.52,164.7
2019-07-29 21:00:00,164.6,164.6,164.6,164.6
2019-07-29 22:00:00,164.51,164.75,164.5,164.63
2019-07-29 23:00:00,164.5,164.58,164.46,164.5
2019-07-30 00:00:00,164.57,164.66,164.43,164.51
2019-07-30 01:00:00,164.39,164.54,164.26,164.53
2019-07-30 02:00:00,164.4,164.45,164.36,164.38
2019-07-30 03:00:00,164.55,164.57,164.35,164.4
2019-07-30 04:00:00,164.5,164.55,164.48,164.55
2019-07-30 05:00:00,164.5,164.55,164.48,164.55
2019-07-30 06:00:00,164.58,164.63,164.47,164.5
2019-07-30 07:00:00,164.6,164.64,164.51,164.58
2019-07-30 08:00:00,164.71,164.73,164.53,164.61
2019-07-30 09:00:00,164.86,164.93,164.65,164.71
2019-07-30 10:00:00,164.7,164.93,164.7,164.86
2019-07-30 11:00:00,164.95,165.01,164.7,164.7
2019-07-30 12:00:00,164.77,165.12,164.59,164.95
2019-07-30 13:00:00,164.76,165.03,164.7,164.77
2019-07-30 14:00:00,164.76,164.79,164.75,164.75
2019-07-30 15:00:00,164.69,164.86,164.66,164.76
2019-07-30 16:00:00,164.8,164.83,164.67,164.69
2019-07-30 17:00:00,164.94,164.98,164.78,164.81
2019-07-30 18:00:00,165.09,165.27,164.91,164.93
2019-07-30 19:00:00,165.06,165.1,165.03,165.09
2019-07-30 20:00:00,165.06,165.1,165.03,165.09
2019-07-30 21:00:00,165.06,165.06,165.06,165.06
2019-07-30 22:00:00,165.06,165.06,165.06,165.06
2019-07-30 23:00:00,165.06,165.06,165.06,165.06
2019-07-31 00:00:00,165.06,165.06,165.06,165.06
2019-07-31 01:00:00,165.06,165.07,165.05,165.06
2019-07-31 02:00:00,165.05,165.09,165.04,165.06
2019-07-31 03:00:00,165.03,165.06,165.0,165.04
2019-07-31 04:00:00,165.06,165.07,165.02,165.03
2019-07-31 05:00:00,165.04,165.07,165.04,165.06
2019-07-31 06:00:00,165.06,165.09,165.03,165.04
2019-07-31 07:00:00,165.05,165.08,165.04,165.06
2019-07-31 08:00:00,165.05,165.08,165.04,165.06
2019-07-31 09:00:00,165.05,165.08,165.04,165.06
2019-07-31 10:00:00,165.05,165.08,165.04,165.06
2019-07-31 11:00:00,165.05,165.08,165.04,165.06
2019-07-31 12:00:00,165.05,165.08,165.04,165.06
2019-07-31 13:00:00,165.05,165.08,165.04,165.06
2019-07-31 14:00:00,165.05,165.08,165.04,165.06
2019-07-31 15:00:00,165.05,165.08,165.04,165.06
2019-07-31 16:00:00,165.05,165.08,165.04,165.06
2019-07-31 17:00:00,165.36,165.42,164.88,165.04
2019-07-31 18:00:00,163.19,165.57,163.08,165.34
2019-07-31 19:00:00,163.36,163.6,162.81,163.22
2019-07-31 20:00:00,163.22,163.52,163.22,163.36
2019-07-31 21:00:00,163.36,163.38,163.1,163.24
2019-07-31 22:00:00,163.22,163.36,163.17,163.36
2019-07-31 23:00:00,163.46,163.53,163.23,163.24
2019-08-01 00:00:00,164.63,164.8,163.45,163.46
2019-08-01 01:00:00,164.46,164.73,164.36,164.63
2019-08-01 02:00:00,164.32,164.51,164.29,164.46
2019-08-01 03:00:00,164.55,164.6,164.32,164.32
2019-08-01 04:00:00,164.37,164.56,164.37,164.55
2019-08-01 05:00:00,164.39,164.5,164.32,164.36
2019-08-01 06:00:00,164.48,164.67,164.34,164.39
2019-08-01 07:00:00,164.5,164.57,164.32,164.48
2019-08-01 08:00:00,164.23,164.53,164.22,164.5
2019-08-01 09:00:00,164.32,164.34,164.1,164.23
2019-08-01 10:00:00,164.19,164.4,164.02,164.32
2019-08-01 11:00:00,164.07,164.31,163.91,164.19
2019-08-01 12:00:00,163.56,164.09,163.49,164.07
2019-08-01 13:00:00,163.13,163.58,163.02,163.56
2019-08-01 14:00:00,162.4,163.13,162.39,163.13
2019-08-01 15:00:00,162.52,162.6,162.24,162.4
2019-08-01 16:00:00,162.11,162.67,161.99,162.52
2019-08-01 17:00:00,161.49,162.32,161.41,162.11
2019-08-01 18:00:00,161.49,162.32,161.41,162.11
2019-08-01 19:00:00,161.49,162.32,161.41,162.11
2019-08-01 20:00:00,161.49,162.32,161.41,162.11
2019-08-01 21:00:00,161.49,161.49,161.49,161.49
2019-08-01 22:00:00,161.49,161.49,161.49,161.49
2019-08-01 23:00:00,161.49,161.49,161.49,161.49
2019-08-02 00:00:00,161.49,161.49,161.49,161.49
2019-08-02 01:00:00,161.49,161.49,161.49,161.49
2019-08-02 02:00:00,161.49,161.49,161.49,161.49
2019-08-02 03:00:00,161.49,161.49,161.49,161.49
2019-08-02 04:00:00,161.49,161.49,161.49,161.49
2019-08-02 05:00:00,161.49,161.49,161.49,161.49
2019-08-02 06:00:00,161.49,161.49,161.49,161.49
2019-08-02 07:00:00,161.49,161.49,161.49,161.49
2019-08-02 08:00:00,161.53,161.58,161.46,161.49
2019-08-02 09:00:00,161.49,161.53,161.38,161.53
2019-08-02 10:00:00,161.47,161.56,161.42,161.49
2019-08-02 11:00:00,161.43,161.47,161.4,161.47
2019-08-02 12:00:00,161.33,161.45,161.33,161.43
2019-08-02 13:00:00,161.33,161.45,161.33,161.43
2019-08-02 14:00:00,161.19,161.36,161.08,161.32
2019-08-02 15:00:00,161.32,161.34,161.16,161.19
2019-08-02 16:00:00,161.47,161.49,161.29,161.32
2019-08-02 17:00:00,161.52,161.52,161.39,161.47
2019-08-02 18:00:00,161.61,161.72,161.52,161.52
2019-08-02 19:00:00,161.56,161.64,161.56,161.62
2019-08-02 20:00:00,161.64,161.71,161.48,161.56
2019-08-04 21:00:00,161.44,161.63,161.3,161.63
2019-08-04 22:00:00,161.49,161.57,161.47,161.5
2019-08-04 23:00:00,161.51,161.56,161.48,161.48
2019-08-05 00:00:00,161.81,161.91,161.49,161.51
2019-08-05 01:00:00,161.6,161.84,161.6,161.81
2019-08-05 02:00:00,161.5,161.62,161.41,161.6
2019-08-05 03:00:00,161.55,161.8,161.48,161.5
2019-08-05 04:00:00,161.64,161.71,161.5,161.55
2019-08-05 05:00:00,161.45,161.64,161.4,161.64
2019-08-05 06:00:00,162.07,162.2,161.41,161.46
2019-08-05 07:00:00,161.84,162.08,161.78,162.06
2019-08-05 08:00:00,161.94,162.1,161.74,161.85
2019-08-05 09:00:00,161.88,162.12,161.79,161.93
2019-08-05 10:00:00,162.23,162.42,161.84,161.88
2019-08-05 11:00:00,162.31,162.38,162.2,162.23
2019-08-05 12:00:00,162.46,162.51,162.26,162.31
2019-08-05 13:00:00,162.56,162.64,162.4,162.47
2019-08-05 14:00:00,162.65,162.84,162.55,162.56
2019-08-05 15:00:00,162.48,162.67,161.94,162.66
2019-08-05 16:00:00,162.56,162.63,162.39,162.48
2019-08-05 17:00:00,162.45,162.58,162.33,162.57
2019-08-05 18:00:00,162.58,162.65,162.42,162.45
2019-08-05 19:00:00,162.24,162.72,162.16,162.58
2019-08-05 20:00:00,162.31,162.42,162.2,162.23
2019-08-05 21:00:00,162.32,162.33,162.29,162.3
2019-08-05 22:00:00,163.0,163.01,162.53,162.57
2019-08-05 23:00:00,163.0,163.04,162.84,163.0
2019-08-06 00:00:00,162.79,163.1,162.76,162.99
2019-08-06 01:00:00,162.35,162.79,162.21,162.79
2019-08-06 02:00:00,162.66,162.71,162.34,162.35
2019-08-06 03:00:00,162.32,162.69,162.29,162.66
2019-08-06 04:00:00,162.43,162.47,161.99,162.32
2019-08-06 05:00:00,162.24,162.47,162.19,162.43
2019-08-06 06:00:00,162.34,162.55,162.23,162.24
2019-08-06 07:00:00,162.46,162.55,162.27,162.34
