,close,max,min,open
2018-12-19 19:00:00,154.18,156.39,153.73,155.11
2018-12-19 20:00:00,153.69,154.16,150.94,154.13
2018-12-19 21:00:00,154.05,154.63,152.82,153.68
2018-12-19 22:00:00,154.93,155.34,153.43,153.95
2018-12-19 23:00:00,154.47,155.17,153.46,154.94
2018-12-20 00:00:00,155.71,155.84,153.93,154.47
2018-12-20 01:00:00,155.21,155.95,155.02,155.72
2018-12-20 02:00:00,155.0,155.4,154.97,155.23
2018-12-20 03:00:00,154.98,155.15,154.79,155.0
2018-12-20 04:00:00,154.25,155.03,154.17,154.98
2018-12-20 05:00:00,153.92,154.25,153.92,154.24
2018-12-20 06:00:00,153.92,154.25,153.92,154.24
2018-12-20 07:00:00,153.92,154.25,153.92,154.24
2018-12-20 08:00:00,153.92,154.25,153.92,154.24
2018-12-20 09:00:00,153.92,154.25,153.92,154.24
2018-12-20 10:00:00,153.92,154.25,153.92,154.24
2018-12-20 11:00:00,153.92,154.25,153.92,154.24
2018-12-20 12:00:00,153.92,154.25,153.92,154.24
2018-12-20 13:00:00,153.92,154.25,153.92,154.24
2018-12-20 14:00:00,153.92,154.25,153.92,154.24
2018-12-20 15:00:00,153.92,154.25,153.92,154.24
2018-12-20 16:00:00,153.92,154.25,153.92,154.24
2018-12-20 17:00:00,153.92,154.25,153.92,154.24
2018-12-20 18:00:00,153.92,154.25,153.92,154.24
2018-12-20 19:00:00,153.92,154.25,153.92,154.24
2018-12-20 20:00:00,154.32,154.45,153.89,153.9
2018-12-20 21:00:00,154.1,154.36,154.1,154.32
2018-12-20 22:00:00,154.0,154.34,153.46,153.93
2018-12-20 23:00:00,154.49,154.51,154.0,154.01
2018-12-21 00:00:00,154.49,154.51,154.0,154.01
2018-12-21 01:00:00,154.49,154.51,154.0,154.01
2018-12-21 02:00:00,154.49,154.51,154.0,154.01
2018-12-21 03:00:00,154.49,154.51,154.0,154.01
2018-12-21 04:00:00,154.49,154.51,154.0,154.01
2018-12-21 05:00:00,154.49,154.51,154.0,154.01
2018-12-21 06:00:00,154.49,154.51,154.0,154.01
2018-12-21 07:00:00,154.49,154.51,154.0,154.01
2018-12-21 08:00:00,154.49,154.51,154.0,154.01
2018-12-21 09:00:00,154.49,154.51,154.0,154.01
2018-12-21 10:00:00,154.49,154.51,154.0,154.01
2018-12-21 11:00:00,154.49,154.51,154.0,154.01
2018-12-21 12:00:00,154.49,154.51,154.0,154.01
2018-12-21 13:00:00,154.49,154.51,154.0,154.01
2018-12-21 14:00:00,154.49,154.51,154.0,154.01
2018-12-21 15:00:00,154.49,154.51,154.0,154.01
2018-12-21 16:00:00,154.49,154.51,154.0,154.01
2018-12-21 17:00:00,154.49,154.51,154.0,154.01
2018-12-21 18:00:00,154.49,154.51,154.0,154.01
2018-12-21 19:00:00,154.49,154.51,154.0,154.01
2018-12-21 20:00:00,154.93,155.02,154.28,154.42
2018-12-21 21:00:00,153.89,155.36,153.89,154.91
2018-12-23 22:00:00,153.45,153.89,152.28,153.89
2018-12-23 23:00:00,154.96,155.46,153.41,153.5
2018-12-24 00:00:00,155.25,155.35,154.93,154.96
2018-12-24 01:00:00,155.3,155.36,155.02,155.25
2018-12-24 02:00:00,155.38,155.49,155.2,155.31
2018-12-24 03:00:00,155.49,155.57,155.34,155.37
2018-12-24 04:00:00,155.54,155.58,155.46,155.51
2018-12-24 05:00:00,155.62,155.64,155.49,155.54
2018-12-24 06:00:00,155.62,155.64,155.49,155.54
2018-12-24 07:00:00,155.51,155.63,155.46,155.58
2018-12-24 08:00:00,155.36,155.57,155.29,155.51
2018-12-24 09:00:00,155.58,155.63,155.33,155.35
2018-12-24 10:00:00,155.6,155.69,155.49,155.58
2018-12-24 11:00:00,155.57,155.61,155.5,155.6
2018-12-24 12:00:00,155.36,155.59,155.35,155.57
2018-12-24 13:00:00,154.81,155.38,154.72,155.36
2018-12-24 14:00:00,154.29,154.81,154.15,154.81
2018-12-24 15:00:00,154.55,154.82,154.29,154.29
2018-12-24 16:00:00,154.4,154.61,154.35,154.55
2018-12-24 17:00:00,154.32,154.52,154.24,154.4
2018-12-24 18:00:00,154.26,154.38,154.17,154.33
2018-12-24 19:00:00,154.26,154.38,154.17,154.33
2018-12-24 20:00:00,154.26,154.38,154.17,154.33
2018-12-24 21:00:00,154.26,154.26,154.26,154.26
2018-12-25 22:00:00,154.16,154.55,153.81,154.26
2018-12-25 23:00:00,154.66,154.69,153.95,154.1
2018-12-26 00:00:00,154.96,154.96,154.64,154.67
2018-12-26 01:00:00,154.96,154.96,154.64,154.67
2018-12-26 02:00:00,154.96,154.96,154.64,154.67
2018-12-26 03:00:00,154.96,154.96,154.64,154.67
2018-12-26 04:00:00,154.96,154.96,154.64,154.67
2018-12-26 05:00:00,154.96,154.96,154.64,154.67
2018-12-26 06:00:00,154.96,154.96,154.64,154.67
2018-12-26 07:00:00,154.96,154.96,154.64,154.67
2018-12-26 08:00:00,154.96,154.96,154.64,154.67
2018-12-26 09:00:00,154.96,154.96,154.64,154.67
2018-12-26 10:00:00,154.96,154.96,154.64,154.67
2018-12-26 11:00:00,154.96,154.96,154.64,154.67
2018-12-26 12:00:00,154.96,154.96,154.64,154.67
2018-12-26 13:00:00,154.96,154.96,154.64,154.67
2018-12-26 14:00:00,154.96,154.96,154.64,154.67
2018-12-26 15:00:00,154.96,154.96,154.64,154.67
2018-12-26 16:00:00,154.96,154.96,154.64,154.67
2018-12-26 17:00:00,154.96,154.96,154.64,154.67
2018-12-26 18:00:00,154.96,154.96,154.64,154.67
2018-12-26 19:00:00,154.96,154.96,154.64,154.67
2018-12-26 20:00:00,154.08,155.27,153.87,154.91
2018-12-26 21:00:00,153.45,154.52,153.45,154.07
2018-12-26 22:00:00,153.62,154.13,152.11,152.9
2018-12-26 23:00:00,153.52,154.3,152.58,153.66
2018-12-27 00:00:00,154.09,154.36,153.45,153.52
2018-12-27 01:00:00,154.12,154.51,154.02,154.11
2018-12-27 02:00:00,154.52,154.68,154.09,154.1
2018-12-27 03:00:00,154.56,154.68,154.4,154.51
2018-12-27 04:00:00,154.63,154.71,154.53,154.57
2018-12-27 05:00:00,154.97,155.07,154.48,154.64
2018-12-27 06:00:00,154.97,155.07,154.48,154.64
2018-12-27 07:00:00,154.97,155.07,154.48,154.64
2018-12-27 08:00:00,155.28,155.28,154.59,154.62
2018-12-27 09:00:00,155.28,155.28,154.59,154.62
2018-12-27 10:00:00,155.28,155.28,154.59,154.62
2018-12-27 11:00:00,155.28,155.28,154.59,154.62
2018-12-27 12:00:00,155.28,155.28,154.59,154.62
