,close,max,min,open
2018-12-19 22:00:00,123.55,123.55,123.55,123.55
2018-12-19 23:00:00,123.55,123.55,123.55,123.55
2018-12-20 00:00:00,123.55,123.55,123.55,123.55
2018-12-20 01:00:00,123.55,123.55,123.55,123.55
2018-12-20 02:00:00,123.55,123.55,123.55,123.55
2018-12-20 03:00:00,123.55,123.55,123.55,123.55
2018-12-20 04:00:00,123.55,123.55,123.55,123.55
2018-12-20 05:00:00,123.55,123.55,123.55,123.55
2018-12-20 06:00:00,123.55,123.55,123.55,123.55
2018-12-20 07:00:00,123.55,123.55,123.55,123.55
2018-12-20 08:00:00,123.55,123.55,123.55,123.55
2018-12-20 09:00:00,123.55,123.55,123.55,123.55
2018-12-20 10:00:00,123.55,123.55,123.55,123.55
2018-12-20 11:00:00,123.55,123.55,123.55,123.55
2018-12-20 12:00:00,123.65,123.65,123.54,123.55
2018-12-20 13:00:00,123.6,123.65,123.6,123.65
2018-12-20 14:00:00,123.63,123.67,123.59,123.59
2018-12-20 15:00:00,123.77,123.82,123.63,123.63
2018-12-20 16:00:00,123.67,123.77,123.67,123.77
2018-12-20 17:00:00,123.61,123.68,123.58,123.67
2018-12-20 18:00:00,123.6,123.62,123.51,123.61
2018-12-20 19:00:00,123.64,123.65,123.52,123.6
2018-12-20 20:00:00,123.67,123.68,123.62,123.63
2018-12-20 21:00:00,123.7,123.73,123.67,123.67
2018-12-20 22:00:00,123.72,123.77,123.53,123.71
2018-12-20 23:00:00,123.65,123.72,123.64,123.72
2018-12-21 00:00:00,123.68,123.68,123.63,123.65
2018-12-21 01:00:00,123.67,123.7,123.67,123.68
2018-12-21 02:00:00,123.7,123.73,123.67,123.67
2018-12-21 03:00:00,123.73,123.74,123.7,123.7
2018-12-21 04:00:00,123.78,123.8,123.73,123.73
2018-12-21 05:00:00,123.77,123.79,123.75,123.78
2018-12-21 06:00:00,123.77,123.79,123.75,123.78
2018-12-21 07:00:00,123.62,123.67,123.58,123.65
2018-12-21 08:00:00,123.65,123.65,123.49,123.62
2018-12-21 09:00:00,123.68,123.78,123.61,123.65
2018-12-21 10:00:00,123.65,123.78,123.64,123.68
2018-12-21 11:00:00,123.65,123.72,123.62,123.65
2018-12-21 12:00:00,123.73,123.76,123.59,123.65
2018-12-21 13:00:00,123.72,123.79,123.67,123.73
2018-12-21 14:00:00,123.78,123.87,123.69,123.71
2018-12-21 15:00:00,123.62,123.85,123.52,123.78
2018-12-21 16:00:00,123.59,123.76,123.53,123.62
2018-12-21 17:00:00,123.82,123.83,123.59,123.59
2018-12-21 18:00:00,123.87,123.94,123.79,123.82
2018-12-21 19:00:00,123.84,123.88,123.83,123.87
2018-12-23 22:00:00,123.84,123.84,123.84,123.84
2018-12-23 23:00:00,123.84,123.84,123.84,123.84
2018-12-24 00:00:00,123.84,123.84,123.84,123.84
2018-12-24 01:00:00,123.84,123.84,123.84,123.84
2018-12-24 02:00:00,123.84,123.84,123.84,123.84
2018-12-24 03:00:00,123.84,123.84,123.84,123.84
2018-12-24 04:00:00,123.81,123.83,123.8,123.83
2018-12-24 05:00:00,123.83,123.86,123.8,123.8
2018-12-24 06:00:00,123.83,123.86,123.8,123.8
2018-12-24 07:00:00,123.84,123.86,123.77,123.86
2018-12-24 08:00:00,123.87,123.95,123.78,123.84
2018-12-24 09:00:00,123.94,123.95,123.79,123.86
2018-12-24 10:00:00,123.95,124.02,123.85,123.94
2018-12-24 11:00:00,123.95,123.97,123.89,123.95
2018-12-24 12:00:00,123.9,124.01,123.88,123.95
2018-12-24 13:00:00,123.72,123.94,123.69,123.9
2018-12-24 14:00:00,123.54,123.73,123.4,123.72
2018-12-24 15:00:00,123.59,123.81,123.49,123.54
2018-12-24 16:00:00,123.41,123.68,123.35,123.6
2018-12-24 17:00:00,123.6,123.63,123.4,123.41
2018-12-24 18:00:00,123.65,123.87,123.29,123.61
2018-12-25 22:00:00,124.0,124.06,123.63,123.97
2018-12-25 23:00:00,123.96,124.1,123.88,123.96
2018-12-26 00:00:00,123.88,123.97,123.84,123.97
2018-12-26 01:00:00,123.85,123.95,123.84,123.88
2018-12-26 02:00:00,123.74,123.85,123.59,123.85
2018-12-26 03:00:00,123.73,123.77,123.71,123.74
2018-12-26 04:00:00,123.82,123.83,123.72,123.74
2018-12-26 05:00:00,123.82,123.87,123.79,123.81
2018-12-26 06:00:00,123.75,123.89,123.64,123.82
2018-12-26 07:00:00,123.72,123.78,123.71,123.75
2018-12-26 08:00:00,123.9,123.93,123.72,123.73
2018-12-26 09:00:00,123.92,123.96,123.81,123.9
2018-12-26 10:00:00,124.03,124.03,123.91,123.92
2018-12-26 11:00:00,123.93,124.04,123.92,124.03
2018-12-26 12:00:00,124.11,124.18,123.93,123.93
2018-12-26 13:00:00,123.96,124.19,123.93,124.11
2018-12-26 14:00:00,124.07,124.08,123.94,123.97
2018-12-26 15:00:00,124.12,124.19,123.82,124.07
2018-12-26 16:00:00,124.12,124.24,124.06,124.12
2018-12-26 17:00:00,124.33,124.36,124.11,124.12
2018-12-26 18:00:00,124.33,124.36,124.11,124.12
2018-12-26 19:00:00,124.33,124.36,124.11,124.12
2018-12-26 20:00:00,124.33,124.36,124.11,124.12
2018-12-26 21:00:00,124.33,124.36,124.11,124.12
2018-12-26 22:00:00,124.33,124.33,124.33,124.33
2018-12-26 23:00:00,124.33,124.33,124.33,124.33
2018-12-27 00:00:00,124.33,124.33,124.33,124.33
2018-12-27 01:00:00,124.33,124.33,124.33,124.33
2018-12-27 02:00:00,124.33,124.33,124.33,124.33
2018-12-27 03:00:00,124.33,124.33,124.33,124.33
2018-12-27 04:00:00,124.33,124.33,124.33,124.33
2018-12-27 05:00:00,124.33,124.33,124.33,124.33
2018-12-27 06:00:00,124.33,124.33,124.33,124.33
2018-12-27 07:00:00,124.35,124.36,124.31,124.33
2018-12-27 08:00:00,124.33,124.37,124.3,124.35
2018-12-27 09:00:00,124.33,124.37,124.3,124.35
2018-12-27 10:00:00,124.33,124.37,124.3,124.35
2018-12-27 11:00:00,124.33,124.37,124.3,124.35
2018-12-27 12:00:00,124.33,124.37,124.3,124.35
2018-12-27 13:00:00,124.33,124.37,124.3,124.35
2018-12-27 14:00:00,124.33,124.37,124.3,124.35
2018-12-27 15:00:00,124.33,124.37,124.3,124.35
2018-12-27 16:00:00,124.33,124.37,124.3,124.35
2018-12-27 17:00:00,124.33,124.37,124.3,124.35
2018-12-27 18:00:00,124.33,124.37,124.3,124.35
2018-12-27 19:00:00,124.33,124.37,124.3,124.35
2018-12-27 20:00:00,124.33,124.37,124.3,124.35
2018-12-27 21:00:00,124.33,124.37,124.3,124.35
2018-12-27 22:00:00,124.45,124.45,124.45,124.45
2018-12-27 23:00:00,124.45,124.45,124.45,124.45
2018-12-28 00:00:00,124.45,124.45,124.45,124.45
2018-12-28 01:00:00,124.45,124.45,124.45,124.45
2018-12-28 02:00:00,124.45,124.45,124.45,124.45
2018-12-28 03:00:00,124.45,124.45,124.45,124.45
2018-12-28 04:00:00,124.45,124.45,124.45,124.45
2018-12-28 05:00:00,124.45,124.45,124.45,124.45
2018-12-28 06:00:00,124.45,124.45,124.45,124.45
2018-12-28 07:00:00,124.45,124.45,124.45,124.45
2018-12-28 08:00:00,124.45,124.45,124.45,124.45
2018-12-28 09:00:00,124.45,124.45,124.45,124.45
2018-12-28 10:00:00,124.45,124.45,124.45,124.45
2018-12-28 11:00:00,124.45,124.45,124.45,124.45
2018-12-28 12:00:00,124.47,124.48,124.39,124.45
2018-12-28 13:00:00,124.53,124.53,124.44,124.47
2018-12-28 14:00:00,124.52,124.6,124.48,124.52
2018-12-28 15:00:00,124.51,124.59,124.49,124.52
2018-12-30 22:00:00,124.44,124.48,124.4,124.48
2018-12-30 23:00:00,124.5,124.51,124.43,124.45
2018-12-31 00:00:00,124.5,124.52,124.48,124.5
2018-12-31 01:00:00,124.53,124.53,124.5,124.5
2018-12-31 02:00:00,124.52,124.53,124.5,124.53
2018-12-31 03:00:00,124.5,124.52,124.49,124.52
2018-12-31 04:00:00,124.52,124.53,124.5,124.5
2018-12-31 05:00:00,124.51,124.53,124.49,124.52
2018-12-31 06:00:00,124.51,124.53,124.49,124.52
2018-12-31 07:00:00,124.19,124.55,124.19,124.55
2018-12-31 08:00:00,124.31,124.4,124.19,124.19
2018-12-31 09:00:00,124.26,124.34,124.19,124.3
2018-12-31 10:00:00,124.25,124.27,124.14,124.26
2018-12-31 11:00:00,123.92,124.25,123.81,124.24
2018-12-31 12:00:00,123.45,124.04,123.45,123.92
2018-12-31 13:00:00,123.72,123.73,123.32,123.45
2018-12-31 14:00:00,123.5,123.81,123.43,123.72
2018-12-31 15:00:00,124.55,124.61,123.27,123.5
2018-12-31 16:00:00,124.66,124.66,124.53,124.56
2019-01-02 15:00:00,124.58,124.69,124.58,124.65
2019-01-02 16:00:00,124.58,124.69,124.58,124.65
2019-01-02 17:00:00,124.58,124.69,124.58,124.65
2019-01-02 18:00:00,124.58,124.69,124.58,124.65
2019-01-02 19:00:00,124.58,124.69,124.58,124.65
2019-01-02 20:00:00,124.58,124.69,124.58,124.65
2019-01-02 21:00:00,124.58,124.69,124.58,124.65
2019-01-02 22:00:00,124.58,124.58,124.58,124.58
2019-01-02 23:00:00,124.58,124.58,124.58,124.58
2019-01-03 00:00:00,124.58,124.58,124.58,124.58
2019-01-03 01:00:00,124.58,124.58,124.58,124.58
2019-01-03 02:00:00,124.58,124.58,124.58,124.58
2019-01-03 03:00:00,124.58,124.58,124.58,124.58
2019-01-03 04:00:00,124.58,124.58,124.58,124.58
2019-01-03 05:00:00,124.58,124.58,124.58,124.58
2019-01-03 06:00:00,124.58,124.58,124.58,124.58
2019-01-03 07:00:00,124.58,124.58,124.58,124.58
2019-01-03 08:00:00,124.58,124.58,124.58,124.58
2019-01-03 09:00:00,124.54,124.58,124.52,124.58
2019-01-03 10:00:00,124.6,124.61,124.51,124.54
2019-01-03 11:00:00,124.66,124.7,124.58,124.6
2019-01-03 12:00:00,124.65,124.7,124.6,124.66
2019-01-03 13:00:00,124.63,124.67,124.62,124.65
2019-01-03 14:00:00,124.63,124.67,124.62,124.65
2019-01-03 15:00:00,124.63,124.67,124.62,124.65
2019-01-03 16:00:00,124.56,124.67,124.52,124.63
2019-01-03 17:00:00,124.5,124.62,124.47,124.56
2019-01-03 18:00:00,124.56,124.56,124.48,124.5
2019-01-03 19:00:00,124.56,124.6,124.53,124.56
2019-01-03 20:00:00,124.54,124.58,124.52,124.56
2019-01-03 21:00:00,124.53,124.56,124.51,124.54
2019-01-03 22:00:00,124.53,124.57,124.48,124.53
2019-01-03 23:00:00,124.58,124.6,124.53,124.53
2019-01-04 00:00:00,124.52,124.65,124.52,124.59
2019-01-04 01:00:00,124.51,124.54,124.48,124.53
2019-01-04 02:00:00,124.53,124.54,124.51,124.51
2019-01-04 03:00:00,124.5,124.58,124.5,124.54
2019-01-04 04:00:00,124.53,124.55,124.5,124.51
2019-01-04 05:00:00,124.54,124.56,124.51,124.53
2019-01-04 06:00:00,124.54,124.56,124.51,124.53
2019-01-04 07:00:00,124.46,124.53,124.46,124.53
2019-01-04 08:00:00,124.46,124.53,124.46,124.53
2019-01-04 09:00:00,124.46,124.53,124.46,124.53
2019-01-04 10:00:00,124.46,124.53,124.46,124.53
2019-01-04 11:00:00,124.5,124.5,124.45,124.46
2019-01-04 12:00:00,124.48,124.51,124.45,124.5
2019-01-04 13:00:00,124.63,124.68,124.46,124.48
2019-01-04 14:00:00,124.72,124.74,124.63,124.63
2019-01-06 22:00:00,124.72,124.72,124.72,124.72
2019-01-06 23:00:00,124.72,124.72,124.72,124.72
2019-01-07 00:00:00,124.72,124.72,124.72,124.72
2019-01-07 01:00:00,124.72,124.72,124.72,124.72
2019-01-07 02:00:00,124.72,124.72,124.72,124.72
2019-01-07 03:00:00,124.72,124.72,124.72,124.72
2019-01-07 04:00:00,124.72,124.72,124.72,124.72
2019-01-07 05:00:00,124.72,124.72,124.72,124.72
2019-01-07 06:00:00,124.72,124.72,124.72,124.72
2019-01-07 07:00:00,124.72,124.72,124.72,124.72
2019-01-07 08:00:00,124.72,124.72,124.72,124.72
2019-01-07 09:00:00,124.72,124.72,124.72,124.72
2019-01-07 10:00:00,124.72,124.72,124.72,124.72
2019-01-07 11:00:00,124.72,124.72,124.72,124.72
2019-01-07 12:00:00,124.72,124.72,124.72,124.72
2019-01-07 13:00:00,124.72,124.72,124.72,124.72
2019-01-07 14:00:00,124.72,124.72,124.72,124.72
2019-01-07 15:00:00,124.72,124.72,124.72,124.72
2019-01-07 16:00:00,124.72,124.72,124.72,124.72
2019-01-07 17:00:00,124.72,124.72,124.72,124.72
2019-01-07 18:00:00,124.72,124.72,124.72,124.72
2019-01-07 19:00:00,124.72,124.72,124.72,124.72
2019-01-07 20:00:00,124.72,124.72,124.72,124.72
2019-01-07 21:00:00,124.72,124.72,124.72,124.72
2019-01-07 22:00:00,124.72,124.72,124.72,124.72
2019-01-07 23:00:00,124.72,124.72,124.72,124.72
2019-01-08 00:00:00,124.72,124.72,124.72,124.72
2019-01-08 01:00:00,124.72,124.72,124.72,124.72
2019-01-08 02:00:00,124.72,124.72,124.72,124.72
2019-01-08 03:00:00,124.72,124.72,124.72,124.72
2019-01-08 04:00:00,124.72,124.72,124.72,124.72
2019-01-08 05:00:00,124.72,124.72,124.72,124.72
2019-01-08 06:00:00,124.72,124.72,124.72,124.72
2019-01-08 07:00:00,124.72,124.72,124.72,124.72
2019-01-08 08:00:00,124.72,124.72,124.72,124.72
2019-01-08 09:00:00,124.72,124.72,124.72,124.72
2019-01-08 10:00:00,124.72,124.72,124.72,124.72
2019-01-08 11:00:00,124.72,124.72,124.72,124.72
2019-01-08 12:00:00,124.72,124.72,124.72,124.72
2019-01-08 13:00:00,124.72,124.72,124.72,124.72
2019-01-08 14:00:00,124.72,124.72,124.72,124.72
2019-01-08 15:00:00,124.72,124.72,124.72,124.72
2019-01-08 16:00:00,124.72,124.72,124.72,124.72
2019-01-08 17:00:00,124.72,124.72,124.72,124.72
2019-01-08 18:00:00,124.72,124.72,124.72,124.72
2019-01-08 19:00:00,124.72,124.72,124.72,124.72
2019-01-08 20:00:00,124.72,124.72,124.72,124.72
2019-01-08 21:00:00,124.72,124.72,124.72,124.72
2019-01-08 22:00:00,124.72,124.72,124.72,124.72
2019-01-08 23:00:00,124.72,124.72,124.72,124.72
2019-01-09 00:00:00,124.72,124.72,124.72,124.72
2019-01-09 01:00:00,124.72,124.72,124.72,124.72
2019-01-09 02:00:00,124.72,124.72,124.72,124.72
2019-01-09 03:00:00,124.72,124.72,124.72,124.72
2019-01-09 04:00:00,124.72,124.72,124.72,124.72
2019-01-09 05:00:00,124.72,124.72,124.72,124.72
2019-01-09 06:00:00,124.72,124.72,124.72,124.72
2019-01-09 07:00:00,124.72,124.72,124.72,124.72
2019-01-09 08:00:00,124.72,124.72,124.72,124.72
2019-01-09 09:00:00,124.74,124.78,124.71,124.72
2019-01-09 10:00:00,124.55,124.74,124.55,124.74
2019-01-09 11:00:00,124.51,124.58,124.48,124.55
2019-01-09 12:00:00,124.29,124.63,124.28,124.51
2019-01-09 13:00:00,124.29,124.63,124.28,124.51
2019-01-09 14:00:00,124.29,124.63,124.28,124.51
2019-01-09 15:00:00,124.29,124.63,124.28,124.51
2019-01-09 16:00:00,124.38,124.41,124.24,124.28
2019-01-09 17:00:00,124.42,124.46,124.32,124.37
2019-01-09 18:00:00,124.42,124.46,124.32,124.37
2019-01-09 19:00:00,124.42,124.46,124.32,124.37
2019-01-09 20:00:00,124.42,124.46,124.32,124.37
2019-01-09 21:00:00,124.42,124.46,124.32,124.37
2019-01-09 22:00:00,124.42,124.42,124.42,124.42
2019-01-09 23:00:00,124.42,124.42,124.42,124.42
2019-01-10 00:00:00,124.42,124.42,124.42,124.42
2019-01-10 01:00:00,124.42,124.42,124.42,124.42
2019-01-10 02:00:00,124.42,124.42,124.42,124.42
2019-01-10 03:00:00,124.42,124.42,124.42,124.42
2019-01-10 04:00:00,124.42,124.42,124.42,124.42
2019-01-10 05:00:00,124.42,124.42,124.42,124.42
2019-01-10 06:00:00,124.42,124.42,124.42,124.42
2019-01-10 07:00:00,124.4,124.42,124.34,124.42
2019-01-10 08:00:00,124.33,124.46,124.32,124.39
2019-01-10 09:00:00,124.4,124.43,124.32,124.33
2019-01-10 10:00:00,124.34,124.42,124.32,124.4
2019-01-10 11:00:00,124.35,124.4,124.2,124.34
2019-01-10 12:00:00,124.4,124.42,124.23,124.35
2019-01-10 13:00:00,124.58,124.76,124.41,124.42
2019-01-10 14:00:00,124.53,124.66,124.5,124.58
2019-01-10 15:00:00,124.77,124.79,124.37,124.53
2019-01-10 16:00:00,124.57,124.79,124.55,124.77
2019-01-10 17:00:00,124.57,124.79,124.55,124.77
2019-01-10 18:00:00,124.57,124.79,124.55,124.77
2019-01-10 19:00:00,124.57,124.79,124.55,124.77
2019-01-10 20:00:00,124.57,124.79,124.55,124.77
2019-01-10 21:00:00,124.57,124.79,124.55,124.77
2019-01-10 22:00:00,124.57,124.79,124.55,124.77
2019-01-10 23:00:00,124.57,124.79,124.55,124.77
2019-01-11 00:00:00,124.57,124.79,124.55,124.77
2019-01-11 01:00:00,124.57,124.79,124.55,124.77
2019-01-11 02:00:00,124.57,124.79,124.55,124.77
2019-01-11 03:00:00,124.57,124.79,124.55,124.77
2019-01-11 04:00:00,124.57,124.79,124.55,124.77
2019-01-11 05:00:00,124.57,124.79,124.55,124.77
2019-01-11 06:00:00,124.57,124.79,124.55,124.77
2019-01-11 07:00:00,124.57,124.79,124.55,124.77
2019-01-11 08:00:00,124.57,124.79,124.55,124.77
2019-01-11 09:00:00,124.57,124.79,124.55,124.77
2019-01-11 10:00:00,124.4,124.61,124.4,124.56
2019-01-13 22:00:00,124.4,124.4,124.4,124.4
2019-01-13 23:00:00,124.4,124.4,124.4,124.4
2019-01-14 00:00:00,124.4,124.4,124.4,124.4
2019-01-14 01:00:00,124.4,124.4,124.4,124.4
2019-01-14 02:00:00,124.4,124.4,124.4,124.4
2019-01-14 03:00:00,124.4,124.4,124.4,124.4
2019-01-14 04:00:00,124.4,124.4,124.4,124.4
2019-01-14 05:00:00,124.4,124.4,124.4,124.4
2019-01-14 06:00:00,124.4,124.4,124.4,124.4
2019-01-14 07:00:00,124.4,124.4,124.4,124.4
2019-01-14 08:00:00,124.4,124.4,124.4,124.4
2019-01-14 09:00:00,124.4,124.4,124.4,124.4
2019-01-14 10:00:00,124.4,124.4,124.4,124.4
2019-01-14 11:00:00,124.4,124.4,124.4,124.4
2019-01-14 12:00:00,124.4,124.4,124.4,124.4
2019-01-14 13:00:00,124.4,124.4,124.4,124.4
2019-01-14 14:00:00,124.4,124.4,124.4,124.4
2019-01-14 15:00:00,124.44,124.45,124.39,124.4
2019-01-14 16:00:00,124.44,124.45,124.39,124.4
2019-01-14 17:00:00,124.44,124.45,124.39,124.4
2019-01-14 18:00:00,124.44,124.45,124.39,124.4
2019-01-14 19:00:00,124.44,124.45,124.39,124.4
2019-01-14 20:00:00,124.54,124.6,124.54,124.57
2019-01-14 21:00:00,124.52,124.54,124.51,124.54
2019-01-14 22:00:00,124.55,124.56,124.51,124.51
2019-01-14 23:00:00,124.5,124.55,124.47,124.55
2019-01-15 00:00:00,124.44,124.5,124.44,124.5
2019-01-15 01:00:00,124.36,124.46,124.28,124.44
2019-01-15 02:00:00,124.4,124.4,124.34,124.37
2019-01-15 03:00:00,124.37,124.4,124.34,124.38
2019-01-15 04:00:00,124.37,124.43,124.35,124.35
2019-01-15 05:00:00,124.37,124.43,124.35,124.35
2019-01-15 06:00:00,124.32,124.4,124.19,124.19
2019-01-15 07:00:00,124.57,124.57,124.31,124.31
2019-01-15 08:00:00,124.65,124.72,124.5,124.54
2019-01-15 09:00:00,124.69,124.92,124.59,124.62
2019-01-15 10:00:00,124.91,124.96,124.69,124.71
2019-01-15 11:00:00,124.91,124.96,124.69,124.71
2019-01-15 12:00:00,124.91,124.96,124.69,124.71
2019-01-15 13:00:00,124.91,124.96,124.69,124.71
2019-01-15 14:00:00,124.91,124.96,124.69,124.71
2019-01-15 15:00:00,124.91,124.96,124.69,124.71
2019-01-15 16:00:00,124.91,124.96,124.69,124.71
2019-01-15 17:00:00,124.91,124.96,124.69,124.71
2019-01-15 18:00:00,124.91,124.96,124.69,124.71
2019-01-15 19:00:00,124.91,124.96,124.69,124.71
2019-01-15 20:00:00,124.91,124.96,124.69,124.71
2019-01-15 21:00:00,124.91,124.96,124.69,124.71
2019-01-15 22:00:00,124.91,124.91,124.91,124.91
2019-01-15 23:00:00,124.91,124.91,124.91,124.91
2019-01-16 00:00:00,124.91,124.91,124.91,124.91
2019-01-16 01:00:00,124.91,124.91,124.91,124.91
2019-01-16 02:00:00,124.91,124.91,124.91,124.91
2019-01-16 03:00:00,124.91,124.91,124.91,124.91
2019-01-16 04:00:00,124.91,124.91,124.91,124.91
2019-01-16 05:00:00,124.91,124.91,124.91,124.91
2019-01-16 06:00:00,124.91,124.91,124.91,124.91
2019-01-16 07:00:00,124.91,124.91,124.91,124.91
2019-01-16 08:00:00,124.91,124.91,124.91,124.91
2019-01-16 09:00:00,124.91,124.91,124.91,124.91
2019-01-16 10:00:00,124.91,124.91,124.91,124.91
2019-01-16 11:00:00,124.91,124.91,124.91,124.91
2019-01-16 12:00:00,124.91,124.91,124.91,124.91
2019-01-16 13:00:00,124.91,124.91,124.91,124.91
2019-01-16 14:00:00,124.91,124.91,124.91,124.91
2019-01-16 15:00:00,124.91,124.91,124.91,124.91
2019-01-16 16:00:00,124.91,124.91,124.91,124.91
2019-01-16 17:00:00,124.91,124.91,124.91,124.91
2019-01-16 18:00:00,124.91,124.91,124.91,124.91
2019-01-16 19:00:00,124.91,124.91,124.91,124.91
2019-01-16 20:00:00,124.91,124.91,124.91,124.91
2019-01-16 21:00:00,124.91,124.91,124.91,124.91
2019-01-16 22:00:00,124.91,124.91,124.91,124.91
2019-01-16 23:00:00,124.91,124.91,124.91,124.91
2019-01-17 00:00:00,124.91,124.91,124.91,124.91
2019-01-17 01:00:00,124.91,124.91,124.91,124.91
2019-01-17 02:00:00,124.91,124.91,124.91,124.91
2019-01-17 03:00:00,124.91,124.91,124.91,124.91
2019-01-17 04:00:00,124.91,124.91,124.91,124.91
2019-01-17 05:00:00,124.91,124.91,124.91,124.91
2019-01-17 06:00:00,124.91,124.91,124.91,124.91
2019-01-17 07:00:00,124.91,124.91,124.91,124.91
2019-01-17 08:00:00,124.91,124.91,124.91,124.91
2019-01-17 09:00:00,124.85,124.91,124.85,124.9
2019-01-17 10:00:00,124.84,124.9,124.83,124.85
2019-01-17 11:00:00,124.78,124.89,124.71,124.82
2019-01-17 12:00:00,124.75,124.82,124.75,124.79
2019-01-17 13:00:00,124.66,124.75,124.66,124.75
2019-01-17 14:00:00,124.58,124.69,124.56,124.61
2019-01-17 15:00:00,124.58,124.69,124.56,124.61
2019-01-17 16:00:00,124.58,124.69,124.56,124.61
2019-01-17 17:00:00,124.58,124.69,124.56,124.61
2019-01-17 18:00:00,124.58,124.69,124.56,124.61
2019-01-17 19:00:00,124.27,124.48,124.19,124.47
2019-01-17 20:00:00,124.35,124.45,124.29,124.32
2019-01-17 21:00:00,124.34,124.36,124.26,124.32
2019-01-17 22:00:00,124.34,124.35,124.27,124.32
2019-01-17 23:00:00,124.37,124.4,124.32,124.33
2019-01-18 00:00:00,124.47,124.54,124.36,124.36
2019-01-18 01:00:00,124.34,124.47,124.34,124.44
2019-01-18 02:00:00,124.46,124.46,124.26,124.33
2019-01-18 03:00:00,124.48,124.53,124.45,124.48
2019-01-18 04:00:00,124.36,124.49,124.36,124.49
2019-01-18 05:00:00,124.44,124.47,124.34,124.36
2019-01-18 06:00:00,124.44,124.47,124.34,124.36
2019-01-18 07:00:00,124.67,124.67,124.41,124.45
2019-01-18 08:00:00,124.78,124.79,124.67,124.67
2019-01-20 22:00:00,124.78,124.78,124.78,124.78
2019-01-20 23:00:00,124.78,124.78,124.78,124.78
2019-01-21 00:00:00,124.78,124.78,124.78,124.78
2019-01-21 01:00:00,124.78,124.78,124.78,124.78
2019-01-21 02:00:00,124.78,124.78,124.78,124.78
2019-01-21 03:00:00,124.78,124.78,124.78,124.78
2019-01-21 04:00:00,124.78,124.78,124.78,124.78
2019-01-21 05:00:00,124.78,124.78,124.78,124.78
2019-01-21 06:00:00,124.78,124.78,124.78,124.78
2019-01-21 07:00:00,124.78,124.78,124.78,124.78
2019-01-21 08:00:00,124.78,124.78,124.78,124.78
2019-01-21 09:00:00,124.78,124.78,124.78,124.78
2019-01-21 10:00:00,124.78,124.78,124.78,124.78
2019-01-21 11:00:00,124.78,124.78,124.78,124.78
2019-01-21 12:00:00,124.78,124.78,124.78,124.78
2019-01-21 13:00:00,124.78,124.78,124.78,124.78
2019-01-21 14:00:00,124.78,124.78,124.78,124.78
2019-01-21 15:00:00,124.78,124.78,124.78,124.78
2019-01-21 16:00:00,124.78,124.78,124.78,124.78
2019-01-21 17:00:00,124.78,124.78,124.78,124.78
2019-01-21 18:00:00,124.78,124.78,124.78,124.78
2019-01-21 19:00:00,124.78,124.78,124.78,124.78
2019-01-21 20:00:00,124.78,124.78,124.78,124.78
