,close,max,min,open
2018-12-19 22:00:00,121.83,121.83,121.83,121.83
2018-12-19 23:00:00,121.83,121.83,121.83,121.83
2018-12-20 00:00:00,121.83,121.83,121.83,121.83
2018-12-20 01:00:00,121.83,121.83,121.83,121.83
2018-12-20 02:00:00,121.83,121.83,121.83,121.83
2018-12-20 03:00:00,121.83,121.83,121.83,121.83
2018-12-20 04:00:00,121.83,121.83,121.83,121.83
2018-12-20 05:00:00,121.83,121.83,121.83,121.83
2018-12-20 06:00:00,121.83,121.83,121.83,121.83
2018-12-20 07:00:00,121.83,121.83,121.83,121.83
2018-12-20 08:00:00,121.83,121.83,121.83,121.83
2018-12-20 09:00:00,121.83,121.83,121.83,121.83
2018-12-20 10:00:00,121.83,121.83,121.83,121.83
2018-12-20 11:00:00,121.83,121.83,121.83,121.83
2018-12-20 12:00:00,121.83,121.83,121.83,121.83
2018-12-20 13:00:00,121.83,121.83,121.83,121.83
2018-12-20 14:00:00,121.83,121.83,121.83,121.83
2018-12-20 15:00:00,121.83,121.83,121.83,121.83
2018-12-20 16:00:00,121.83,121.83,121.83,121.83
2018-12-20 17:00:00,121.83,121.83,121.83,121.83
2018-12-20 18:00:00,121.83,121.83,121.83,121.83
2018-12-20 19:00:00,121.83,121.83,121.83,121.83
2018-12-20 20:00:00,121.83,121.83,121.83,121.83
2018-12-20 21:00:00,121.83,121.83,121.83,121.83
2018-12-20 22:00:00,121.83,121.83,121.83,121.83
2018-12-23 22:00:00,121.83,121.83,121.83,121.83
2018-12-26 22:00:00,121.83,121.83,121.83,121.83
2018-12-26 23:00:00,121.83,121.83,121.83,121.83
2018-12-27 00:00:00,121.83,121.83,121.83,121.83
2018-12-27 01:00:00,121.83,121.83,121.83,121.83
2018-12-27 02:00:00,121.83,121.83,121.83,121.83
2018-12-27 03:00:00,121.83,121.83,121.83,121.83
2018-12-27 04:00:00,121.83,121.83,121.83,121.83
2018-12-27 05:00:00,121.83,121.83,121.83,121.83
2018-12-27 06:00:00,121.83,121.83,121.83,121.83
2018-12-27 07:00:00,121.83,121.83,121.83,121.83
2018-12-27 08:00:00,121.83,121.83,121.83,121.83
2018-12-27 09:00:00,121.83,121.83,121.83,121.83
2018-12-27 10:00:00,121.83,121.83,121.83,121.83
2018-12-27 11:00:00,121.83,121.83,121.83,121.83
2018-12-27 12:00:00,121.83,121.83,121.83,121.83
2018-12-27 13:00:00,121.83,121.83,121.83,121.83
2018-12-27 14:00:00,121.83,121.83,121.83,121.83
2018-12-27 15:00:00,121.83,121.83,121.83,121.83
2018-12-27 16:00:00,121.83,121.83,121.83,121.83
2018-12-27 17:00:00,121.83,121.83,121.83,121.83
2018-12-27 18:00:00,121.83,121.83,121.83,121.83
2018-12-27 19:00:00,121.83,121.83,121.83,121.83
2018-12-27 20:00:00,121.83,121.83,121.83,121.83
2018-12-27 21:00:00,121.83,121.83,121.83,121.83
2018-12-27 22:00:00,121.83,121.83,121.83,121.83
2018-12-30 22:00:00,121.83,121.83,121.83,121.83
2019-01-02 12:00:00,120.98,121.97,120.98,121.65
2019-01-02 13:00:00,120.56,121.15,120.27,120.98
2019-01-02 14:00:00,121.15,121.21,119.59,120.53
2019-01-02 15:00:00,126.34,126.34,121.15,121.15
2019-01-02 16:00:00,126.34,126.34,121.15,121.15
2019-01-02 17:00:00,126.34,126.34,121.15,121.15
2019-01-02 18:00:00,126.34,126.34,121.15,121.15
2019-01-02 19:00:00,126.34,126.34,121.15,121.15
2019-01-02 20:00:00,126.34,126.34,121.15,121.15
2019-01-02 21:00:00,126.34,126.34,121.15,121.15
2019-01-02 22:00:00,126.34,126.34,126.34,126.34
2019-01-02 23:00:00,126.34,126.34,126.34,126.34
2019-01-03 00:00:00,126.34,126.34,126.34,126.34
2019-01-03 01:00:00,126.34,126.34,126.34,126.34
2019-01-03 02:00:00,126.34,126.34,126.34,126.34
2019-01-03 03:00:00,126.34,126.34,126.34,126.34
2019-01-03 04:00:00,126.34,126.34,126.34,126.34
2019-01-03 05:00:00,126.34,126.34,126.34,126.34
2019-01-03 06:00:00,126.34,126.34,126.34,126.34
2019-01-03 07:00:00,126.34,126.34,126.34,126.34
2019-01-03 08:00:00,126.34,126.34,126.34,126.34
2019-01-03 09:00:00,126.34,126.34,126.34,126.34
2019-01-03 10:00:00,126.34,126.34,126.34,126.34
2019-01-03 11:00:00,126.34,126.34,126.34,126.34
2019-01-03 12:00:00,126.34,126.34,126.34,126.34
2019-01-03 13:00:00,126.34,126.34,126.34,126.34
2019-01-03 14:00:00,126.34,126.34,126.34,126.34
2019-01-03 15:00:00,126.34,126.34,126.34,126.34
2019-01-03 16:00:00,126.34,126.34,126.34,126.34
2019-01-03 17:00:00,126.34,126.34,126.34,126.34
2019-01-03 18:00:00,126.34,126.34,126.34,126.34
2019-01-03 19:00:00,126.34,126.34,126.34,126.34
2019-01-03 20:00:00,126.34,126.34,126.34,126.34
2019-01-03 21:00:00,126.34,126.34,126.34,126.34
2019-01-03 22:00:00,126.34,126.34,126.34,126.34
2019-01-06 22:00:00,126.34,126.34,126.34,126.34
2019-01-06 23:00:00,126.34,126.34,126.34,126.34
2019-01-07 00:00:00,126.34,126.34,126.34,126.34
2019-01-07 01:00:00,126.34,126.34,126.34,126.34
2019-01-07 02:00:00,126.34,126.34,126.34,126.34
2019-01-07 03:00:00,126.34,126.34,126.34,126.34
2019-01-07 04:00:00,126.34,126.34,126.34,126.34
2019-01-07 05:00:00,126.34,126.34,126.34,126.34
2019-01-07 06:00:00,126.34,126.34,126.34,126.34
2019-01-07 07:00:00,126.34,126.34,126.34,126.34
2019-01-07 08:00:00,126.34,126.34,126.34,126.34
2019-01-07 09:00:00,126.34,126.34,126.34,126.34
2019-01-07 10:00:00,126.34,126.34,126.34,126.34
2019-01-07 11:00:00,126.34,126.34,126.34,126.34
2019-01-07 12:00:00,126.34,126.34,126.34,126.34
2019-01-07 13:00:00,126.34,126.34,126.34,126.34
2019-01-07 14:00:00,126.34,126.34,126.34,126.34
2019-01-07 15:00:00,126.34,126.34,126.34,126.34
2019-01-07 16:00:00,126.34,126.34,126.34,126.34
2019-01-07 17:00:00,126.34,126.34,126.34,126.34
2019-01-07 18:00:00,126.34,126.34,126.34,126.34
2019-01-07 19:00:00,126.34,126.34,126.34,126.34
2019-01-07 20:00:00,126.34,126.34,126.34,126.34
2019-01-07 21:00:00,126.34,126.34,126.34,126.34
2019-01-07 22:00:00,126.34,126.34,126.34,126.34
2019-01-07 23:00:00,126.34,126.34,126.34,126.34
2019-01-08 00:00:00,126.34,126.34,126.34,126.34
2019-01-08 01:00:00,126.34,126.34,126.34,126.34
2019-01-08 02:00:00,126.34,126.34,126.34,126.34
2019-01-08 03:00:00,126.34,126.34,126.34,126.34
2019-01-08 04:00:00,126.34,126.34,126.34,126.34
2019-01-08 05:00:00,126.34,126.34,126.34,126.34
2019-01-08 06:00:00,126.34,126.34,126.34,126.34
2019-01-08 07:00:00,126.34,126.34,126.34,126.34
2019-01-08 08:00:00,126.34,126.34,126.34,126.34
2019-01-08 09:00:00,126.34,126.34,126.34,126.34
2019-01-08 10:00:00,126.34,126.34,126.34,126.34
2019-01-08 11:00:00,126.34,126.34,126.34,126.34
2019-01-08 12:00:00,126.34,126.34,126.34,126.34
2019-01-08 13:00:00,126.34,126.34,126.34,126.34
2019-01-08 14:00:00,126.34,126.34,126.34,126.34
2019-01-08 15:00:00,126.34,126.34,126.34,126.34
2019-01-08 16:00:00,126.34,126.34,126.34,126.34
2019-01-08 17:00:00,126.34,126.34,126.34,126.34
2019-01-08 18:00:00,126.34,126.34,126.34,126.34
2019-01-08 19:00:00,126.34,126.34,126.34,126.34
2019-01-08 20:00:00,126.34,126.34,126.34,126.34
2019-01-08 21:00:00,126.34,126.34,126.34,126.34
2019-01-08 22:00:00,126.34,126.34,126.34,126.34
2019-01-08 23:00:00,126.34,126.34,126.34,126.34
2019-01-09 00:00:00,126.34,126.34,126.34,126.34
2019-01-09 01:00:00,126.34,126.34,126.34,126.34
2019-01-09 02:00:00,126.34,126.34,126.34,126.34
2019-01-09 03:00:00,126.34,126.34,126.34,126.34
2019-01-09 04:00:00,126.34,126.34,126.34,126.34
2019-01-09 05:00:00,126.34,126.34,126.34,126.34
2019-01-09 06:00:00,126.34,126.34,126.34,126.34
2019-01-09 07:00:00,126.34,126.34,126.34,126.34
