,close,max,min,open
2019-07-21 21:00:00,108.3,108.3,108.3,108.3
2019-07-21 22:00:00,108.28,108.53,108.2,108.3
2019-07-21 23:00:00,108.3,108.41,108.17,108.28
2019-07-22 00:00:00,108.26,108.48,108.24,108.3
2019-07-22 01:00:00,108.4,108.43,108.05,108.26
2019-07-22 02:00:00,108.54,108.65,108.36,108.4
2019-07-22 03:00:00,108.48,108.59,108.42,108.54
2019-07-22 04:00:00,108.53,108.54,108.46,108.48
2019-07-22 05:00:00,108.59,108.74,108.48,108.53
2019-07-22 06:00:00,108.45,108.58,108.23,108.58
2019-07-22 07:00:00,108.54,108.61,108.37,108.45
2019-07-22 08:00:00,108.37,108.58,108.36,108.54
2019-07-22 09:00:00,108.3,108.45,108.26,108.37
2019-07-22 10:00:00,108.47,108.54,108.26,108.3
2019-07-22 11:00:00,108.33,108.49,108.3,108.46
2019-07-22 12:00:00,108.43,108.57,108.28,108.33
2019-07-22 13:00:00,108.63,108.68,108.29,108.43
2019-07-22 14:00:00,108.5,108.65,108.25,108.63
2019-07-22 15:00:00,108.45,108.56,108.38,108.5
2019-07-22 16:00:00,108.38,108.46,108.32,108.44
2019-07-22 17:00:00,108.6,108.65,108.34,108.38
2019-07-22 18:00:00,108.59,108.63,108.5,108.6
2019-07-22 19:00:00,108.31,108.6,108.19,108.59
2019-07-22 20:00:00,108.17,108.33,108.16,108.3
2019-07-22 21:00:00,108.16,108.16,108.16,108.16
2019-07-22 22:00:00,108.22,108.33,108.16,108.16
2019-07-22 23:00:00,108.17,108.24,108.15,108.22
2019-07-23 00:00:00,107.86,108.23,107.86,108.17
2019-07-23 01:00:00,107.75,107.95,107.46,107.92
2019-07-23 02:00:00,107.66,107.82,107.63,107.74
2019-07-23 03:00:00,107.62,107.7,107.57,107.66
2019-07-23 04:00:00,107.52,107.65,107.48,107.62
2019-07-23 05:00:00,107.43,107.55,107.29,107.53
2019-07-23 06:00:00,107.63,107.67,107.42,107.43
2019-07-23 07:00:00,107.82,107.84,107.54,107.63
2019-07-23 08:00:00,107.62,107.82,107.56,107.82
2019-07-23 09:00:00,107.67,107.72,107.58,107.63
2019-07-23 10:00:00,107.76,107.83,107.65,107.66
2019-07-23 11:00:00,108.05,108.27,107.74,107.76
2019-07-23 12:00:00,108.43,108.48,108.05,108.05
2019-07-23 13:00:00,108.37,108.48,108.08,108.43
2019-07-23 14:00:00,108.2,108.76,108.13,108.37
2019-07-23 15:00:00,108.09,108.33,107.8,108.2
2019-07-23 16:00:00,107.77,108.14,107.63,108.08
