,close,max,min,open
2019-07-14 21:00:00,117.39,118.08,117.24,117.69
2019-07-14 22:00:00,117.77,117.84,117.37,117.37
2019-07-14 23:00:00,118.03,118.03,117.73,117.77
2019-07-15 00:00:00,117.98,118.05,117.8,117.99
2019-07-15 01:00:00,118.02,118.31,117.91,117.98
2019-07-15 02:00:00,117.57,118.1,117.46,118.02
2019-07-15 03:00:00,117.33,117.71,117.3,117.58
2019-07-15 04:00:00,117.39,117.43,117.21,117.32
2019-07-15 05:00:00,117.48,117.56,117.35,117.39
2019-07-15 06:00:00,117.23,117.48,117.19,117.48
2019-07-15 07:00:00,117.14,117.57,117.07,117.24
2019-07-15 08:00:00,116.97,117.33,116.96,117.15
2019-07-15 09:00:00,117.13,117.18,116.76,116.97
2019-07-15 10:00:00,117.14,117.34,116.9,117.12
2019-07-15 11:00:00,116.77,117.31,116.68,117.14
2019-07-15 12:00:00,116.22,116.87,116.13,116.75
2019-07-15 13:00:00,116.89,117.06,116.16,116.22
2019-07-15 14:00:00,117.48,117.54,116.77,116.89
2019-07-15 15:00:00,116.95,117.61,116.92,117.47
2019-07-15 16:00:00,116.91,117.26,116.84,116.95
2019-07-15 17:00:00,117.33,117.36,116.81,116.9
2019-07-15 18:00:00,117.38,117.56,117.19,117.33
2019-07-15 19:00:00,117.33,117.51,117.16,117.38
2019-07-15 20:00:00,117.08,117.54,117.08,117.32
2019-07-15 21:00:00,117.11,117.32,116.82,117.03
2019-07-15 22:00:00,117.18,117.24,116.95,117.11
2019-07-15 23:00:00,117.32,117.35,117.15,117.2
2019-07-16 00:00:00,117.74,117.79,117.19,117.32
2019-07-16 01:00:00,117.66,117.8,117.47,117.74
2019-07-16 02:00:00,117.48,117.75,117.47,117.66
2019-07-16 03:00:00,117.45,117.57,117.43,117.49
2019-07-16 04:00:00,117.53,117.59,117.34,117.45
2019-07-16 05:00:00,117.39,117.61,117.32,117.53
2019-07-16 06:00:00,116.96,117.56,116.82,117.4
2019-07-16 07:00:00,116.56,116.97,116.3,116.96
2019-07-16 08:00:00,115.87,116.64,115.6,116.55
2019-07-16 09:00:00,115.17,115.89,115.0,115.88
2019-07-16 10:00:00,114.6,115.64,114.28,115.16
2019-07-16 11:00:00,115.04,115.19,114.33,114.59
2019-07-16 12:00:00,114.85,115.54,114.59,115.04
2019-07-16 13:00:00,114.72,115.11,114.32,114.85
2019-07-16 14:00:00,114.42,114.91,113.48,114.72
2019-07-16 15:00:00,115.15,115.19,114.26,114.41
2019-07-16 16:00:00,115.38,115.65,114.87,115.15
2019-07-16 17:00:00,115.85,115.92,115.14,115.38
2019-07-16 18:00:00,115.46,115.99,115.32,115.85
2019-07-16 19:00:00,115.21,115.52,115.21,115.46
2019-07-16 20:00:00,115.25,115.8,115.21,115.21
2019-07-16 21:00:00,115.62,115.72,115.12,115.22
2019-07-16 22:00:00,115.78,115.93,115.5,115.63
2019-07-16 23:00:00,115.86,115.99,115.74,115.76
2019-07-17 00:00:00,115.88,116.03,115.68,115.85
2019-07-17 01:00:00,115.41,115.88,115.25,115.88
2019-07-17 02:00:00,115.49,115.64,115.32,115.41
2019-07-17 03:00:00,115.38,115.57,115.34,115.51
2019-07-17 04:00:00,115.33,115.46,115.24,115.38
2019-07-17 05:00:00,115.37,115.46,115.25,115.33
2019-07-17 06:00:00,114.63,115.46,114.47,115.37
2019-07-17 07:00:00,115.2,115.26,114.35,114.63
2019-07-17 08:00:00,115.63,115.73,115.01,115.2
2019-07-17 09:00:00,115.57,115.81,115.28,115.64
2019-07-17 10:00:00,116.05,116.28,115.43,115.57
2019-07-17 11:00:00,115.98,116.43,115.95,116.05
2019-07-17 12:00:00,115.93,116.34,115.79,115.99
2019-07-17 13:00:00,116.67,116.73,115.63,115.93
2019-07-17 14:00:00,115.96,116.69,115.96,116.66
2019-07-17 15:00:00,115.19,116.13,115.03,115.95
2019-07-17 16:00:00,115.73,115.8,115.06,115.19
2019-07-17 17:00:00,115.29,115.87,115.2,115.72
2019-07-17 18:00:00,115.1,115.55,115.04,115.3
2019-07-17 19:00:00,115.12,115.25,114.88,115.11
2019-07-17 20:00:00,115.36,115.68,115.07,115.13
2019-07-17 21:00:00,114.98,115.56,114.92,115.3
2019-07-17 22:00:00,115.38,115.48,114.98,114.98
2019-07-17 23:00:00,115.4,115.49,115.22,115.39
2019-07-18 00:00:00,114.83,115.51,114.78,115.4
2019-07-18 01:00:00,114.72,114.84,114.35,114.81
2019-07-18 02:00:00,114.69,114.8,114.49,114.72
2019-07-18 03:00:00,114.49,114.69,114.33,114.69
2019-07-18 04:00:00,114.67,114.7,114.5,114.51
2019-07-18 05:00:00,114.61,114.7,114.41,114.67
2019-07-18 06:00:00,114.67,114.99,114.57,114.61
2019-07-18 07:00:00,115.66,115.89,114.49,114.7
2019-07-18 08:00:00,115.82,116.18,115.53,115.65
2019-07-18 09:00:00,115.71,116.06,115.64,115.82
2019-07-18 10:00:00,116.36,116.52,115.69,115.7
2019-07-18 11:00:00,116.67,116.7,116.33,116.35
2019-07-18 12:00:00,116.57,116.7,116.28,116.68
2019-07-18 13:00:00,117.21,117.22,116.53,116.57
2019-07-18 14:00:00,117.43,117.53,116.91,117.21
2019-07-18 15:00:00,117.57,117.62,117.16,117.44
2019-07-18 16:00:00,117.18,117.58,117.16,117.57
2019-07-18 17:00:00,117.11,117.29,117.06,117.18
2019-07-18 18:00:00,116.86,117.19,116.58,117.12
