,close,max,min,open
2019-05-12 21:00:00,116.41,116.56,116.32,116.36
2019-05-12 22:00:00,116.4,116.49,116.36,116.41
2019-05-12 23:00:00,116.41,116.51,116.36,116.39
2019-05-13 00:00:00,116.27,116.46,116.25,116.4
2019-05-13 01:00:00,116.36,116.39,116.27,116.27
2019-05-13 02:00:00,116.29,116.38,116.18,116.37
2019-05-13 03:00:00,116.21,116.35,116.21,116.29
2019-05-13 04:00:00,116.21,116.23,116.16,116.21
2019-05-13 05:00:00,116.21,116.23,116.11,116.21
2019-05-13 06:00:00,116.24,116.44,116.21,116.21
2019-05-13 07:00:00,116.21,116.43,115.99,116.23
2019-05-13 08:00:00,116.21,116.41,116.1,116.19
2019-05-13 09:00:00,116.5,116.6,116.17,116.21
2019-05-13 10:00:00,116.37,116.54,116.35,116.49
2019-05-13 11:00:00,116.27,116.46,116.16,116.37
2019-05-13 12:00:00,117.11,117.31,116.26,116.27
2019-05-13 13:00:00,117.0,117.36,116.81,117.1
2019-05-13 14:00:00,116.47,117.16,116.43,116.99
2019-05-13 15:00:00,116.02,116.54,115.86,116.48
2019-05-13 16:00:00,116.15,116.29,115.9,116.02
2019-05-13 17:00:00,116.04,116.29,115.97,116.16
2019-05-13 18:00:00,116.0,116.15,115.88,116.05
2019-05-13 19:00:00,115.96,116.14,115.94,116.0
2019-05-13 20:00:00,115.56,115.97,115.56,115.96
2019-05-13 21:00:00,115.68,115.72,115.45,115.51
2019-05-13 22:00:00,115.93,115.96,115.61,115.69
2019-05-13 23:00:00,115.97,115.98,115.82,115.94
2019-05-14 00:00:00,116.15,116.17,115.96,115.98
2019-05-14 01:00:00,116.0,116.17,115.94,116.16
2019-05-14 02:00:00,116.0,116.12,115.91,116.0
2019-05-14 03:00:00,116.28,116.35,115.99,116.0
2019-05-14 04:00:00,116.3,116.35,116.24,116.29
2019-05-14 05:00:00,116.21,116.36,116.19,116.29
2019-05-14 06:00:00,116.02,116.38,115.98,116.21
2019-05-14 07:00:00,116.24,116.4,115.86,116.01
2019-05-14 08:00:00,116.41,116.48,116.17,116.24
2019-05-14 09:00:00,116.18,116.44,116.06,116.4
2019-05-14 10:00:00,115.86,116.21,115.68,116.17
2019-05-14 11:00:00,115.9,116.25,115.83,115.85
2019-05-14 12:00:00,115.24,116.0,114.76,115.91
2019-05-14 13:00:00,115.12,115.49,114.96,115.23
2019-05-14 14:00:00,115.12,115.26,114.82,115.11
2019-05-14 15:00:00,114.94,115.21,114.76,115.11
2019-05-14 16:00:00,115.04,115.26,114.89,114.92
2019-05-14 17:00:00,115.12,115.25,114.94,115.04
2019-05-14 18:00:00,114.88,115.36,114.88,115.11
2019-05-14 19:00:00,114.93,115.04,114.89,114.89
2019-05-14 20:00:00,114.74,114.98,114.65,114.92
2019-05-14 21:00:00,114.84,114.87,114.68,114.68
2019-05-14 22:00:00,114.86,114.92,114.84,114.87
2019-05-14 23:00:00,114.68,114.88,114.66,114.84
2019-05-15 00:00:00,114.69,114.7,114.56,114.67
2019-05-15 01:00:00,114.85,114.91,114.65,114.68
2019-05-15 02:00:00,114.85,114.86,114.67,114.86
2019-05-15 03:00:00,114.92,114.94,114.79,114.86
2019-05-15 04:00:00,114.97,114.98,114.77,114.93
2019-05-15 05:00:00,115.07,115.14,114.93,114.97
2019-05-15 06:00:00,114.86,115.08,114.73,115.08
2019-05-15 07:00:00,115.26,115.29,114.46,114.86
2019-05-15 08:00:00,115.31,115.47,115.15,115.26
2019-05-15 09:00:00,114.52,115.32,114.49,115.3
2019-05-15 10:00:00,114.36,114.79,114.35,114.52
2019-05-15 11:00:00,114.36,114.79,114.35,114.52
2019-05-15 12:00:00,114.36,114.79,114.35,114.52
2019-05-15 13:00:00,114.36,114.39,114.33,114.37
2019-05-15 14:00:00,114.29,114.37,114.03,114.35
2019-05-15 15:00:00,114.3,114.43,114.27,114.29
2019-05-15 16:00:00,114.32,114.4,114.24,114.3
2019-05-15 17:00:00,114.3,114.38,114.3,114.32
2019-05-15 18:00:00,114.37,114.39,114.3,114.3
2019-05-15 19:00:00,114.39,114.47,114.37,114.37
2019-05-15 20:00:00,114.42,114.43,114.37,114.38
2019-05-15 21:00:00,114.39,114.46,114.34,114.46
2019-05-15 22:00:00,114.36,114.4,114.31,114.37
2019-05-15 23:00:00,114.34,114.4,114.32,114.36
2019-05-16 00:00:00,114.35,114.38,114.32,114.35
2019-05-16 01:00:00,114.33,114.43,114.3,114.35
2019-05-16 02:00:00,114.33,114.37,114.3,114.32
2019-05-16 03:00:00,114.32,114.35,114.31,114.33
2019-05-16 04:00:00,114.3,114.33,114.3,114.32
2019-05-16 05:00:00,114.3,114.34,114.29,114.3
2019-05-16 06:00:00,114.35,114.39,114.28,114.31
2019-05-16 07:00:00,114.32,114.4,114.26,114.35
2019-05-16 08:00:00,114.12,114.35,114.12,114.32
2019-05-16 09:00:00,114.27,114.33,114.06,114.13
2019-05-16 10:00:00,114.37,114.37,114.26,114.27
2019-05-16 11:00:00,114.39,114.5,114.3,114.37
2019-05-16 12:00:00,114.67,114.68,114.37,114.39
2019-05-16 13:00:00,114.69,114.74,114.58,114.67
2019-05-16 14:00:00,114.82,114.92,114.68,114.69
2019-05-16 15:00:00,114.83,114.92,114.79,114.83
2019-05-16 16:00:00,114.84,114.87,114.76,114.83
2019-05-16 17:00:00,114.81,114.88,114.79,114.84
2019-05-16 18:00:00,114.95,114.95,114.8,114.81
2019-05-16 19:00:00,114.84,115.02,114.84,114.96
2019-05-16 20:00:00,114.85,114.92,114.84,114.85
2019-05-16 21:00:00,114.9,114.92,114.82,114.87
2019-05-16 22:00:00,114.91,114.94,114.87,114.89
2019-05-16 23:00:00,114.92,114.93,114.89,114.91
2019-05-17 00:00:00,114.89,114.97,114.87,114.92
2019-05-17 01:00:00,114.82,114.89,114.82,114.89
2019-05-17 02:00:00,114.84,114.88,114.82,114.82
2019-05-17 03:00:00,114.85,114.87,114.81,114.84
2019-05-17 04:00:00,114.82,114.87,114.82,114.85
2019-05-17 05:00:00,114.92,114.96,114.81,114.82
2019-05-17 06:00:00,114.8,114.95,114.76,114.92
2019-05-17 07:00:00,114.85,114.89,114.74,114.8
2019-05-17 08:00:00,114.9,114.98,114.83,114.85
2019-05-17 09:00:00,115.08,115.19,114.86,114.9
2019-05-17 10:00:00,114.99,115.08,114.88,115.08
2019-05-17 11:00:00,115.01,115.18,114.96,114.99
2019-05-17 12:00:00,114.79,115.01,114.73,115.01
2019-05-17 13:00:00,114.82,114.9,114.77,114.79
2019-05-17 14:00:00,115.16,115.26,114.84,114.84
2019-05-17 15:00:00,115.05,115.21,115.01,115.16
2019-05-17 16:00:00,115.06,115.07,114.95,115.05
2019-05-17 17:00:00,115.05,115.13,115.0,115.06
2019-05-17 18:00:00,115.18,115.18,115.05,115.05
2019-05-17 19:00:00,115.14,115.18,115.0,115.18
2019-05-17 20:00:00,115.19,115.26,115.13,115.15
2019-05-19 21:00:00,115.11,115.21,114.99,115.21
2019-05-19 22:00:00,115.1,115.14,115.03,115.13
2019-05-19 23:00:00,115.06,115.12,115.06,115.11
2019-05-20 00:00:00,115.08,115.19,115.05,115.06
2019-05-20 01:00:00,115.13,115.15,115.0,115.08
2019-05-20 02:00:00,115.2,115.23,115.12,115.12
2019-05-20 03:00:00,115.31,115.32,115.2,115.21
2019-05-20 04:00:00,115.31,115.33,115.28,115.31
2019-05-20 05:00:00,115.33,115.39,115.31,115.32
2019-05-20 06:00:00,115.29,115.39,115.26,115.34
2019-05-20 07:00:00,115.11,115.31,115.1,115.29
2019-05-20 08:00:00,115.28,115.31,115.03,115.11
2019-05-20 09:00:00,115.22,115.3,115.06,115.28
2019-05-20 10:00:00,115.3,115.32,115.17,115.22
2019-05-20 11:00:00,115.17,115.32,115.11,115.3
2019-05-20 12:00:00,115.1,115.18,115.01,115.16
2019-05-20 13:00:00,115.05,115.26,114.97,115.09
2019-05-20 14:00:00,115.06,115.11,114.98,115.05
2019-05-20 15:00:00,114.96,115.08,114.84,115.05
2019-05-20 16:00:00,114.99,115.07,114.95,114.95
2019-05-20 17:00:00,115.01,115.05,114.94,114.99
2019-05-20 18:00:00,115.0,115.06,114.97,115.01
2019-05-20 19:00:00,115.06,115.06,114.99,115.0
2019-05-20 20:00:00,115.04,115.07,115.02,115.06
2019-05-20 21:00:00,115.0,115.05,114.96,115.05
2019-05-20 22:00:00,115.0,115.01,114.97,115.01
2019-05-20 23:00:00,115.03,115.03,114.91,115.0
2019-05-21 00:00:00,115.08,115.09,115.01,115.02
2019-05-21 01:00:00,115.04,115.12,115.03,115.08
2019-05-21 02:00:00,115.09,115.11,115.03,115.03
2019-05-21 03:00:00,115.11,115.13,115.04,115.08
2019-05-21 04:00:00,115.19,115.19,115.11,115.11
2019-05-21 05:00:00,115.35,115.37,115.19,115.19
2019-05-21 06:00:00,115.43,115.54,115.32,115.35
2019-05-21 07:00:00,115.29,115.49,115.24,115.43
2019-05-21 08:00:00,115.42,115.6,115.29,115.29
