,close,max,min,open
2018-12-19 22:00:00,121.61,121.61,121.61,121.61
2018-12-19 23:00:00,121.61,121.61,121.61,121.61
2018-12-20 00:00:00,121.61,121.61,121.61,121.61
2018-12-20 01:00:00,121.61,121.61,121.61,121.61
2018-12-20 02:00:00,121.61,121.61,121.61,121.61
2018-12-20 03:00:00,121.61,121.61,121.61,121.61
2018-12-20 04:00:00,121.61,121.61,121.61,121.61
2018-12-20 05:00:00,121.61,121.61,121.61,121.61
2018-12-20 06:00:00,121.61,121.61,121.61,121.61
2018-12-20 07:00:00,121.61,121.61,121.61,121.61
2018-12-20 08:00:00,121.61,121.61,121.61,121.61
2018-12-20 09:00:00,121.61,121.61,121.61,121.61
2018-12-20 10:00:00,121.61,121.61,121.61,121.61
2018-12-20 11:00:00,121.61,121.61,121.61,121.61
2018-12-20 12:00:00,121.61,121.61,121.61,121.61
2018-12-20 13:00:00,121.61,121.61,121.61,121.61
2018-12-20 14:00:00,121.61,121.61,121.61,121.61
2018-12-20 15:00:00,121.61,121.61,121.61,121.61
2018-12-20 16:00:00,121.61,121.61,121.61,121.61
2018-12-20 17:00:00,121.61,121.61,121.61,121.61
2018-12-20 18:00:00,121.61,121.61,121.61,121.61
2018-12-20 19:00:00,121.61,121.61,121.61,121.61
2018-12-20 20:00:00,121.61,121.61,121.61,121.61
2018-12-20 21:00:00,121.61,121.61,121.61,121.61
2018-12-20 22:00:00,121.61,121.61,121.61,121.61
2018-12-20 23:00:00,121.61,121.61,121.61,121.61
2018-12-21 00:00:00,121.61,121.61,121.61,121.61
2018-12-21 01:00:00,121.61,121.61,121.61,121.61
2018-12-21 02:00:00,121.6,121.64,121.52,121.59
2018-12-21 03:00:00,121.58,121.64,121.52,121.61
2018-12-21 04:00:00,121.45,121.57,121.42,121.57
2018-12-21 05:00:00,121.45,121.51,121.38,121.45
2018-12-21 06:00:00,121.45,121.51,121.38,121.45
2018-12-21 07:00:00,121.71,121.74,121.46,121.46
2018-12-21 08:00:00,121.43,121.87,121.43,121.71
2018-12-21 09:00:00,121.21,121.47,121.13,121.43
2018-12-21 10:00:00,121.24,121.29,121.04,121.21
2018-12-21 11:00:00,121.55,121.63,121.05,121.24
2018-12-21 12:00:00,121.5,121.57,121.4,121.55
2018-12-21 13:00:00,121.63,121.79,121.42,121.51
2018-12-21 14:00:00,121.28,121.68,121.27,121.63
2018-12-21 15:00:00,121.42,121.47,121.14,121.28
2018-12-21 16:00:00,121.23,121.52,121.14,121.42
2018-12-21 17:00:00,121.15,121.26,121.12,121.23
2018-12-21 18:00:00,120.93,121.21,120.76,121.15
2018-12-21 19:00:00,120.95,121.08,120.87,120.93
2018-12-21 20:00:00,120.95,121.01,120.87,120.95
2018-12-21 21:00:00,120.94,121.01,120.92,120.96
