,close,max,min,open
2018-12-19 01:00:00,111.1,111.21,111.05,111.15
2018-12-19 02:00:00,111.11,111.24,111.09,111.1
2018-12-19 03:00:00,111.21,111.22,111.0,111.11
2018-12-19 04:00:00,111.16,111.27,111.01,111.21
2018-12-19 05:00:00,111.11,111.25,111.07,111.16
2018-12-19 06:00:00,111.18,111.19,111.06,111.11
2018-12-19 07:00:00,111.56,111.57,111.16,111.18
2018-12-19 08:00:00,111.56,111.57,111.16,111.18
2018-12-19 09:00:00,111.56,111.57,111.16,111.18
2018-12-19 10:00:00,111.56,111.57,111.16,111.18
2018-12-19 11:00:00,111.56,111.57,111.16,111.18
2018-12-19 12:00:00,111.56,111.57,111.16,111.18
2018-12-19 13:00:00,111.56,111.57,111.16,111.18
2018-12-19 14:00:00,111.56,111.57,111.16,111.18
2018-12-19 15:00:00,111.56,111.57,111.16,111.18
2018-12-19 16:00:00,111.56,111.57,111.16,111.18
2018-12-19 17:00:00,111.56,111.57,111.16,111.18
2018-12-19 18:00:00,111.56,111.57,111.16,111.18
2018-12-19 19:00:00,111.56,111.57,111.16,111.18
2018-12-19 20:00:00,111.56,111.57,111.16,111.18
2018-12-19 21:00:00,111.56,111.57,111.16,111.18
2018-12-19 22:00:00,111.56,111.56,111.56,111.56
2018-12-19 23:00:00,111.4,111.56,111.34,111.51
2018-12-20 00:00:00,111.51,111.59,111.4,111.41
2018-12-20 01:00:00,111.66,111.65,111.45,111.49
2018-12-23 22:00:00,112.86,113.09,112.47,112.98
2018-12-23 23:00:00,113.2,113.32,112.88,112.89
2018-12-24 00:00:00,113.15,113.24,112.97,113.2
2018-12-24 01:00:00,112.95,113.15,112.91,113.15
2018-12-24 02:00:00,112.95,113.04,112.83,112.95
2018-12-26 22:00:00,113.36,113.36,113.36,113.36
2018-12-26 23:00:00,113.36,113.36,113.36,113.36
2018-12-27 00:00:00,113.36,113.36,113.36,113.36
2018-12-27 01:00:00,113.36,113.36,113.36,113.36
2018-12-27 02:00:00,113.36,113.36,113.36,113.36
2018-12-27 03:00:00,113.36,113.36,113.36,113.36
2018-12-27 04:00:00,113.36,113.36,113.36,113.36
2018-12-27 05:00:00,113.36,113.36,113.36,113.36
2018-12-27 06:00:00,113.36,113.36,113.36,113.36
2018-12-27 07:00:00,113.36,113.36,113.36,113.36
2018-12-27 08:00:00,113.36,113.36,113.36,113.36
2018-12-27 09:00:00,113.36,113.36,113.36,113.36
2018-12-27 10:00:00,113.36,113.36,113.36,113.36
2018-12-27 11:00:00,113.36,113.36,113.36,113.36
2018-12-27 12:00:00,113.36,113.36,113.36,113.36
2018-12-27 13:00:00,113.36,113.36,113.36,113.36
2018-12-27 14:00:00,113.36,113.36,113.36,113.36
2018-12-27 15:00:00,113.36,113.36,113.36,113.36
2018-12-27 16:00:00,113.36,113.36,113.36,113.36
2018-12-27 17:00:00,113.36,113.36,113.36,113.36
2018-12-27 18:00:00,113.36,113.36,113.36,113.36
2018-12-27 19:00:00,113.36,113.36,113.36,113.36
2018-12-27 20:00:00,113.36,113.36,113.36,113.36
2018-12-27 21:00:00,113.36,113.36,113.36,113.36
2018-12-27 22:00:00,113.36,113.36,113.36,113.36
2019-01-02 22:00:00,113.36,113.36,113.36,113.36
2019-01-02 23:00:00,113.36,113.36,113.36,113.36
2019-01-03 00:00:00,113.36,113.36,113.36,113.36
2019-01-03 01:00:00,113.36,113.36,113.36,113.36
2019-01-03 02:00:00,113.36,113.36,113.36,113.36
2019-01-03 03:00:00,113.36,113.36,113.36,113.36
2019-01-03 04:00:00,113.36,113.36,113.36,113.36
2019-01-03 05:00:00,113.36,113.36,113.36,113.36
2019-01-03 06:00:00,113.36,113.36,113.36,113.36
2019-01-03 07:00:00,113.36,113.36,113.36,113.36
2019-01-03 08:00:00,113.36,113.36,113.36,113.36
