,close,max,min,open
2018-12-19 01:00:00,154.69,154.81,154.42,154.42
2018-12-19 02:00:00,155.01,155.02,154.62,154.69
2018-12-19 03:00:00,155.08,155.15,154.96,155.0
2018-12-19 04:00:00,155.16,155.21,155.01,155.02
2018-12-19 05:00:00,155.23,155.28,155.02,155.11
2018-12-19 06:00:00,155.05,155.3,155.04,155.18
2018-12-19 07:00:00,155.11,155.37,154.98,155.05
2018-12-19 08:00:00,155.27,155.64,155.04,155.1
2018-12-19 09:00:00,155.2,155.54,155.14,155.27
2018-12-19 10:00:00,154.97,155.46,154.83,155.19
2018-12-19 11:00:00,154.69,155.02,154.68,154.91
2018-12-19 12:00:00,154.73,154.92,154.55,154.71
2018-12-19 13:00:00,154.81,155.05,154.55,154.64
2018-12-19 14:00:00,156.23,156.63,154.74,154.85
2018-12-19 15:00:00,155.94,156.83,155.94,156.32
2018-12-19 16:00:00,156.27,156.44,155.94,155.96
2018-12-19 17:00:00,155.89,156.46,155.89,156.27
2018-12-19 18:00:00,155.79,156.23,155.49,155.89
2018-12-19 19:00:00,154.09,155.79,153.72,155.79
2018-12-19 20:00:00,153.87,154.28,153.42,154.09
2018-12-19 21:00:00,153.98,154.2,153.75,153.8
2018-12-19 22:00:00,153.94,153.95,153.93,153.94
2018-12-19 23:00:00,154.46,154.56,153.32,153.32
2018-12-20 00:00:00,154.49,154.55,154.06,154.4
2018-12-20 01:00:00,154.13,154.74,153.97,154.56
2018-12-20 02:00:00,153.9,154.24,153.78,154.18
2018-12-20 03:00:00,153.64,153.96,153.57,153.96
2018-12-20 04:00:00,153.77,153.96,153.61,153.7
2018-12-20 05:00:00,153.84,153.96,153.68,153.77
2018-12-20 06:00:00,153.84,153.96,153.68,153.77
2018-12-20 07:00:00,154.46,154.7,154.1,154.22
2018-12-20 08:00:00,154.64,154.86,154.31,154.45
2018-12-20 09:00:00,156.26,156.3,154.51,154.63
2018-12-20 10:00:00,156.05,156.42,155.64,156.28
