,close,max,min,open
2019-04-07 21:00:00,101.2,101.21,101.18,101.2
2019-04-07 22:00:00,101.36,101.37,101.19,101.2
2019-04-07 23:00:00,101.26,101.36,101.23,101.36
2019-04-08 00:00:00,101.45,101.45,101.25,101.25
2019-04-08 01:00:00,101.61,101.64,101.4,101.46
2019-04-08 02:00:00,101.6,101.65,101.57,101.61
2019-04-08 03:00:00,101.54,101.63,101.54,101.6
2019-04-08 04:00:00,101.51,101.61,101.51,101.54
2019-04-08 05:00:00,101.52,101.55,101.49,101.51
2019-04-08 06:00:00,101.56,101.63,101.47,101.52
2019-04-08 07:00:00,101.58,101.6,101.5,101.56
2019-04-08 08:00:00,101.6,101.61,101.51,101.58
2019-04-08 09:00:00,101.54,101.63,101.52,101.6
2019-04-08 10:00:00,101.55,101.58,101.46,101.52
2019-04-08 11:00:00,101.68,101.69,101.52,101.56
2019-04-08 12:00:00,102.18,102.21,101.63,101.67
2019-04-08 13:00:00,101.93,102.19,101.92,102.18
2019-04-08 14:00:00,101.88,101.98,101.86,101.93
2019-04-08 15:00:00,101.78,101.89,101.67,101.88
2019-04-08 16:00:00,101.85,101.89,101.78,101.78
2019-04-08 17:00:00,101.86,101.87,101.81,101.85
2019-04-08 18:00:00,101.83,101.89,101.81,101.86
2019-04-08 19:00:00,101.87,101.88,101.81,101.83
2019-04-08 20:00:00,101.78,101.89,101.78,101.87
2019-04-08 21:00:00,101.78,101.79,101.78,101.78
2019-04-08 22:00:00,101.88,101.91,101.6,101.6
2019-04-08 23:00:00,101.85,101.9,101.84,101.88
2019-04-09 00:00:00,101.93,101.94,101.75,101.85
2019-04-09 01:00:00,101.9,102.01,101.87,101.93
2019-04-09 02:00:00,101.94,101.96,101.83,101.89
2019-04-09 03:00:00,101.97,102.01,101.92,101.94
2019-04-09 04:00:00,101.95,101.99,101.92,101.98
2019-04-09 05:00:00,101.9,101.99,101.89,101.95
2019-04-09 06:00:00,101.85,101.92,101.77,101.89
2019-04-09 07:00:00,101.99,102.06,101.76,101.85
2019-04-09 08:00:00,102.07,102.14,101.98,101.99
2019-04-09 09:00:00,102.11,102.14,102.02,102.06
2019-04-09 10:00:00,102.09,102.2,102.05,102.11
2019-04-09 11:00:00,102.07,102.16,101.98,102.09
2019-04-09 12:00:00,102.29,102.43,102.06,102.07
2019-04-09 13:00:00,102.21,102.38,102.17,102.29
2019-04-09 14:00:00,102.18,102.3,102.12,102.21
2019-04-09 15:00:00,102.3,102.3,102.18,102.18
2019-04-09 16:00:00,102.16,102.32,102.14,102.3
2019-04-09 17:00:00,102.09,102.21,102.07,102.16
2019-04-09 18:00:00,102.09,102.18,102.08,102.09
2019-04-09 19:00:00,102.07,102.1,102.03,102.09
2019-04-09 20:00:00,101.89,102.09,101.89,102.07
2019-04-09 21:00:00,101.88,101.89,101.87,101.88
2019-04-09 22:00:00,102.07,102.1,101.89,101.89
2019-04-09 23:00:00,102.09,102.13,102.04,102.09
2019-04-10 00:00:00,102.03,102.1,102.02,102.09
2019-04-10 01:00:00,101.94,102.03,101.92,102.03
2019-04-10 02:00:00,101.87,101.96,101.8,101.94
2019-04-10 03:00:00,101.93,101.94,101.83,101.87
2019-04-10 04:00:00,101.94,101.97,101.9,101.93
2019-04-10 05:00:00,101.96,101.98,101.9,101.94
2019-04-10 06:00:00,102.1,102.12,101.93,101.94
2019-04-10 07:00:00,101.99,102.12,101.94,102.1
2019-04-10 08:00:00,102.07,102.1,101.94,101.99
2019-04-10 09:00:00,102.08,102.12,102.04,102.07
2019-04-10 10:00:00,102.03,102.12,102.01,102.09
2019-04-10 11:00:00,102.1,102.16,101.98,102.02
2019-04-10 12:00:00,101.96,102.11,101.81,102.1
2019-04-10 13:00:00,102.25,102.31,101.95,101.96
2019-04-10 14:00:00,102.33,102.35,102.19,102.24
2019-04-10 15:00:00,102.29,102.38,102.28,102.33
2019-04-10 16:00:00,102.38,102.41,102.26,102.29
2019-04-10 17:00:00,102.32,102.44,102.3,102.37
2019-04-10 18:00:00,102.17,102.33,102.16,102.32
2019-04-10 19:00:00,102.18,102.24,102.15,102.17
2019-04-10 20:00:00,102.05,102.19,102.03,102.18
2019-04-10 21:00:00,102.05,102.07,102.02,102.03
2019-04-10 22:00:00,102.11,102.16,102.04,102.05
2019-04-10 23:00:00,102.12,102.2,102.1,102.11
2019-04-11 00:00:00,102.04,102.12,101.96,102.11
2019-04-11 01:00:00,102.01,102.1,101.99,102.04
2019-04-11 02:00:00,101.99,102.01,101.95,102.01
2019-04-11 03:00:00,101.96,101.99,101.94,101.99
2019-04-11 04:00:00,102.01,102.01,101.92,101.96
2019-04-11 05:00:00,102.04,102.07,101.98,102.01
2019-04-11 06:00:00,101.94,102.1,101.92,102.04
2019-04-11 07:00:00,101.76,101.95,101.73,101.94
2019-04-11 08:00:00,101.73,101.77,101.69,101.76
2019-04-11 09:00:00,101.74,101.75,101.65,101.73
2019-04-11 10:00:00,101.69,101.77,101.66,101.75
2019-04-11 11:00:00,101.5,101.71,101.46,101.69
2019-04-11 12:00:00,101.16,101.51,101.14,101.49
2019-04-11 13:00:00,101.44,101.55,101.12,101.16
2019-04-11 14:00:00,101.28,101.5,101.26,101.45
2019-04-11 15:00:00,101.21,101.29,101.13,101.28
2019-04-11 16:00:00,101.01,101.21,100.97,101.21
2019-04-11 17:00:00,100.89,101.05,100.8,101.01
2019-04-11 18:00:00,100.88,100.95,100.87,100.89
2019-04-11 19:00:00,100.96,101.01,100.88,100.88
2019-04-11 20:00:00,100.81,101.07,100.81,100.96
2019-04-11 21:00:00,100.78,100.81,100.77,100.81
2019-04-11 22:00:00,101.01,101.08,100.79,100.79
2019-04-11 23:00:00,101.02,101.02,100.99,101.01
2019-04-12 00:00:00,100.97,101.08,100.91,101.02
