,close,max,min,open
2018-12-19 01:00:00,127.05,127.52,126.95,127.45
2018-12-19 02:00:00,127.0,127.33,126.99,127.07
2018-12-19 03:00:00,126.94,127.16,126.87,127.0
2018-12-19 04:00:00,126.95,127.3,126.87,126.94
2018-12-19 05:00:00,127.05,127.08,126.88,126.95
2018-12-19 06:00:00,127.26,127.34,126.96,127.06
2018-12-19 07:00:00,127.01,127.61,126.95,127.26
2018-12-19 08:00:00,126.92,127.08,126.66,127.01
2018-12-19 09:00:00,126.79,127.22,126.73,126.93
2018-12-19 10:00:00,127.51,127.58,126.67,126.82
2018-12-19 11:00:00,127.8,127.83,127.31,127.51
2018-12-19 12:00:00,127.81,127.93,127.52,127.8
2018-12-19 13:00:00,127.32,127.95,127.22,127.81
2018-12-19 14:00:00,128.53,128.6,127.31,127.32
2018-12-19 15:00:00,129.17,129.18,128.41,128.53
2018-12-19 16:00:00,128.93,129.22,128.68,129.17
2018-12-19 17:00:00,128.94,129.0,128.64,128.93
2018-12-19 18:00:00,128.35,129.16,128.35,128.95
2018-12-19 19:00:00,128.41,129.12,128.03,128.33
2018-12-19 20:00:00,128.87,129.22,128.42,128.45
2018-12-19 21:00:00,129.86,130.48,128.5,128.86
2018-12-19 22:00:00,129.58,129.97,129.38,129.71
2018-12-19 23:00:00,130.22,130.26,129.57,129.57
2018-12-20 00:00:00,129.85,130.33,129.74,130.23
2018-12-20 01:00:00,130.4,130.42,129.58,129.85
2018-12-20 02:00:00,130.8,130.93,130.34,130.38
2018-12-20 03:00:00,130.9,131.1,130.79,130.8
2018-12-20 04:00:00,131.19,131.35,130.9,130.9
2018-12-20 05:00:00,131.71,131.77,131.18,131.19
2018-12-25 22:00:00,128.06,128.69,127.77,128.46
2018-12-25 23:00:00,128.92,128.92,128.06,128.06
2018-12-26 00:00:00,129.11,129.2,128.84,128.91
2018-12-26 01:00:00,128.91,129.11,128.89,129.11
2018-12-26 02:00:00,128.51,128.9,128.4,128.89
2018-12-26 03:00:00,128.35,128.52,128.29,128.51
2018-12-26 04:00:00,128.34,128.4,128.29,128.35
2018-12-26 05:00:00,128.43,128.44,128.28,128.35
2018-12-26 06:00:00,128.52,128.64,128.38,128.43
2018-12-26 07:00:00,128.61,128.63,128.49,128.52
2018-12-26 08:00:00,128.77,128.78,128.54,128.6
2018-12-26 09:00:00,128.77,128.86,128.73,128.77
2018-12-26 10:00:00,128.67,128.81,128.65,128.78
2018-12-26 11:00:00,128.89,128.9,128.66,128.67
2018-12-26 12:00:00,128.81,128.99,128.78,128.9
2018-12-26 13:00:00,128.65,128.86,128.64,128.81
2018-12-26 14:00:00,129.0,129.03,128.38,128.65
2018-12-26 15:00:00,128.6,129.17,128.55,129.0
2018-12-26 16:00:00,129.29,129.37,128.58,128.6
2018-12-26 17:00:00,128.92,129.45,128.92,129.28
2018-12-26 18:00:00,129.01,129.12,128.87,128.91
2018-12-26 19:00:00,129.36,129.47,128.98,129.02
2018-12-26 20:00:00,129.63,129.66,129.14,129.34
2018-12-26 21:00:00,129.08,129.65,129.08,129.63
2018-12-26 22:00:00,129.22,129.33,128.82,128.97
2018-12-26 23:00:00,129.25,129.48,128.92,129.22
2018-12-27 00:00:00,129.12,129.29,128.97,129.25
2018-12-27 01:00:00,128.99,129.14,128.91,129.12
2018-12-27 02:00:00,129.02,129.17,128.97,128.97
2018-12-27 03:00:00,129.06,129.08,128.99,129.02
2018-12-27 04:00:00,129.05,129.15,128.98,129.06
2018-12-27 05:00:00,129.21,129.23,129.0,129.05
2019-01-01 22:00:00,127.67,127.7,127.19,127.37
2019-01-01 23:00:00,128.03,128.03,127.39,127.64
2019-01-02 00:00:00,128.04,128.06,127.8,128.03
2019-01-02 01:00:00,127.79,128.12,127.78,128.03
2019-01-02 02:00:00,127.46,127.83,127.37,127.79
2019-01-02 03:00:00,127.53,127.54,127.39,127.46
2019-01-02 04:00:00,127.44,127.55,127.29,127.53
2019-01-02 05:00:00,128.49,128.74,127.37,127.44
2019-01-02 06:00:00,128.34,128.8,128.24,128.49
2019-01-02 07:00:00,128.92,129.16,128.32,128.34
2019-01-02 08:00:00,127.64,129.01,127.56,128.92
2019-01-02 09:00:00,127.48,127.66,127.34,127.66
2019-01-02 10:00:00,127.39,127.68,127.34,127.48
2019-01-02 11:00:00,127.34,127.56,127.22,127.39
2019-01-02 12:00:00,127.33,127.67,127.17,127.35
2019-01-02 13:00:00,127.01,127.39,126.63,127.33
2019-01-02 14:00:00,127.38,127.52,127.0,127.01
2019-01-02 15:00:00,127.91,128.62,127.31,127.38
2019-01-02 16:00:00,128.22,128.49,127.87,127.9
2019-01-02 17:00:00,128.48,128.7,128.12,128.21
2019-01-02 18:00:00,128.5,128.61,128.27,128.47
2019-01-02 19:00:00,128.5,128.58,128.26,128.5
2019-01-02 20:00:00,128.57,128.59,128.28,128.5
2019-01-02 21:00:00,128.38,128.68,128.25,128.58
2019-01-02 22:00:00,125.62,128.33,124.24,128.33
2019-01-02 23:00:00,126.64,126.88,125.62,125.66
2019-01-03 00:00:00,126.86,127.03,126.63,126.64
2019-01-03 01:00:00,126.96,126.99,126.62,126.86
2019-01-03 02:00:00,126.61,126.97,126.61,126.96
2019-01-03 03:00:00,126.58,126.71,126.56,126.61
2019-01-03 04:00:00,126.54,126.62,126.51,126.58
2019-01-03 05:00:00,126.44,126.58,126.23,126.54
2019-01-08 06:00:00,135.43,135.54,135.26,135.29
2019-01-08 07:00:00,135.17,135.58,135.17,135.43
2019-01-08 08:00:00,135.44,135.46,135.02,135.18
2019-01-08 09:00:00,135.4,135.56,135.31,135.43
2019-01-08 10:00:00,135.29,135.44,135.24,135.4
2019-01-08 11:00:00,135.28,135.5,135.18,135.3
2019-01-08 12:00:00,135.1,135.38,134.95,135.28
2019-01-08 13:00:00,134.9,135.24,134.9,135.1
