,close,max,min,open
2019-10-13 21:00:00,119.38,119.49,119.23,119.49
2019-10-13 22:00:00,119.23,119.41,119.21,119.38
2019-10-13 23:00:00,119.27,119.28,119.12,119.25
2019-10-14 00:00:00,119.05,119.41,118.95,119.27
2019-10-14 01:00:00,118.8,119.1,118.68,119.04
2019-10-14 02:00:00,118.61,118.87,118.45,118.79
2019-10-14 03:00:00,118.83,118.86,118.58,118.61
2019-10-14 04:00:00,118.91,118.95,118.81,118.83
2019-10-14 05:00:00,118.93,118.97,118.81,118.9
2019-10-14 06:00:00,118.82,118.95,118.75,118.93
2019-10-14 07:00:00,118.57,118.93,118.55,118.84
2019-10-14 08:00:00,118.4,118.58,118.35,118.57
2019-10-14 09:00:00,118.55,118.59,118.35,118.4
2019-10-14 10:00:00,118.15,118.61,118.06,118.56
2019-10-14 11:00:00,118.15,118.23,118.04,118.15
2019-10-14 12:00:00,118.2,118.33,118.1,118.16
2019-10-14 13:00:00,118.24,118.35,118.12,118.2
2019-10-14 14:00:00,118.44,118.52,118.15,118.23
2019-10-14 15:00:00,118.58,118.62,118.38,118.44
2019-10-14 16:00:00,118.78,118.8,118.54,118.58
2019-10-14 17:00:00,118.76,118.85,118.7,118.78
2019-10-14 18:00:00,118.69,118.87,118.69,118.75
2019-10-14 19:00:00,118.68,118.78,118.68,118.7
2019-10-14 20:00:00,118.7,118.86,118.66,118.7
2019-10-14 21:00:00,118.74,118.75,118.19,118.7
2019-10-14 22:00:00,118.88,118.95,118.73,118.73
2019-10-14 23:00:00,118.86,118.94,118.8,118.88
2019-10-15 00:00:00,118.81,118.86,118.64,118.86
2019-10-15 01:00:00,118.97,119.14,118.81,118.81
2019-10-15 02:00:00,118.97,119.12,118.94,118.99
2019-10-15 03:00:00,118.93,119.09,118.92,118.98
2019-10-15 04:00:00,118.72,118.93,118.71,118.93
2019-10-15 05:00:00,118.61,118.79,118.61,118.72
2019-10-15 06:00:00,118.66,118.9,118.56,118.61
2019-10-15 07:00:00,118.19,118.67,118.18,118.64
2019-10-15 08:00:00,118.32,118.32,118.16,118.2
2019-10-15 09:00:00,118.19,118.37,118.17,118.31
2019-10-15 10:00:00,117.96,118.34,117.93,118.2
2019-10-15 11:00:00,117.83,117.98,117.7,117.96
2019-10-15 12:00:00,117.77,117.92,117.59,117.82
2019-10-15 13:00:00,117.6,117.91,117.55,117.76
2019-10-15 14:00:00,118.28,118.28,117.43,117.61
2019-10-15 15:00:00,117.8,118.35,117.76,118.28
2019-10-15 16:00:00,117.68,117.81,117.61,117.79
2019-10-15 17:00:00,117.79,117.85,117.62,117.68
2019-10-15 18:00:00,117.92,117.92,117.76,117.79
2019-10-15 19:00:00,117.95,117.98,117.81,117.92
2019-10-15 20:00:00,118.06,118.23,117.88,117.95
2019-10-15 21:00:00,118.76,118.98,117.59,118.04
