,close,max,min,open
2019-08-04 21:00:00,110.4,110.46,110.37,110.38
2019-08-04 22:00:00,110.57,110.63,110.32,110.41
2019-08-04 23:00:00,110.49,110.57,110.45,110.57
2019-08-05 00:00:00,110.51,110.6,110.38,110.48
2019-08-05 01:00:00,109.94,110.68,109.9,110.5
2019-08-05 02:00:00,109.8,109.97,109.8,109.93
2019-08-05 03:00:00,109.85,109.92,109.8,109.8
2019-08-05 04:00:00,109.87,109.93,109.81,109.84
2019-08-05 05:00:00,109.85,109.92,109.81,109.87
2019-08-05 06:00:00,109.78,109.92,109.72,109.84
2019-08-05 07:00:00,109.91,109.98,109.68,109.78
2019-08-05 08:00:00,110.15,110.16,109.9,109.91
2019-08-05 09:00:00,110.21,110.39,109.97,110.14
2019-08-05 10:00:00,110.93,110.93,110.19,110.21
2019-08-05 11:00:00,111.25,111.28,110.8,110.93
2019-08-05 12:00:00,111.15,111.39,110.98,111.25
2019-08-05 13:00:00,111.19,111.39,110.92,111.15
2019-08-05 14:00:00,111.43,111.92,111.22,111.36
2019-08-05 15:00:00,111.82,111.82,111.23,111.43
2019-08-05 16:00:00,112.16,112.2,111.77,111.81
2019-08-05 17:00:00,112.04,112.18,112.03,112.16
2019-08-05 18:00:00,112.02,112.09,111.95,112.04
2019-08-05 19:00:00,111.87,112.08,111.74,112.02
2019-08-05 20:00:00,111.73,111.92,111.64,111.88
2019-08-05 21:00:00,112.02,112.05,111.53,111.71
2019-08-05 22:00:00,112.15,112.18,111.73,111.73
2019-08-05 23:00:00,112.65,112.72,112.01,112.15
2019-08-06 00:00:00,112.43,112.76,112.39,112.64
2019-08-06 01:00:00,111.72,112.43,111.68,112.43
2019-08-06 02:00:00,111.5,111.73,111.47,111.72
2019-08-06 03:00:00,111.63,111.69,111.42,111.5
2019-08-06 04:00:00,111.44,111.86,111.44,111.64
2019-08-06 05:00:00,111.44,111.86,111.44,111.64
2019-08-06 06:00:00,111.44,111.86,111.44,111.64
2019-08-06 07:00:00,111.47,111.53,111.23,111.43
2019-08-06 08:00:00,111.25,111.47,111.24,111.47
2019-08-06 09:00:00,111.29,111.34,111.2,111.25
2019-08-06 10:00:00,111.37,111.4,111.17,111.29
2019-08-06 11:00:00,111.01,111.5,110.91,111.37
2019-08-06 12:00:00,111.09,111.24,110.94,111.01
2019-08-06 13:00:00,110.89,111.28,110.89,111.09
2019-08-06 14:00:00,110.89,111.28,110.89,111.09
2019-08-06 15:00:00,111.18,111.42,110.86,110.87
2019-08-06 16:00:00,111.24,111.38,111.11,111.19
2019-08-06 17:00:00,111.06,111.29,111.06,111.24
2019-08-06 18:00:00,111.14,111.16,111.01,111.07
2019-08-06 19:00:00,111.11,111.16,111.05,111.15
2019-08-06 20:00:00,111.11,111.23,111.11,111.11
2019-08-06 21:00:00,111.15,111.19,111.1,111.1
2019-08-06 22:00:00,111.15,111.19,111.14,111.15
2019-08-06 23:00:00,111.2,111.21,111.14,111.14
2019-08-07 00:00:00,111.26,111.37,111.19,111.2
2019-08-07 01:00:00,111.32,111.4,111.21,111.26
2019-08-07 02:00:00,111.26,111.33,111.21,111.32
2019-08-07 03:00:00,111.33,111.37,111.21,111.26
2019-08-07 04:00:00,111.29,111.35,111.28,111.33
2019-08-07 05:00:00,111.22,111.3,111.18,111.29
2019-08-07 06:00:00,111.11,111.23,111.06,111.22
2019-08-07 07:00:00,110.98,111.17,110.97,111.11
2019-08-07 08:00:00,111.0,111.05,110.95,110.98
2019-08-07 09:00:00,110.93,111.0,110.93,111.0
2019-08-07 10:00:00,110.93,111.0,110.93,111.0
2019-08-07 11:00:00,110.93,111.0,110.93,111.0
2019-08-07 12:00:00,110.93,111.0,110.93,111.0
2019-08-07 13:00:00,111.01,111.07,110.86,110.91
2019-08-07 14:00:00,110.95,111.04,110.93,111.01
2019-08-07 15:00:00,110.95,111.04,110.93,111.01
2019-08-07 16:00:00,110.95,111.04,110.93,111.01
2019-08-07 17:00:00,110.95,111.04,110.93,111.01
2019-08-07 18:00:00,110.95,111.04,110.93,111.01
2019-08-07 19:00:00,110.95,111.04,110.93,111.01
2019-08-07 20:00:00,110.5,110.94,110.48,110.93
2019-08-07 21:00:00,110.51,110.51,110.51,110.51
2019-08-07 22:00:00,110.79,110.82,110.56,110.58
2019-08-07 23:00:00,110.54,110.93,110.52,110.79
2019-08-08 00:00:00,110.33,110.57,110.16,110.54
2019-08-08 01:00:00,109.71,110.44,109.68,110.33
2019-08-08 02:00:00,109.27,109.7,109.21,109.7
2019-08-08 03:00:00,109.44,109.47,109.27,109.28
2019-08-08 04:00:00,109.33,109.44,109.32,109.44
2019-08-08 05:00:00,109.35,109.45,109.28,109.33
2019-08-08 06:00:00,109.56,109.6,109.24,109.35
2019-08-08 07:00:00,109.66,109.68,109.48,109.57
2019-08-08 08:00:00,109.68,109.81,109.57,109.66
2019-08-08 09:00:00,109.7,109.72,109.6,109.68
2019-08-08 10:00:00,109.61,109.71,109.52,109.7
2019-08-08 11:00:00,109.45,109.68,109.28,109.61
2019-08-08 12:00:00,109.86,109.87,109.38,109.45
2019-08-08 13:00:00,109.65,110.0,109.46,109.85
2019-08-08 14:00:00,109.81,109.83,109.52,109.65
2019-08-08 15:00:00,109.52,109.82,109.44,109.81
2019-08-08 16:00:00,109.64,109.69,109.47,109.52
2019-08-08 17:00:00,109.27,109.74,109.27,109.64
2019-08-08 18:00:00,109.6,109.76,109.27,109.27
2019-08-08 19:00:00,109.35,109.64,109.3,109.6
2019-08-08 20:00:00,109.3,109.41,109.3,109.35
2019-08-08 21:00:00,109.3,109.3,109.3,109.3
2019-08-08 22:00:00,109.3,109.31,109.28,109.29
2019-08-08 23:00:00,109.29,109.3,109.24,109.3
2019-08-09 00:00:00,109.2,109.31,109.17,109.29
2019-08-09 01:00:00,109.18,109.24,109.13,109.19
2019-08-09 02:00:00,109.15,109.19,109.13,109.18
2019-08-09 03:00:00,109.15,109.18,109.14,109.15
2019-08-09 04:00:00,109.17,109.19,109.14,109.15
2019-08-09 05:00:00,109.16,109.17,109.1,109.17
2019-08-09 06:00:00,109.24,109.31,109.15,109.15
2019-08-09 07:00:00,109.3,109.4,109.11,109.24
2019-08-09 08:00:00,109.2,109.35,109.14,109.29
2019-08-09 09:00:00,108.83,109.23,108.73,109.19
2019-08-09 10:00:00,108.83,108.98,108.7,108.83
2019-08-09 11:00:00,109.05,109.26,108.66,108.83
2019-08-09 12:00:00,109.6,109.99,108.98,109.04
2019-08-09 13:00:00,109.89,110.12,109.58,109.61
2019-08-09 14:00:00,109.61,110.13,109.56,109.89
2019-08-09 15:00:00,109.31,109.62,109.31,109.61
2019-08-09 16:00:00,109.46,109.55,109.29,109.31
2019-08-09 17:00:00,109.56,109.57,109.44,109.46
2019-08-09 18:00:00,109.52,109.57,109.51,109.56
2019-08-09 19:00:00,109.58,109.58,109.51,109.52
2019-08-09 20:00:00,109.61,109.61,109.57,109.58
2019-08-11 21:00:00,109.6,109.63,109.56,109.61
2019-08-11 22:00:00,109.59,109.64,109.57,109.61
2019-08-11 23:00:00,109.51,109.62,109.51,109.6
2019-08-12 00:00:00,109.55,109.6,109.51,109.52
2019-08-12 01:00:00,109.39,109.55,109.34,109.55
2019-08-12 02:00:00,109.36,109.4,109.31,109.38
2019-08-12 03:00:00,109.42,109.42,109.35,109.36
2019-08-12 04:00:00,109.41,109.44,109.38,109.42
2019-08-12 05:00:00,109.32,109.46,109.31,109.41
2019-08-12 06:00:00,109.46,109.47,109.31,109.31
2019-08-12 07:00:00,109.89,109.91,109.35,109.46
2019-08-12 08:00:00,110.01,110.15,109.89,109.89
