,close,max,min,open
2018-12-19 22:00:00,125.4,125.4,125.4,125.4
2018-12-19 23:00:00,125.4,125.4,125.4,125.4
2018-12-20 00:00:00,125.4,125.4,125.4,125.4
2018-12-20 01:00:00,125.4,125.4,125.4,125.4
2018-12-20 02:00:00,125.4,125.4,125.4,125.4
2018-12-20 03:00:00,125.4,125.4,125.4,125.4
2018-12-20 04:00:00,125.4,125.4,125.4,125.4
2018-12-20 05:00:00,125.4,125.4,125.4,125.4
2018-12-20 06:00:00,125.4,125.4,125.4,125.4
2018-12-20 07:00:00,125.4,125.4,125.4,125.4
2018-12-20 08:00:00,125.4,125.4,125.4,125.4
2018-12-20 09:00:00,125.4,125.4,125.4,125.4
2018-12-20 10:00:00,125.4,125.4,125.4,125.4
2018-12-20 11:00:00,125.4,125.4,125.4,125.4
2018-12-20 12:00:00,125.4,125.4,125.4,125.4
2018-12-20 13:00:00,125.4,125.4,125.4,125.4
2018-12-20 14:00:00,125.4,125.4,125.4,125.4
2018-12-20 15:00:00,125.4,125.4,125.4,125.4
2018-12-20 16:00:00,125.4,125.4,125.4,125.4
2018-12-20 17:00:00,125.4,125.4,125.4,125.4
2018-12-20 18:00:00,125.4,125.4,125.4,125.4
2018-12-20 19:00:00,125.4,125.4,125.4,125.4
2018-12-20 20:00:00,125.4,125.4,125.4,125.4
2018-12-20 21:00:00,125.4,125.4,125.4,125.4
2018-12-20 22:00:00,125.4,125.4,125.4,125.4
2018-12-20 23:00:00,125.4,125.4,125.4,125.4
2018-12-21 00:00:00,125.4,125.4,125.4,125.4
2018-12-21 01:00:00,125.4,125.4,125.4,125.4
2018-12-21 02:00:00,125.37,125.41,125.3,125.4
2018-12-21 03:00:00,125.35,125.4,125.3,125.37
2018-12-21 04:00:00,125.24,125.34,125.22,125.34
2018-12-21 05:00:00,125.25,125.3,125.19,125.24
2018-12-21 06:00:00,125.25,125.3,125.19,125.24
2018-12-21 07:00:00,125.47,125.49,125.26,125.26
2018-12-21 08:00:00,125.23,125.6,125.23,125.47
2018-12-21 09:00:00,125.04,125.26,124.98,125.23
2018-12-21 10:00:00,125.07,125.11,124.9,125.05
2018-12-21 11:00:00,125.33,125.4,124.91,125.07
2018-12-21 12:00:00,125.29,125.34,125.2,125.33
2018-12-21 13:00:00,125.4,125.54,125.22,125.3
2018-12-21 14:00:00,125.11,125.44,125.09,125.4
2018-12-21 15:00:00,125.22,125.27,124.98,125.1
2018-12-21 16:00:00,125.06,125.31,124.98,125.22
2018-12-21 17:00:00,124.99,125.08,124.97,125.06
2018-12-21 18:00:00,124.81,125.05,124.66,124.99
2018-12-21 19:00:00,124.82,124.93,124.75,124.81
2018-12-21 20:00:00,124.83,124.87,124.76,124.82
2018-12-21 21:00:00,124.83,124.87,124.8,124.83
2018-12-23 22:00:00,124.81,124.81,124.81,124.81
2018-12-23 23:00:00,125.18,125.2,124.97,125.02
2018-12-24 00:00:00,125.36,125.43,125.18,125.18
2018-12-24 01:00:00,125.4,125.47,125.32,125.36
2018-12-24 02:00:00,125.53,125.54,125.38,125.4
2018-12-24 03:00:00,125.53,125.54,125.38,125.4
2018-12-24 04:00:00,125.53,125.54,125.38,125.4
2018-12-24 05:00:00,125.53,125.54,125.38,125.4
2018-12-24 06:00:00,125.53,125.54,125.38,125.4
2018-12-24 07:00:00,125.53,125.54,125.38,125.4
2018-12-24 08:00:00,125.53,125.54,125.38,125.4
2018-12-24 09:00:00,125.53,125.54,125.38,125.4
2018-12-24 10:00:00,125.53,125.54,125.38,125.4
2018-12-24 11:00:00,125.53,125.54,125.38,125.4
2018-12-24 12:00:00,125.49,125.53,125.36,125.52
2018-12-24 13:00:00,125.59,125.65,125.39,125.5
2018-12-24 14:00:00,125.8,125.95,125.51,125.59
2018-12-26 22:00:00,125.8,125.8,125.8,125.8
