,close,max,min,open
2018-12-19 01:00:00,124.17,124.19,124.16,124.18
2018-12-19 02:00:00,124.22,124.22,124.17,124.17
2018-12-19 03:00:00,124.22,124.22,124.21,124.22
2018-12-19 04:00:00,124.22,124.22,124.21,124.22
2018-12-19 05:00:00,124.22,124.22,124.21,124.22
2018-12-19 06:00:00,124.22,124.22,124.21,124.22
2018-12-19 07:00:00,124.22,124.22,124.21,124.22
2018-12-19 08:00:00,124.22,124.22,124.21,124.22
2018-12-19 09:00:00,124.22,124.22,124.21,124.22
2018-12-19 10:00:00,124.21,124.22,124.2,124.21
2018-12-19 11:00:00,124.22,124.23,124.21,124.21
2018-12-19 12:00:00,124.21,124.22,124.2,124.22
2018-12-19 13:00:00,124.22,124.23,124.19,124.21
2018-12-19 14:00:00,124.28,124.28,124.22,124.22
2018-12-19 15:00:00,124.28,124.28,124.22,124.22
2018-12-19 16:00:00,124.28,124.28,124.22,124.22
2018-12-19 17:00:00,124.28,124.28,124.22,124.22
2018-12-19 18:00:00,124.28,124.28,124.22,124.22
2018-12-19 19:00:00,124.28,124.28,124.22,124.22
2018-12-19 20:00:00,124.28,124.28,124.22,124.22
2018-12-19 21:00:00,124.28,124.28,124.22,124.22
2018-12-19 22:00:00,124.28,124.28,124.28,124.28
2018-12-19 23:00:00,124.28,124.28,124.28,124.28
2018-12-20 00:00:00,124.28,124.28,124.28,124.28
2018-12-20 01:00:00,124.28,124.28,124.28,124.28
2018-12-20 02:00:00,124.28,124.28,124.28,124.28
2018-12-20 03:00:00,124.28,124.28,124.28,124.28
2018-12-20 04:00:00,124.28,124.28,124.28,124.28
2018-12-20 05:00:00,124.27,124.29,124.26,124.27
2018-12-20 06:00:00,124.27,124.29,124.26,124.27
2018-12-20 07:00:00,124.33,124.33,124.29,124.29
2018-12-20 08:00:00,124.35,124.37,124.32,124.33
2018-12-20 09:00:00,124.43,124.46,124.35,124.35
2018-12-20 10:00:00,124.43,124.46,124.35,124.35
2018-12-20 11:00:00,124.43,124.46,124.35,124.35
2018-12-20 12:00:00,124.43,124.46,124.35,124.35
2018-12-20 13:00:00,124.43,124.46,124.35,124.35
2018-12-20 14:00:00,124.43,124.46,124.35,124.35
2018-12-20 15:00:00,124.43,124.46,124.35,124.35
2018-12-20 16:00:00,124.43,124.46,124.35,124.35
2018-12-20 17:00:00,124.43,124.46,124.35,124.35
2018-12-20 18:00:00,124.43,124.46,124.35,124.35
2018-12-20 19:00:00,124.43,124.46,124.35,124.35
2018-12-20 20:00:00,124.43,124.46,124.35,124.35
2018-12-20 21:00:00,124.43,124.46,124.35,124.35
2018-12-20 22:00:00,124.43,124.43,124.43,124.43
2018-12-20 23:00:00,124.43,124.43,124.43,124.43
2018-12-21 00:00:00,124.43,124.43,124.43,124.43
2018-12-21 01:00:00,124.43,124.43,124.43,124.43
2018-12-21 02:00:00,124.43,124.43,124.43,124.43
2018-12-21 03:00:00,124.43,124.43,124.43,124.43
2018-12-21 04:00:00,124.43,124.43,124.43,124.43
2018-12-21 05:00:00,124.43,124.43,124.43,124.43
2018-12-21 06:00:00,124.43,124.43,124.43,124.43
2018-12-21 07:00:00,124.43,124.43,124.43,124.43
2018-12-21 08:00:00,124.37,124.42,124.36,124.42
2018-12-21 09:00:00,124.32,124.38,124.31,124.36
2018-12-21 10:00:00,124.33,124.34,124.29,124.32
2018-12-21 11:00:00,124.39,124.4,124.29,124.33
2018-12-21 12:00:00,124.38,124.39,124.36,124.39
2018-12-21 13:00:00,124.4,124.43,124.36,124.38
2018-12-21 14:00:00,124.34,124.41,124.33,124.4
2018-12-21 15:00:00,124.36,124.38,124.31,124.33
2018-12-21 16:00:00,124.33,124.38,124.31,124.36
2018-12-21 17:00:00,124.31,124.33,124.31,124.33
