,close,max,min,open
2019-12-01 22:00:00,116.18,116.2,116.03,116.2
2019-12-01 23:00:00,116.14,116.22,116.07,116.18
2019-12-02 00:00:00,116.0,116.14,115.94,116.13
2019-12-02 01:00:00,116.14,116.17,116.0,116.0
2019-12-02 02:00:00,116.11,116.15,116.08,116.14
2019-12-02 03:00:00,116.26,116.26,116.1,116.11
2019-12-02 04:00:00,116.23,116.29,116.23,116.25
2019-12-02 05:00:00,116.19,116.29,116.19,116.23
2019-12-02 06:00:00,116.19,116.28,116.17,116.2
2019-12-02 07:00:00,116.19,116.39,116.09,116.19
2019-12-02 08:00:00,116.2,116.26,116.02,116.19
2019-12-02 09:00:00,116.2,116.24,116.14,116.22
2019-12-02 10:00:00,116.33,116.43,116.16,116.21
2019-12-02 11:00:00,116.83,116.87,116.33,116.33
2019-12-02 12:00:00,116.92,116.93,116.67,116.83
2019-12-02 13:00:00,116.92,117.02,116.91,116.92
2019-12-02 14:00:00,116.92,117.02,116.91,116.92
2019-12-02 15:00:00,116.92,117.02,116.91,116.92
2019-12-02 16:00:00,116.92,117.02,116.91,116.92
2019-12-02 17:00:00,116.92,117.02,116.91,116.92
2019-12-02 18:00:00,116.92,117.02,116.91,116.92
2019-12-02 19:00:00,116.92,117.02,116.91,116.92
2019-12-02 20:00:00,116.92,117.02,116.91,116.92
2019-12-02 21:00:00,116.92,117.02,116.91,116.92
2019-12-02 22:00:00,116.92,116.92,116.92,116.92
2019-12-02 23:00:00,116.92,116.92,116.92,116.92
2019-12-03 00:00:00,116.92,116.92,116.92,116.92
2019-12-03 01:00:00,116.92,116.92,116.92,116.92
2019-12-03 02:00:00,116.92,116.92,116.92,116.92
2019-12-03 03:00:00,116.92,116.92,116.92,116.92
2019-12-03 04:00:00,116.92,116.92,116.92,116.92
2019-12-03 05:00:00,116.92,116.92,116.92,116.92
2019-12-03 06:00:00,116.92,116.92,116.92,116.92
2019-12-03 07:00:00,116.92,116.92,116.92,116.92
2019-12-03 08:00:00,116.92,116.92,116.92,116.92
2019-12-03 09:00:00,116.92,116.92,116.92,116.92
2019-12-03 10:00:00,116.92,116.92,116.92,116.92
2019-12-03 11:00:00,116.92,116.92,116.92,116.92
2019-12-03 12:00:00,116.92,116.92,116.92,116.92
2019-12-03 13:00:00,116.92,116.92,116.92,116.92
2019-12-03 14:00:00,116.92,116.92,116.92,116.92
2019-12-03 15:00:00,116.92,116.92,116.92,116.92
2019-12-03 16:00:00,116.92,116.92,116.92,116.92
2019-12-03 17:00:00,116.92,116.92,116.92,116.92
2019-12-03 18:00:00,116.92,116.92,116.92,116.92
2019-12-03 19:00:00,116.92,116.92,116.92,116.92
2019-12-03 20:00:00,116.92,116.92,116.92,116.92
2019-12-03 21:00:00,116.92,116.92,116.92,116.92
2019-12-03 22:00:00,116.92,116.92,116.92,116.92
2019-12-03 23:00:00,116.92,116.92,116.92,116.92
2019-12-04 00:00:00,116.92,116.92,116.92,116.92
2019-12-04 01:00:00,116.92,116.92,116.92,116.92
2019-12-04 02:00:00,116.92,116.92,116.92,116.92
2019-12-04 03:00:00,116.92,116.92,116.92,116.92
2019-12-04 04:00:00,116.92,116.92,116.92,116.92
2019-12-04 05:00:00,116.92,116.92,116.92,116.92
2019-12-04 06:00:00,116.92,116.92,116.92,116.92
2019-12-04 07:00:00,116.92,116.92,116.92,116.92
2019-12-04 08:00:00,116.92,116.92,116.92,116.92
2019-12-04 09:00:00,116.92,116.92,116.92,116.92
2019-12-04 10:00:00,116.92,116.92,116.92,116.92
2019-12-04 11:00:00,116.92,116.92,116.92,116.92
2019-12-04 12:00:00,116.92,116.92,116.92,116.92
2019-12-04 13:00:00,116.92,116.92,116.92,116.92
2019-12-04 14:00:00,116.92,116.92,116.92,116.92
2019-12-04 15:00:00,116.92,116.92,116.92,116.92
2019-12-04 16:00:00,116.92,116.92,116.92,116.92
2019-12-04 17:00:00,116.92,116.92,116.92,116.92
2019-12-04 18:00:00,116.92,116.92,116.92,116.92
2019-12-04 19:00:00,116.92,116.92,116.92,116.92
2019-12-04 20:00:00,116.92,116.92,116.92,116.92
2019-12-04 21:00:00,116.92,116.92,116.92,116.92
2019-12-04 22:00:00,116.92,116.92,116.92,116.92
2019-12-04 23:00:00,116.92,116.92,116.92,116.92
2019-12-05 00:00:00,116.92,116.92,116.92,116.92
2019-12-05 01:00:00,116.92,116.92,116.92,116.92
2019-12-05 02:00:00,116.92,116.92,116.92,116.92
2019-12-05 03:00:00,116.92,116.92,116.92,116.92
2019-12-05 04:00:00,116.92,116.92,116.92,116.92
2019-12-05 05:00:00,116.92,116.92,116.92,116.92
2019-12-05 06:00:00,116.92,116.92,116.92,116.92
2019-12-05 07:00:00,116.92,116.92,116.92,116.92
2019-12-05 08:00:00,116.92,116.92,116.92,116.92
2019-12-05 09:00:00,116.92,116.92,116.92,116.92
2019-12-05 10:00:00,116.92,116.92,116.92,116.92
2019-12-05 11:00:00,116.92,116.92,116.92,116.92
2019-12-05 12:00:00,116.92,116.92,116.92,116.92
2019-12-05 13:00:00,116.92,116.92,116.92,116.92
2019-12-05 14:00:00,116.92,116.92,116.92,116.92
2019-12-05 15:00:00,116.92,116.92,116.92,116.92
2019-12-05 16:00:00,116.92,116.92,116.92,116.92
2019-12-05 17:00:00,116.92,116.92,116.92,116.92
2019-12-05 18:00:00,116.92,116.92,116.92,116.92
2019-12-05 19:00:00,116.92,116.92,116.92,116.92
2019-12-05 20:00:00,116.92,116.92,116.92,116.92
2019-12-05 21:00:00,116.96,116.99,116.89,116.9
2019-12-05 22:00:00,116.92,117.03,116.76,116.96
2019-12-05 23:00:00,116.99,117.0,116.92,116.93
2019-12-06 00:00:00,117.01,117.03,116.9,116.99
2019-12-06 01:00:00,117.01,117.11,116.98,117.01
2019-12-06 02:00:00,116.96,117.05,116.93,117.01
2019-12-06 03:00:00,116.93,117.02,116.88,116.97
2019-12-06 04:00:00,117.05,117.07,116.9,116.93
2019-12-06 05:00:00,117.04,117.07,116.98,117.04
2019-12-06 06:00:00,116.89,117.09,116.81,117.04
2019-12-06 07:00:00,117.03,117.28,116.84,116.88
2019-12-06 08:00:00,117.55,117.69,116.95,117.03
2019-12-06 09:00:00,117.78,118.08,117.5,117.55
2019-12-06 10:00:00,117.65,117.8,117.42,117.79
2019-12-06 11:00:00,117.61,117.67,117.45,117.66
2019-12-06 12:00:00,117.27,117.69,117.19,117.62
2019-12-06 13:00:00,117.61,118.08,117.25,117.25
2019-12-06 14:00:00,117.76,117.94,117.45,117.61
2019-12-06 15:00:00,118.24,118.3,117.63,117.78
2019-12-06 16:00:00,117.76,118.34,117.75,118.25
2019-12-06 17:00:00,117.58,117.87,117.54,117.76
2019-12-06 18:00:00,117.47,117.58,117.4,117.58
2019-12-06 19:00:00,117.48,117.52,117.4,117.48
2019-12-06 20:00:00,117.39,117.57,117.34,117.48
2019-12-06 21:00:00,117.51,117.63,117.38,117.38
2019-12-08 22:00:00,117.51,117.55,117.42,117.51
2019-12-08 23:00:00,117.43,117.52,117.35,117.51
2019-12-09 00:00:00,117.29,117.45,117.15,117.44
2019-12-09 01:00:00,117.27,117.38,117.23,117.29
2019-12-09 02:00:00,117.33,117.38,117.25,117.26
2019-12-09 03:00:00,117.32,117.35,117.28,117.33
2019-12-09 04:00:00,117.28,117.34,117.25,117.32
2019-12-09 05:00:00,117.26,117.34,117.26,117.28
2019-12-09 06:00:00,116.62,117.31,116.44,117.26
2019-12-09 07:00:00,116.69,116.81,116.48,116.64
2019-12-09 08:00:00,116.92,117.15,116.65,116.69
2019-12-09 09:00:00,117.04,117.07,116.74,116.91
2019-12-09 10:00:00,116.78,117.06,116.57,117.06
2019-12-09 11:00:00,116.7,116.94,116.53,116.78
2019-12-09 12:00:00,117.13,117.21,116.56,116.71
2019-12-09 13:00:00,117.08,117.2,116.96,117.13
2019-12-09 14:00:00,117.27,117.35,117.05,117.09
2019-12-09 15:00:00,117.05,117.49,116.92,117.27
2019-12-09 16:00:00,117.02,117.15,116.97,117.04
2019-12-09 17:00:00,117.2,117.21,116.97,117.02
2019-12-09 18:00:00,117.07,117.22,117.01,117.22
2019-12-09 19:00:00,117.25,117.33,117.05,117.06
2019-12-09 20:00:00,117.18,117.31,117.14,117.26
2019-12-09 21:00:00,117.08,117.37,117.08,117.19
2019-12-09 22:00:00,117.26,117.47,117.08,117.08
2019-12-09 23:00:00,117.26,117.37,117.25,117.29
2019-12-10 00:00:00,117.29,117.3,117.23,117.25
2019-12-10 01:00:00,117.11,117.32,117.07,117.28
2019-12-10 02:00:00,117.05,117.16,117.04,117.11
2019-12-10 03:00:00,117.14,117.17,117.04,117.05
2019-12-10 04:00:00,117.17,117.17,117.07,117.14
2019-12-10 05:00:00,117.17,117.19,117.06,117.17
2019-12-10 06:00:00,117.0,117.17,116.95,117.17
2019-12-10 07:00:00,117.4,117.45,116.83,116.99
2019-12-10 08:00:00,116.91,117.57,116.87,117.39
2019-12-10 09:00:00,116.94,117.22,116.62,116.9
2019-12-10 10:00:00,116.51,116.98,116.51,116.91
2019-12-10 11:00:00,116.54,116.78,116.24,116.53
2019-12-10 12:00:00,116.54,116.75,116.46,116.56
2019-12-10 13:00:00,116.68,116.73,116.44,116.54
2019-12-10 14:00:00,116.51,116.71,116.43,116.68
2019-12-10 15:00:00,116.68,117.03,116.5,116.53
2019-12-10 16:00:00,116.53,116.77,116.48,116.68
2019-12-10 17:00:00,116.38,116.56,116.35,116.53
2019-12-10 18:00:00,116.23,116.39,116.04,116.38
2019-12-10 19:00:00,115.88,116.26,115.62,116.23
2019-12-10 20:00:00,116.21,116.55,115.81,115.89
2019-12-10 21:00:00,116.92,116.98,115.98,116.22
2019-12-10 22:00:00,117.72,118.14,116.92,116.92
2019-12-10 23:00:00,117.66,118.02,117.6,117.78
2019-12-11 00:00:00,117.55,117.7,117.52,117.64
2019-12-11 01:00:00,117.55,117.63,117.48,117.52
2019-12-11 02:00:00,117.49,117.64,117.49,117.55
2019-12-11 03:00:00,117.45,117.56,117.4,117.49
2019-12-11 04:00:00,117.45,117.47,117.23,117.45
2019-12-11 05:00:00,117.46,117.46,117.25,117.45
2019-12-11 06:00:00,117.59,117.6,117.39,117.46
2019-12-11 07:00:00,117.98,118.02,117.48,117.58
2019-12-11 08:00:00,117.44,118.07,117.25,117.97
2019-12-11 09:00:00,117.42,117.49,117.01,117.44
2019-12-11 10:00:00,117.08,117.44,117.01,117.42
