,close,max,min,open
2018-12-19 01:00:00,108.37,108.63,108.26,108.55
2018-12-19 02:00:00,108.2,108.42,108.19,108.37
2018-12-19 03:00:00,108.12,108.28,108.08,108.2
2018-12-19 04:00:00,108.26,108.3,108.1,108.12
2018-12-19 05:00:00,108.19,108.37,108.19,108.26
2018-12-19 06:00:00,108.37,108.39,108.18,108.19
2018-12-19 07:00:00,107.92,108.37,107.88,108.37
2018-12-19 08:00:00,107.91,108.0,107.76,107.92
2018-12-19 09:00:00,107.96,108.07,107.83,107.92
2018-12-19 10:00:00,108.06,108.07,107.79,107.96
2018-12-19 11:00:00,108.25,108.28,107.93,108.06
2018-12-19 12:00:00,108.42,108.56,108.19,108.24
2018-12-19 13:00:00,108.19,108.54,108.03,108.42
2018-12-19 14:00:00,108.31,108.37,108.12,108.19
2018-12-19 15:00:00,108.91,108.92,108.29,108.31
2018-12-19 16:00:00,108.64,108.95,108.48,108.91
2018-12-19 17:00:00,108.61,108.71,108.42,108.64
2018-12-19 18:00:00,108.01,108.76,108.01,108.61
2018-12-19 19:00:00,109.42,109.75,107.92,108.0
2018-12-19 20:00:00,109.7,109.99,109.38,109.45
2018-12-19 21:00:00,110.79,111.1,109.3,109.7
2018-12-19 22:00:00,110.4,110.86,110.25,110.74
2018-12-19 23:00:00,110.76,110.81,110.37,110.37
2018-12-20 00:00:00,110.45,110.89,110.36,110.76
2018-12-20 01:00:00,110.96,111.01,110.29,110.44
2018-12-20 02:00:00,111.4,111.53,110.91,110.96
2018-12-20 03:00:00,111.46,111.64,111.38,111.4
2018-12-20 04:00:00,111.5,111.7,111.44,111.47
2018-12-20 05:00:00,111.84,111.92,111.49,111.5
2018-12-25 22:00:00,109.5,110.11,109.11,109.85
2018-12-25 23:00:00,109.92,109.94,109.34,109.57
2018-12-26 00:00:00,110.11,110.14,109.8,109.91
2018-12-26 01:00:00,109.75,110.17,109.75,110.11
2018-12-26 02:00:00,109.56,109.74,109.22,109.74
2018-12-26 03:00:00,109.19,109.56,109.09,109.56
2018-12-26 04:00:00,109.38,109.45,109.15,109.18
2018-12-26 05:00:00,109.43,109.46,109.24,109.37
2018-12-26 06:00:00,109.34,109.61,109.31,109.43
2018-12-26 07:00:00,109.47,109.63,109.33,109.34
2018-12-26 08:00:00,109.86,109.95,109.48,109.48
2018-12-26 09:00:00,110.06,110.13,109.8,109.86
2018-12-26 10:00:00,109.95,110.18,109.9,110.05
2018-12-26 11:00:00,110.06,110.08,109.77,109.95
2018-12-26 12:00:00,109.99,110.35,109.93,110.05
2018-12-26 13:00:00,109.53,110.1,109.52,109.98
2018-12-26 14:00:00,110.03,110.03,109.32,109.54
2018-12-26 15:00:00,109.35,110.06,109.27,110.04
2018-12-26 16:00:00,109.73,109.82,109.31,109.34
2018-12-26 17:00:00,110.72,110.9,109.65,109.71
2018-12-26 18:00:00,110.75,110.95,110.55,110.7
2018-12-26 19:00:00,111.15,111.34,110.68,110.75
2018-12-26 20:00:00,111.32,111.35,110.95,111.17
2018-12-26 21:00:00,110.72,111.37,110.72,111.32
2018-12-26 22:00:00,110.86,110.97,110.52,110.76
2018-12-26 23:00:00,110.68,111.0,110.51,110.93
2018-12-27 00:00:00,110.55,110.79,110.43,110.68
2018-12-27 01:00:00,110.65,110.66,110.46,110.54
2018-12-27 02:00:00,110.51,110.76,110.5,110.65
2018-12-27 03:00:00,110.55,110.61,110.38,110.52
2018-12-27 04:00:00,110.37,110.56,110.23,110.55
2018-12-27 05:00:00,110.73,110.78,110.35,110.38
2019-01-01 22:00:00,108.59,108.64,108.01,108.08
2019-01-01 23:00:00,108.87,108.87,108.38,108.57
2019-01-02 00:00:00,109.0,109.01,108.6,108.87
2019-01-02 01:00:00,109.0,109.18,108.86,109.0
2019-01-02 02:00:00,109.03,109.28,109.0,109.02
2019-01-02 03:00:00,109.16,109.18,109.0,109.03
2019-01-02 04:00:00,108.9,109.19,108.87,109.16
2019-01-02 05:00:00,109.3,109.75,108.68,108.9
2019-01-02 06:00:00,108.84,109.38,108.69,109.32
2019-01-02 07:00:00,109.8,109.98,108.84,108.85
2019-01-02 08:00:00,109.38,109.95,109.36,109.8
2019-01-02 09:00:00,109.45,109.68,109.19,109.39
2019-01-02 10:00:00,109.43,109.63,109.3,109.45
2019-01-02 11:00:00,109.47,109.67,109.26,109.42
2019-01-02 12:00:00,110.16,110.2,109.48,109.48
2019-01-02 13:00:00,110.84,110.89,110.03,110.17
2019-01-02 14:00:00,111.35,111.39,110.82,110.84
2019-01-02 15:00:00,112.16,112.82,111.33,111.35
2019-01-02 16:00:00,112.45,112.78,112.06,112.16
2019-01-02 17:00:00,113.11,113.41,112.38,112.44
2019-01-02 18:00:00,113.23,113.31,113.03,113.11
2019-01-02 19:00:00,112.92,113.3,112.89,113.23
2019-01-02 20:00:00,112.94,112.99,112.66,112.91
2019-01-02 21:00:00,113.08,113.18,112.79,112.95
2019-01-02 22:00:00,112.89,113.51,111.19,113.08
2019-01-02 23:00:00,113.07,113.32,112.33,112.89
2019-01-03 00:00:00,112.89,113.12,112.73,113.08
2019-01-03 01:00:00,112.77,112.91,112.69,112.89
2019-01-03 02:00:00,112.38,112.8,112.36,112.77
2019-01-03 03:00:00,112.36,112.48,112.23,112.38
2019-01-03 04:00:00,112.25,112.4,112.21,112.36
2019-01-03 05:00:00,112.27,112.31,112.16,112.25
2019-01-08 06:00:00,116.96,117.01,116.87,116.93
2019-01-08 07:00:00,116.97,117.21,116.92,116.95
2019-01-08 08:00:00,116.99,117.04,116.81,116.97
2019-01-08 09:00:00,116.93,117.03,116.79,116.98
2019-01-08 10:00:00,116.94,117.15,116.9,116.93
2019-01-08 11:00:00,116.63,117.01,116.59,116.95
2019-01-08 12:00:00,116.76,116.79,116.58,116.63
2019-01-08 13:00:00,117.13,117.21,116.75,116.76
2019-01-08 14:00:00,117.07,117.27,117.0,117.13
2019-01-08 15:00:00,116.99,117.29,116.9,117.06
2019-01-08 16:00:00,116.62,117.03,116.53,117.0
2019-01-08 17:00:00,116.44,116.73,116.39,116.62
2019-01-08 18:00:00,116.81,116.82,116.35,116.43
2019-01-08 19:00:00,116.91,116.99,116.76,116.82
2019-01-08 20:00:00,117.04,117.07,116.91,116.91
2019-01-08 21:00:00,117.01,117.09,116.93,117.04
2019-01-08 22:00:00,117.03,117.06,116.82,116.99
2019-01-08 23:00:00,117.06,117.11,116.99,117.02
2019-01-09 00:00:00,116.98,117.11,116.91,117.06
2019-01-09 01:00:00,117.05,117.11,116.86,116.98
2019-01-09 02:00:00,117.14,117.17,117.03,117.04
2019-01-09 03:00:00,117.16,117.19,117.1,117.14
2019-01-09 04:00:00,117.12,117.17,117.11,117.15
2019-01-09 05:00:00,117.04,117.15,117.01,117.12
2019-01-09 06:00:00,117.02,117.11,117.01,117.04
2019-01-09 07:00:00,116.93,117.05,116.89,117.02
2019-01-09 08:00:00,117.03,117.03,116.8,116.93
2019-01-09 09:00:00,117.06,117.08,116.86,117.03
2019-01-09 10:00:00,116.87,117.08,116.84,117.05
2019-01-09 11:00:00,116.81,116.98,116.75,116.87
2019-01-09 12:00:00,116.87,116.93,116.8,116.8
2019-01-09 13:00:00,116.48,116.92,116.48,116.87
2019-01-09 14:00:00,115.92,116.54,115.92,116.48
2019-01-09 15:00:00,115.75,116.47,115.56,115.92
2019-01-09 16:00:00,116.0,116.06,115.53,115.75
2019-01-09 17:00:00,115.92,116.02,115.7,116.0
2019-01-09 18:00:00,115.84,116.06,115.8,115.92
2019-01-09 19:00:00,115.73,116.05,115.64,115.88
2019-01-09 20:00:00,115.69,115.87,115.68,115.73
2019-01-09 21:00:00,115.93,115.95,115.67,115.67
2019-01-09 22:00:00,115.95,116.02,115.68,115.92
2019-01-09 23:00:00,115.79,115.99,115.77,115.95
2019-01-10 00:00:00,115.59,115.86,115.55,115.79
2019-01-10 01:00:00,115.51,115.77,115.49,115.59
2019-01-10 02:00:00,115.43,115.57,115.41,115.51
2019-01-10 03:00:00,115.32,115.44,115.23,115.42
2019-01-10 04:00:00,115.37,115.4,115.3,115.31
2019-01-10 05:00:00,115.33,115.48,115.29,115.37
2019-01-15 06:00:00,117.14,117.18,117.06,117.12
2019-01-15 07:00:00,117.15,117.22,117.05,117.14
2019-01-15 08:00:00,117.36,117.54,117.17,117.17
2019-01-15 09:00:00,117.81,117.85,117.28,117.35
2019-01-15 10:00:00,117.76,117.82,117.59,117.8
2019-01-15 11:00:00,117.88,117.94,117.63,117.78
2019-01-15 12:00:00,117.71,118.08,117.71,117.91
2019-01-15 13:00:00,117.85,118.16,117.73,117.73
2019-01-15 14:00:00,117.62,117.84,117.6,117.83
2019-01-15 15:00:00,117.6,117.81,117.59,117.59
2019-01-15 16:00:00,117.81,117.96,117.62,117.62
2019-01-15 17:00:00,117.59,117.85,117.59,117.83
2019-01-15 18:00:00,117.38,117.66,117.32,117.6
2019-01-15 19:00:00,118.0,118.05,117.22,117.4
2019-01-15 20:00:00,118.38,118.38,117.95,118.07
2019-01-15 21:00:00,118.29,118.35,118.22,118.35
2019-01-15 22:00:00,118.4,118.46,118.18,118.25
2019-01-15 23:00:00,118.33,118.4,118.3,118.39
2019-01-16 00:00:00,118.25,118.35,118.25,118.34
2019-01-16 01:00:00,118.39,118.39,118.2,118.24
2019-01-16 02:00:00,118.39,118.43,118.36,118.4
2019-01-16 03:00:00,118.35,118.44,118.34,118.39
2019-01-16 04:00:00,118.33,118.43,118.33,118.35
2019-01-16 05:00:00,118.38,118.39,118.3,118.33
2019-01-16 06:00:00,118.4,118.42,118.33,118.38
2019-01-16 07:00:00,118.67,118.73,118.39,118.39
2019-01-16 08:00:00,118.41,118.73,118.41,118.66
2019-01-16 09:00:00,118.77,118.77,118.41,118.41
2019-01-16 10:00:00,118.87,118.89,118.72,118.77
2019-01-16 11:00:00,119.2,119.24,118.82,118.87
2019-01-16 12:00:00,119.13,119.25,118.96,119.24
2019-01-16 13:00:00,119.09,119.27,119.05,119.2
2019-01-16 14:00:00,119.3,119.33,119.03,119.09
2019-01-16 15:00:00,119.21,119.42,119.02,119.3
2019-01-16 16:00:00,118.98,119.21,118.93,119.21
2019-01-16 17:00:00,119.11,119.16,118.98,118.98
2019-01-16 18:00:00,118.89,119.14,118.81,119.11
2019-01-16 19:00:00,119.11,119.16,118.86,118.86
2019-01-16 20:00:00,119.25,119.35,119.13,119.13
2019-01-16 21:00:00,119.3,119.32,119.17,119.27
2019-01-16 22:00:00,119.32,119.32,119.08,119.24
2019-01-16 23:00:00,119.28,119.33,119.22,119.33
2019-01-17 00:00:00,119.28,119.31,119.25,119.26
2019-01-17 01:00:00,119.35,119.37,119.21,119.26
2019-01-17 02:00:00,119.27,119.38,119.26,119.37
