,close,max,min,open
2018-12-19 01:00:00,168.4,168.43,168.36,168.41
2018-12-19 02:00:00,168.43,168.44,168.38,168.4
2018-12-19 03:00:00,168.43,168.44,168.42,168.43
2018-12-19 04:00:00,168.4,168.47,168.39,168.43
2018-12-19 05:00:00,168.45,168.45,168.37,168.4
2018-12-19 06:00:00,168.43,168.47,168.4,168.45
2018-12-19 07:00:00,168.53,168.59,168.41,168.43
2018-12-19 08:00:00,168.55,168.6,168.5,168.53
2018-12-19 09:00:00,168.4,168.61,168.39,168.56
2018-12-19 10:00:00,168.65,168.67,168.31,168.39
2018-12-19 11:00:00,168.59,168.73,168.49,168.65
2018-12-19 12:00:00,168.59,168.62,168.48,168.59
2018-12-19 13:00:00,168.56,168.63,168.49,168.6
2018-12-19 14:00:00,168.95,168.97,168.55,168.56
2018-12-19 15:00:00,168.82,169.06,168.81,168.93
2018-12-19 16:00:00,168.83,168.97,168.8,168.83
2018-12-19 17:00:00,168.87,168.96,168.78,168.83
2018-12-19 18:00:00,168.95,169.04,168.84,168.88
2018-12-19 19:00:00,168.16,168.96,168.07,168.96
2018-12-19 20:00:00,168.18,168.38,168.07,168.17
2018-12-19 21:00:00,168.17,168.36,168.12,168.19
2018-12-19 22:00:00,168.23,168.25,168.1,168.13
2018-12-19 23:00:00,168.31,168.35,168.23,168.23
2018-12-20 00:00:00,168.26,168.34,168.24,168.32
2018-12-20 01:00:00,168.26,168.27,168.22,168.26
2018-12-20 02:00:00,168.24,168.28,168.23,168.26
2018-12-20 03:00:00,168.25,168.27,168.22,168.24
2018-12-20 04:00:00,168.29,168.29,168.24,168.25
2018-12-20 05:00:00,168.32,168.32,168.26,168.29
2018-12-25 22:00:00,168.43,168.44,168.28,168.28
2018-12-25 23:00:00,168.49,168.55,168.36,168.44
2018-12-26 00:00:00,168.42,168.5,168.41,168.49
2018-12-26 01:00:00,168.46,168.47,168.37,168.41
2018-12-26 02:00:00,168.47,168.5,168.46,168.46
2018-12-26 03:00:00,168.5,168.51,168.46,168.47
2018-12-26 04:00:00,168.41,168.5,168.41,168.49
2018-12-26 05:00:00,168.39,168.43,168.35,168.42
2018-12-26 06:00:00,168.41,168.44,168.35,168.39
2018-12-26 07:00:00,168.39,168.43,168.36,168.41
2018-12-26 08:00:00,168.3,168.39,168.24,168.39
2018-12-26 09:00:00,168.23,168.34,168.21,168.3
2018-12-26 10:00:00,168.24,168.28,168.21,168.23
2018-12-26 11:00:00,168.22,168.28,168.21,168.24
2018-12-26 12:00:00,168.24,168.26,168.15,168.22
2018-12-26 13:00:00,168.27,168.28,168.18,168.24
2018-12-26 14:00:00,168.24,168.32,168.22,168.27
2018-12-26 15:00:00,168.43,168.49,168.24,168.24
2018-12-26 16:00:00,168.43,168.47,168.41,168.43
2018-12-26 17:00:00,167.99,168.43,167.99,168.43
2018-12-26 18:00:00,168.03,168.07,167.98,167.99
2018-12-26 19:00:00,167.96,168.08,167.93,168.02
2018-12-26 20:00:00,167.96,168.01,167.87,167.96
2018-12-26 21:00:00,167.94,167.98,167.92,167.96
2018-12-26 22:00:00,167.95,167.95,167.9,167.9
2018-12-26 23:00:00,167.99,168.0,167.94,167.94
2018-12-27 00:00:00,168.07,168.1,167.97,167.99
2018-12-27 01:00:00,168.11,168.14,168.03,168.07
2018-12-27 02:00:00,168.17,168.22,168.1,168.11
2018-12-27 03:00:00,168.17,168.2,168.14,168.17
2018-12-27 04:00:00,168.2,168.25,168.17,168.17
2018-12-27 05:00:00,168.18,168.21,168.14,168.2
2019-01-01 22:00:00,168.81,168.85,168.78,168.8
2019-01-01 23:00:00,168.81,168.87,168.81,168.81
2019-01-02 00:00:00,168.77,168.82,168.76,168.81
2019-01-02 01:00:00,168.73,168.77,168.68,168.77
2019-01-02 02:00:00,168.68,168.74,168.66,168.74
2019-01-02 03:00:00,168.68,168.71,168.67,168.68
2019-01-02 04:00:00,168.68,168.69,168.66,168.68
2019-01-02 05:00:00,168.96,168.96,168.68,168.68
2019-01-02 06:00:00,169.02,169.12,168.95,168.95
2019-01-02 07:00:00,168.94,169.08,168.92,169.02
2019-01-02 08:00:00,168.7,168.95,168.54,168.92
2019-01-02 09:00:00,168.58,168.71,168.48,168.7
2019-01-02 10:00:00,168.6,168.65,168.56,168.58
2019-01-02 11:00:00,168.58,168.62,168.5,168.6
2019-01-02 12:00:00,168.33,168.58,168.27,168.58
2019-01-02 13:00:00,168.04,168.34,168.0,168.33
2019-01-02 14:00:00,167.94,168.07,167.92,168.04
2019-01-02 15:00:00,167.88,168.02,167.79,167.94
2019-01-02 16:00:00,167.91,167.95,167.84,167.89
2019-01-02 17:00:00,167.72,167.91,167.69,167.91
2019-01-02 18:00:00,167.66,167.73,167.65,167.72
2019-01-02 19:00:00,167.79,167.8,167.63,167.66
2019-01-02 20:00:00,167.81,167.83,167.77,167.79
2019-01-02 21:00:00,167.78,167.83,167.76,167.81
2019-01-02 22:00:00,167.69,167.83,167.43,167.74
2019-01-02 23:00:00,167.48,167.83,167.46,167.69
2019-01-03 00:00:00,167.73,167.79,167.47,167.49
2019-01-03 01:00:00,167.8,167.84,167.73,167.73
2019-01-03 02:00:00,167.89,167.92,167.78,167.8
2019-01-03 03:00:00,167.95,168.01,167.88,167.89
2019-01-03 04:00:00,167.97,167.98,167.91,167.95
2019-01-03 05:00:00,167.91,167.99,167.88,167.97
2019-01-08 06:00:00,168.61,168.7,168.58,168.6
2019-01-08 07:00:00,168.6,168.67,168.51,168.61
2019-01-08 08:00:00,168.64,168.66,168.51,168.6
2019-01-08 09:00:00,168.67,168.74,168.63,168.64
2019-01-08 10:00:00,168.62,168.67,168.51,168.67
2019-01-08 11:00:00,168.79,168.82,168.58,168.61
2019-01-08 12:00:00,168.65,168.8,168.59,168.78
2019-01-08 13:00:00,168.46,168.65,168.41,168.65
2019-01-08 14:00:00,168.55,168.6,168.43,168.45
2019-01-08 15:00:00,168.58,168.6,168.44,168.55
2019-01-08 16:00:00,168.59,168.64,168.54,168.58
2019-01-08 17:00:00,168.69,168.7,168.56,168.59
2019-01-08 18:00:00,168.57,168.72,168.57,168.69
