,close,max,min,open
2018-12-19 15:00:00,108.04,108.17,108.0,108.17
2018-12-19 16:00:00,108.2,108.27,107.81,108.04
2018-12-19 17:00:00,108.63,108.63,108.14,108.19
2018-12-19 18:00:00,108.22,108.68,108.19,108.62
2018-12-19 19:00:00,110.36,110.56,108.22,108.3
2018-12-19 20:00:00,110.7,111.4,110.26,110.37
2018-12-19 21:00:00,110.53,111.07,110.41,110.71
2018-12-19 22:00:00,110.26,110.57,110.22,110.52
2018-12-19 23:00:00,110.3,110.31,110.25,110.25
2018-12-20 00:00:00,110.3,110.31,110.25,110.25
2018-12-20 01:00:00,110.3,110.31,110.25,110.25
2018-12-20 02:00:00,110.3,110.31,110.25,110.25
2018-12-20 03:00:00,110.3,110.31,110.25,110.25
2018-12-20 04:00:00,110.3,110.31,110.25,110.25
2018-12-20 05:00:00,110.3,110.31,110.25,110.25
2018-12-20 06:00:00,110.3,110.31,110.25,110.25
2018-12-20 07:00:00,109.86,110.32,109.76,110.21
2018-12-20 08:00:00,109.42,109.95,109.38,109.88
2018-12-20 09:00:00,108.6,109.45,108.58,109.42
2018-12-20 10:00:00,108.32,108.76,108.2,108.6
2018-12-20 11:00:00,108.22,108.38,108.12,108.33
2018-12-20 12:00:00,108.45,108.5,108.18,108.22
2018-12-20 13:00:00,108.74,108.78,108.22,108.45
2018-12-20 14:00:00,108.52,108.76,108.24,108.75
2018-12-20 15:00:00,109.08,109.19,108.44,108.51
2018-12-20 16:00:00,108.98,109.15,108.78,109.07
2018-12-20 17:00:00,108.62,109.19,108.5,108.99
2018-12-20 18:00:00,108.51,108.76,108.4,108.67
2018-12-20 19:00:00,108.56,108.56,108.24,108.5
2018-12-20 20:00:00,108.54,108.67,108.42,108.56
2018-12-20 21:00:00,108.57,108.67,108.35,108.55
2018-12-20 22:00:00,108.78,109.09,108.56,108.56
2018-12-20 23:00:00,108.52,108.8,108.4,108.79
2018-12-21 00:00:00,108.73,108.76,108.26,108.53
2018-12-21 01:00:00,108.24,108.74,108.12,108.74
2018-12-21 02:00:00,108.67,108.68,108.24,108.24
2018-12-21 03:00:00,108.64,108.73,108.51,108.67
2018-12-21 04:00:00,108.68,108.76,108.48,108.64
2018-12-21 05:00:00,108.88,108.93,108.68,108.68
2018-12-21 06:00:00,108.88,108.93,108.68,108.68
2018-12-21 07:00:00,109.23,109.27,108.72,108.78
2018-12-21 08:00:00,109.54,109.65,109.09,109.23
2018-12-21 09:00:00,110.22,110.35,109.53,109.55
2018-12-21 10:00:00,110.24,110.44,110.18,110.21
2018-12-21 11:00:00,109.89,110.32,109.86,110.25
2018-12-21 12:00:00,109.76,110.03,109.76,109.88
2018-12-21 13:00:00,109.84,109.96,109.65,109.78
2018-12-21 14:00:00,110.0,110.02,109.66,109.82
2018-12-21 15:00:00,110.15,110.23,109.63,110.04
2018-12-21 16:00:00,110.4,110.4,110.01,110.16
2018-12-21 17:00:00,110.93,110.95,110.37,110.39
2018-12-21 18:00:00,110.95,111.07,110.85,110.95
2018-12-21 19:00:00,110.96,111.01,110.8,110.96
2018-12-21 20:00:00,110.99,111.06,110.93,110.95
2018-12-21 21:00:00,110.95,111.07,110.81,111.01
2018-12-23 22:00:00,110.67,110.95,110.34,110.95
2018-12-23 23:00:00,110.7,110.81,110.64,110.67
2018-12-24 00:00:00,110.39,110.75,110.18,110.7
2018-12-24 01:00:00,110.04,110.38,110.0,110.38
2018-12-24 02:00:00,109.88,110.05,109.78,110.04
2018-12-24 03:00:00,109.84,110.0,109.74,109.88
2018-12-24 04:00:00,109.95,109.98,109.76,109.84
2018-12-24 05:00:00,110.05,110.11,109.92,109.95
2018-12-24 06:00:00,110.05,110.11,109.92,109.95
2018-12-24 07:00:00,110.19,110.19,109.86,110.16
2018-12-24 08:00:00,110.03,110.22,109.74,110.18
2018-12-24 09:00:00,110.03,110.11,109.88,110.03
2018-12-24 10:00:00,110.24,110.28,109.94,110.02
2018-12-24 11:00:00,110.21,110.33,110.09,110.24
2018-12-24 12:00:00,110.45,110.46,110.16,110.2
2018-12-24 13:00:00,110.51,110.76,110.37,110.44
2018-12-24 14:00:00,110.38,110.51,110.26,110.5
2018-12-24 15:00:00,110.77,110.79,110.08,110.38
2018-12-24 16:00:00,110.28,110.87,110.2,110.77
2018-12-24 17:00:00,110.58,110.65,110.21,110.27
2018-12-24 18:00:00,110.38,110.62,110.33,110.57
2018-12-25 22:00:00,110.3,110.42,109.78,109.94
2018-12-25 23:00:00,110.24,110.49,110.19,110.4
2018-12-26 00:00:00,110.18,110.3,110.1,110.26
2018-12-26 01:00:00,110.04,110.2,109.94,110.16
2018-12-26 02:00:00,110.44,110.57,109.93,110.05
2018-12-26 03:00:00,110.22,110.5,110.14,110.44
2018-12-26 04:00:00,110.22,110.32,110.12,110.21
2018-12-26 05:00:00,110.06,110.27,109.96,110.21
2018-12-26 06:00:00,109.94,110.08,109.88,110.03
2018-12-26 07:00:00,109.93,110.15,109.92,109.95
2018-12-26 08:00:00,110.14,110.16,109.92,109.92
2018-12-26 09:00:00,110.22,110.3,110.14,110.14
2018-12-26 10:00:00,110.26,110.35,110.2,110.24
2018-12-26 11:00:00,110.21,110.3,110.12,110.26
2018-12-26 12:00:00,110.26,110.38,110.2,110.22
2018-12-26 13:00:00,110.16,110.32,110.14,110.26
2018-12-26 14:00:00,110.3,110.33,110.08,110.16
