,close,max,min,open
2018-12-19 01:00:00,113.49,113.64,113.42,113.48
2018-12-19 02:00:00,113.4,113.59,113.4,113.48
2018-12-19 03:00:00,113.48,113.49,113.33,113.4
2018-12-19 04:00:00,113.52,113.54,113.27,113.48
2018-12-19 05:00:00,113.37,113.62,113.33,113.52
2018-12-19 06:00:00,113.46,113.52,113.31,113.37
2018-12-19 07:00:00,113.44,113.59,113.14,113.46
2018-12-19 08:00:00,113.42,113.55,113.32,113.44
2018-12-19 09:00:00,113.65,113.66,113.33,113.42
2018-12-19 10:00:00,113.24,113.78,113.24,113.66
2018-12-19 11:00:00,113.24,113.78,113.24,113.66
2018-12-19 12:00:00,113.24,113.78,113.24,113.66
2018-12-19 13:00:00,113.24,113.78,113.24,113.66
2018-12-19 14:00:00,113.24,113.78,113.24,113.66
2018-12-19 15:00:00,113.24,113.78,113.24,113.66
2018-12-19 16:00:00,113.24,113.78,113.24,113.66
2018-12-19 17:00:00,113.24,113.78,113.24,113.66
2018-12-19 18:00:00,113.24,113.78,113.24,113.66
2018-12-19 19:00:00,113.24,113.78,113.24,113.66
2018-12-19 20:00:00,113.48,113.53,113.18,113.2
2018-12-19 21:00:00,113.66,113.68,113.43,113.48
2018-12-19 22:00:00,113.71,113.89,113.47,113.66
2018-12-19 23:00:00,113.65,113.77,113.58,113.71
2018-12-20 00:00:00,113.73,113.77,113.63,113.65
2018-12-20 01:00:00,113.8,113.83,113.7,113.72
2018-12-23 22:00:00,113.71,113.71,113.71,113.71
2018-12-26 22:00:00,113.71,113.71,113.71,113.71
2019-01-02 19:00:00,113.63,113.73,113.61,113.68
2019-01-02 20:00:00,113.87,113.89,113.38,113.64
2019-01-02 21:00:00,113.28,113.91,113.12,113.87
2019-01-02 22:00:00,111.05,113.37,111.05,113.32
2019-01-08 20:00:00,110.94,110.96,110.82,110.89
2019-01-08 21:00:00,110.9,110.96,110.82,110.93
2019-01-08 22:00:00,110.99,111.03,110.83,110.83
2019-01-08 23:00:00,110.6,110.98,110.57,110.96
2019-01-09 00:00:00,110.85,110.84,110.61,110.61
2019-01-09 01:00:00,110.63,110.86,110.63,110.85
2019-01-09 02:00:00,110.63,110.67,110.5,110.65
2019-01-09 03:00:00,110.51,110.63,110.48,110.63
2019-01-09 04:00:00,110.51,110.57,110.48,110.51
2019-01-09 05:00:00,110.53,110.54,110.48,110.51
2019-01-09 06:00:00,110.55,110.57,110.5,110.53
2019-01-09 07:00:00,110.55,110.63,110.43,110.55
2019-01-09 08:00:00,110.64,110.77,110.51,110.55
2019-01-09 09:00:00,110.64,110.78,110.61,110.64
2019-01-09 10:00:00,110.69,110.73,110.53,110.64
2019-01-09 11:00:00,110.59,110.78,110.59,110.7
2019-01-09 12:00:00,110.62,110.68,110.56,110.59
2019-01-09 13:00:00,110.76,110.78,110.51,110.63
2019-01-09 14:00:00,110.38,110.78,110.38,110.76
2019-01-09 15:00:00,110.38,110.78,110.38,110.76
2019-01-09 16:00:00,110.38,110.78,110.38,110.76
2019-01-09 17:00:00,110.38,110.78,110.38,110.76
2019-01-09 18:00:00,110.38,110.78,110.38,110.76
2019-01-09 19:00:00,110.34,110.62,110.34,110.35
2019-01-09 20:00:00,110.11,110.63,109.96,110.35
2019-01-09 21:00:00,110.0,110.25,109.95,110.1
2019-01-09 22:00:00,110.1,110.19,109.84,109.9
2019-01-09 23:00:00,110.07,110.22,109.87,110.09
2019-01-10 00:00:00,109.94,110.28,109.92,110.08
2019-01-10 01:00:00,109.3,109.94,109.3,109.94
2019-01-10 02:00:00,109.3,109.94,109.3,109.94
2019-01-10 03:00:00,109.3,109.94,109.3,109.94
2019-01-10 04:00:00,109.3,109.94,109.3,109.94
2019-01-10 05:00:00,109.3,109.94,109.3,109.94
2019-01-10 06:00:00,109.3,109.94,109.3,109.94
2019-01-10 07:00:00,109.3,109.94,109.3,109.94
2019-01-10 08:00:00,109.3,109.94,109.3,109.94
2019-01-10 09:00:00,109.3,109.94,109.3,109.94
2019-01-10 10:00:00,109.3,109.94,109.3,109.94
2019-01-10 11:00:00,109.3,109.94,109.3,109.94
2019-01-10 12:00:00,109.3,109.94,109.3,109.94
2019-01-10 13:00:00,109.3,109.94,109.3,109.94
2019-01-10 14:00:00,109.3,109.94,109.3,109.94
2019-01-10 15:00:00,109.3,109.94,109.3,109.94
2019-01-10 16:00:00,109.3,109.94,109.3,109.94
2019-01-10 17:00:00,109.3,109.94,109.3,109.94
2019-01-10 18:00:00,109.3,109.94,109.3,109.94
2019-01-10 19:00:00,109.3,109.94,109.3,109.94
