,close,max,min,open
2018-12-19 16:00:00,135.73,135.73,135.73,135.73
2018-12-19 17:00:00,135.73,135.73,135.73,135.73
2018-12-19 18:00:00,135.73,135.73,135.73,135.73
2018-12-19 19:00:00,136.06,136.19,135.55,135.72
2018-12-19 20:00:00,136.03,136.18,135.77,136.06
2018-12-19 21:00:00,135.92,136.12,135.8,136.03
2018-12-19 22:00:00,135.93,136.08,135.81,135.96
2018-12-19 23:00:00,135.83,135.93,135.78,135.93
2018-12-20 00:00:00,135.89,135.93,135.8,135.82
2018-12-20 01:00:00,135.91,135.99,135.87,135.89
2018-12-20 02:00:00,135.94,135.97,135.87,135.9
2018-12-20 03:00:00,135.91,135.98,135.89,135.94
2018-12-20 04:00:00,135.84,135.95,135.83,135.92
2018-12-20 05:00:00,135.78,135.9,135.78,135.84
2018-12-23 22:00:00,134.35,134.35,134.35,134.35
2018-12-23 23:00:00,134.35,134.35,134.35,134.35
2018-12-24 00:00:00,134.35,134.35,134.35,134.35
2018-12-24 01:00:00,134.35,134.35,134.35,134.35
2018-12-24 02:00:00,134.35,134.35,134.35,134.35
2018-12-24 03:00:00,134.35,134.35,134.35,134.35
2018-12-24 04:00:00,134.35,134.35,134.35,134.35
2018-12-24 05:00:00,134.35,134.35,134.35,134.35
2018-12-24 06:00:00,134.35,134.35,134.35,134.35
2018-12-24 07:00:00,134.35,134.35,134.35,134.35
2018-12-24 08:00:00,134.35,134.35,134.35,134.35
2018-12-24 09:00:00,134.35,134.35,134.35,134.35
2018-12-24 10:00:00,134.35,134.35,134.35,134.35
2018-12-24 11:00:00,134.35,134.35,134.35,134.35
2018-12-24 12:00:00,134.35,134.35,134.35,134.35
2018-12-24 13:00:00,134.35,134.35,134.35,134.35
2018-12-24 14:00:00,134.35,134.35,134.35,134.35
2018-12-24 15:00:00,134.24,134.36,134.23,134.34
2018-12-24 16:00:00,134.21,134.32,134.17,134.24
2018-12-24 17:00:00,134.28,134.28,134.18,134.2
2018-12-24 18:00:00,134.21,134.3,134.17,134.28
2018-12-24 19:00:00,134.21,134.21,134.21,134.21
2018-12-24 20:00:00,134.21,134.21,134.21,134.21
2018-12-24 21:00:00,134.21,134.21,134.21,134.21
2018-12-25 22:00:00,134.27,134.39,134.21,134.34
2018-12-25 23:00:00,134.24,134.33,134.18,134.29
2018-12-26 00:00:00,134.32,134.33,134.23,134.24
2018-12-26 01:00:00,134.27,134.37,134.27,134.32
2018-12-26 02:00:00,134.26,134.27,134.23,134.27
2018-12-26 03:00:00,134.24,134.27,134.22,134.26
2018-12-26 04:00:00,134.32,134.32,134.23,134.24
2018-12-26 05:00:00,134.34,134.39,134.31,134.32
2018-12-26 06:00:00,134.32,134.39,134.3,134.35
2018-12-26 07:00:00,134.35,134.38,134.3,134.32
2018-12-26 08:00:00,134.44,134.5,134.34,134.35
2018-12-26 09:00:00,134.51,134.53,134.4,134.44
2018-12-26 10:00:00,134.5,134.53,134.46,134.51
2018-12-26 11:00:00,134.52,134.53,134.46,134.5
2018-12-26 12:00:00,134.51,134.58,134.48,134.52
2018-12-26 13:00:00,134.47,134.56,134.46,134.5
2018-12-26 14:00:00,134.5,134.52,134.42,134.46
2018-12-26 15:00:00,134.28,134.5,134.28,134.5
2018-12-26 16:00:00,134.28,134.5,134.28,134.5
2018-12-26 17:00:00,134.78,134.79,134.27,134.28
2018-12-26 18:00:00,134.64,134.81,134.48,134.78
2018-12-26 19:00:00,134.85,134.97,134.45,134.64
2018-12-26 20:00:00,134.85,135.19,134.7,134.88
2018-12-26 21:00:00,134.84,135.0,134.8,134.87
2018-12-26 22:00:00,134.82,134.93,134.79,134.89
2018-12-26 23:00:00,134.69,134.84,134.66,134.84
2018-12-27 00:00:00,134.41,134.76,134.33,134.7
2018-12-27 01:00:00,134.28,134.56,134.16,134.41
2018-12-27 02:00:00,134.1,134.31,134.1,134.29
2018-12-27 03:00:00,134.1,134.31,134.1,134.29
2018-12-27 04:00:00,134.1,134.31,134.1,134.29
2018-12-27 05:00:00,134.1,134.31,134.1,134.29
2018-12-27 06:00:00,134.1,134.31,134.1,134.29
2018-12-27 07:00:00,134.1,134.31,134.1,134.29
2018-12-27 08:00:00,134.1,134.31,134.1,134.29
2018-12-27 09:00:00,134.1,134.31,134.1,134.29
2018-12-27 10:00:00,134.1,134.31,134.1,134.29
2018-12-27 11:00:00,134.03,134.1,134.03,134.1
2018-12-27 12:00:00,134.28,134.34,133.91,134.03
2018-12-27 13:00:00,133.6,134.29,133.58,134.28
2018-12-27 14:00:00,134.16,134.21,133.53,133.6
2018-12-27 15:00:00,133.37,134.17,133.32,134.16
2018-12-27 16:00:00,133.64,133.78,133.36,133.36
2018-12-27 17:00:00,134.12,134.54,133.62,133.64
2018-12-27 18:00:00,134.49,134.68,133.91,134.12
2018-12-27 19:00:00,134.51,134.68,134.34,134.49
2018-12-27 20:00:00,134.22,134.56,133.84,134.51
2018-12-27 21:00:00,133.87,134.28,133.87,134.23
2018-12-30 22:00:00,134.06,134.07,133.92,134.07
2018-12-30 23:00:00,134.04,134.09,134.01,134.05
2018-12-31 00:00:00,134.28,134.38,134.01,134.04
2018-12-31 01:00:00,134.02,134.29,134.0,134.29
2018-12-31 02:00:00,133.93,134.07,133.86,134.03
2018-12-31 03:00:00,134.03,134.1,133.89,133.92
2018-12-31 04:00:00,133.52,134.06,133.52,134.02
2018-12-31 05:00:00,133.72,133.73,133.49,133.52
2018-12-31 06:00:00,133.72,133.73,133.49,133.52
2018-12-31 07:00:00,134.16,134.2,133.57,133.66
2018-12-31 08:00:00,133.83,134.29,133.73,134.15
2018-12-31 09:00:00,133.95,134.15,133.8,133.83
2018-12-31 10:00:00,134.34,134.44,133.92,133.96
2018-12-31 11:00:00,134.46,134.89,134.26,134.33
2018-12-31 12:00:00,134.17,134.46,134.17,134.45
2018-12-31 13:00:00,134.17,134.46,134.17,134.45
2018-12-31 14:00:00,134.17,134.46,134.17,134.45
2018-12-31 15:00:00,134.17,134.46,134.17,134.45
2018-12-31 16:00:00,134.06,134.17,134.05,134.15
2018-12-31 17:00:00,133.97,134.1,133.84,134.06
2018-12-31 18:00:00,133.85,134.06,133.79,133.98
2018-12-31 19:00:00,134.03,134.09,133.84,133.86
2018-12-31 20:00:00,134.09,134.2,134.04,134.04
2018-12-31 21:00:00,134.28,134.33,134.09,134.09
2019-01-01 22:00:00,134.2,134.29,134.11,134.16
2019-01-01 23:00:00,134.2,134.34,134.18,134.2
2019-01-02 00:00:00,134.09,134.23,134.05,134.19
2019-01-02 01:00:00,133.87,134.09,133.87,134.09
2019-01-02 02:00:00,133.87,134.09,133.87,134.09
2019-01-02 03:00:00,133.87,134.09,133.87,134.09
2019-01-02 04:00:00,133.87,134.09,133.87,134.09
2019-01-02 05:00:00,133.99,134.01,133.86,133.87
2019-01-02 06:00:00,134.18,134.48,133.97,133.98
2019-01-02 07:00:00,133.95,134.38,133.88,134.17
2019-01-02 08:00:00,133.61,134.32,133.6,133.88
2019-01-02 09:00:00,134.03,134.56,133.56,133.62
2019-01-02 10:00:00,133.9,134.11,133.69,134.03
2019-01-02 11:00:00,134.04,134.44,133.83,133.92
2019-01-02 12:00:00,135.31,135.87,134.03,134.04
2019-01-02 13:00:00,138.07,138.43,135.27,135.35
2019-01-02 14:00:00,139.03,139.24,137.74,138.08
2019-01-02 15:00:00,139.64,140.59,138.29,139.0
2019-01-02 16:00:00,139.47,140.0,138.93,139.62
2019-01-02 17:00:00,140.93,141.24,139.46,139.48
2019-01-02 18:00:00,141.5,141.57,140.87,140.95
2019-01-02 19:00:00,140.83,141.7,140.73,141.49
2019-01-02 20:00:00,140.83,141.7,140.73,141.49
2019-01-02 21:00:00,140.83,141.7,140.73,141.49
2019-01-02 22:00:00,140.6,140.83,140.55,140.83
2019-01-02 23:00:00,140.8,140.82,140.58,140.61
2019-01-03 00:00:00,140.65,140.82,140.61,140.81
2019-01-03 01:00:00,140.59,140.65,140.57,140.65
2019-01-03 02:00:00,140.54,140.61,140.52,140.6
2019-01-03 03:00:00,140.5,140.55,140.47,140.54
2019-01-03 04:00:00,140.49,140.52,140.48,140.5
2019-01-03 05:00:00,140.52,140.55,140.47,140.49
2019-01-03 06:00:00,140.52,140.55,140.47,140.49
2019-01-03 07:00:00,140.47,140.52,140.43,140.46
2019-01-03 08:00:00,140.41,140.57,140.4,140.48
2019-01-03 09:00:00,140.44,140.45,140.4,140.41
2019-01-03 10:00:00,140.48,140.51,140.42,140.44
2019-01-03 11:00:00,140.64,140.65,140.47,140.48
2019-01-03 12:00:00,140.63,140.65,140.56,140.64
2019-01-03 13:00:00,140.5,140.66,140.49,140.63
2019-01-03 14:00:00,140.5,140.52,140.46,140.5
2019-01-03 15:00:00,140.24,140.5,140.21,140.5
2019-01-03 16:00:00,140.26,140.31,140.22,140.24
2019-01-03 17:00:00,140.26,140.28,140.24,140.26
2019-01-03 18:00:00,140.27,140.29,140.25,140.26
2019-01-03 19:00:00,140.24,140.28,140.21,140.27
2019-01-03 20:00:00,140.26,140.27,140.23,140.24
2019-01-03 21:00:00,140.23,140.27,140.23,140.26
2019-01-03 22:00:00,140.24,140.25,140.22,140.23
2019-01-03 23:00:00,140.23,140.25,140.23,140.24
2019-01-04 00:00:00,140.28,140.28,140.23,140.23
2019-01-04 01:00:00,140.28,140.3,140.27,140.28
2019-01-04 02:00:00,140.25,140.29,140.25,140.28
2019-01-04 03:00:00,140.25,140.25,140.22,140.25
2019-01-04 04:00:00,140.24,140.25,140.23,140.25
2019-01-04 05:00:00,140.23,140.25,140.23,140.24
2019-01-04 06:00:00,140.23,140.25,140.23,140.24
2019-01-04 07:00:00,140.29,140.3,140.23,140.24
2019-01-04 08:00:00,140.29,140.33,140.27,140.29
2019-01-04 09:00:00,140.27,140.33,140.27,140.29
2019-01-04 10:00:00,140.28,140.3,140.24,140.27
2019-01-04 11:00:00,140.31,140.32,140.27,140.28
2019-01-04 12:00:00,140.28,140.31,140.28,140.3
2019-01-04 13:00:00,140.1,140.29,139.89,140.28
2019-01-04 14:00:00,140.3,140.38,140.09,140.1
2019-01-04 15:00:00,140.04,140.38,139.72,140.3
2019-01-07 02:00:00,140.15,140.18,140.11,140.17
2019-01-08 06:00:00,140.47,140.59,140.4,140.44
2019-01-08 07:00:00,140.44,140.55,140.31,140.46
2019-01-08 08:00:00,140.5,140.53,140.31,140.44
2019-01-08 09:00:00,140.54,140.66,140.49,140.5
2019-01-08 10:00:00,140.47,140.54,140.31,140.54
2019-01-08 11:00:00,140.72,140.77,140.41,140.46
2019-01-08 12:00:00,140.52,140.75,140.43,140.72
