,close,max,min,open
2018-12-19 01:00:00,134.45,134.62,134.35,134.51
2018-12-19 02:00:00,134.34,134.6,134.34,134.44
2018-12-19 03:00:00,134.33,134.39,134.19,134.34
2018-12-19 04:00:00,134.55,134.62,134.05,134.32
2018-12-19 05:00:00,134.32,134.73,134.28,134.55
2018-12-19 06:00:00,134.44,134.55,134.31,134.32
2018-12-19 07:00:00,134.51,134.55,134.08,134.43
2018-12-19 08:00:00,134.53,134.64,134.36,134.51
2018-12-19 09:00:00,134.62,134.66,134.42,134.53
2018-12-19 10:00:00,134.17,134.75,134.15,134.61
2018-12-19 11:00:00,134.24,134.36,134.08,134.17
2018-12-19 12:00:00,134.24,134.37,134.21,134.24
2018-12-19 13:00:00,134.27,134.36,134.19,134.24
2018-12-19 14:00:00,133.82,134.29,133.8,134.27
2018-12-19 15:00:00,133.75,133.91,133.75,133.84
2018-12-19 16:00:00,133.75,133.91,133.75,133.84
2018-12-19 17:00:00,133.75,133.91,133.75,133.84
2018-12-19 18:00:00,133.75,133.91,133.75,133.84
2018-12-19 19:00:00,133.75,133.91,133.75,133.84
2018-12-19 20:00:00,133.75,133.91,133.75,133.84
2018-12-19 21:00:00,133.47,133.84,133.29,133.71
2018-12-19 22:00:00,133.99,134.2,133.51,133.51
2018-12-19 23:00:00,134.33,134.36,133.91,133.91
2018-12-20 00:00:00,134.25,134.38,134.13,134.33
2018-12-20 01:00:00,134.23,134.32,134.21,134.25
2018-12-20 02:00:00,134.27,134.34,134.19,134.22
2018-12-20 03:00:00,134.28,134.3,134.19,134.27
2018-12-20 04:00:00,134.32,134.43,134.21,134.28
2018-12-21 21:00:00,134.24,134.85,134.24,134.81
2018-12-23 22:00:00,134.26,134.3,133.12,134.24
2018-12-23 23:00:00,134.15,134.71,134.12,134.3
2018-12-24 00:00:00,134.46,134.49,134.08,134.16
2018-12-24 01:00:00,134.17,134.47,134.0,134.45
2018-12-24 02:00:00,133.37,134.35,133.31,134.18
2018-12-24 03:00:00,133.66,134.02,133.3,133.36
2018-12-24 04:00:00,133.59,134.03,133.59,133.66
2018-12-24 05:00:00,133.76,134.01,133.55,133.59
2018-12-24 06:00:00,133.76,134.01,133.55,133.59
2018-12-24 07:00:00,133.13,133.64,132.64,133.64
2018-12-24 08:00:00,133.92,134.76,133.13,133.13
2018-12-24 09:00:00,134.35,134.4,133.26,133.91
2018-12-24 10:00:00,134.63,134.99,133.61,134.35
2018-12-24 11:00:00,134.89,135.05,134.49,134.62
2018-12-24 12:00:00,134.62,135.1,134.55,134.89
2018-12-24 13:00:00,134.09,134.68,134.09,134.62
2018-12-26 22:00:00,134.09,134.09,134.09,134.09
2018-12-26 23:00:00,134.09,134.09,134.09,134.09
2018-12-27 00:00:00,134.09,134.09,134.09,134.09
2018-12-27 01:00:00,134.09,134.09,134.09,134.09
2018-12-27 02:00:00,134.09,134.09,134.09,134.09
2018-12-27 03:00:00,134.09,134.09,134.09,134.09
2018-12-27 04:00:00,134.09,134.09,134.09,134.09
2018-12-27 05:00:00,134.09,134.09,134.09,134.09
2018-12-27 06:00:00,134.09,134.09,134.09,134.09
