,close,max,min,open
2019-05-05 21:00:00,117.66,118.26,117.51,117.55
2019-05-05 22:00:00,117.53,117.71,117.34,117.7
2019-05-05 23:00:00,117.54,117.74,117.4,117.53
2019-05-06 00:00:00,117.33,117.71,117.32,117.56
2019-05-06 01:00:00,117.55,117.78,117.19,117.31
2019-05-06 02:00:00,117.59,117.61,117.51,117.54
2019-05-06 03:00:00,117.59,117.61,117.51,117.54
2019-05-06 04:00:00,117.59,117.61,117.51,117.54
2019-05-06 05:00:00,117.59,117.61,117.51,117.54
2019-05-06 06:00:00,117.59,117.61,117.51,117.54
2019-05-06 07:00:00,117.59,117.61,117.51,117.54
2019-05-06 08:00:00,117.59,117.61,117.51,117.54
2019-05-06 09:00:00,117.59,117.61,117.51,117.54
2019-05-06 10:00:00,117.59,117.61,117.51,117.54
2019-05-06 11:00:00,117.59,117.61,117.51,117.54
2019-05-06 12:00:00,117.59,117.61,117.51,117.54
2019-05-06 13:00:00,117.59,117.61,117.51,117.54
2019-05-06 14:00:00,117.59,117.61,117.51,117.54
2019-05-06 15:00:00,117.59,117.61,117.51,117.54
2019-05-06 16:00:00,117.59,117.61,117.51,117.54
2019-05-06 17:00:00,117.59,117.61,117.51,117.54
2019-05-06 18:00:00,117.59,117.61,117.51,117.54
2019-05-06 19:00:00,117.71,117.75,117.54,117.57
2019-05-06 20:00:00,117.87,117.87,117.68,117.72
2019-05-06 21:00:00,117.94,117.95,117.05,117.87
2019-05-06 22:00:00,118.7,118.71,117.81,117.92
2019-05-06 23:00:00,118.78,118.78,118.57,118.69
2019-05-07 00:00:00,118.78,118.78,118.57,118.69
2019-05-07 01:00:00,118.78,118.78,118.57,118.69
2019-05-07 02:00:00,118.78,118.78,118.57,118.69
2019-05-07 03:00:00,118.78,118.78,118.57,118.69
2019-05-07 04:00:00,118.78,118.78,118.57,118.69
2019-05-07 05:00:00,118.78,118.78,118.57,118.69
2019-05-07 06:00:00,118.78,118.78,118.57,118.69
2019-05-07 07:00:00,118.78,118.78,118.57,118.69
2019-05-07 08:00:00,118.78,118.78,118.57,118.69
2019-05-07 09:00:00,118.78,118.78,118.57,118.69
2019-05-07 10:00:00,118.78,118.78,118.57,118.69
2019-05-07 11:00:00,118.78,118.78,118.57,118.69
2019-05-07 12:00:00,118.78,118.78,118.57,118.69
2019-05-07 13:00:00,118.78,118.78,118.57,118.69
2019-05-07 14:00:00,118.78,118.78,118.57,118.69
2019-05-07 15:00:00,118.78,118.78,118.57,118.69
2019-05-07 16:00:00,118.78,118.78,118.57,118.69
2019-05-07 17:00:00,118.78,118.78,118.57,118.69
2019-05-07 18:00:00,118.76,118.84,118.56,118.74
2019-05-07 19:00:00,118.78,118.83,118.48,118.78
2019-05-07 20:00:00,118.6,119.06,118.6,118.78
2019-05-07 21:00:00,118.73,118.87,118.14,118.6
2019-05-07 22:00:00,119.0,119.03,118.72,118.72
2019-05-07 23:00:00,119.14,119.14,118.99,119.01
2019-05-08 00:00:00,119.14,119.14,118.99,119.01
2019-05-08 01:00:00,119.14,119.14,118.99,119.01
2019-05-08 02:00:00,119.14,119.14,118.99,119.01
2019-05-08 03:00:00,119.14,119.14,118.99,119.01
2019-05-08 04:00:00,119.14,119.14,118.99,119.01
2019-05-08 05:00:00,119.14,119.14,118.99,119.01
2019-05-08 06:00:00,119.14,119.14,118.99,119.01
2019-05-08 07:00:00,119.14,119.14,118.99,119.01
2019-05-08 08:00:00,119.14,119.14,118.99,119.01
2019-05-08 09:00:00,119.14,119.14,118.99,119.01
2019-05-08 10:00:00,119.14,119.14,118.99,119.01
2019-05-08 11:00:00,119.14,119.14,118.99,119.01
2019-05-08 12:00:00,119.14,119.14,118.99,119.01
2019-05-08 13:00:00,119.14,119.14,118.99,119.01
2019-05-08 14:00:00,119.14,119.14,118.99,119.01
2019-05-08 15:00:00,119.14,119.14,118.99,119.01
2019-05-08 16:00:00,119.14,119.14,118.99,119.01
2019-05-08 17:00:00,119.14,119.14,118.99,119.01
2019-05-08 18:00:00,118.98,119.23,118.94,119.11
2019-05-08 19:00:00,118.77,119.2,118.62,118.98
2019-05-08 20:00:00,118.0,119.1,118.0,118.77
2019-05-08 21:00:00,118.33,118.67,117.87,117.87
2019-05-08 22:00:00,118.46,118.68,118.27,118.34
2019-05-08 23:00:00,118.34,118.61,118.26,118.46
2019-05-09 00:00:00,118.1,118.48,118.04,118.34
2019-05-09 01:00:00,118.29,118.41,118.03,118.1
2019-05-09 02:00:00,118.35,118.36,118.24,118.29
2019-05-09 03:00:00,118.38,118.44,118.34,118.34
2019-05-09 04:00:00,118.44,118.44,118.35,118.38
2019-05-09 05:00:00,118.56,118.55,118.36,118.43
2019-05-09 06:00:00,118.56,118.55,118.36,118.43
2019-05-09 07:00:00,118.56,118.55,118.36,118.43
2019-05-09 08:00:00,118.56,118.55,118.36,118.43
2019-05-09 09:00:00,118.56,118.55,118.36,118.43
2019-05-09 10:00:00,118.56,118.55,118.36,118.43
2019-05-09 11:00:00,118.56,118.55,118.36,118.43
2019-05-09 12:00:00,118.56,118.55,118.36,118.43
2019-05-09 13:00:00,118.56,118.55,118.36,118.43
2019-05-09 14:00:00,118.56,118.55,118.36,118.43
2019-05-09 15:00:00,118.56,118.55,118.36,118.43
2019-05-09 16:00:00,118.56,118.55,118.36,118.43
2019-05-09 17:00:00,118.56,118.55,118.36,118.43
