,close,max,min,open
2019-01-27 22:00:00,105.94,105.94,104.8,105.09
2019-01-27 23:00:00,105.94,105.94,104.8,105.09
2019-01-28 00:00:00,105.94,105.94,104.8,105.09
2019-01-28 01:00:00,105.94,105.94,104.8,105.09
2019-01-28 02:00:00,105.94,105.94,104.8,105.09
2019-01-28 03:00:00,105.94,105.94,104.8,105.09
2019-01-28 04:00:00,105.94,105.94,104.8,105.09
2019-01-28 05:00:00,105.94,105.94,104.8,105.09
2019-01-28 06:00:00,105.94,105.94,104.8,105.09
2019-01-28 07:00:00,105.94,105.94,104.8,105.09
2019-01-28 08:00:00,105.94,105.94,104.8,105.09
2019-01-28 09:00:00,105.94,105.94,104.8,105.09
2019-01-28 10:00:00,105.94,105.94,104.8,105.09
2019-01-28 11:00:00,105.94,105.94,104.8,105.09
2019-01-28 12:00:00,105.94,105.94,104.8,105.09
2019-01-28 13:00:00,105.94,105.94,104.8,105.09
2019-01-28 14:00:00,105.94,105.94,104.8,105.09
2019-01-28 15:00:00,105.94,105.94,104.8,105.09
2019-01-28 16:00:00,105.94,105.94,104.8,105.09
2019-01-28 17:00:00,105.94,105.94,104.8,105.09
2019-01-28 18:00:00,105.94,105.94,104.8,105.09
2019-01-28 19:00:00,105.94,105.94,104.8,105.09
2019-01-28 20:00:00,105.94,105.94,104.8,105.09
2019-01-28 21:00:00,105.94,105.94,104.8,105.09
2019-01-28 22:00:00,105.57,106.01,105.48,105.94
2019-01-28 23:00:00,105.98,105.98,105.56,105.56
2019-01-29 00:00:00,105.98,105.98,105.56,105.56
2019-01-29 01:00:00,105.98,105.98,105.56,105.56
2019-01-29 02:00:00,105.98,105.98,105.56,105.56
2019-01-29 03:00:00,105.98,105.98,105.56,105.56
2019-01-29 04:00:00,105.98,105.98,105.56,105.56
2019-01-29 05:00:00,105.98,105.98,105.56,105.56
2019-01-29 06:00:00,105.98,105.98,105.56,105.56
2019-01-29 07:00:00,105.98,105.98,105.56,105.56
2019-01-29 08:00:00,105.98,105.98,105.56,105.56
2019-01-29 09:00:00,105.98,105.98,105.56,105.56
2019-01-29 10:00:00,105.98,105.98,105.56,105.56
2019-01-29 11:00:00,105.98,105.98,105.56,105.56
2019-01-29 12:00:00,105.98,105.98,105.56,105.56
2019-01-29 13:00:00,105.98,105.98,105.56,105.56
2019-01-29 14:00:00,105.98,105.98,105.56,105.56
2019-01-29 15:00:00,105.98,105.98,105.56,105.56
2019-01-29 16:00:00,105.98,105.98,105.56,105.56
2019-01-29 17:00:00,105.98,105.98,105.56,105.56
2019-01-29 18:00:00,105.98,105.98,105.56,105.56
2019-01-29 19:00:00,105.98,105.98,105.56,105.56
2019-01-29 20:00:00,105.98,105.98,105.56,105.56
2019-01-29 21:00:00,106.18,106.23,105.94,105.94
2019-01-29 22:00:00,106.42,106.42,105.8,105.8
2019-01-29 23:00:00,106.42,106.42,105.8,105.8
2019-01-30 00:00:00,106.42,106.42,105.8,105.8
2019-01-30 01:00:00,106.42,106.42,105.8,105.8
2019-01-30 02:00:00,106.42,106.42,105.8,105.8
2019-01-30 03:00:00,106.42,106.42,105.8,105.8
2019-01-30 04:00:00,106.42,106.42,105.8,105.8
2019-01-30 05:00:00,106.42,106.42,105.8,105.8
2019-01-30 06:00:00,106.42,106.42,105.8,105.8
2019-01-30 07:00:00,106.42,106.42,105.8,105.8
2019-01-30 08:00:00,106.42,106.42,105.8,105.8
2019-01-30 09:00:00,106.42,106.42,105.8,105.8
2019-01-30 10:00:00,106.42,106.42,105.8,105.8
2019-01-30 11:00:00,106.42,106.42,105.8,105.8
2019-01-30 12:00:00,106.42,106.42,105.8,105.8
2019-01-30 13:00:00,106.42,106.42,105.8,105.8
2019-01-30 14:00:00,106.42,106.42,105.8,105.8
2019-01-30 15:00:00,106.42,106.42,105.8,105.8
2019-01-30 16:00:00,106.42,106.42,105.8,105.8
2019-01-30 17:00:00,106.42,106.42,105.8,105.8
2019-01-30 18:00:00,106.42,106.42,105.8,105.8
2019-01-30 19:00:00,106.42,106.42,105.8,105.8
2019-01-30 20:00:00,106.42,106.42,105.8,105.8
2019-01-30 21:00:00,106.42,106.42,105.8,105.8
2019-01-30 22:00:00,106.63,106.63,106.22,106.42
2019-01-30 23:00:00,106.63,106.63,106.63,106.63
2019-01-31 00:00:00,106.63,106.63,106.63,106.63
2019-01-31 01:00:00,106.63,106.63,106.63,106.63
2019-01-31 02:00:00,106.63,106.63,106.63,106.63
2019-01-31 03:00:00,106.63,106.63,106.63,106.63
2019-01-31 04:00:00,106.63,106.63,106.63,106.63
2019-01-31 05:00:00,106.63,106.63,106.63,106.63
2019-01-31 06:00:00,106.63,106.63,106.63,106.63
2019-01-31 07:00:00,106.63,106.63,106.63,106.63
2019-01-31 08:00:00,106.63,106.63,106.63,106.63
2019-01-31 09:00:00,106.63,106.63,106.63,106.63
2019-01-31 10:00:00,106.63,106.63,106.63,106.63
2019-01-31 11:00:00,106.63,106.63,106.63,106.63
2019-01-31 12:00:00,106.63,106.63,106.63,106.63
2019-01-31 13:00:00,106.63,106.63,106.63,106.63
2019-01-31 14:00:00,106.63,106.63,106.63,106.63
2019-01-31 15:00:00,106.63,106.63,106.63,106.63
2019-01-31 16:00:00,106.63,106.63,106.63,106.63
2019-01-31 17:00:00,106.63,106.63,106.63,106.63
2019-01-31 18:00:00,106.63,106.63,106.63,106.63
2019-01-31 19:00:00,106.63,106.63,106.63,106.63
2019-01-31 20:00:00,106.63,106.63,106.63,106.63
2019-01-31 21:00:00,106.73,106.86,106.43,106.43
2019-01-31 22:00:00,106.95,107.12,106.59,106.69
2019-01-31 23:00:00,107.04,107.14,106.8,107.11
2019-02-03 22:00:00,107.66,107.87,106.77,107.04
2019-02-03 23:00:00,107.98,107.98,107.64,107.72
2019-02-04 00:00:00,107.98,107.98,107.64,107.72
2019-02-04 01:00:00,107.98,107.98,107.64,107.72
2019-02-04 02:00:00,107.98,107.98,107.64,107.72
2019-02-04 03:00:00,107.98,107.98,107.64,107.72
2019-02-04 04:00:00,107.98,107.98,107.64,107.72
2019-02-04 05:00:00,107.98,107.98,107.64,107.72
2019-02-04 06:00:00,107.98,107.98,107.64,107.72
2019-02-04 07:00:00,107.98,107.98,107.64,107.72
2019-02-04 08:00:00,107.98,107.98,107.64,107.72
2019-02-04 09:00:00,107.98,107.98,107.64,107.72
2019-02-04 10:00:00,107.98,107.98,107.64,107.72
2019-02-04 11:00:00,107.98,107.98,107.64,107.72
2019-02-04 12:00:00,107.98,107.98,107.64,107.72
2019-02-04 13:00:00,107.98,107.98,107.64,107.72
2019-02-04 14:00:00,107.98,107.98,107.64,107.72
2019-02-04 15:00:00,107.98,107.98,107.64,107.72
2019-02-04 16:00:00,107.98,107.98,107.64,107.72
2019-02-04 17:00:00,107.98,107.98,107.64,107.72
2019-02-04 18:00:00,107.98,107.98,107.64,107.72
2019-02-04 19:00:00,107.98,107.98,107.64,107.72
2019-02-04 20:00:00,107.98,107.98,107.64,107.72
2019-02-04 21:00:00,107.96,108.42,107.96,107.93
2019-02-04 22:00:00,108.22,108.3,107.91,107.91
2019-02-04 23:00:00,108.22,108.3,107.91,107.91
2019-02-05 00:00:00,108.22,108.3,107.91,107.91
2019-02-05 01:00:00,108.22,108.3,107.91,107.91
2019-02-05 02:00:00,108.22,108.3,107.91,107.91
2019-02-05 03:00:00,108.22,108.3,107.91,107.91
2019-02-05 04:00:00,108.22,108.3,107.91,107.91
2019-02-05 05:00:00,108.22,108.3,107.91,107.91
2019-02-05 06:00:00,108.22,108.3,107.91,107.91
2019-02-05 07:00:00,108.22,108.3,107.91,107.91
2019-02-05 08:00:00,108.22,108.3,107.91,107.91
2019-02-05 09:00:00,108.22,108.3,107.91,107.91
2019-02-05 10:00:00,108.22,108.3,107.91,107.91
2019-02-05 11:00:00,108.22,108.3,107.91,107.91
2019-02-05 12:00:00,108.22,108.3,107.91,107.91
2019-02-05 13:00:00,108.22,108.3,107.91,107.91
2019-02-05 14:00:00,108.22,108.3,107.91,107.91
2019-02-05 15:00:00,108.22,108.3,107.91,107.91
2019-02-05 16:00:00,108.22,108.3,107.91,107.91
2019-02-05 17:00:00,108.22,108.3,107.91,107.91
2019-02-05 18:00:00,108.22,108.3,107.91,107.91
2019-02-05 19:00:00,108.22,108.3,107.91,107.91
2019-02-05 20:00:00,108.22,108.3,107.91,107.91
2019-02-05 21:00:00,108.26,108.42,108.0,108.2
2019-02-05 22:00:00,108.08,108.35,107.82,108.21
2019-02-05 23:00:00,108.56,108.56,108.06,108.06
2019-02-06 00:00:00,108.56,108.56,108.06,108.06
2019-02-06 01:00:00,108.56,108.56,108.06,108.06
2019-02-06 02:00:00,108.56,108.56,108.06,108.06
2019-02-06 03:00:00,108.56,108.56,108.06,108.06
2019-02-06 04:00:00,108.56,108.56,108.06,108.06
2019-02-06 05:00:00,108.56,108.56,108.06,108.06
2019-02-06 06:00:00,108.56,108.56,108.06,108.06
2019-02-06 07:00:00,108.56,108.56,108.06,108.06
2019-02-06 08:00:00,108.56,108.56,108.06,108.06
2019-02-06 09:00:00,108.56,108.56,108.06,108.06
2019-02-06 10:00:00,108.56,108.56,108.06,108.06
2019-02-06 11:00:00,108.56,108.56,108.06,108.06
2019-02-06 12:00:00,108.56,108.56,108.06,108.06
2019-02-06 13:00:00,108.56,108.56,108.06,108.06
2019-02-06 14:00:00,108.56,108.56,108.06,108.06
2019-02-06 15:00:00,108.56,108.56,108.06,108.06
2019-02-06 16:00:00,108.56,108.56,108.06,108.06
2019-02-06 17:00:00,108.56,108.56,108.06,108.06
2019-02-06 18:00:00,108.56,108.56,108.06,108.06
2019-02-06 19:00:00,108.56,108.56,108.06,108.06
2019-02-06 20:00:00,108.56,108.56,108.06,108.06
2019-02-06 21:00:00,108.76,108.76,108.52,108.54
2019-02-06 22:00:00,108.76,108.76,108.76,108.76
2019-02-06 23:00:00,108.76,108.76,108.76,108.76
2019-02-07 00:00:00,108.76,108.76,108.76,108.76
2019-02-07 01:00:00,108.76,108.76,108.76,108.76
2019-02-07 02:00:00,108.76,108.76,108.76,108.76
2019-02-07 03:00:00,108.76,108.76,108.76,108.76
2019-02-07 04:00:00,108.76,108.76,108.76,108.76
2019-02-07 05:00:00,108.76,108.76,108.76,108.76
2019-02-07 06:00:00,108.76,108.76,108.76,108.76
2019-02-07 07:00:00,108.76,108.76,108.76,108.76
2019-02-07 08:00:00,108.76,108.76,108.76,108.76
2019-02-07 09:00:00,108.76,108.76,108.76,108.76
2019-02-07 10:00:00,108.76,108.76,108.76,108.76
2019-02-07 11:00:00,108.76,108.76,108.76,108.76
2019-02-07 12:00:00,108.76,108.76,108.76,108.76
2019-02-07 13:00:00,108.76,108.76,108.76,108.76
2019-02-07 14:00:00,108.76,108.76,108.76,108.76
2019-02-07 15:00:00,108.76,108.76,108.76,108.76
2019-02-07 16:00:00,108.76,108.76,108.76,108.76
2019-02-07 17:00:00,108.76,108.76,108.76,108.76
2019-02-07 18:00:00,108.76,108.76,108.76,108.76
2019-02-07 19:00:00,108.76,108.76,108.76,108.76
2019-02-07 20:00:00,108.76,108.76,108.76,108.76
2019-02-07 21:00:00,108.41,108.98,108.26,108.72
2019-02-07 22:00:00,108.9,108.9,108.03,108.29
2019-02-10 22:00:00,106.39,108.9,105.61,108.9
2019-02-10 23:00:00,106.46,106.46,106.16,106.35
2019-02-11 00:00:00,106.46,106.46,106.16,106.35
2019-02-11 01:00:00,106.46,106.46,106.16,106.35
2019-02-11 02:00:00,106.46,106.46,106.16,106.35
