,close,max,min,open
2019-03-24 21:00:00,170.81,170.81,170.81,170.81
2019-03-24 22:00:00,170.81,170.81,170.81,170.81
2019-03-24 23:00:00,170.81,170.81,170.81,170.81
2019-03-25 00:00:00,170.81,170.81,170.81,170.81
2019-03-25 01:00:00,170.81,170.81,170.81,170.81
2019-03-25 02:00:00,170.81,170.81,170.81,170.81
2019-03-25 03:00:00,170.81,170.81,170.81,170.81
2019-03-25 04:00:00,170.81,170.81,170.81,170.81
2019-03-25 05:00:00,170.81,170.81,170.81,170.81
2019-03-25 06:00:00,170.81,170.81,170.81,170.81
2019-03-25 07:00:00,170.81,170.81,170.81,170.81
2019-03-25 08:00:00,170.81,170.81,170.81,170.81
2019-03-25 09:00:00,170.81,170.81,170.81,170.81
2019-03-25 10:00:00,170.81,170.81,170.81,170.81
2019-03-25 11:00:00,170.81,170.81,170.81,170.81
2019-03-25 12:00:00,170.81,170.81,170.81,170.81
2019-03-25 13:00:00,170.81,170.81,170.81,170.81
2019-03-25 14:00:00,170.81,170.81,170.81,170.81
2019-03-25 15:00:00,170.81,170.81,170.81,170.81
2019-03-25 16:00:00,170.81,170.81,170.81,170.81
2019-03-25 17:00:00,170.81,170.81,170.81,170.81
2019-03-25 18:00:00,170.81,170.81,170.81,170.81
2019-03-25 19:00:00,170.81,170.81,170.81,170.81
2019-03-25 20:00:00,170.81,170.81,170.81,170.81
2019-03-25 21:00:00,170.81,170.81,170.81,170.81
2019-03-25 22:00:00,170.81,170.81,170.81,170.81
2019-03-25 23:00:00,170.81,170.81,170.81,170.81
2019-03-26 00:00:00,170.81,170.81,170.81,170.81
2019-03-26 01:00:00,170.81,170.81,170.81,170.81
2019-03-26 02:00:00,170.81,170.81,170.81,170.81
2019-03-26 03:00:00,170.81,170.81,170.81,170.81
2019-03-26 04:00:00,170.81,170.81,170.81,170.81
2019-03-26 05:00:00,170.81,170.81,170.81,170.81
2019-03-26 06:00:00,170.81,170.81,170.81,170.81
2019-03-26 07:00:00,170.81,170.81,170.81,170.81
2019-03-26 08:00:00,170.81,170.81,170.81,170.81
2019-03-26 09:00:00,170.81,170.81,170.81,170.81
2019-03-26 10:00:00,170.81,170.81,170.81,170.81
2019-03-26 11:00:00,170.81,170.81,170.81,170.81
2019-03-26 12:00:00,170.81,170.81,170.81,170.81
2019-03-26 13:00:00,170.79,170.88,170.74,170.81
2019-03-26 14:00:00,170.89,170.91,170.79,170.79
2019-03-26 15:00:00,170.73,170.9,170.72,170.89
2019-03-26 16:00:00,170.81,170.83,170.73,170.73
2019-03-26 17:00:00,170.77,170.87,170.72,170.81
2019-03-26 18:00:00,170.71,170.77,170.7,170.77
2019-03-26 19:00:00,170.65,170.74,170.61,170.72
2019-03-26 20:00:00,170.61,170.66,170.59,170.64
2019-03-26 21:00:00,170.69,170.72,170.56,170.6
2019-03-26 22:00:00,170.78,170.81,170.66,170.68
2019-03-26 23:00:00,170.75,170.8,170.74,170.78
2019-03-27 00:00:00,170.63,170.76,170.53,170.74
2019-03-27 01:00:00,170.43,170.63,170.42,170.62
2019-03-27 02:00:00,170.45,170.46,170.35,170.43
2019-03-27 03:00:00,170.38,170.46,170.38,170.45
2019-03-27 04:00:00,170.46,170.47,170.38,170.38
2019-03-27 05:00:00,170.46,170.5,170.39,170.47
2019-03-27 06:00:00,170.61,170.62,170.45,170.46
2019-03-27 07:00:00,170.37,170.61,170.28,170.61
2019-03-27 08:00:00,170.78,170.82,170.33,170.36
2019-03-27 09:00:00,170.86,170.95,170.68,170.78
2019-03-27 10:00:00,170.82,170.95,170.76,170.86
2019-03-27 11:00:00,170.86,170.93,170.65,170.82
2019-03-27 12:00:00,170.7,170.91,170.62,170.87
2019-03-27 13:00:00,170.48,170.71,170.3,170.7
2019-03-27 14:00:00,170.36,170.51,170.23,170.48
2019-03-27 15:00:00,170.34,170.45,170.19,170.36
2019-03-27 16:00:00,170.56,170.6,170.22,170.35
2019-03-27 17:00:00,170.4,170.64,170.35,170.56
2019-03-27 18:00:00,170.58,170.6,170.37,170.4
2019-03-27 19:00:00,170.35,170.58,170.29,170.58
2019-03-27 20:00:00,170.22,170.35,170.21,170.35
2019-03-27 21:00:00,170.29,170.35,170.15,170.15
2019-03-27 22:00:00,170.25,170.32,170.25,170.28
2019-03-27 23:00:00,170.3,170.31,170.23,170.25
2019-03-28 00:00:00,170.24,170.34,170.21,170.3
2019-03-28 01:00:00,170.19,170.32,170.15,170.23
2019-03-28 02:00:00,170.35,170.36,170.19,170.19
2019-03-28 03:00:00,170.35,170.4,170.31,170.35
2019-03-28 04:00:00,170.34,170.35,170.3,170.34
2019-03-28 05:00:00,170.38,170.4,170.32,170.35
2019-03-28 06:00:00,170.37,170.46,170.35,170.38
2019-03-28 07:00:00,170.05,170.45,170.03,170.37
2019-03-28 08:00:00,170.45,170.53,169.94,170.06
2019-03-28 09:00:00,170.53,170.63,170.39,170.46
2019-03-28 10:00:00,170.44,170.62,170.3,170.53
2019-03-28 11:00:00,169.7,170.44,169.66,170.44
