,close,max,min,open
2018-12-19 22:00:00,110.98,110.98,110.98,110.98
2018-12-19 23:00:00,110.98,110.98,110.98,110.98
2018-12-20 00:00:00,110.98,110.98,110.98,110.98
2018-12-20 01:00:00,110.98,110.98,110.98,110.98
2018-12-20 02:00:00,110.98,110.98,110.98,110.98
2018-12-20 03:00:00,110.98,110.98,110.98,110.98
2018-12-20 04:00:00,110.98,110.98,110.98,110.98
2018-12-20 05:00:00,110.98,110.98,110.98,110.98
2018-12-20 06:00:00,110.98,110.98,110.98,110.98
2018-12-20 07:00:00,110.98,110.98,110.98,110.98
2018-12-20 08:00:00,110.98,110.98,110.98,110.98
2018-12-20 09:00:00,110.98,110.98,110.98,110.98
2018-12-20 10:00:00,110.98,110.98,110.98,110.98
2018-12-20 11:00:00,110.98,110.98,110.98,110.98
2018-12-20 12:00:00,110.98,110.98,110.98,110.98
2018-12-20 13:00:00,110.98,110.98,110.98,110.98
2018-12-20 14:00:00,110.98,110.98,110.98,110.98
2018-12-20 15:00:00,110.98,110.98,110.98,110.98
2018-12-20 16:00:00,110.98,110.98,110.98,110.98
2018-12-20 17:00:00,110.98,110.98,110.98,110.98
2018-12-20 18:00:00,110.98,110.98,110.98,110.98
2018-12-20 19:00:00,110.98,110.98,110.98,110.98
2018-12-20 20:00:00,110.98,110.98,110.98,110.98
2018-12-20 21:00:00,110.98,110.98,110.98,110.98
2018-12-20 22:00:00,110.98,110.98,110.98,110.98
2018-12-23 22:00:00,110.98,110.98,110.98,110.98
2018-12-26 22:00:00,110.98,110.98,110.98,110.98
2018-12-26 23:00:00,110.98,110.98,110.98,110.98
2018-12-27 00:00:00,110.98,110.98,110.98,110.98
2018-12-27 01:00:00,110.98,110.98,110.98,110.98
2018-12-27 02:00:00,110.98,110.98,110.98,110.98
2018-12-27 03:00:00,110.98,110.98,110.98,110.98
2018-12-27 04:00:00,110.98,110.98,110.98,110.98
2018-12-27 05:00:00,110.98,110.98,110.98,110.98
2018-12-27 06:00:00,110.98,110.98,110.98,110.98
2018-12-27 07:00:00,110.98,110.98,110.98,110.98
2018-12-27 08:00:00,110.98,110.98,110.98,110.98
2018-12-27 09:00:00,110.98,110.98,110.98,110.98
2018-12-27 10:00:00,110.98,110.98,110.98,110.98
2018-12-27 11:00:00,110.98,110.98,110.98,110.98
2018-12-27 12:00:00,110.98,110.98,110.98,110.98
2018-12-27 13:00:00,110.98,110.98,110.98,110.98
2018-12-27 14:00:00,110.98,110.98,110.98,110.98
2018-12-27 15:00:00,110.98,110.98,110.98,110.98
2018-12-27 16:00:00,110.98,110.98,110.98,110.98
2018-12-27 17:00:00,110.98,110.98,110.98,110.98
2018-12-27 18:00:00,110.98,110.98,110.98,110.98
2018-12-27 19:00:00,110.98,110.98,110.98,110.98
2018-12-27 20:00:00,110.98,110.98,110.98,110.98
2018-12-27 21:00:00,110.98,110.98,110.98,110.98
2018-12-27 22:00:00,110.98,110.98,110.98,110.98
2019-01-02 22:00:00,110.98,110.98,110.98,110.98
2019-01-02 23:00:00,110.98,110.98,110.98,110.98
2019-01-03 00:00:00,110.98,110.98,110.98,110.98
2019-01-03 01:00:00,110.98,110.98,110.98,110.98
2019-01-03 02:00:00,110.98,110.98,110.98,110.98
2019-01-03 03:00:00,110.98,110.98,110.98,110.98
2019-01-03 04:00:00,110.98,110.98,110.98,110.98
2019-01-03 05:00:00,110.98,110.98,110.98,110.98
