,close,max,min,open
2018-12-19 22:00:00,126.7,126.7,126.7,126.7
2018-12-19 23:00:00,126.7,126.7,126.7,126.7
2018-12-20 00:00:00,126.7,126.7,126.7,126.7
2018-12-20 01:00:00,126.7,126.7,126.7,126.7
2018-12-20 02:00:00,126.7,126.7,126.7,126.7
2018-12-20 03:00:00,126.7,126.7,126.7,126.7
2018-12-20 04:00:00,126.7,126.7,126.7,126.7
2018-12-20 05:00:00,126.7,126.7,126.7,126.7
2018-12-20 06:00:00,126.7,126.7,126.7,126.7
2018-12-20 07:00:00,126.7,126.7,126.7,126.7
2018-12-20 08:00:00,126.7,126.7,126.7,126.7
2018-12-20 09:00:00,126.7,126.7,126.7,126.7
2018-12-20 10:00:00,126.7,126.7,126.7,126.7
2018-12-20 11:00:00,126.7,126.7,126.7,126.7
2018-12-20 12:00:00,126.7,126.7,126.7,126.7
2018-12-20 13:00:00,126.7,126.7,126.7,126.7
2018-12-20 14:00:00,126.7,126.7,126.7,126.7
2018-12-20 15:00:00,126.7,126.7,126.7,126.7
2018-12-20 16:00:00,126.7,126.7,126.7,126.7
2018-12-20 17:00:00,126.7,126.7,126.7,126.7
2018-12-20 18:00:00,126.7,126.7,126.7,126.7
2018-12-20 19:00:00,126.7,126.7,126.7,126.7
2018-12-20 20:00:00,126.7,126.7,126.7,126.7
2018-12-20 21:00:00,126.7,126.7,126.7,126.7
2018-12-20 22:00:00,126.7,126.7,126.7,126.7
2018-12-23 22:00:00,126.7,126.7,126.7,126.7
2018-12-26 22:00:00,126.7,126.7,126.7,126.7
2018-12-26 23:00:00,126.7,126.7,126.7,126.7
2018-12-27 00:00:00,126.7,126.7,126.7,126.7
2018-12-27 01:00:00,126.7,126.7,126.7,126.7
2018-12-27 02:00:00,126.7,126.7,126.7,126.7
2018-12-27 03:00:00,126.7,126.7,126.7,126.7
2018-12-27 04:00:00,126.7,126.7,126.7,126.7
2018-12-27 05:00:00,126.7,126.7,126.7,126.7
2018-12-27 06:00:00,126.7,126.7,126.7,126.7
2018-12-27 07:00:00,126.7,126.7,126.7,126.7
2018-12-27 08:00:00,126.7,126.7,126.7,126.7
2018-12-27 09:00:00,126.7,126.7,126.7,126.7
2018-12-27 10:00:00,126.7,126.7,126.7,126.7
2018-12-27 11:00:00,126.7,126.7,126.7,126.7
2018-12-27 12:00:00,126.7,126.7,126.7,126.7
2018-12-27 13:00:00,126.7,126.7,126.7,126.7
2018-12-27 14:00:00,126.7,126.7,126.7,126.7
2018-12-27 15:00:00,126.7,126.7,126.7,126.7
2018-12-27 16:00:00,126.7,126.7,126.7,126.7
2018-12-27 17:00:00,126.7,126.7,126.7,126.7
2018-12-27 18:00:00,126.7,126.7,126.7,126.7
2018-12-27 19:00:00,126.7,126.7,126.7,126.7
2018-12-27 20:00:00,126.7,126.7,126.7,126.7
2018-12-27 21:00:00,126.7,126.7,126.7,126.7
2018-12-27 22:00:00,126.7,126.7,126.7,126.7
2018-12-30 22:00:00,126.7,126.7,126.7,126.7
2019-01-02 22:00:00,126.91,127.02,124.68,126.7
2019-01-02 23:00:00,126.91,126.98,126.55,126.92
2019-01-03 00:00:00,127.07,127.08,126.91,126.91
2019-01-03 01:00:00,127.04,127.1,127.0,127.07
2019-01-03 02:00:00,127.06,127.08,126.99,127.04
2019-01-03 03:00:00,127.05,127.1,127.04,127.06
2019-01-03 04:00:00,127.1,127.13,127.05,127.05
2019-01-03 05:00:00,127.1,127.11,127.05,127.1
2019-01-03 06:00:00,127.1,127.11,127.05,127.1
2019-01-03 07:00:00,127.12,127.15,127.06,127.08
2019-01-03 08:00:00,127.11,127.17,127.1,127.12
2019-01-03 09:00:00,127.14,127.15,127.1,127.11
2019-01-03 10:00:00,127.2,127.21,127.14,127.14
2019-01-03 11:00:00,127.16,127.21,127.15,127.2
2019-01-03 12:00:00,127.2,127.21,127.15,127.17
2019-01-03 13:00:00,127.24,127.26,127.18,127.2
2019-01-03 14:00:00,127.17,127.25,127.15,127.24
2019-01-03 15:00:00,127.14,127.18,127.07,127.15
2019-01-03 16:00:00,127.18,127.2,127.11,127.14
2019-01-03 17:00:00,127.13,127.2,127.09,127.18
2019-01-03 18:00:00,127.07,127.13,127.07,127.13
