,close,max,min,open
2018-12-19 15:00:00,140.2,140.21,140.1,140.14
2018-12-19 16:00:00,140.2,140.21,140.1,140.14
2018-12-19 17:00:00,140.2,140.21,140.1,140.14
2018-12-19 18:00:00,140.2,140.21,140.1,140.14
2018-12-19 19:00:00,140.2,140.21,140.1,140.14
2018-12-19 20:00:00,140.2,140.21,140.1,140.14
2018-12-19 21:00:00,140.2,140.21,140.1,140.14
2018-12-19 22:00:00,140.2,140.2,140.2,140.2
2018-12-19 23:00:00,140.2,140.2,140.2,140.2
2018-12-20 00:00:00,140.2,140.2,140.2,140.2
2018-12-20 01:00:00,140.2,140.2,140.2,140.2
2018-12-20 02:00:00,140.2,140.2,140.2,140.2
2018-12-20 03:00:00,140.2,140.2,140.2,140.2
2018-12-20 04:00:00,140.2,140.2,140.2,140.2
2018-12-20 05:00:00,140.2,140.2,140.2,140.2
2018-12-20 06:00:00,140.2,140.2,140.2,140.2
2018-12-20 07:00:00,139.96,140.2,139.52,140.15
2018-12-20 08:00:00,139.62,140.13,139.47,139.97
2018-12-20 09:00:00,137.38,139.75,137.21,139.62
2018-12-20 10:00:00,137.47,137.88,136.94,137.38
2018-12-20 11:00:00,138.08,138.25,137.09,137.47
2018-12-20 12:00:00,138.08,138.25,137.09,137.47
2018-12-20 13:00:00,138.08,138.25,137.09,137.47
2018-12-20 14:00:00,138.08,138.25,137.09,137.47
2018-12-20 15:00:00,138.54,138.85,137.54,138.48
2018-12-20 16:00:00,139.06,139.08,138.12,138.54
2018-12-20 17:00:00,139.09,139.08,139.05,139.05
2018-12-20 18:00:00,139.13,139.16,139.05,139.07
2018-12-20 19:00:00,139.13,139.16,139.05,139.07
2018-12-20 20:00:00,139.13,139.16,139.05,139.07
2018-12-20 21:00:00,139.13,139.16,139.05,139.07
2018-12-20 22:00:00,139.13,139.16,139.05,139.07
2018-12-20 23:00:00,139.13,139.16,139.05,139.07
2018-12-21 00:00:00,139.13,139.16,139.05,139.07
2018-12-21 01:00:00,139.13,139.16,139.05,139.07
2018-12-21 02:00:00,139.13,139.16,139.05,139.07
2018-12-21 03:00:00,139.13,139.16,139.05,139.07
2018-12-21 04:00:00,139.13,139.16,139.05,139.07
2018-12-21 05:00:00,139.13,139.16,139.05,139.07
2018-12-21 06:00:00,139.13,139.16,139.05,139.07
2018-12-21 07:00:00,139.28,139.65,138.94,139.49
2018-12-21 08:00:00,140.1,140.1,139.2,139.26
2018-12-21 09:00:00,140.34,140.43,139.75,140.09
2018-12-21 10:00:00,140.22,140.35,140.12,140.34
2018-12-21 11:00:00,140.28,140.34,140.14,140.22
2018-12-21 12:00:00,140.43,140.43,139.72,140.28
2018-12-21 13:00:00,140.43,140.43,139.72,140.28
2018-12-21 14:00:00,140.43,140.43,139.72,140.28
2018-12-21 15:00:00,140.43,140.43,139.72,140.28
2018-12-21 16:00:00,140.43,140.43,139.72,140.28
2018-12-21 17:00:00,140.43,140.43,139.72,140.28
2018-12-21 18:00:00,139.95,140.42,139.86,140.41
2018-12-24 02:00:00,139.64,139.69,139.59,139.68
2018-12-24 03:00:00,139.64,139.69,139.59,139.68
2018-12-24 04:00:00,139.64,139.69,139.59,139.68
2018-12-24 05:00:00,139.55,139.74,139.47,139.5
2018-12-24 06:00:00,139.55,139.74,139.47,139.5
2018-12-24 07:00:00,139.55,139.74,139.47,139.5
2018-12-24 08:00:00,139.55,139.74,139.47,139.5
2018-12-24 09:00:00,139.55,139.74,139.47,139.5
2018-12-24 10:00:00,139.55,139.74,139.47,139.5
2018-12-24 11:00:00,139.55,139.74,139.47,139.5
2018-12-24 12:00:00,139.55,139.74,139.47,139.5
2018-12-24 13:00:00,139.55,139.74,139.47,139.5
2018-12-24 14:00:00,140.13,140.13,139.63,139.99
2018-12-26 05:00:00,140.5,140.52,140.43,140.44
2018-12-26 06:00:00,140.56,140.57,140.43,140.5
2018-12-26 07:00:00,140.56,140.57,140.43,140.5
2018-12-26 08:00:00,140.56,140.57,140.43,140.5
2018-12-26 09:00:00,140.56,140.57,140.43,140.5
2018-12-26 10:00:00,140.56,140.57,140.43,140.5
2018-12-26 11:00:00,140.56,140.57,140.43,140.5
2018-12-26 12:00:00,140.56,140.57,140.43,140.5
