,close,max,min,open
2019-04-21 21:00:00,115.05,115.08,115.05,115.08
2019-04-21 22:00:00,115.08,115.1,115.07,115.07
2019-04-21 23:00:00,115.07,115.08,115.06,115.08
2019-04-22 00:00:00,115.07,115.08,115.06,115.07
2019-04-22 01:00:00,115.08,115.09,115.07,115.07
2019-04-22 02:00:00,115.09,115.1,115.08,115.08
2019-04-22 03:00:00,115.11,115.11,115.08,115.09
2019-04-22 04:00:00,115.1,115.11,115.1,115.1
2019-04-22 05:00:00,115.07,115.1,115.07,115.1
2019-04-22 06:00:00,115.07,115.08,115.07,115.08
2019-04-22 07:00:00,115.05,115.08,115.05,115.07
2019-04-22 08:00:00,115.05,115.07,115.05,115.05
2019-04-22 09:00:00,115.04,115.05,115.03,115.05
2019-04-22 10:00:00,115.03,115.04,115.02,115.04
2019-04-22 11:00:00,115.04,115.05,115.03,115.03
2019-04-22 12:00:00,115.03,115.05,115.0,115.04
2019-04-22 13:00:00,115.02,115.04,115.01,115.03
2019-04-22 14:00:00,115.0,115.03,114.99,115.02
2019-04-22 15:00:00,114.99,115.02,114.97,115.0
2019-04-22 16:00:00,114.99,114.99,114.97,114.99
2019-04-22 17:00:00,114.97,114.99,114.97,114.99
2019-04-22 18:00:00,114.99,114.99,114.97,114.97
2019-04-22 19:00:00,114.99,114.99,114.97,114.99
2019-04-22 20:00:00,114.99,115.0,114.99,114.99
2019-04-22 21:00:00,114.99,115.0,114.98,114.99
2019-04-22 22:00:00,114.98,114.99,114.98,114.99
2019-04-22 23:00:00,114.99,114.99,114.98,114.98
2019-04-23 00:00:00,115.07,115.07,114.99,114.99
2019-04-23 01:00:00,115.04,115.07,115.03,115.07
2019-04-23 02:00:00,115.04,115.05,115.03,115.04
2019-04-23 03:00:00,115.02,115.04,115.01,115.04
2019-04-23 04:00:00,115.03,115.04,115.02,115.02
2019-04-23 05:00:00,115.03,115.05,115.03,115.03
2019-04-23 06:00:00,115.05,115.08,115.04,115.04
