,close,max,min,open
2019-02-03 22:00:00,115.44,115.44,115.44,115.44
2019-02-03 23:00:00,115.44,115.44,115.44,115.44
2019-02-04 00:00:00,115.44,115.44,115.44,115.44
2019-02-04 01:00:00,115.44,115.44,115.44,115.44
2019-02-04 02:00:00,115.44,115.44,115.44,115.44
2019-02-04 03:00:00,115.44,115.44,115.44,115.44
2019-02-04 04:00:00,115.44,115.44,115.44,115.44
2019-02-04 05:00:00,115.44,115.44,115.44,115.44
2019-02-04 06:00:00,115.44,115.44,115.44,115.44
2019-02-04 07:00:00,115.44,115.44,115.44,115.44
2019-02-04 08:00:00,115.44,115.44,115.44,115.44
2019-02-04 09:00:00,115.44,115.44,115.44,115.44
2019-02-04 10:00:00,115.44,115.44,115.44,115.44
2019-02-04 11:00:00,115.44,115.44,115.44,115.44
2019-02-04 12:00:00,115.44,115.44,115.44,115.44
2019-02-04 13:00:00,115.44,115.44,115.44,115.44
2019-02-04 14:00:00,115.44,115.44,115.44,115.44
2019-02-04 15:00:00,115.44,115.44,115.44,115.44
2019-02-04 16:00:00,115.44,115.44,115.44,115.44
2019-02-04 17:00:00,115.44,115.44,115.44,115.44
2019-02-04 18:00:00,115.44,115.44,115.44,115.44
2019-02-04 19:00:00,115.44,115.44,115.44,115.44
2019-02-04 20:00:00,115.44,115.44,115.44,115.44
2019-02-04 21:00:00,115.44,115.44,115.44,115.44
2019-02-04 22:00:00,115.44,115.44,115.44,115.44
2019-02-04 23:00:00,115.44,115.44,115.44,115.44
2019-02-05 00:00:00,115.44,115.44,115.44,115.44
2019-02-05 01:00:00,115.44,115.44,115.44,115.44
2019-02-05 02:00:00,115.44,115.44,115.44,115.44
2019-02-05 03:00:00,115.44,115.44,115.44,115.44
2019-02-05 04:00:00,115.44,115.44,115.44,115.44
2019-02-05 05:00:00,115.44,115.44,115.44,115.44
2019-02-05 06:00:00,115.44,115.44,115.44,115.44
2019-02-05 07:00:00,115.44,115.44,115.44,115.44
2019-02-05 08:00:00,115.44,115.44,115.44,115.44
2019-02-05 09:00:00,115.44,115.44,115.44,115.44
2019-02-05 10:00:00,115.44,115.44,115.44,115.44
2019-02-05 11:00:00,115.44,115.44,115.44,115.44
2019-02-05 12:00:00,115.44,115.44,115.44,115.44
2019-02-05 13:00:00,115.44,115.44,115.44,115.44
2019-02-05 14:00:00,115.44,115.44,115.44,115.44
2019-02-05 15:00:00,115.44,115.44,115.44,115.44
2019-02-05 16:00:00,115.44,115.44,115.44,115.44
2019-02-05 17:00:00,115.44,115.44,115.44,115.44
2019-02-05 18:00:00,115.44,115.44,115.44,115.44
2019-02-05 19:00:00,115.44,115.44,115.44,115.44
2019-02-05 20:00:00,115.44,115.44,115.44,115.44
2019-02-05 21:00:00,115.44,115.44,115.44,115.44
2019-02-05 22:00:00,115.44,115.44,115.44,115.44
2019-02-05 23:00:00,115.44,115.44,115.44,115.44
2019-02-06 00:00:00,115.44,115.44,115.44,115.44
2019-02-06 01:00:00,115.44,115.44,115.44,115.44
2019-02-06 02:00:00,115.44,115.44,115.44,115.44
2019-02-06 03:00:00,115.44,115.44,115.44,115.44
2019-02-06 04:00:00,115.44,115.44,115.44,115.44
2019-02-06 05:00:00,115.44,115.44,115.44,115.44
2019-02-06 06:00:00,115.44,115.44,115.44,115.44
2019-02-06 07:00:00,115.44,115.44,115.44,115.44
2019-02-06 08:00:00,115.44,115.44,115.44,115.44
2019-02-06 09:00:00,115.44,115.44,115.44,115.44
2019-02-06 10:00:00,115.37,115.43,115.35,115.42
2019-02-06 11:00:00,115.22,115.37,115.21,115.37
2019-02-06 12:00:00,115.36,115.4,115.15,115.22
2019-02-06 13:00:00,115.4,115.54,115.35,115.36
2019-02-06 14:00:00,115.25,115.59,115.2,115.4
2019-02-06 15:00:00,115.21,115.41,115.2,115.25
2019-02-06 16:00:00,115.2,115.3,115.15,115.22
2019-02-06 17:00:00,115.25,115.32,115.17,115.2
2019-02-06 18:00:00,114.92,115.25,114.86,115.25
2019-02-06 19:00:00,114.58,114.91,114.55,114.91
2019-02-06 20:00:00,114.53,114.63,114.45,114.59
2019-02-06 21:00:00,114.51,114.55,114.42,114.53
2019-02-06 22:00:00,114.47,114.47,114.47,114.47
2019-02-06 23:00:00,114.49,114.63,114.39,114.43
2019-02-07 00:00:00,114.51,114.64,114.47,114.49
2019-02-07 01:00:00,114.16,114.59,114.1,114.51
2019-02-07 02:00:00,114.22,114.29,114.17,114.19
2019-02-07 03:00:00,114.17,114.22,114.1,114.22
2019-02-07 04:00:00,114.06,114.17,114.01,114.17
2019-02-07 05:00:00,114.16,114.18,114.05,114.06
2019-02-07 06:00:00,114.16,114.18,114.05,114.06
2019-02-07 07:00:00,114.22,114.34,114.2,114.29
2019-02-07 08:00:00,114.2,114.27,114.07,114.22
2019-02-07 09:00:00,114.4,114.48,114.17,114.2
2019-02-07 10:00:00,114.5,114.57,114.39,114.41
2019-02-07 11:00:00,114.5,114.58,114.45,114.51
2019-02-07 12:00:00,114.8,114.84,114.35,114.5
2019-02-07 13:00:00,114.8,114.93,114.63,114.8
2019-02-07 14:00:00,114.85,115.15,114.83,114.83
2019-02-07 15:00:00,114.76,114.92,114.44,114.84
2019-02-07 16:00:00,114.95,115.08,114.75,114.77
2019-02-07 17:00:00,115.01,115.11,114.94,114.95
2019-02-07 18:00:00,114.99,115.09,114.89,115.01
2019-02-07 19:00:00,114.96,115.05,114.9,114.98
2019-02-07 20:00:00,114.86,115.06,114.86,114.96
2019-02-07 21:00:00,114.91,114.92,114.86,114.86
2019-02-07 22:00:00,114.89,114.89,114.89,114.89
2019-02-07 23:00:00,114.95,115.0,114.81,114.81
2019-02-08 00:00:00,114.95,114.96,114.79,114.95
2019-02-08 01:00:00,114.86,114.96,114.81,114.96
2019-02-08 02:00:00,114.86,114.92,114.77,114.86
2019-02-08 03:00:00,114.73,114.86,114.68,114.86
2019-02-08 04:00:00,114.81,114.83,114.71,114.73
2019-02-08 05:00:00,114.84,114.84,114.75,114.8
2019-02-08 06:00:00,114.84,114.84,114.75,114.8
2019-02-08 07:00:00,114.77,114.79,114.61,114.72
2019-02-08 08:00:00,114.87,114.92,114.71,114.76
2019-02-08 09:00:00,114.8,114.87,114.73,114.87
2019-02-08 10:00:00,115.04,115.07,114.78,114.8
2019-02-08 11:00:00,115.18,115.25,115.03,115.04
2019-02-08 12:00:00,115.3,115.3,115.12,115.17
2019-02-08 13:00:00,115.48,115.52,115.32,115.32
2019-02-08 14:00:00,115.42,115.56,115.14,115.48
2019-02-08 15:00:00,115.35,115.5,115.27,115.42
2019-02-08 16:00:00,115.38,115.47,115.32,115.35
2019-02-08 17:00:00,115.5,115.55,115.37,115.38
2019-02-08 18:00:00,115.39,115.59,115.33,115.51
2019-02-08 19:00:00,115.53,115.53,115.36,115.39
2019-02-08 20:00:00,115.43,115.54,115.39,115.53
2019-02-08 21:00:00,115.41,115.44,115.37,115.44
2019-02-10 22:00:00,115.39,115.39,115.39,115.39
2019-02-10 23:00:00,115.33,115.37,115.28,115.33
2019-02-11 00:00:00,115.24,115.35,115.24,115.33
2019-02-11 01:00:00,115.35,115.48,115.16,115.24
2019-02-11 02:00:00,115.14,115.37,115.14,115.36
2019-02-11 03:00:00,115.1,115.16,115.03,115.14
2019-02-11 04:00:00,115.0,115.13,114.95,115.1
2019-02-11 05:00:00,115.0,115.13,114.95,115.1
2019-02-11 06:00:00,115.08,115.16,114.97,114.99
2019-02-11 07:00:00,115.03,115.08,114.97,115.07
2019-02-11 08:00:00,114.82,115.06,114.75,115.02
2019-02-11 09:00:00,114.49,114.83,114.48,114.83
2019-02-11 10:00:00,114.45,114.58,114.42,114.49
2019-02-11 11:00:00,114.58,114.65,114.43,114.46
2019-02-11 12:00:00,114.42,114.6,114.33,114.58
2019-02-11 13:00:00,114.25,114.57,114.22,114.42
2019-02-11 14:00:00,114.43,114.48,114.1,114.25
2019-02-11 15:00:00,114.68,114.78,114.37,114.43
2019-02-11 16:00:00,114.8,114.92,114.63,114.69
2019-02-11 17:00:00,114.55,114.83,114.51,114.8
2019-02-11 18:00:00,114.61,114.71,114.52,114.54
2019-02-11 19:00:00,114.68,114.7,114.59,114.61
2019-02-11 20:00:00,114.67,114.76,114.66,114.68
2019-02-11 21:00:00,114.57,114.68,114.57,114.67
2019-02-11 22:00:00,114.55,114.55,114.55,114.55
2019-02-11 23:00:00,114.58,114.63,114.54,114.54
2019-02-12 00:00:00,114.51,114.59,114.46,114.58
2019-02-12 01:00:00,114.61,114.78,114.43,114.52
2019-02-12 02:00:00,114.71,114.71,114.52,114.6
2019-02-12 03:00:00,114.57,114.72,114.54,114.71
2019-02-12 04:00:00,114.65,114.7,114.55,114.57
2019-02-12 05:00:00,114.72,114.77,114.63,114.66
2019-02-12 06:00:00,115.04,115.05,114.71,114.72
2019-02-12 07:00:00,115.08,115.22,114.99,115.03
2019-02-12 08:00:00,115.1,115.34,114.96,115.08
2019-02-12 09:00:00,115.16,115.21,115.07,115.1
2019-02-12 10:00:00,115.28,115.29,115.06,115.16
2019-02-12 11:00:00,115.31,115.33,115.21,115.28
2019-02-12 12:00:00,115.27,115.38,115.19,115.31
2019-02-12 13:00:00,115.1,115.45,115.07,115.27
2019-02-12 14:00:00,114.92,115.16,114.87,115.1
2019-02-12 15:00:00,114.84,114.92,114.65,114.92
2019-02-12 16:00:00,114.78,114.98,114.78,114.84
2019-02-12 17:00:00,114.91,114.94,114.72,114.78
2019-02-12 18:00:00,114.92,115.19,114.9,114.92
2019-02-12 19:00:00,114.98,115.03,114.91,114.92
2019-02-12 20:00:00,114.99,115.03,114.9,114.97
2019-02-12 21:00:00,114.92,115.04,114.91,114.98
2019-02-12 22:00:00,114.91,114.91,114.91,114.91
2019-02-12 23:00:00,114.88,115.07,114.86,114.92
2019-02-13 00:00:00,114.83,114.88,114.77,114.88
2019-02-13 01:00:00,115.07,115.09,114.83,114.83
2019-02-13 02:00:00,115.12,115.19,115.05,115.07
2019-02-13 03:00:00,115.22,115.23,115.1,115.12
2019-02-13 04:00:00,115.24,115.26,115.18,115.22
2019-02-13 05:00:00,115.28,115.3,115.15,115.24
2019-02-13 06:00:00,115.27,115.38,115.25,115.28
2019-02-13 07:00:00,115.07,115.3,115.03,115.26
2019-02-13 08:00:00,115.18,115.21,115.04,115.07
2019-02-13 09:00:00,115.18,115.27,115.14,115.18
2019-02-13 10:00:00,115.0,115.18,114.97,115.18
2019-02-13 11:00:00,114.98,115.03,114.82,115.0
2019-02-13 12:00:00,114.75,115.0,114.73,114.98
2019-02-13 13:00:00,114.92,115.04,114.62,114.75
2019-02-13 14:00:00,115.25,115.34,114.74,114.92
2019-02-13 15:00:00,115.42,115.86,115.21,115.26
2019-02-13 16:00:00,115.22,115.47,115.1,115.41
2019-02-13 17:00:00,115.07,115.26,114.97,115.22
2019-02-13 18:00:00,114.93,115.15,114.93,115.06
2019-02-13 19:00:00,114.43,114.94,114.31,114.93
2019-02-13 20:00:00,114.32,114.43,114.23,114.42
2019-02-13 21:00:00,114.32,114.4,114.24,114.33
2019-02-13 22:00:00,114.26,114.26,114.26,114.26
2019-02-13 23:00:00,114.49,114.51,114.19,114.2
2019-02-14 00:00:00,114.52,114.55,114.41,114.49
2019-02-14 01:00:00,114.65,114.69,114.43,114.52
2019-02-14 02:00:00,114.57,114.68,114.52,114.65
2019-02-14 03:00:00,114.58,114.66,114.49,114.57
2019-02-14 04:00:00,114.63,114.64,114.57,114.58
2019-02-14 05:00:00,114.68,114.71,114.59,114.63
2019-02-14 06:00:00,114.55,114.69,114.54,114.69
2019-02-14 07:00:00,114.71,114.71,114.46,114.54
2019-02-14 08:00:00,114.25,114.76,114.23,114.71
2019-02-14 09:00:00,114.28,114.43,114.21,114.25
2019-02-14 10:00:00,114.34,114.37,114.24,114.28
2019-02-14 11:00:00,114.31,114.37,114.25,114.34
2019-02-14 12:00:00,114.1,114.38,113.85,114.3
2019-02-14 13:00:00,114.93,115.11,114.08,114.09
2019-02-14 14:00:00,114.89,115.08,114.72,114.94
2019-02-14 15:00:00,114.71,114.95,114.45,114.89
2019-02-14 16:00:00,114.96,115.01,114.71,114.71
2019-02-14 17:00:00,115.3,115.33,114.89,114.96
2019-02-14 18:00:00,114.97,115.3,114.86,115.3
2019-02-14 19:00:00,115.15,115.22,114.96,114.97
2019-02-14 20:00:00,115.13,115.17,115.0,115.15
2019-02-14 21:00:00,115.01,115.14,115.01,115.13
2019-02-14 22:00:00,115.01,115.01,115.01,115.01
2019-02-14 23:00:00,115.03,115.13,114.95,114.95
2019-02-15 00:00:00,115.09,115.2,115.0,115.03
2019-02-15 01:00:00,115.01,115.14,114.96,115.1
2019-02-15 02:00:00,115.03,115.11,114.96,115.01
2019-02-15 03:00:00,115.1,115.15,115.01,115.03
2019-02-15 04:00:00,115.12,115.16,115.09,115.1
2019-02-15 05:00:00,115.08,115.18,115.02,115.13
2019-02-15 06:00:00,115.08,115.18,115.02,115.13
2019-02-15 07:00:00,115.35,115.41,115.25,115.34
2019-02-15 08:00:00,115.39,115.5,115.33,115.35
2019-02-15 09:00:00,115.51,115.54,115.33,115.39
2019-02-15 10:00:00,115.68,115.71,115.5,115.51
2019-02-15 11:00:00,115.83,115.94,115.67,115.67
2019-02-15 12:00:00,115.77,115.92,115.57,115.83
2019-02-15 13:00:00,115.72,115.91,115.53,115.77
2019-02-15 14:00:00,115.64,116.02,115.59,115.72
2019-02-15 15:00:00,115.35,115.66,115.31,115.63
2019-02-15 16:00:00,115.55,115.56,115.33,115.35
