,close,max,min,open
2019-01-01 22:00:00,111.51,111.55,111.26,111.38
2019-01-01 23:00:00,111.25,111.51,111.15,111.51
2019-01-02 00:00:00,111.08,111.41,111.04,111.25
2019-01-02 01:00:00,111.05,111.17,110.85,111.08
2019-01-02 02:00:00,111.75,111.77,111.04,111.06
2019-01-02 03:00:00,111.67,111.89,111.66,111.77
2019-01-02 04:00:00,111.99,112.03,111.63,111.67
2019-01-02 05:00:00,112.16,112.24,111.92,111.99
2019-01-02 06:00:00,112.05,112.23,112.02,112.16
2019-01-02 07:00:00,112.04,112.12,111.85,112.05
2019-01-02 08:00:00,112.94,113.14,112.01,112.05
2019-01-02 09:00:00,112.94,113.15,112.78,112.94
2019-01-02 10:00:00,113.08,113.14,112.75,112.94
2019-01-02 11:00:00,112.97,113.18,112.91,113.08
2019-01-02 12:00:00,113.0,113.07,112.75,112.95
2019-01-02 13:00:00,113.18,113.62,112.75,113.0
2019-01-02 14:00:00,113.11,113.35,112.87,113.17
2019-01-02 15:00:00,113.64,113.86,112.97,113.11
2019-01-02 16:00:00,113.52,114.03,113.22,113.64
2019-01-02 17:00:00,113.44,113.81,113.43,113.52
2019-01-02 18:00:00,112.49,113.46,112.32,113.45
2019-01-02 19:00:00,112.74,112.78,112.46,112.49
2019-01-02 20:00:00,113.07,113.1,112.6,112.73
2019-01-02 21:00:00,113.18,113.46,112.92,113.07
2019-01-02 22:00:00,113.94,114.46,113.13,113.13
2019-01-02 23:00:00,114.31,115.01,113.93,113.93
2019-01-03 00:00:00,114.15,114.41,113.97,114.31
2019-01-03 01:00:00,114.44,114.5,113.85,114.15
2019-01-03 02:00:00,114.44,114.61,114.36,114.44
2019-01-03 03:00:00,114.26,114.51,114.13,114.45
2019-01-03 04:00:00,114.36,114.44,114.24,114.26
2019-01-03 05:00:00,114.73,114.76,114.26,114.35
2019-01-08 06:00:00,111.56,111.79,111.48,111.52
2019-01-08 07:00:00,111.47,111.58,111.19,111.54
2019-01-08 08:00:00,111.41,111.67,111.39,111.47
2019-01-08 09:00:00,111.55,111.61,111.38,111.41
2019-01-08 10:00:00,111.64,111.69,111.45,111.56
2019-01-08 11:00:00,111.4,111.69,111.36,111.64
2019-01-08 12:00:00,111.45,111.56,111.36,111.4
2019-01-08 13:00:00,111.29,111.55,110.89,111.45
2019-01-08 14:00:00,112.14,112.3,111.21,111.29
2019-01-08 15:00:00,112.14,112.42,111.8,112.15
2019-01-08 16:00:00,112.05,112.14,111.88,112.12
2019-01-08 17:00:00,112.38,112.59,112.01,112.05
2019-01-08 18:00:00,112.22,112.44,112.06,112.38
2019-01-08 19:00:00,112.21,112.29,112.08,112.22
2019-01-08 20:00:00,112.25,112.27,112.08,112.21
2019-01-08 21:00:00,112.21,112.31,112.11,112.23
2019-01-08 22:00:00,112.18,112.23,112.13,112.17
2019-01-08 23:00:00,112.01,112.2,111.97,112.18
2019-01-09 00:00:00,112.06,112.21,111.96,112.0
2019-01-09 01:00:00,112.14,112.33,111.99,112.06
2019-01-09 02:00:00,111.85,112.2,111.82,112.14
2019-01-09 03:00:00,111.66,111.87,111.63,111.83
2019-01-09 04:00:00,111.36,111.65,111.34,111.65
2019-01-09 05:00:00,111.45,111.58,111.28,111.37
2019-01-09 06:00:00,111.44,111.55,111.23,111.44
2019-01-09 07:00:00,111.35,111.54,111.35,111.44
2019-01-09 08:00:00,111.24,111.45,111.17,111.35
2019-01-09 09:00:00,111.05,111.27,110.95,111.24
2019-01-09 10:00:00,111.21,111.29,111.05,111.06
2019-01-09 11:00:00,111.26,111.31,111.13,111.21
2019-01-09 12:00:00,111.26,111.31,111.09,111.26
2019-01-09 13:00:00,111.74,111.95,111.26,111.26
2019-01-09 14:00:00,111.63,111.97,111.62,111.73
2019-01-09 15:00:00,112.25,112.31,111.57,111.62
2019-01-09 16:00:00,111.75,112.29,111.57,112.25
2019-01-09 17:00:00,111.85,111.87,111.59,111.76
2019-01-09 18:00:00,111.96,112.12,111.77,111.85
2019-01-09 19:00:00,111.97,112.23,111.77,111.95
2019-01-09 20:00:00,112.18,112.29,111.9,111.98
2019-01-09 21:00:00,112.11,112.29,112.09,112.18
2019-01-09 22:00:00,111.96,112.08,111.96,112.05
2019-01-09 23:00:00,112.02,112.14,111.97,111.97
2019-01-10 00:00:00,112.08,112.12,111.9,112.02
2019-01-10 01:00:00,112.04,112.22,111.95,112.09
2019-01-10 02:00:00,112.43,112.48,112.04,112.04
2019-01-10 03:00:00,112.6,112.67,112.36,112.43
2019-01-10 04:00:00,112.56,112.66,112.52,112.6
2019-01-10 05:00:00,112.62,112.78,112.54,112.57
2019-01-15 06:00:00,111.71,111.76,111.64,111.72
2019-01-15 07:00:00,111.71,111.89,111.66,111.74
2019-01-15 08:00:00,111.6,111.65,111.4,111.65
2019-01-15 09:00:00,111.87,111.89,111.61,111.61
2019-01-15 10:00:00,111.93,111.99,111.77,111.81
2019-01-15 11:00:00,112.19,112.22,111.91,111.92
2019-01-15 12:00:00,112.24,112.37,112.22,112.24
2019-01-15 13:00:00,112.43,112.43,111.87,112.22
2019-01-15 14:00:00,112.65,112.66,112.37,112.5
2019-01-15 15:00:00,112.23,112.67,112.17,112.62
2019-01-15 16:00:00,112.09,112.3,112.09,112.22
2019-01-15 17:00:00,112.15,112.22,112.0,112.1
2019-01-15 18:00:00,112.29,112.29,112.09,112.15
2019-01-15 19:00:00,112.34,112.53,112.27,112.32
2019-01-15 20:00:00,112.08,112.37,112.04,112.37
2019-01-15 21:00:00,112.07,112.13,112.04,112.04
2019-01-15 22:00:00,112.11,112.12,112.04,112.04
2019-01-15 23:00:00,112.11,112.18,112.09,112.11
2019-01-16 00:00:00,112.32,112.39,112.11,112.13
2019-01-16 01:00:00,112.24,112.46,112.22,112.34
2019-01-16 02:00:00,112.23,112.32,112.16,112.21
2019-01-16 03:00:00,112.09,112.23,112.08,112.23
2019-01-16 04:00:00,112.17,112.22,112.09,112.09
2019-01-16 05:00:00,112.48,112.5,112.17,112.17
2019-01-16 06:00:00,112.5,112.65,112.44,112.47
2019-01-16 07:00:00,112.3,112.58,112.3,112.49
2019-01-16 08:00:00,112.24,112.46,112.24,112.31
2019-01-16 09:00:00,112.16,112.25,112.1,112.25
2019-01-16 10:00:00,112.22,112.27,112.1,112.19
2019-01-16 11:00:00,112.3,112.3,112.15,112.21
2019-01-16 12:00:00,112.25,112.37,112.12,112.28
2019-01-16 13:00:00,112.44,112.49,112.22,112.22
2019-01-16 14:00:00,112.72,112.72,112.41,112.41
2019-01-16 15:00:00,112.81,113.04,112.68,112.7
2019-01-16 16:00:00,112.99,113.02,112.83,112.83
2019-01-16 17:00:00,112.9,113.06,112.88,112.99
2019-01-16 18:00:00,112.8,112.93,112.7,112.92
2019-01-16 19:00:00,112.82,112.87,112.65,112.79
2019-01-16 20:00:00,112.82,112.87,112.75,112.82
2019-01-16 21:00:00,112.9,112.95,112.84,112.85
2019-01-16 22:00:00,112.81,112.83,112.79,112.83
2019-01-16 23:00:00,112.74,112.89,112.73,112.8
2019-01-17 00:00:00,112.84,112.89,112.71,112.71
2019-01-17 01:00:00,113.05,113.05,112.89,112.89
2019-01-17 02:00:00,112.85,113.11,112.85,113.04
2019-01-17 03:00:00,112.74,112.87,112.68,112.85
2019-01-17 04:00:00,112.61,112.73,112.59,112.73
2019-01-17 05:00:00,112.74,112.75,112.62,112.62
2019-01-22 06:00:00,110.78,110.89,110.75,110.84
2019-01-22 07:00:00,111.15,111.25,110.78,110.78
2019-01-22 08:00:00,111.62,111.67,111.2,111.2
2019-01-22 09:00:00,111.58,111.7,111.56,111.65
2019-01-22 10:00:00,111.51,111.64,111.51,111.58
2019-01-22 11:00:00,111.39,111.53,111.39,111.52
2019-01-22 12:00:00,111.49,111.49,111.32,111.37
2019-01-22 13:00:00,111.47,111.51,111.3,111.48
2019-01-22 14:00:00,111.24,111.71,111.23,111.49
2019-01-22 15:00:00,110.97,111.3,110.83,111.21
2019-01-22 16:00:00,111.4,111.4,110.97,110.97
2019-01-22 17:00:00,111.37,111.46,111.32,111.4
2019-01-22 18:00:00,111.53,111.62,111.4,111.4
2019-01-22 19:00:00,111.6,111.72,111.51,111.54
2019-01-22 20:00:00,111.6,111.72,111.47,111.72
2019-01-22 21:00:00,111.7,111.72,111.65,111.66
2019-01-22 22:00:00,111.65,111.68,111.63,111.68
2019-01-22 23:00:00,111.59,111.65,111.58,111.65
2019-01-23 00:00:00,111.56,111.59,111.48,111.59
2019-01-23 01:00:00,111.65,111.71,111.38,111.56
2019-01-23 02:00:00,111.56,111.68,111.54,111.65
2019-01-23 03:00:00,111.49,111.59,111.49,111.55
2019-01-23 04:00:00,111.39,111.49,111.38,111.49
2019-01-23 05:00:00,111.47,111.52,111.39,111.39
2019-01-23 06:00:00,111.48,111.52,111.4,111.47
2019-01-23 07:00:00,111.58,111.64,111.39,111.46
2019-01-23 08:00:00,111.83,111.87,111.55,111.56
2019-01-23 09:00:00,111.71,111.86,111.65,111.85
2019-01-23 10:00:00,111.67,111.75,111.65,111.71
2019-01-23 11:00:00,111.68,111.74,111.65,111.68
2019-01-23 12:00:00,111.63,111.66,111.56,111.66
2019-01-23 13:00:00,111.01,111.61,110.94,111.59
2019-01-23 14:00:00,110.76,111.08,110.69,111.02
2019-01-23 15:00:00,111.0,111.1,110.69,110.79
2019-01-23 16:00:00,111.42,111.44,111.01,111.01
2019-01-23 17:00:00,111.32,111.46,111.3,111.39
2019-01-23 18:00:00,111.18,111.34,111.18,111.31
2019-01-23 19:00:00,111.2,111.28,111.14,111.18
2019-01-23 20:00:00,111.13,111.2,111.11,111.2
2019-01-23 21:00:00,111.09,111.15,111.03,111.13
2019-01-23 22:00:00,110.96,110.96,110.92,110.94
2019-01-23 23:00:00,111.18,111.18,110.94,110.94
2019-01-24 00:00:00,111.27,111.27,111.06,111.16
2019-01-24 01:00:00,111.29,111.32,111.13,111.27
2019-01-24 02:00:00,111.13,111.28,111.06,111.28
2019-01-24 03:00:00,111.03,111.13,111.0,111.11
2019-01-24 04:00:00,110.85,111.07,110.82,111.02
2019-01-24 05:00:00,110.87,110.9,110.77,110.85
2019-01-29 06:00:00,114.04,114.18,113.89,113.9
2019-01-29 07:00:00,114.41,114.42,114.01,114.03
2019-01-29 08:00:00,114.54,114.6,114.36,114.45
2019-01-29 09:00:00,114.45,114.52,114.34,114.5
2019-01-29 10:00:00,114.43,114.59,114.43,114.48
2019-01-29 11:00:00,114.44,114.51,114.36,114.41
2019-01-29 12:00:00,114.67,114.81,114.36,114.43
2019-01-29 13:00:00,114.62,115.06,114.56,114.67
2019-01-29 14:00:00,114.48,114.73,114.36,114.57
2019-01-29 15:00:00,115.07,115.11,114.47,114.47
2019-01-29 16:00:00,114.78,115.07,114.75,115.07
2019-01-29 17:00:00,114.82,114.85,114.71,114.77
2019-01-29 18:00:00,114.96,114.97,114.74,114.83
2019-01-29 19:00:00,115.03,115.11,114.92,114.95
2019-01-29 20:00:00,115.02,115.09,114.99,115.03
2019-01-29 21:00:00,115.1,115.18,115.07,115.07
2019-01-29 22:00:00,114.97,115.02,114.96,114.98
2019-01-29 23:00:00,114.96,115.1,114.95,114.97
2019-01-30 00:00:00,115.03,115.08,114.95,114.95
2019-01-30 01:00:00,115.3,115.32,114.94,115.02
2019-01-30 02:00:00,115.38,115.4,115.26,115.36
2019-01-30 03:00:00,115.28,115.37,115.21,115.34
2019-01-30 04:00:00,115.38,115.45,115.28,115.3
2019-01-30 05:00:00,115.53,115.53,115.33,115.36
2019-01-30 06:00:00,115.49,115.55,115.43,115.52
2019-01-30 07:00:00,115.54,115.62,115.41,115.49
2019-01-30 08:00:00,115.4,115.66,115.36,115.56
2019-01-30 09:00:00,115.4,115.46,115.32,115.41
2019-01-30 10:00:00,115.31,115.43,115.26,115.4
2019-01-30 11:00:00,115.31,115.45,115.29,115.29
2019-01-30 12:00:00,115.2,115.4,115.18,115.33
2019-01-30 13:00:00,115.07,115.19,115.0,115.17
2019-01-30 14:00:00,115.13,115.23,114.97,115.1
2019-01-30 15:00:00,115.2,115.26,115.04,115.11
2019-01-30 16:00:00,115.19,115.25,115.11,115.25
2019-01-30 17:00:00,115.14,115.2,115.07,115.2
2019-01-30 18:00:00,115.07,115.21,114.9,115.13
2019-01-30 19:00:00,115.79,116.23,115.04,115.04
2019-01-30 20:00:00,115.73,116.02,115.62,115.85
2019-01-30 21:00:00,115.91,115.94,115.8,115.8
2019-01-30 22:00:00,115.75,115.78,115.71,115.77
2019-01-30 23:00:00,115.77,115.96,115.75,115.75
2019-01-31 00:00:00,115.6,115.9,115.58,115.78
2019-01-31 01:00:00,115.56,115.73,115.5,115.58
2019-01-31 02:00:00,115.55,115.63,115.51,115.56
2019-01-31 03:00:00,115.63,115.68,115.54,115.54
2019-01-31 04:00:00,115.68,115.73,115.64,115.64
2019-01-31 05:00:00,115.71,115.87,115.66,115.69
2019-02-05 06:00:00,115.43,115.59,115.38,115.58
2019-02-05 07:00:00,115.32,115.49,115.28,115.42
2019-02-05 08:00:00,115.31,115.49,115.27,115.32
2019-02-05 09:00:00,115.14,115.31,115.04,115.31
2019-02-05 10:00:00,115.51,115.57,115.07,115.14
2019-02-05 11:00:00,115.6,115.65,115.45,115.51
2019-02-05 12:00:00,115.47,115.6,115.38,115.6
2019-02-05 13:00:00,115.58,115.9,115.38,115.48
2019-02-05 14:00:00,115.63,115.76,115.55,115.58
2019-02-05 15:00:00,115.78,116.05,115.5,115.63
2019-02-05 16:00:00,115.61,115.82,115.57,115.78
2019-02-05 17:00:00,115.8,115.81,115.52,115.61
2019-02-05 18:00:00,115.71,115.83,115.67,115.8
2019-02-05 19:00:00,115.71,115.76,115.65,115.71
2019-02-05 20:00:00,115.82,115.84,115.68,115.71
2019-02-05 21:00:00,115.83,115.9,115.78,115.82
2019-02-05 22:00:00,115.8,115.82,115.8,115.82
2019-02-05 23:00:00,115.8,115.83,115.75,115.78
2019-02-06 00:00:00,115.85,115.94,115.79,115.79
2019-02-06 01:00:00,115.63,115.88,115.62,115.85
2019-02-06 02:00:00,115.85,115.92,115.55,115.63
2019-02-06 03:00:00,115.78,115.89,115.77,115.86
2019-02-06 04:00:00,115.7,115.78,115.61,115.78
2019-02-06 05:00:00,115.76,115.78,115.64,115.7
2019-02-06 06:00:00,115.73,115.78,115.68,115.76
2019-02-06 07:00:00,115.96,116.0,115.66,115.73
2019-02-06 08:00:00,115.92,116.07,115.9,115.96
