,close,max,min,open
2018-12-19 01:00:00,119.8,119.91,119.7,119.84
2018-12-19 02:00:00,120.11,120.11,119.79,119.81
2018-12-19 03:00:00,120.05,120.14,120.03,120.11
2018-12-19 04:00:00,120.14,120.17,120.03,120.03
2018-12-19 05:00:00,120.02,120.18,120.01,120.15
2018-12-19 06:00:00,119.89,120.05,119.84,120.02
2018-12-19 07:00:00,119.93,120.05,119.84,119.89
2018-12-19 08:00:00,120.05,120.19,119.89,119.93
2018-12-19 09:00:00,119.64,120.11,119.56,120.07
2018-12-19 10:00:00,119.59,119.8,119.4,119.63
2018-12-19 11:00:00,119.67,119.73,119.57,119.59
2018-12-19 12:00:00,119.58,119.68,119.5,119.67
2018-12-19 13:00:00,119.68,119.72,119.47,119.58
2018-12-19 14:00:00,120.95,121.16,119.63,119.68
2018-12-19 15:00:00,120.72,121.34,120.71,120.94
2018-12-19 16:00:00,120.86,121.11,120.7,120.71
2018-12-19 17:00:00,120.42,120.89,120.4,120.86
2018-12-19 18:00:00,120.21,120.58,120.0,120.42
2018-12-19 19:00:00,118.94,120.23,118.59,120.23
2018-12-19 20:00:00,118.57,119.05,118.54,118.94
2018-12-19 21:00:00,118.67,118.88,118.53,118.55
2018-12-19 22:00:00,118.61,118.61,118.61,118.61
2018-12-19 23:00:00,118.88,119.04,118.64,118.69
2018-12-20 00:00:00,118.98,118.98,118.72,118.89
2018-12-20 01:00:00,119.05,119.1,118.64,118.98
2018-12-20 02:00:00,118.92,119.17,118.84,119.07
2018-12-20 03:00:00,118.97,119.0,118.83,118.92
2018-12-20 04:00:00,119.08,119.11,118.89,118.96
2018-12-20 05:00:00,119.04,119.15,118.96,119.08
2018-12-25 23:00:00,122.82,123.46,122.7,123.2
2018-12-26 00:00:00,122.53,122.82,122.27,122.81
2018-12-26 01:00:00,123.42,123.52,122.53,122.53
2018-12-26 02:00:00,123.67,123.73,123.42,123.43
2018-12-26 03:00:00,123.67,123.76,123.6,123.67
2018-12-26 04:00:00,123.69,123.74,123.64,123.67
2018-12-26 05:00:00,123.75,123.87,123.48,123.69
2018-12-26 06:00:00,123.93,124.06,123.73,123.75
2018-12-26 07:00:00,123.76,123.95,123.61,123.93
2018-12-26 08:00:00,123.69,123.94,123.54,123.76
2018-12-26 09:00:00,123.71,123.79,123.57,123.7
2018-12-26 10:00:00,123.82,123.84,123.63,123.73
2018-12-26 11:00:00,123.77,123.99,123.71,123.82
2018-12-26 12:00:00,123.59,123.79,123.44,123.78
2018-12-26 13:00:00,124.04,124.38,123.59,123.59
2018-12-26 14:00:00,124.01,124.47,123.83,124.04
2018-12-26 15:00:00,124.67,124.77,124.02,124.02
2018-12-26 16:00:00,124.31,124.81,124.31,124.65
2018-12-26 17:00:00,123.23,124.42,123.18,124.32
2018-12-26 18:00:00,122.74,123.59,122.71,123.22
2018-12-26 19:00:00,122.65,122.97,122.53,122.72
2018-12-26 20:00:00,122.61,122.76,122.33,122.66
2018-12-26 21:00:00,122.6,122.81,122.52,122.6
2018-12-26 22:00:00,122.54,122.54,122.54,122.54
2018-12-26 23:00:00,123.05,123.16,122.5,122.6
2018-12-27 00:00:00,123.28,123.28,123.01,123.05
2018-12-27 01:00:00,123.3,123.59,123.26,123.27
2018-12-27 02:00:00,123.21,123.39,123.08,123.29
2018-12-27 03:00:00,123.09,123.24,123.08,123.21
2018-12-27 04:00:00,123.13,123.2,123.07,123.08
2018-12-27 05:00:00,123.01,123.13,122.89,123.13
2019-01-01 23:00:00,125.07,125.24,124.98,125.19
2019-01-02 00:00:00,124.88,125.18,124.85,125.07
2019-01-02 01:00:00,124.82,124.89,124.64,124.88
2019-01-02 02:00:00,125.31,125.32,124.8,124.84
2019-01-02 03:00:00,125.25,125.44,125.23,125.32
2019-01-02 04:00:00,125.54,125.56,125.21,125.25
2019-01-02 05:00:00,125.93,125.97,125.5,125.54
2019-01-02 06:00:00,125.87,126.12,125.82,125.93
2019-01-02 07:00:00,125.8,125.97,125.66,125.86
2019-01-02 08:00:00,126.24,126.34,125.71,125.8
2019-01-02 09:00:00,126.07,126.36,126.06,126.24
2019-01-02 10:00:00,126.12,126.21,125.95,126.07
