,close,max,min,open
2018-12-19 01:00:00,114.68,114.76,114.62,114.7
2018-12-19 02:00:00,114.91,114.92,114.66,114.68
2018-12-19 03:00:00,114.84,114.93,114.82,114.91
2018-12-19 04:00:00,115.09,115.12,114.82,114.84
2018-12-19 05:00:00,114.88,115.13,114.87,115.09
2018-12-19 06:00:00,114.78,114.93,114.76,114.88
2018-12-19 07:00:00,114.62,114.99,114.56,114.78
2018-12-19 08:00:00,114.87,114.95,114.6,114.62
2018-12-19 09:00:00,114.49,114.96,114.34,114.88
2018-12-19 10:00:00,114.34,114.66,114.24,114.49
2018-12-19 11:00:00,114.43,114.59,114.27,114.34
2018-12-19 12:00:00,114.54,114.6,114.37,114.43
2018-12-19 13:00:00,114.68,114.82,114.41,114.54
2018-12-19 14:00:00,115.54,115.76,114.57,114.69
2018-12-19 15:00:00,115.55,116.01,115.39,115.55
2018-12-19 16:00:00,115.52,115.86,115.39,115.55
2018-12-19 17:00:00,115.11,115.59,115.04,115.52
2018-12-19 18:00:00,114.75,115.25,114.66,115.11
2018-12-19 19:00:00,114.07,114.88,113.68,114.76
2018-12-19 20:00:00,113.61,114.14,113.47,114.07
2018-12-19 21:00:00,113.73,113.94,113.58,113.59
2018-12-19 22:00:00,113.59,113.7,113.44,113.67
2018-12-19 23:00:00,113.86,114.11,113.59,113.59
2018-12-20 00:00:00,114.05,114.05,113.72,113.87
2018-12-20 01:00:00,114.17,114.24,113.67,114.05
2018-12-20 02:00:00,114.01,114.33,113.92,114.17
2018-12-20 03:00:00,114.05,114.13,113.9,114.0
2018-12-20 04:00:00,114.1,114.18,113.9,114.05
2018-12-20 05:00:00,113.96,114.14,113.93,114.1
2018-12-25 22:00:00,118.71,118.83,118.52,118.75
2018-12-25 23:00:00,118.43,119.26,118.22,118.69
2018-12-26 00:00:00,118.06,118.43,117.67,118.42
2018-12-26 01:00:00,119.18,119.32,118.05,118.05
2018-12-26 02:00:00,119.41,119.46,119.17,119.19
2018-12-26 03:00:00,119.39,119.52,119.3,119.42
2018-12-26 04:00:00,119.54,119.59,119.35,119.4
2018-12-26 05:00:00,119.65,119.79,119.32,119.55
2018-12-26 06:00:00,119.82,119.99,119.62,119.65
2018-12-26 07:00:00,119.6,119.85,119.42,119.81
2018-12-26 08:00:00,119.69,119.93,119.57,119.6
2018-12-26 09:00:00,119.81,119.86,119.55,119.71
2018-12-26 10:00:00,120.01,120.04,119.72,119.82
2018-12-26 11:00:00,119.91,120.2,119.82,120.01
2018-12-26 12:00:00,119.77,119.98,119.57,119.9
2018-12-26 13:00:00,120.22,120.84,119.76,119.76
2018-12-26 14:00:00,120.3,120.83,120.08,120.21
2018-12-26 15:00:00,120.89,120.96,120.31,120.31
2018-12-26 16:00:00,120.5,121.04,120.5,120.89
2018-12-26 17:00:00,119.97,120.61,119.8,120.5
2018-12-26 18:00:00,119.42,120.3,119.42,119.96
2018-12-26 19:00:00,119.3,119.6,119.27,119.42
2018-12-26 20:00:00,119.33,119.48,119.12,119.31
2018-12-26 21:00:00,119.38,119.6,119.27,119.32
2018-12-26 22:00:00,119.23,119.36,119.05,119.32
2018-12-26 23:00:00,119.72,119.88,119.2,119.22
2018-12-27 00:00:00,119.79,119.82,119.54,119.72
2018-12-27 01:00:00,119.79,120.16,119.75,119.78
2018-12-27 02:00:00,119.66,119.86,119.54,119.8
2018-12-27 03:00:00,119.53,119.68,119.51,119.66
2018-12-27 04:00:00,119.51,119.56,119.43,119.53
2018-12-27 05:00:00,119.45,119.57,119.32,119.52
2019-01-01 22:00:00,120.56,120.62,120.24,120.38
2019-01-01 23:00:00,120.32,120.56,120.23,120.56
2019-01-02 00:00:00,120.19,120.48,120.16,120.32
2019-01-02 01:00:00,120.19,120.31,120.0,120.19
2019-01-02 02:00:00,120.88,120.89,120.17,120.2
2019-01-02 03:00:00,120.8,120.99,120.79,120.9
2019-01-02 04:00:00,121.08,121.11,120.76,120.8
2019-01-02 05:00:00,121.08,121.27,120.99,121.08
2019-01-02 06:00:00,120.97,121.11,120.93,121.08
2019-01-02 07:00:00,120.99,121.04,120.82,120.98
2019-01-02 08:00:00,121.98,122.21,120.98,121.0
2019-01-02 09:00:00,122.07,122.28,121.84,121.98
2019-01-02 10:00:00,122.23,122.27,121.88,122.07
2019-01-02 11:00:00,122.16,122.36,122.08,122.23
2019-01-02 12:00:00,122.29,122.36,121.99,122.15
2019-01-02 13:00:00,122.65,122.98,122.06,122.3
2019-01-02 14:00:00,122.63,122.81,122.39,122.64
2019-01-02 15:00:00,123.14,123.35,122.5,122.62
2019-01-02 16:00:00,123.02,123.52,122.79,123.14
2019-01-02 17:00:00,123.04,123.31,123.02,123.03
2019-01-02 18:00:00,122.2,123.06,122.02,123.05
2019-01-02 19:00:00,122.33,122.43,122.16,122.2
2019-01-02 20:00:00,122.62,122.65,122.2,122.33
2019-01-02 21:00:00,122.72,123.0,122.5,122.62
2019-01-02 22:00:00,123.73,124.43,122.67,122.67
2019-01-02 23:00:00,124.07,124.66,123.69,123.73
2019-01-03 00:00:00,123.78,124.16,123.66,124.07
2019-01-03 01:00:00,124.01,124.08,123.52,123.78
2019-01-03 02:00:00,123.99,124.15,123.94,124.01
2019-01-03 03:00:00,123.79,124.06,123.65,123.99
2019-01-03 04:00:00,123.89,123.96,123.78,123.8
2019-01-03 05:00:00,124.24,124.26,123.81,123.88
2019-01-08 06:00:00,120.62,120.84,120.54,120.6
2019-01-08 07:00:00,120.56,120.68,120.21,120.61
2019-01-08 08:00:00,120.46,120.79,120.44,120.56
2019-01-08 09:00:00,120.61,120.65,120.4,120.46
2019-01-08 10:00:00,120.71,120.77,120.57,120.61
2019-01-08 11:00:00,120.41,120.79,120.35,120.71
2019-01-08 12:00:00,120.56,120.63,120.41,120.41
