,close,max,min,open
2019-08-11 21:00:00,129.5,129.5,129.5,129.5
2019-08-11 22:00:00,129.5,129.5,129.5,129.5
2019-08-11 23:00:00,129.13,129.56,129.04,129.52
2019-08-12 00:00:00,129.58,129.88,128.99,129.13
2019-08-12 01:00:00,129.87,130.05,129.45,129.58
2019-08-12 02:00:00,130.19,130.22,129.82,129.87
2019-08-12 03:00:00,129.97,130.29,129.94,130.19
2019-08-12 04:00:00,129.93,130.09,129.87,130.0
2019-08-12 05:00:00,130.09,130.14,129.82,129.93
2019-08-12 06:00:00,130.08,130.25,129.99,130.11
2019-08-12 07:00:00,130.24,130.47,130.08,130.08
2019-08-12 08:00:00,128.87,130.29,128.72,130.28
2019-08-12 09:00:00,128.78,128.95,128.65,128.87
2019-08-12 10:00:00,128.71,128.81,128.7,128.78
2019-08-12 11:00:00,128.65,128.72,128.65,128.71
2019-08-12 12:00:00,128.68,128.7,128.59,128.66
2019-08-12 13:00:00,128.61,128.7,128.6,128.68
2019-08-12 14:00:00,128.59,128.7,128.58,128.61
2019-08-12 15:00:00,128.68,128.7,128.58,128.59
2019-08-12 16:00:00,128.64,129.06,128.52,128.69
2019-08-12 17:00:00,128.62,128.68,128.53,128.65
2019-08-12 18:00:00,129.24,129.35,127.89,128.62
2019-08-12 19:00:00,129.23,130.02,128.9,129.25
2019-08-12 20:00:00,129.07,129.4,129.01,129.23
2019-08-12 21:00:00,129.16,129.21,129.02,129.07
2019-08-12 22:00:00,129.28,129.65,129.16,129.16
2019-08-12 23:00:00,129.3,129.4,129.06,129.28
2019-08-13 00:00:00,129.32,129.35,129.26,129.3
2019-08-13 01:00:00,129.24,129.36,129.24,129.32
2019-08-13 02:00:00,129.34,129.34,129.23,129.24
2019-08-13 03:00:00,129.37,129.39,129.32,129.34
2019-08-13 04:00:00,129.36,129.4,129.33,129.37
2019-08-13 05:00:00,129.39,129.42,129.36,129.36
2019-08-13 06:00:00,129.36,129.4,129.34,129.39
2019-08-13 07:00:00,129.42,129.42,129.3,129.36
2019-08-13 08:00:00,129.42,129.47,129.39,129.42
2019-08-13 09:00:00,129.64,129.69,129.25,129.41
2019-08-13 10:00:00,129.87,129.91,129.57,129.64
2019-08-13 11:00:00,129.89,129.98,129.84,129.87
2019-08-13 12:00:00,129.93,130.14,129.74,129.89
2019-08-13 13:00:00,129.27,129.98,129.27,129.93
2019-08-13 14:00:00,129.22,129.59,129.22,129.28
2019-08-13 15:00:00,129.32,129.55,128.57,129.21
2019-08-13 16:00:00,129.3,129.49,129.15,129.34
2019-08-13 17:00:00,129.46,129.59,129.03,129.31
2019-08-13 18:00:00,129.38,129.5,129.4,129.46
2019-08-13 19:00:00,129.56,129.68,129.4,129.4
2019-08-13 20:00:00,129.81,129.94,129.49,129.58
2019-08-13 21:00:00,129.8,129.8,129.8,129.8
2019-08-13 22:00:00,129.77,129.83,129.54,129.62
2019-08-13 23:00:00,129.68,129.88,129.58,129.77
2019-08-14 00:00:00,129.46,129.77,129.4,129.69
2019-08-14 01:00:00,129.55,129.82,129.39,129.46
2019-08-14 02:00:00,129.4,129.59,129.24,129.59
2019-08-14 03:00:00,129.4,129.5,129.28,129.4
2019-08-14 04:00:00,129.77,129.84,129.4,129.42
2019-08-14 05:00:00,129.72,129.83,129.58,129.77
2019-08-14 06:00:00,129.74,129.82,129.54,129.68
2019-08-14 07:00:00,129.56,129.75,129.37,129.73
2019-08-14 08:00:00,129.56,129.75,129.37,129.73
2019-08-14 09:00:00,129.56,129.75,129.37,129.73
2019-08-14 10:00:00,129.56,129.75,129.37,129.73
2019-08-14 11:00:00,129.56,129.75,129.37,129.73
2019-08-14 12:00:00,129.56,129.75,129.37,129.73
2019-08-14 13:00:00,129.56,129.75,129.37,129.73
2019-08-14 14:00:00,129.59,129.64,129.55,129.58
2019-08-14 15:00:00,129.35,129.78,129.08,129.59
2019-08-14 16:00:00,129.36,129.39,128.91,129.35
2019-08-14 17:00:00,129.36,129.39,128.91,129.35
2019-08-14 18:00:00,129.36,129.39,128.91,129.35
2019-08-14 19:00:00,129.36,129.39,128.91,129.35
2019-08-14 20:00:00,129.36,129.39,128.91,129.35
2019-08-14 21:00:00,129.32,129.36,129.25,129.36
2019-08-14 22:00:00,129.15,129.33,129.0,129.32
2019-08-14 23:00:00,128.79,129.18,128.73,129.16
2019-08-15 00:00:00,128.66,128.97,128.49,128.79
2019-08-15 01:00:00,128.69,129.03,128.54,128.66
2019-08-15 02:00:00,128.73,128.88,128.59,128.69
2019-08-15 03:00:00,128.71,128.75,128.54,128.75
2019-08-15 04:00:00,128.63,128.94,128.59,128.71
2019-08-15 05:00:00,128.62,128.68,128.51,128.62
2019-08-15 06:00:00,127.86,128.62,127.15,128.62
2019-08-15 07:00:00,128.01,128.29,127.84,127.87
2019-08-15 08:00:00,128.34,128.37,127.94,128.01
2019-08-15 09:00:00,128.49,128.49,128.34,128.34
2019-08-15 10:00:00,128.56,128.66,128.5,128.51
2019-08-15 11:00:00,128.55,128.67,128.4,128.57
2019-08-15 12:00:00,128.55,128.67,128.4,128.57
2019-08-15 13:00:00,128.55,128.67,128.4,128.57
2019-08-15 14:00:00,128.55,128.67,128.4,128.57
2019-08-15 15:00:00,128.37,128.6,128.11,128.58
2019-08-15 16:00:00,128.28,128.41,128.24,128.35
2019-08-15 17:00:00,128.47,128.47,128.23,128.28
2019-08-15 18:00:00,128.47,128.47,128.23,128.28
2019-08-15 19:00:00,128.47,128.47,128.23,128.28
2019-08-15 20:00:00,128.47,128.47,128.23,128.28
2019-08-15 21:00:00,128.47,128.47,128.47,128.47
2019-08-15 22:00:00,128.47,128.47,128.47,128.47
