,close,max,min,open
2018-12-19 01:00:00,92.19,92.27,92.12,92.16
2018-12-19 02:00:00,92.11,92.23,92.09,92.19
2018-12-19 03:00:00,92.12,92.13,92.08,92.11
2018-12-19 04:00:00,92.18,92.2,92.03,92.12
2018-12-19 05:00:00,92.07,92.24,92.06,92.19
2018-12-19 06:00:00,92.12,92.2,92.03,92.08
2018-12-19 07:00:00,91.89,92.16,91.73,92.12
2018-12-19 08:00:00,91.82,91.96,91.71,91.89
2018-12-19 09:00:00,92.07,92.08,91.72,91.81
2018-12-19 10:00:00,91.66,92.2,91.62,92.08
2018-12-19 11:00:00,91.77,91.97,91.52,91.66
2018-12-19 12:00:00,91.77,91.99,91.73,91.77
2018-12-19 13:00:00,91.83,91.96,91.7,91.77
2018-12-19 14:00:00,91.11,91.84,91.07,91.83
2018-12-19 15:00:00,91.34,91.37,90.9,91.14
2018-12-19 16:00:00,91.33,91.38,91.07,91.34
2018-12-19 17:00:00,91.24,91.41,91.08,91.33
2018-12-19 18:00:00,91.06,91.31,90.93,91.23
2018-12-19 19:00:00,92.57,92.74,91.04,91.04
2018-12-19 20:00:00,92.53,92.73,92.17,92.56
2018-12-19 21:00:00,92.38,92.65,92.2,92.52
2018-12-19 22:00:00,92.4,92.6,92.22,92.42
2018-12-19 23:00:00,92.24,92.39,92.18,92.39
2018-12-20 00:00:00,92.34,92.39,92.21,92.23
2018-12-20 01:00:00,92.35,92.47,92.3,92.33
2018-12-20 02:00:00,92.4,92.44,92.3,92.35
2018-12-20 03:00:00,92.36,92.45,92.32,92.4
2018-12-20 04:00:00,92.25,92.41,92.25,92.36
2018-12-20 05:00:00,92.18,92.34,92.17,92.26
2018-12-26 22:00:00,93.25,93.25,93.25,93.25
2019-01-01 22:00:00,93.11,93.12,93.08,93.08
2019-01-01 23:00:00,93.13,93.13,93.09,93.12
2019-01-02 00:00:00,93.16,93.17,93.12,93.13
2019-01-02 01:00:00,93.18,93.23,93.16,93.16
2019-01-02 02:00:00,93.23,93.24,93.18,93.18
2019-01-02 03:00:00,93.23,93.23,93.21,93.23
2019-01-02 04:00:00,93.23,93.25,93.22,93.23
2019-01-02 05:00:00,93.01,93.23,93.01,93.23
2019-01-02 06:00:00,92.95,93.02,92.84,93.02
2019-01-02 07:00:00,93.04,93.07,92.88,92.95
2019-01-02 08:00:00,93.32,93.52,93.03,93.07
2019-01-02 09:00:00,93.46,93.58,93.31,93.32
2019-01-02 10:00:00,93.44,93.49,93.39,93.46
2019-01-02 11:00:00,93.47,93.56,93.42,93.44
2019-01-02 12:00:00,93.76,93.82,93.46,93.47
2019-01-02 13:00:00,94.09,94.13,93.75,93.76
2019-01-02 14:00:00,94.2,94.21,94.05,94.09
2019-01-02 15:00:00,94.27,94.33,94.13,94.19
2019-01-02 16:00:00,94.25,94.3,94.22,94.27
2019-01-02 17:00:00,94.29,94.31,94.25,94.25
2019-01-02 18:00:00,94.26,94.29,94.25,94.29
2019-01-02 19:00:00,94.32,94.32,94.25,94.26
2019-01-02 20:00:00,94.32,94.34,94.3,94.32
2019-01-02 21:00:00,94.31,94.34,94.3,94.33
2019-01-02 22:00:00,94.28,94.4,94.06,94.29
2019-01-02 23:00:00,94.11,94.4,94.08,94.28
2019-01-03 00:00:00,94.32,94.37,94.09,94.11
2019-01-03 01:00:00,94.38,94.41,94.32,94.32
2019-01-03 02:00:00,94.45,94.48,94.36,94.38
2019-01-03 03:00:00,94.51,94.55,94.44,94.45
2019-01-03 04:00:00,94.52,94.53,94.47,94.5
2019-01-03 05:00:00,94.47,94.54,94.44,94.52
2019-01-08 06:00:00,94.4,94.45,94.29,94.43
2019-01-08 07:00:00,94.43,94.54,94.33,94.4
2019-01-08 08:00:00,94.37,94.54,94.35,94.43
2019-01-08 09:00:00,94.33,94.38,94.23,94.37
2019-01-08 10:00:00,94.4,94.53,94.33,94.33
2019-01-08 11:00:00,94.18,94.45,94.14,94.4
2019-01-08 12:00:00,94.35,94.43,94.16,94.19
2019-01-08 13:00:00,94.61,94.66,94.35,94.35
2019-01-08 14:00:00,94.48,94.64,94.43,94.61
2019-01-08 15:00:00,94.45,94.63,94.43,94.48
2019-01-08 16:00:00,94.43,94.51,94.37,94.45
2019-01-08 17:00:00,94.31,94.47,94.3,94.43
2019-01-08 18:00:00,94.45,94.46,94.26,94.31
2019-01-08 19:00:00,94.44,94.47,94.42,94.45
2019-01-08 20:00:00,94.46,94.51,94.44,94.44
2019-01-08 21:00:00,94.45,94.49,94.45,94.46
2019-01-08 22:00:00,94.45,94.5,94.42,94.45
2019-01-08 23:00:00,94.28,94.46,94.27,94.46
2019-01-09 00:00:00,94.29,94.32,94.23,94.28
2019-01-09 01:00:00,94.28,94.3,94.19,94.29
2019-01-09 02:00:00,94.35,94.38,94.25,94.28
2019-01-09 03:00:00,94.32,94.34,94.26,94.34
2019-01-09 04:00:00,94.26,94.34,94.26,94.31
2019-01-09 05:00:00,94.24,94.28,94.21,94.25
2019-01-09 06:00:00,94.26,94.3,94.2,94.24
2019-01-09 07:00:00,94.19,94.31,94.04,94.26
2019-01-09 08:00:00,94.22,94.24,94.07,94.19
2019-01-09 09:00:00,94.25,94.29,94.12,94.21
2019-01-09 10:00:00,94.34,94.41,94.22,94.24
2019-01-09 11:00:00,94.29,94.48,94.29,94.34
2019-01-09 12:00:00,94.36,94.4,94.26,94.29
2019-01-09 13:00:00,94.22,94.38,94.2,94.35
2019-01-09 14:00:00,93.46,94.23,93.46,94.23
2019-01-09 15:00:00,93.94,93.98,93.18,93.46
2019-01-09 16:00:00,93.55,93.97,93.17,93.94
2019-01-09 17:00:00,93.29,93.63,93.26,93.55
2019-01-09 18:00:00,93.19,93.42,93.09,93.31
2019-01-09 19:00:00,93.01,93.38,92.65,93.2
2019-01-09 20:00:00,92.71,93.02,92.71,93.02
2019-01-09 21:00:00,93.02,93.05,92.69,92.71
2019-01-09 22:00:00,92.89,93.13,92.88,93.07
2019-01-09 23:00:00,92.76,92.94,92.75,92.89
2019-01-10 00:00:00,92.73,92.88,92.63,92.76
2019-01-10 01:00:00,92.78,93.07,92.58,92.73
2019-01-10 02:00:00,92.75,92.92,92.71,92.77
2019-01-10 03:00:00,92.34,92.75,92.33,92.75
2019-01-10 04:00:00,92.64,92.66,92.34,92.34
2019-01-10 05:00:00,92.59,92.78,92.53,92.64
2019-01-15 22:00:00,95.44,95.44,95.44,95.44
2019-01-15 23:00:00,95.44,95.44,95.44,95.44
2019-01-16 00:00:00,95.44,95.44,95.42,95.44
2019-01-16 01:00:00,95.39,95.44,95.39,95.44
2019-01-16 02:00:00,95.41,95.41,95.39,95.39
2019-01-16 03:00:00,95.41,95.41,95.39,95.41
2019-01-16 04:00:00,95.44,95.44,95.41,95.41
2019-01-16 05:00:00,95.44,95.45,95.43,95.44
2019-01-16 06:00:00,95.39,95.45,95.39,95.44
2019-01-16 07:00:00,95.38,95.44,95.37,95.39
2019-01-16 08:00:00,95.51,95.51,95.37,95.37
2019-01-16 09:00:00,95.46,95.54,95.46,95.53
2019-01-16 10:00:00,95.41,95.47,95.41,95.46
2019-01-16 11:00:00,95.3,95.41,95.3,95.41
2019-01-16 12:00:00,95.3,95.3,95.3,95.3
2019-01-16 13:00:00,95.31,95.34,95.28,95.28
2019-01-16 14:00:00,95.34,95.41,95.3,95.3
2019-01-16 15:00:00,95.34,95.41,95.32,95.37
2019-01-16 16:00:00,95.45,95.48,95.34,95.34
2019-01-16 17:00:00,95.39,95.45,95.36,95.45
2019-01-16 18:00:00,95.44,95.47,95.38,95.38
2019-01-16 19:00:00,95.44,95.45,95.37,95.45
2019-01-16 20:00:00,95.48,95.49,95.4,95.45
2019-01-16 21:00:00,95.47,95.49,95.46,95.49
2019-01-16 22:00:00,95.47,95.47,95.47,95.47
2019-01-16 23:00:00,95.45,95.46,95.44,95.45
2019-01-17 00:00:00,95.45,95.46,95.42,95.46
2019-01-17 01:00:00,95.42,95.47,95.42,95.45
2019-01-17 02:00:00,95.38,95.43,95.36,95.41
2019-01-17 03:00:00,95.36,95.38,95.34,95.36
2019-01-17 04:00:00,95.31,95.36,95.3,95.36
2019-01-17 05:00:00,95.34,95.36,95.26,95.3
2019-01-22 06:00:00,94.48,94.65,94.41,94.6
2019-01-22 07:00:00,94.51,94.55,94.3,94.51
2019-01-22 08:00:00,94.66,94.73,94.42,94.48
2019-01-22 09:00:00,94.7,94.77,94.58,94.68
2019-01-22 10:00:00,94.7,94.83,94.63,94.69
2019-01-22 11:00:00,94.64,94.74,94.6,94.74
2019-01-22 12:00:00,94.57,94.73,94.57,94.63
2019-01-22 13:00:00,94.27,94.53,94.27,94.53
2019-01-22 14:00:00,94.51,94.51,94.08,94.27
2019-01-22 15:00:00,94.56,94.77,94.54,94.54
2019-01-22 16:00:00,94.64,94.79,94.55,94.56
2019-01-22 17:00:00,94.94,94.96,94.63,94.64
2019-01-22 18:00:00,94.86,95.01,94.81,94.91
2019-01-22 19:00:00,94.77,94.88,94.71,94.88
2019-01-22 20:00:00,94.6,94.78,94.58,94.71
2019-01-22 21:00:00,94.66,94.72,94.46,94.46
2019-01-22 22:00:00,94.7,94.72,94.62,94.62
2019-01-22 23:00:00,94.72,94.74,94.67,94.71
2019-01-23 00:00:00,94.75,94.76,94.69,94.72
2019-01-23 01:00:00,94.74,94.83,94.65,94.75
2019-01-23 02:00:00,94.78,94.8,94.72,94.78
2019-01-23 03:00:00,94.74,94.86,94.74,94.77
2019-01-23 04:00:00,94.77,94.84,94.72,94.74
2019-01-23 05:00:00,94.85,94.86,94.74,94.8
2019-01-23 06:00:00,94.92,94.94,94.79,94.86
2019-01-23 07:00:00,94.72,94.95,94.72,94.95
2019-01-23 08:00:00,94.67,94.77,94.51,94.77
2019-01-23 09:00:00,94.53,94.74,94.47,94.69
2019-01-23 10:00:00,94.55,94.61,94.41,94.52
2019-01-23 11:00:00,94.74,94.82,94.57,94.57
2019-01-23 12:00:00,94.84,94.89,94.68,94.77
2019-01-23 13:00:00,94.52,94.89,94.44,94.79
2019-01-23 14:00:00,94.81,94.81,94.44,94.48
