,close,max,min,open
2018-12-19 01:00:00,180.54,180.78,180.51,180.75
2018-12-19 02:00:00,180.71,180.76,180.54,180.54
2018-12-19 03:00:00,180.59,180.72,180.58,180.71
2018-12-19 04:00:00,180.55,180.65,180.54,180.59
2018-12-19 05:00:00,180.56,180.61,180.52,180.55
2018-12-19 06:00:00,180.54,180.6,180.48,180.56
2018-12-19 07:00:00,180.55,180.61,180.46,180.54
2018-12-19 08:00:00,180.58,180.68,180.44,180.56
2018-12-19 09:00:00,180.33,180.58,180.32,180.58
2018-12-19 10:00:00,180.2,180.33,180.12,180.33
2018-12-19 11:00:00,180.22,180.29,180.2,180.2
2018-12-19 12:00:00,180.25,180.28,180.12,180.22
2018-12-19 13:00:00,180.48,180.52,180.25,180.25
2018-12-19 14:00:00,179.76,180.73,179.75,180.48
2018-12-19 15:00:00,179.69,179.96,179.54,179.75
2018-12-19 16:00:00,179.7,179.72,179.33,179.69
2018-12-19 17:00:00,179.38,179.81,179.38,179.7
2018-12-19 18:00:00,179.61,179.61,179.09,179.38
2018-12-19 19:00:00,177.16,179.76,176.9,179.64
2018-12-19 20:00:00,176.75,177.17,176.04,177.15
2018-12-19 21:00:00,176.65,176.87,176.42,176.77
2018-12-19 22:00:00,176.65,176.65,176.64,176.64
2018-12-19 23:00:00,176.92,176.98,176.45,176.65
2018-12-20 00:00:00,176.96,177.03,176.77,176.92
2018-12-20 01:00:00,177.0,177.1,176.97,176.97
2018-12-20 02:00:00,176.86,177.01,176.74,177.0
2018-12-20 03:00:00,176.6,176.87,176.55,176.85
2018-12-20 04:00:00,176.05,176.64,175.97,176.59
2018-12-20 05:00:00,176.27,176.32,175.99,176.05
2018-12-25 22:00:00,172.62,172.62,172.62,172.62
2018-12-25 23:00:00,172.59,172.72,172.56,172.62
2018-12-26 00:00:00,172.53,172.59,172.48,172.59
2018-12-26 01:00:00,172.71,172.74,172.53,172.53
2018-12-26 02:00:00,172.77,172.77,172.71,172.72
2018-12-26 03:00:00,172.77,172.78,172.75,172.77
2018-12-26 04:00:00,172.77,172.78,172.76,172.77
2018-12-26 05:00:00,172.78,172.8,172.73,172.77
2018-12-26 06:00:00,172.82,172.84,172.77,172.78
2018-12-26 07:00:00,172.78,172.82,172.76,172.81
2018-12-26 08:00:00,172.77,172.82,172.74,172.78
2018-12-26 09:00:00,172.77,172.79,172.75,172.77
2018-12-26 10:00:00,172.79,172.8,172.76,172.77
2018-12-26 11:00:00,172.78,172.83,172.77,172.79
2018-12-26 12:00:00,172.75,172.79,172.72,172.78
2018-12-26 13:00:00,172.84,172.91,172.75,172.75
2018-12-26 14:00:00,172.83,172.93,172.8,172.84
2018-12-26 15:00:00,172.97,172.99,172.83,172.83
2018-12-26 16:00:00,172.89,173.0,172.89,172.97
2018-12-26 17:00:00,172.68,172.92,172.67,172.9
2018-12-26 18:00:00,172.57,172.75,172.57,172.68
2018-12-26 19:00:00,172.56,172.62,172.53,172.57
2018-12-26 20:00:00,172.5,172.51,172.5,172.51
2018-12-26 21:00:00,172.5,172.51,172.5,172.51
2018-12-26 22:00:00,172.5,172.5,172.5,172.5
2019-01-01 22:00:00,172.76,172.76,172.76,172.76
2019-01-01 23:00:00,172.7,172.76,172.68,172.76
2019-01-02 00:00:00,172.65,172.73,172.64,172.7
