,close,max,min,open
2018-12-19 01:00:00,116.07,116.34,115.81,116.2
2018-12-19 02:00:00,116.25,116.42,116.07,116.07
2018-12-19 03:00:00,116.45,116.54,116.19,116.25
2018-12-19 04:00:00,116.65,116.71,116.29,116.46
2018-12-19 05:00:00,116.3,116.73,116.28,116.65
2018-12-19 06:00:00,116.33,116.36,116.2,116.3
2018-12-19 07:00:00,116.19,116.34,115.9,116.32
2018-12-19 08:00:00,116.37,116.43,116.14,116.18
2018-12-19 09:00:00,116.34,116.48,116.19,116.37
2018-12-19 10:00:00,116.15,116.46,116.12,116.34
2018-12-19 11:00:00,115.98,116.26,115.93,116.15
2018-12-19 12:00:00,115.91,116.01,115.71,115.99
2018-12-19 13:00:00,116.19,116.29,115.69,115.91
2018-12-19 14:00:00,116.02,116.25,115.93,116.19
2018-12-19 15:00:00,115.56,116.02,115.48,116.02
2018-12-19 16:00:00,116.09,116.15,115.54,115.55
2018-12-19 17:00:00,116.21,116.26,116.01,116.09
2018-12-19 18:00:00,115.94,116.34,115.73,116.22
2018-12-19 19:00:00,116.64,116.8,115.69,115.97
2018-12-19 20:00:00,116.2,117.07,116.06,116.64
2018-12-19 21:00:00,116.17,116.45,116.06,116.19
2018-12-19 22:00:00,116.23,116.32,116.03,116.1
2018-12-19 23:00:00,116.14,116.34,116.02,116.22
2018-12-20 00:00:00,116.1,116.24,115.95,116.14
2018-12-20 01:00:00,116.24,116.3,115.93,116.1
2018-12-20 02:00:00,116.32,116.47,116.22,116.25
2018-12-20 03:00:00,116.58,116.6,116.26,116.32
2018-12-20 04:00:00,116.85,116.91,116.58,116.59
2018-12-20 05:00:00,117.09,117.3,116.74,116.85
2018-12-25 22:00:00,116.98,117.11,116.92,117.05
2018-12-25 23:00:00,116.95,117.04,116.9,116.98
2018-12-26 00:00:00,117.03,117.04,116.94,116.96
2018-12-26 01:00:00,116.99,117.09,116.98,117.03
2018-12-26 02:00:00,116.97,116.98,116.93,116.98
2018-12-26 03:00:00,116.95,116.98,116.93,116.98
2018-12-26 04:00:00,117.03,117.04,116.95,116.95
2018-12-26 05:00:00,117.06,117.11,117.02,117.03
2018-12-26 06:00:00,117.03,117.1,117.01,117.06
2018-12-26 07:00:00,117.06,117.09,117.02,117.03
2018-12-26 08:00:00,117.16,117.22,117.06,117.06
2018-12-26 09:00:00,117.23,117.26,117.12,117.16
2018-12-26 10:00:00,117.22,117.26,117.18,117.23
2018-12-26 11:00:00,117.25,117.26,117.18,117.22
2018-12-26 12:00:00,117.23,117.31,117.2,117.25
2018-12-26 13:00:00,117.18,117.29,117.18,117.23
2018-12-26 14:00:00,117.22,117.25,117.13,117.18
2018-12-26 15:00:00,116.99,117.22,116.95,117.22
2018-12-26 16:00:00,117.24,117.26,116.98,116.99
2018-12-26 17:00:00,118.01,118.02,117.19,117.24
2018-12-26 18:00:00,117.99,118.03,117.89,118.0
2018-12-26 19:00:00,118.13,118.19,117.93,117.99
2018-12-26 20:00:00,118.34,118.35,118.14,118.14
2018-12-26 21:00:00,118.21,118.44,118.21,118.34
2018-12-26 22:00:00,118.24,118.33,118.16,118.23
2018-12-26 23:00:00,118.28,118.38,118.14,118.24
2018-12-27 00:00:00,118.1,118.32,118.05,118.29
2018-12-27 01:00:00,117.76,118.14,117.73,118.1
2018-12-27 02:00:00,117.63,117.78,117.58,117.77
2018-12-27 03:00:00,117.62,117.66,117.55,117.63
2018-12-27 04:00:00,117.57,117.62,117.5,117.62
2018-12-27 05:00:00,117.5,117.69,117.48,117.57
2019-01-01 22:00:00,115.97,115.99,115.86,115.93
2019-01-01 23:00:00,116.0,116.02,115.9,115.97
2019-01-02 00:00:00,116.1,116.15,116.0,116.0
2019-01-02 01:00:00,116.16,116.21,116.08,116.1
2019-01-02 02:00:00,116.42,116.51,116.16,116.16
2019-01-02 03:00:00,116.42,116.48,116.4,116.43
2019-01-02 04:00:00,116.46,116.51,116.42,116.42
2019-01-02 05:00:00,116.22,116.46,116.21,116.46
2019-01-02 06:00:00,116.2,116.27,116.16,116.22
2019-01-02 07:00:00,116.23,116.27,116.14,116.2
2019-01-02 08:00:00,116.88,117.04,116.22,116.23
2019-01-02 09:00:00,117.03,117.22,116.88,116.88
2019-01-02 10:00:00,116.9,117.08,116.82,117.03
2019-01-02 11:00:00,116.87,116.91,116.82,116.9
2019-01-02 12:00:00,117.12,117.12,116.78,116.87
2019-01-02 13:00:00,117.4,117.69,117.1,117.12
2019-01-02 14:00:00,117.36,117.42,117.28,117.41
2019-01-02 15:00:00,117.49,117.52,117.27,117.36
2019-01-02 16:00:00,117.52,117.53,117.37,117.48
2019-01-02 17:00:00,117.5,117.63,117.48,117.53
2019-01-02 18:00:00,117.57,117.61,117.5,117.5
2019-01-02 19:00:00,117.68,117.7,117.54,117.57
2019-01-02 20:00:00,117.78,117.85,117.67,117.68
2019-01-02 21:00:00,117.99,118.02,117.75,117.78
2019-01-02 22:00:00,120.49,122.39,117.91,117.99
2019-01-02 23:00:00,119.93,120.56,119.17,120.5
2019-01-03 00:00:00,119.43,119.95,119.24,119.94
2019-01-03 01:00:00,119.45,119.57,119.24,119.42
2019-01-03 02:00:00,119.8,119.86,119.44,119.45
2019-01-03 03:00:00,119.7,119.9,119.59,119.8
2019-01-03 04:00:00,119.69,119.74,119.56,119.7
2019-01-03 05:00:00,119.95,120.19,119.65,119.69
2019-01-08 06:00:00,115.22,115.43,115.13,115.37
2019-01-08 07:00:00,115.19,115.46,115.0,115.22
2019-01-08 08:00:00,115.14,115.42,115.09,115.2
2019-01-08 09:00:00,115.09,115.21,115.01,115.14
2019-01-08 10:00:00,115.35,115.43,115.09,115.09
2019-01-08 11:00:00,114.99,115.43,114.89,115.36
2019-01-08 12:00:00,115.2,115.4,114.97,115.0
2019-01-08 13:00:00,115.4,115.61,115.21,115.21
2019-01-08 14:00:00,115.07,115.46,114.81,115.4
2019-01-08 15:00:00,114.95,115.62,114.71,115.07
2019-01-08 16:00:00,115.19,115.31,114.7,114.94
2019-01-08 17:00:00,115.22,115.86,115.03,115.19
2019-01-08 18:00:00,115.32,115.4,114.92,115.22
2019-01-08 19:00:00,115.17,115.47,115.15,115.31
2019-01-08 20:00:00,114.99,115.31,114.96,115.17
2019-01-08 21:00:00,114.96,115.31,114.93,114.99
2019-01-08 22:00:00,114.87,115.39,114.59,114.82
2019-01-08 23:00:00,115.65,115.91,114.6,114.88
2019-01-09 00:00:00,114.77,115.79,114.65,115.64
2019-01-09 01:00:00,115.34,115.34,114.61,114.78
2019-01-09 02:00:00,115.31,115.63,115.02,115.34
2019-01-09 03:00:00,115.56,115.56,115.2,115.3
2019-01-09 04:00:00,114.78,115.55,114.78,115.55
2019-01-09 05:00:00,114.92,115.26,114.6,114.8
2019-01-09 06:00:00,114.84,115.12,114.73,114.91
2019-01-09 07:00:00,115.05,115.09,114.65,114.84
2019-01-09 08:00:00,114.17,115.22,113.94,115.06
2019-01-09 09:00:00,114.7,115.02,114.12,114.17
2019-01-09 10:00:00,115.86,116.3,114.66,114.69
2019-01-09 11:00:00,116.1,116.46,115.78,115.86
2019-01-09 12:00:00,115.81,116.28,115.22,116.1
2019-01-09 13:00:00,116.11,116.4,115.57,115.81
2019-01-09 14:00:00,114.54,116.16,114.44,116.12
2019-01-09 15:00:00,115.48,115.52,114.09,114.55
2019-01-09 16:00:00,114.7,115.55,114.64,115.48
2019-01-09 17:00:00,114.56,114.96,114.42,114.71
2019-01-09 18:00:00,114.52,114.85,114.31,114.58
2019-01-09 19:00:00,113.8,114.69,113.62,114.53
2019-01-09 20:00:00,113.61,114.3,113.5,113.81
2019-01-09 21:00:00,113.3,113.68,113.29,113.6
2019-01-09 22:00:00,113.21,113.47,112.98,113.16
2019-01-09 23:00:00,113.08,113.33,112.97,113.19
2019-01-10 00:00:00,113.17,113.41,113.01,113.08
2019-01-10 01:00:00,112.43,113.24,112.36,113.17
2019-01-10 02:00:00,112.42,112.52,112.4,112.42
2019-01-10 03:00:00,112.58,112.6,112.35,112.41
2019-01-10 04:00:00,112.78,112.78,112.57,112.57
2019-01-10 05:00:00,112.91,112.98,112.78,112.78
2019-01-15 06:00:00,114.38,114.41,114.15,114.15
