,close,max,min,open
2018-12-19 22:00:00,152.8,152.8,152.32,152.58
2018-12-19 23:00:00,152.81,152.81,152.8,152.8
2018-12-20 00:00:00,152.81,152.81,152.8,152.8
2018-12-20 01:00:00,152.81,152.81,152.8,152.8
2018-12-20 02:00:00,152.81,152.81,152.8,152.8
2018-12-20 03:00:00,152.81,152.81,152.8,152.8
2018-12-20 04:00:00,152.81,152.81,152.8,152.8
2018-12-20 05:00:00,152.81,152.81,152.8,152.8
2018-12-20 06:00:00,152.81,152.81,152.8,152.8
2018-12-20 07:00:00,152.81,152.81,152.8,152.8
2018-12-20 08:00:00,152.81,152.81,152.8,152.8
2018-12-20 09:00:00,152.81,152.81,152.8,152.8
2018-12-20 10:00:00,152.81,152.81,152.8,152.8
2018-12-20 11:00:00,152.81,152.81,152.8,152.8
2018-12-20 12:00:00,152.81,152.81,152.8,152.8
2018-12-20 13:00:00,152.81,152.81,152.8,152.8
2018-12-20 14:00:00,152.81,152.81,152.8,152.8
2018-12-20 15:00:00,152.81,152.81,152.8,152.8
2018-12-20 16:00:00,152.81,152.81,152.8,152.8
2018-12-20 17:00:00,152.81,152.81,152.8,152.8
2018-12-20 18:00:00,152.81,152.81,152.8,152.8
2018-12-20 19:00:00,152.81,152.81,152.8,152.8
2018-12-20 20:00:00,152.81,152.81,152.8,152.8
2018-12-20 21:00:00,152.81,152.81,152.8,152.8
2018-12-20 22:00:00,152.81,152.81,152.81,152.81
2018-12-23 22:00:00,152.81,152.81,152.81,152.81
2018-12-26 22:00:00,152.81,152.81,152.81,152.81
2018-12-26 23:00:00,152.81,152.81,152.81,152.81
2018-12-27 00:00:00,152.81,152.81,152.81,152.81
2018-12-27 01:00:00,152.81,152.81,152.81,152.81
2018-12-27 02:00:00,152.81,152.81,152.81,152.81
2018-12-27 03:00:00,152.81,152.81,152.81,152.81
2018-12-27 04:00:00,152.81,152.81,152.81,152.81
2018-12-27 05:00:00,152.81,152.81,152.81,152.81
2018-12-27 06:00:00,152.81,152.81,152.81,152.81
2018-12-27 07:00:00,152.81,152.81,152.81,152.81
2018-12-27 08:00:00,152.81,152.81,152.81,152.81
2018-12-27 09:00:00,152.81,152.81,152.81,152.81
2018-12-27 10:00:00,152.81,152.81,152.81,152.81
2018-12-27 11:00:00,152.81,152.81,152.81,152.81
2018-12-27 12:00:00,152.81,152.81,152.81,152.81
2018-12-27 13:00:00,152.81,152.81,152.81,152.81
2018-12-27 14:00:00,152.81,152.81,152.81,152.81
2018-12-27 15:00:00,152.81,152.81,152.81,152.81
2018-12-27 16:00:00,152.81,152.81,152.81,152.81
2018-12-27 17:00:00,152.81,152.81,152.81,152.81
2018-12-27 18:00:00,152.81,152.81,152.81,152.81
2018-12-27 19:00:00,152.81,152.81,152.81,152.81
2018-12-27 20:00:00,152.81,152.81,152.81,152.81
2018-12-27 21:00:00,152.81,152.81,152.81,152.81
2018-12-27 22:00:00,152.81,152.81,152.81,152.81
2018-12-30 22:00:00,152.81,152.81,152.81,152.81
2019-01-02 22:00:00,151.79,152.89,151.79,152.81
2019-01-02 23:00:00,151.79,152.89,151.79,152.81
2019-01-03 00:00:00,151.79,152.89,151.79,152.81
2019-01-03 01:00:00,151.79,152.89,151.79,152.81
2019-01-03 02:00:00,151.79,152.89,151.79,152.81
2019-01-03 03:00:00,151.79,152.89,151.79,152.81
2019-01-03 04:00:00,151.79,152.89,151.79,152.81
2019-01-03 05:00:00,151.79,152.89,151.79,152.81
2019-01-03 06:00:00,151.79,152.89,151.79,152.81
2019-01-03 07:00:00,151.79,152.89,151.79,152.81
2019-01-03 08:00:00,151.79,152.89,151.79,152.81
2019-01-03 09:00:00,151.79,152.89,151.79,152.81
2019-01-03 10:00:00,151.79,152.89,151.79,152.81
2019-01-03 11:00:00,151.79,152.89,151.79,152.81
2019-01-03 12:00:00,151.79,152.89,151.79,152.81
2019-01-03 13:00:00,151.79,152.89,151.79,152.81
2019-01-03 14:00:00,151.79,152.89,151.79,152.81
2019-01-03 15:00:00,151.79,152.89,151.79,152.81
2019-01-03 16:00:00,151.79,152.89,151.79,152.81
2019-01-03 17:00:00,151.79,152.89,151.79,152.81
2019-01-03 18:00:00,151.79,152.89,151.79,152.81
2019-01-03 19:00:00,151.79,152.89,151.79,152.81
2019-01-03 20:00:00,151.79,152.89,151.79,152.81
2019-01-03 21:00:00,151.79,152.89,151.79,152.81
2019-01-03 22:00:00,151.93,151.93,151.58,151.79
2019-01-03 23:00:00,151.93,151.97,151.86,151.93
2019-01-04 00:00:00,151.98,151.98,151.92,151.93
2019-01-04 01:00:00,151.98,151.98,151.92,151.93
2019-01-04 02:00:00,151.98,151.98,151.92,151.93
2019-01-04 03:00:00,151.98,151.98,151.92,151.93
2019-01-04 04:00:00,151.98,151.98,151.92,151.93
2019-01-04 05:00:00,151.98,151.98,151.92,151.93
2019-01-04 06:00:00,151.98,151.98,151.92,151.93
2019-01-04 07:00:00,151.98,151.98,151.98,151.98
2019-01-06 22:00:00,151.98,151.98,151.98,151.98
2019-01-06 23:00:00,151.98,151.98,151.98,151.98
2019-01-07 00:00:00,151.98,151.98,151.98,151.98
2019-01-07 01:00:00,151.98,151.98,151.98,151.98
2019-01-07 02:00:00,151.98,151.98,151.98,151.98
2019-01-07 03:00:00,151.98,151.98,151.98,151.98
2019-01-07 04:00:00,151.98,151.98,151.98,151.98
2019-01-07 05:00:00,151.98,151.98,151.98,151.98
2019-01-07 06:00:00,151.98,151.98,151.98,151.98
2019-01-07 07:00:00,151.98,151.98,151.98,151.98
2019-01-07 08:00:00,151.98,151.98,151.98,151.98
2019-01-07 09:00:00,151.98,151.98,151.98,151.98
2019-01-07 10:00:00,151.98,151.98,151.98,151.98
2019-01-07 11:00:00,151.98,151.98,151.98,151.98
2019-01-07 12:00:00,151.98,151.98,151.98,151.98
2019-01-07 13:00:00,151.98,151.98,151.98,151.98
2019-01-07 14:00:00,151.98,151.98,151.98,151.98
2019-01-07 15:00:00,151.98,151.98,151.98,151.98
2019-01-07 16:00:00,151.98,151.98,151.98,151.98
2019-01-07 17:00:00,151.98,151.98,151.98,151.98
2019-01-07 18:00:00,151.98,151.98,151.98,151.98
2019-01-07 19:00:00,151.98,151.98,151.98,151.98
2019-01-07 20:00:00,151.98,151.98,151.98,151.98
2019-01-07 21:00:00,151.98,151.98,151.98,151.98
2019-01-07 22:00:00,152.08,152.1,151.87,151.98
2019-01-07 23:00:00,152.15,152.17,152.08,152.08
2019-01-08 00:00:00,152.18,152.19,152.15,152.15
2019-01-08 01:00:00,152.18,152.19,152.15,152.15
2019-01-08 02:00:00,152.18,152.19,152.15,152.15
2019-01-08 03:00:00,152.18,152.19,152.15,152.15
2019-01-08 04:00:00,152.18,152.19,152.15,152.15
2019-01-08 05:00:00,152.18,152.19,152.15,152.15
2019-01-08 06:00:00,152.18,152.19,152.15,152.15
