,close,max,min,open
2018-12-19 19:00:00,141.8,141.94,141.72,141.91
2018-12-19 20:00:00,142.04,142.2,141.66,141.8
2018-12-19 21:00:00,141.88,142.29,141.55,142.03
2018-12-19 22:00:00,141.94,142.09,141.49,141.78
2018-12-19 23:00:00,142.04,142.13,141.94,141.97
2018-12-20 00:00:00,142.12,142.12,141.99,142.04
2018-12-20 01:00:00,142.12,142.12,141.99,142.04
2018-12-20 02:00:00,142.12,142.12,141.99,142.04
2018-12-20 03:00:00,142.12,142.12,141.99,142.04
2018-12-20 04:00:00,142.12,142.12,141.99,142.04
2018-12-20 05:00:00,142.12,142.12,141.99,142.04
2018-12-20 06:00:00,142.12,142.12,141.99,142.04
2018-12-20 07:00:00,142.12,142.12,141.99,142.04
2018-12-20 08:00:00,142.12,142.12,141.99,142.04
2018-12-20 09:00:00,142.12,142.12,141.99,142.04
2018-12-20 10:00:00,142.12,142.12,141.99,142.04
2018-12-20 11:00:00,142.12,142.12,141.99,142.04
2018-12-20 12:00:00,142.12,142.12,141.99,142.04
2018-12-20 13:00:00,142.12,142.12,141.99,142.04
2018-12-20 14:00:00,142.12,142.12,141.99,142.04
2018-12-20 15:00:00,142.12,142.12,141.99,142.04
2018-12-20 16:00:00,142.12,142.12,141.99,142.04
2018-12-20 17:00:00,142.12,142.12,141.99,142.04
2018-12-20 18:00:00,142.12,142.12,141.99,142.04
2018-12-20 19:00:00,142.12,142.12,141.99,142.04
2018-12-20 20:00:00,141.94,142.16,141.9,142.11
2018-12-20 21:00:00,141.9,142.0,141.63,141.91
2018-12-20 22:00:00,141.87,141.9,141.69,141.85
2018-12-23 22:00:00,141.84,141.84,141.84,141.84
2018-12-26 22:00:00,141.84,141.84,141.84,141.84
2018-12-26 23:00:00,141.84,141.84,141.84,141.84
2018-12-27 00:00:00,141.84,141.84,141.84,141.84
2018-12-27 01:00:00,141.84,141.84,141.84,141.84
2018-12-27 02:00:00,141.84,141.84,141.84,141.84
2018-12-27 03:00:00,141.84,141.84,141.84,141.84
2018-12-27 04:00:00,141.84,141.84,141.84,141.84
2018-12-27 05:00:00,141.84,141.84,141.84,141.84
2018-12-27 06:00:00,141.84,141.84,141.84,141.84
2018-12-27 07:00:00,141.84,141.84,141.84,141.84
2018-12-27 08:00:00,141.84,141.84,141.84,141.84
2018-12-27 09:00:00,141.84,141.84,141.84,141.84
2018-12-27 10:00:00,141.84,141.84,141.84,141.84
2018-12-27 11:00:00,141.84,141.84,141.84,141.84
2018-12-27 12:00:00,141.84,141.84,141.84,141.84
2018-12-27 13:00:00,141.84,141.84,141.84,141.84
2018-12-27 14:00:00,141.84,141.84,141.84,141.84
2018-12-27 15:00:00,141.84,141.84,141.84,141.84
2018-12-27 16:00:00,141.84,141.84,141.84,141.84
2018-12-27 17:00:00,141.84,141.84,141.84,141.84
2018-12-27 18:00:00,141.84,141.84,141.84,141.84
2018-12-27 19:00:00,141.84,141.84,141.84,141.84
2018-12-27 20:00:00,141.84,141.84,141.84,141.84
2018-12-27 21:00:00,141.84,141.84,141.84,141.84
2018-12-27 22:00:00,141.84,141.84,141.84,141.84
2018-12-30 22:00:00,141.84,141.84,141.84,141.84
2019-01-02 19:00:00,141.69,141.87,141.68,141.84
2019-01-02 20:00:00,141.93,142.06,141.08,141.69
2019-01-02 21:00:00,142.28,142.52,141.71,141.92
2019-01-02 22:00:00,141.79,142.39,141.44,142.29
2019-01-02 23:00:00,142.02,142.01,141.74,141.79
2019-01-03 00:00:00,142.02,142.01,141.74,141.79
2019-01-03 01:00:00,142.02,142.01,141.74,141.79
2019-01-03 02:00:00,142.02,142.01,141.74,141.79
2019-01-03 03:00:00,142.02,142.01,141.74,141.79
2019-01-03 04:00:00,142.02,142.01,141.74,141.79
2019-01-03 05:00:00,142.02,142.01,141.74,141.79
2019-01-03 06:00:00,142.02,142.01,141.74,141.79
2019-01-03 07:00:00,142.02,142.01,141.74,141.79
2019-01-03 08:00:00,142.02,142.01,141.74,141.79
2019-01-03 09:00:00,142.02,142.01,141.74,141.79
2019-01-03 10:00:00,142.02,142.01,141.74,141.79
2019-01-03 11:00:00,142.02,142.01,141.74,141.79
2019-01-03 12:00:00,142.02,142.01,141.74,141.79
2019-01-03 13:00:00,142.02,142.01,141.74,141.79
2019-01-03 14:00:00,142.02,142.01,141.74,141.79
2019-01-03 15:00:00,142.02,142.01,141.74,141.79
2019-01-03 16:00:00,142.02,142.01,141.74,141.79
2019-01-03 17:00:00,142.02,142.01,141.74,141.79
2019-01-03 18:00:00,142.02,142.01,141.74,141.79
2019-01-03 19:00:00,141.99,142.06,141.96,142.0
2019-01-03 20:00:00,142.35,142.5,141.4,141.99
2019-01-03 21:00:00,142.35,142.84,142.22,142.34
2019-01-03 22:00:00,142.82,142.85,141.89,142.39
2019-01-06 22:00:00,143.04,143.04,143.04,143.04
2019-01-06 23:00:00,143.04,143.04,143.04,143.04
2019-01-07 00:00:00,143.04,143.04,143.04,143.04
2019-01-07 01:00:00,143.04,143.04,143.04,143.04
2019-01-07 02:00:00,143.04,143.04,143.04,143.04
2019-01-07 03:00:00,143.04,143.04,143.04,143.04
2019-01-07 04:00:00,143.04,143.04,143.04,143.04
2019-01-07 05:00:00,143.04,143.04,143.04,143.04
2019-01-07 06:00:00,143.04,143.04,143.04,143.04
2019-01-07 07:00:00,143.04,143.04,143.04,143.04
2019-01-07 08:00:00,143.04,143.04,143.04,143.04
2019-01-07 09:00:00,143.04,143.04,143.04,143.04
2019-01-07 10:00:00,143.04,143.04,143.04,143.04
2019-01-07 11:00:00,143.04,143.04,143.04,143.04
2019-01-07 12:00:00,143.04,143.04,143.04,143.04
2019-01-07 13:00:00,143.04,143.04,143.04,143.04
2019-01-07 14:00:00,143.04,143.04,143.04,143.04
2019-01-07 15:00:00,143.04,143.04,143.04,143.04
2019-01-07 16:00:00,143.04,143.04,143.04,143.04
2019-01-07 17:00:00,143.04,143.04,143.04,143.04
2019-01-07 18:00:00,143.04,143.04,143.04,143.04
2019-01-07 19:00:00,143.07,143.07,142.98,143.02
2019-01-07 20:00:00,143.08,143.15,142.91,143.07
2019-01-07 21:00:00,142.4,143.21,142.4,143.09
2019-01-07 22:00:00,142.54,142.95,142.31,142.41
2019-01-07 23:00:00,142.59,142.93,142.54,142.54
2019-01-08 00:00:00,142.82,142.82,142.57,142.59
2019-01-08 01:00:00,142.82,142.82,142.57,142.59
2019-01-08 02:00:00,142.82,142.82,142.57,142.59
2019-01-08 03:00:00,142.82,142.82,142.57,142.59
2019-01-08 04:00:00,142.82,142.82,142.57,142.59
2019-01-08 05:00:00,142.82,142.82,142.57,142.59
2019-01-08 06:00:00,142.82,142.82,142.57,142.59
2019-01-08 07:00:00,142.82,142.82,142.57,142.59
2019-01-08 08:00:00,142.82,142.82,142.57,142.59
2019-01-08 09:00:00,142.82,142.82,142.57,142.59
2019-01-08 10:00:00,142.82,142.82,142.57,142.59
2019-01-08 11:00:00,142.82,142.82,142.57,142.59
2019-01-08 12:00:00,142.82,142.82,142.57,142.59
2019-01-08 13:00:00,142.82,142.82,142.57,142.59
2019-01-08 14:00:00,142.82,142.82,142.57,142.59
2019-01-08 15:00:00,142.82,142.82,142.57,142.59
2019-01-08 16:00:00,142.82,142.82,142.57,142.59
2019-01-08 17:00:00,142.82,142.82,142.57,142.59
2019-01-08 18:00:00,142.82,142.82,142.57,142.59
2019-01-08 19:00:00,142.8,142.86,142.78,142.8
2019-01-08 20:00:00,142.87,142.87,142.69,142.8
2019-01-08 21:00:00,143.22,143.35,142.85,142.86
2019-01-08 22:00:00,143.56,143.59,143.09,143.09
2019-01-08 23:00:00,143.28,143.62,143.28,143.57
2019-01-09 00:00:00,143.28,143.62,143.28,143.57
2019-01-09 01:00:00,143.28,143.62,143.28,143.57
2019-01-09 02:00:00,143.28,143.62,143.28,143.57
2019-01-09 03:00:00,143.28,143.62,143.28,143.57
2019-01-09 04:00:00,143.28,143.62,143.28,143.57
2019-01-09 05:00:00,143.28,143.62,143.28,143.57
2019-01-09 06:00:00,143.28,143.62,143.28,143.57
2019-01-09 07:00:00,143.28,143.62,143.28,143.57
2019-01-09 08:00:00,143.28,143.62,143.28,143.57
2019-01-09 09:00:00,143.28,143.62,143.28,143.57
2019-01-09 10:00:00,143.28,143.62,143.28,143.57
2019-01-09 11:00:00,143.28,143.62,143.28,143.57
2019-01-09 12:00:00,143.28,143.62,143.28,143.57
2019-01-09 13:00:00,143.28,143.62,143.28,143.57
2019-01-09 14:00:00,143.28,143.62,143.28,143.57
2019-01-09 15:00:00,143.28,143.62,143.28,143.57
2019-01-09 16:00:00,143.28,143.62,143.28,143.57
2019-01-09 17:00:00,143.28,143.62,143.28,143.57
2019-01-09 18:00:00,143.28,143.62,143.28,143.57
2019-01-09 19:00:00,143.15,143.32,143.13,143.26
2019-01-09 20:00:00,142.87,143.72,142.64,143.15
2019-01-09 21:00:00,142.25,143.25,142.25,142.84
2019-01-09 22:00:00,142.67,142.75,141.74,141.95
2019-01-09 23:00:00,143.08,143.09,142.46,142.65
2019-01-10 00:00:00,143.11,143.12,143.02,143.08
