,close,max,min,open
2018-12-19 01:00:00,113.05,113.18,112.97,113.14
2018-12-19 02:00:00,113.25,113.45,113.0,113.07
2018-12-19 03:00:00,113.38,113.39,113.19,113.25
2018-12-19 04:00:00,113.14,113.39,113.08,113.38
2018-12-19 05:00:00,113.14,113.16,113.02,113.14
2018-12-19 06:00:00,113.12,113.21,113.08,113.14
2018-12-19 07:00:00,113.37,113.44,112.95,113.14
2018-12-19 08:00:00,113.03,113.39,112.88,113.39
2018-12-19 09:00:00,112.88,113.07,112.77,113.04
2018-12-19 10:00:00,112.76,112.92,112.63,112.88
2018-12-19 11:00:00,113.17,113.17,112.7,112.76
2018-12-19 12:00:00,112.9,113.23,112.83,113.17
2018-12-19 13:00:00,112.88,112.99,112.58,112.9
2018-12-19 14:00:00,113.51,113.56,112.82,112.87
2018-12-19 15:00:00,113.36,113.68,113.31,113.5
2018-12-19 16:00:00,113.92,114.0,113.32,113.36
2018-12-19 17:00:00,114.0,114.02,113.77,113.9
2018-12-19 18:00:00,113.72,114.06,113.72,114.01
2018-12-19 19:00:00,114.7,114.81,113.62,113.72
2018-12-19 20:00:00,114.83,115.3,114.7,114.71
2018-12-19 21:00:00,114.68,114.96,114.67,114.83
2018-12-19 22:00:00,114.62,114.88,114.56,114.63
2018-12-19 23:00:00,114.85,114.96,114.61,114.61
2018-12-20 00:00:00,114.55,114.97,114.52,114.86
2018-12-20 01:00:00,114.85,114.94,114.43,114.56
2018-12-20 02:00:00,114.97,115.0,114.78,114.85
2018-12-20 03:00:00,115.0,115.1,114.92,114.97
2018-12-20 04:00:00,115.39,115.44,114.98,115.0
2018-12-20 05:00:00,115.77,115.8,115.39,115.4
2018-12-25 22:00:00,116.86,117.13,116.71,117.13
2018-12-25 23:00:00,117.0,117.08,116.8,116.85
2018-12-26 00:00:00,117.04,117.06,116.95,117.0
2018-12-26 01:00:00,116.95,117.04,116.86,117.04
2018-12-26 02:00:00,117.21,117.34,116.95,116.95
2018-12-26 03:00:00,117.06,117.22,117.02,117.21
2018-12-26 04:00:00,117.0,117.07,117.0,117.06
2018-12-26 05:00:00,116.94,117.04,116.88,117.01
2018-12-26 06:00:00,116.91,117.0,116.86,116.93
2018-12-26 07:00:00,116.92,117.03,116.91,116.91
2018-12-26 08:00:00,116.93,116.95,116.86,116.92
2018-12-26 09:00:00,116.93,117.02,116.91,116.93
2018-12-26 10:00:00,116.77,116.95,116.76,116.94
2018-12-26 11:00:00,116.81,116.83,116.72,116.77
2018-12-26 12:00:00,116.8,116.87,116.79,116.81
2018-12-26 13:00:00,116.71,116.82,116.7,116.8
2018-12-26 14:00:00,116.81,116.82,116.67,116.71
2018-12-26 15:00:00,116.67,116.85,116.65,116.81
2018-12-26 16:00:00,116.6,116.72,116.55,116.67
2018-12-26 17:00:00,116.77,116.79,116.58,116.6
2018-12-26 18:00:00,116.78,116.85,116.68,116.77
2018-12-26 19:00:00,116.88,116.93,116.75,116.77
2018-12-26 20:00:00,116.75,116.89,116.7,116.87
2018-12-26 21:00:00,116.36,116.75,116.36,116.75
2018-12-26 22:00:00,116.56,116.59,116.29,116.29
2018-12-26 23:00:00,116.48,116.63,116.42,116.56
2018-12-27 00:00:00,116.7,116.77,116.46,116.48
2018-12-27 01:00:00,116.92,116.93,116.63,116.7
2018-12-27 02:00:00,116.89,117.03,116.88,116.91
2018-12-27 03:00:00,116.89,116.96,116.79,116.89
2018-12-27 04:00:00,116.8,116.92,116.72,116.88
2018-12-27 05:00:00,117.03,117.05,116.79,116.8
2018-12-30 22:00:00,116.96,117.07,116.77,117.07
2019-01-01 22:00:00,117.45,117.56,117.11,117.35
2019-01-01 23:00:00,117.64,117.65,117.34,117.45
2019-01-02 00:00:00,117.64,117.67,117.53,117.64
2019-01-02 01:00:00,117.75,117.77,117.52,117.64
2019-01-02 02:00:00,117.88,118.06,117.74,117.76
2019-01-02 03:00:00,117.96,117.96,117.88,117.89
2019-01-02 04:00:00,117.74,117.96,117.72,117.96
2019-01-02 05:00:00,117.85,117.87,117.67,117.74
2019-01-02 06:00:00,117.64,117.87,117.61,117.85
2019-01-02 07:00:00,117.77,117.87,117.66,117.66
2019-01-02 08:00:00,117.46,117.91,117.41,117.77
2019-01-02 09:00:00,117.28,117.52,117.22,117.45
2019-01-02 10:00:00,117.28,117.4,117.23,117.28
2019-01-02 11:00:00,117.24,117.31,117.16,117.28
2019-01-02 12:00:00,117.46,117.47,117.22,117.23
2019-01-02 13:00:00,117.6,117.64,117.36,117.46
2019-01-02 14:00:00,117.41,117.68,117.38,117.59
2019-01-02 15:00:00,117.68,117.83,117.4,117.41
2019-01-02 16:00:00,117.66,117.78,117.52,117.67
2019-01-02 17:00:00,117.71,117.8,117.61,117.66
2019-01-02 18:00:00,117.84,117.88,117.69,117.7
2019-01-02 19:00:00,117.92,117.95,117.78,117.84
2019-01-02 20:00:00,117.88,117.93,117.87,117.92
2019-01-02 21:00:00,117.82,117.99,117.82,117.88
2019-01-02 22:00:00,117.51,118.59,114.92,117.8
2019-01-02 23:00:00,117.53,118.0,117.12,117.51
2019-01-03 00:00:00,117.91,117.98,117.53,117.53
2019-01-03 01:00:00,117.76,117.93,117.76,117.92
2019-01-03 02:00:00,117.73,117.85,117.68,117.76
2019-01-03 03:00:00,117.78,117.8,117.71,117.73
2019-01-03 04:00:00,117.76,117.84,117.74,117.78
2019-01-03 05:00:00,117.79,117.83,117.76,117.76
2019-01-03 06:00:00,117.79,117.83,117.76,117.76
2019-01-03 07:00:00,117.79,117.83,117.76,117.76
2019-01-03 08:00:00,117.79,117.83,117.76,117.76
2019-01-03 09:00:00,117.79,117.83,117.76,117.76
2019-01-03 10:00:00,117.79,117.83,117.76,117.76
2019-01-03 11:00:00,117.79,117.83,117.76,117.76
2019-01-03 12:00:00,117.79,117.83,117.76,117.76
2019-01-03 13:00:00,117.79,117.83,117.76,117.76
2019-01-03 14:00:00,117.79,117.83,117.76,117.76
2019-01-03 15:00:00,117.79,117.83,117.76,117.76
2019-01-03 16:00:00,117.79,117.83,117.76,117.76
2019-01-03 17:00:00,117.79,117.83,117.76,117.76
2019-01-03 18:00:00,117.79,117.83,117.76,117.76
2019-01-03 19:00:00,117.79,117.83,117.76,117.76
2019-01-03 20:00:00,117.79,117.83,117.76,117.76
2019-01-03 21:00:00,117.79,117.83,117.76,117.76
2019-01-03 22:00:00,117.8,117.85,117.6,117.64
2019-01-03 23:00:00,117.82,117.88,117.78,117.8
2019-01-04 00:00:00,117.93,117.94,117.78,117.82
2019-01-04 01:00:00,117.84,117.93,117.8,117.93
2019-01-04 02:00:00,117.83,117.87,117.77,117.84
2019-01-04 03:00:00,117.83,117.87,117.77,117.84
2019-01-04 04:00:00,117.83,117.87,117.77,117.84
2019-01-04 05:00:00,117.83,117.87,117.77,117.84
2019-01-04 06:00:00,117.83,117.87,117.77,117.84
2019-01-04 07:00:00,117.83,117.87,117.77,117.84
2019-01-04 08:00:00,118.11,118.16,117.96,118.0
2019-01-04 09:00:00,118.07,118.17,117.97,118.11
2019-01-04 10:00:00,118.21,118.41,118.05,118.07
2019-01-04 11:00:00,118.15,118.26,118.11,118.21
2019-01-04 12:00:00,118.18,118.25,118.13,118.15
2019-01-04 13:00:00,118.1,118.28,118.02,118.18
2019-01-04 14:00:00,118.12,118.21,118.03,118.09
2019-01-04 15:00:00,118.12,118.21,118.03,118.09
2019-01-04 16:00:00,118.12,118.21,118.03,118.09
2019-01-04 17:00:00,118.03,118.21,117.91,118.14
2019-01-04 18:00:00,118.11,118.13,117.98,118.03
2019-01-04 19:00:00,118.21,118.22,118.07,118.1
2019-01-07 03:00:00,118.16,118.22,118.11,118.12
2019-01-07 04:00:00,118.2,118.2,118.1,118.16
2019-01-07 05:00:00,118.21,118.22,118.14,118.2
2019-01-07 06:00:00,118.21,118.22,118.14,118.2
2019-01-07 07:00:00,118.18,118.24,118.12,118.24
2019-01-07 08:00:00,117.89,118.21,117.85,118.18
2019-01-07 09:00:00,118.06,118.15,117.83,117.89
2019-01-07 10:00:00,117.96,118.09,117.91,118.06
2019-01-07 11:00:00,118.14,118.15,117.91,117.96
2019-01-07 12:00:00,117.98,118.18,117.97,118.14
2019-01-07 13:00:00,118.01,118.1,117.96,117.98
2019-01-07 14:00:00,118.13,118.2,118.01,118.01
2019-01-07 15:00:00,118.13,118.2,118.01,118.01
2019-01-07 16:00:00,118.04,118.31,117.96,118.19
2019-01-07 17:00:00,118.27,118.34,118.04,118.05
2019-01-07 18:00:00,118.36,118.41,118.22,118.28
2019-01-07 19:00:00,118.38,118.46,118.32,118.36
2019-01-07 20:00:00,118.38,118.45,118.35,118.38
2019-01-07 21:00:00,118.31,118.49,118.26,118.4
2019-01-07 22:00:00,118.5,118.52,118.16,118.16
2019-01-07 23:00:00,118.52,118.6,118.5,118.5
2019-01-08 00:00:00,118.52,118.6,118.5,118.5
2019-01-08 01:00:00,118.56,118.69,118.51,118.63
2019-01-08 02:00:00,118.38,118.63,118.33,118.56
2019-01-08 03:00:00,118.48,118.63,118.36,118.38
2019-01-08 04:00:00,118.48,118.63,118.36,118.38
2019-01-08 05:00:00,118.48,118.63,118.36,118.38
2019-01-08 06:00:00,118.56,118.7,118.55,118.61
2019-01-08 07:00:00,118.75,118.83,118.46,118.55
2019-01-08 08:00:00,118.79,118.83,118.59,118.74
2019-01-08 09:00:00,118.72,118.83,118.61,118.78
2019-01-08 10:00:00,118.68,118.72,118.57,118.72
2019-01-08 11:00:00,118.66,118.77,118.55,118.68
2019-01-08 12:00:00,118.61,118.69,118.49,118.66
2019-01-08 13:00:00,118.83,118.86,118.61,118.61
2019-01-08 14:00:00,118.49,118.89,118.46,118.83
2019-01-08 15:00:00,118.82,118.96,118.46,118.48
