,close,max,min,open
2019-09-29 21:00:00,114.26,114.26,114.26,114.26
2019-09-29 22:00:00,114.26,114.26,114.26,114.26
2019-09-29 23:00:00,114.26,114.26,114.26,114.26
2019-09-30 00:00:00,114.26,114.26,114.26,114.26
2019-09-30 01:00:00,114.26,114.26,114.26,114.26
2019-09-30 02:00:00,114.26,114.26,114.26,114.26
2019-09-30 03:00:00,114.26,114.26,114.26,114.26
2019-09-30 04:00:00,114.26,114.26,114.26,114.26
2019-09-30 05:00:00,114.26,114.26,114.26,114.26
2019-09-30 06:00:00,114.26,114.26,114.26,114.26
2019-09-30 07:00:00,114.26,114.26,114.26,114.26
2019-09-30 08:00:00,114.26,114.26,114.26,114.26
2019-09-30 09:00:00,114.26,114.26,114.26,114.26
2019-09-30 10:00:00,114.26,114.26,114.26,114.26
2019-09-30 11:00:00,114.26,114.26,114.26,114.26
2019-09-30 12:00:00,114.26,114.26,114.26,114.26
2019-09-30 13:00:00,114.26,114.26,114.26,114.26
2019-09-30 14:00:00,114.26,114.26,114.26,114.26
2019-09-30 15:00:00,114.26,114.26,114.26,114.26
2019-09-30 16:00:00,114.26,114.26,114.26,114.26
2019-09-30 17:00:00,114.26,114.26,114.26,114.26
2019-09-30 18:00:00,114.26,114.26,114.26,114.26
2019-09-30 19:00:00,114.26,114.26,114.26,114.26
2019-09-30 20:00:00,114.26,114.26,114.26,114.26
2019-09-30 21:00:00,114.26,114.26,114.26,114.26
2019-09-30 22:00:00,114.26,114.26,114.26,114.26
2019-09-30 23:00:00,114.26,114.26,114.26,114.26
2019-10-01 00:00:00,114.26,114.26,114.26,114.26
2019-10-01 01:00:00,114.26,114.26,114.26,114.26
2019-10-01 02:00:00,114.26,114.26,114.26,114.26
2019-10-01 03:00:00,114.26,114.26,114.26,114.26
2019-10-01 04:00:00,114.26,114.26,114.26,114.26
2019-10-01 05:00:00,114.26,114.26,114.26,114.26
2019-10-01 06:00:00,114.26,114.26,114.26,114.26
2019-10-01 07:00:00,114.26,114.26,114.26,114.26
2019-10-01 08:00:00,114.26,114.26,114.26,114.26
2019-10-01 09:00:00,114.26,114.26,114.26,114.26
2019-10-01 10:00:00,114.26,114.26,114.26,114.26
2019-10-01 11:00:00,114.26,114.26,114.26,114.26
2019-10-01 12:00:00,114.26,114.26,114.26,114.26
2019-10-01 13:00:00,114.26,114.26,114.26,114.26
2019-10-01 14:00:00,114.26,114.26,114.26,114.26
2019-10-01 15:00:00,114.26,114.26,114.26,114.26
2019-10-01 16:00:00,114.26,114.26,114.26,114.26
2019-10-01 17:00:00,114.26,114.26,114.26,114.26
2019-10-01 18:00:00,114.26,114.26,114.26,114.26
2019-10-01 19:00:00,114.26,114.26,114.26,114.26
2019-10-01 20:00:00,114.26,114.26,114.26,114.26
2019-10-01 21:00:00,114.26,114.26,114.26,114.26
2019-10-01 22:00:00,114.26,114.26,114.26,114.26
2019-10-01 23:00:00,114.26,114.26,114.26,114.26
2019-10-02 00:00:00,114.26,114.26,114.26,114.26
2019-10-02 01:00:00,114.26,114.26,114.26,114.26
2019-10-02 02:00:00,114.26,114.26,114.26,114.26
2019-10-02 03:00:00,114.26,114.26,114.26,114.26
2019-10-02 04:00:00,114.26,114.26,114.26,114.26
2019-10-02 05:00:00,114.26,114.26,114.26,114.26
2019-10-02 06:00:00,114.26,114.26,114.26,114.26
2019-10-02 07:00:00,114.26,114.26,114.26,114.26
2019-10-02 08:00:00,114.26,114.26,114.26,114.26
2019-10-02 09:00:00,114.26,114.26,114.26,114.26
2019-10-02 10:00:00,114.26,114.26,114.26,114.26
2019-10-02 11:00:00,114.26,114.26,114.26,114.26
2019-10-02 12:00:00,114.26,114.26,114.26,114.26
2019-10-02 13:00:00,114.26,114.26,114.26,114.26
2019-10-02 14:00:00,114.26,114.26,114.26,114.26
2019-10-02 15:00:00,114.26,114.26,114.26,114.26
2019-10-02 16:00:00,114.26,114.26,114.26,114.26
2019-10-02 17:00:00,114.26,114.26,114.26,114.26
2019-10-02 18:00:00,114.26,114.26,114.26,114.26
2019-10-02 19:00:00,114.26,114.26,114.26,114.26
2019-10-02 20:00:00,114.26,114.26,114.26,114.26
2019-10-02 21:00:00,114.26,114.26,114.26,114.26
2019-10-02 22:00:00,114.26,114.26,114.26,114.26
2019-10-02 23:00:00,114.26,114.26,114.26,114.26
2019-10-03 00:00:00,114.26,114.26,114.26,114.26
2019-10-03 01:00:00,114.26,114.26,114.26,114.26
2019-10-03 02:00:00,114.26,114.26,114.26,114.26
2019-10-03 03:00:00,114.26,114.26,114.26,114.26
2019-10-03 04:00:00,114.26,114.26,114.26,114.26
2019-10-03 05:00:00,114.26,114.26,114.26,114.26
2019-10-03 06:00:00,114.16,114.27,114.15,114.26
2019-10-03 07:00:00,114.19,114.31,114.14,114.16
2019-10-03 08:00:00,114.45,114.59,114.14,114.19
2019-10-03 09:00:00,114.24,114.46,114.24,114.45
2019-10-03 10:00:00,114.36,114.38,114.2,114.25
2019-10-03 11:00:00,114.36,114.54,114.35,114.36
2019-10-03 12:00:00,114.43,114.49,114.24,114.36
2019-10-03 13:00:00,114.4,114.45,114.3,114.43
2019-10-03 14:00:00,114.82,115.24,114.4,114.4
2019-10-03 15:00:00,115.0,115.12,114.67,114.83
2019-10-03 16:00:00,114.8,115.0,114.77,114.99
2019-10-03 17:00:00,114.77,114.91,114.58,114.8
2019-10-03 18:00:00,114.54,114.85,114.53,114.76
2019-10-03 19:00:00,114.45,114.57,114.32,114.54
2019-10-03 20:00:00,114.22,114.46,114.22,114.45
2019-10-03 21:00:00,114.43,114.45,114.19,114.19
2019-10-03 22:00:00,114.46,114.47,114.31,114.43
2019-10-03 23:00:00,114.53,114.57,114.45,114.46
2019-10-04 00:00:00,114.65,114.66,114.52,114.53
2019-10-04 01:00:00,114.73,114.75,114.56,114.64
2019-10-04 02:00:00,114.69,114.86,114.62,114.73
2019-10-04 03:00:00,114.59,114.69,114.54,114.69
2019-10-04 04:00:00,114.27,114.59,114.27,114.58
2019-10-04 05:00:00,114.22,114.44,114.14,114.3
2019-10-04 06:00:00,114.07,114.62,114.05,114.22
2019-10-04 07:00:00,114.33,114.47,114.0,114.06
2019-10-04 08:00:00,114.4,114.52,114.18,114.34
2019-10-04 09:00:00,114.57,114.81,114.37,114.41
2019-10-04 10:00:00,115.26,115.31,114.42,114.57
2019-10-04 11:00:00,114.73,115.25,114.53,115.23
2019-10-04 12:00:00,113.58,115.89,113.05,114.74
2019-10-04 13:00:00,113.93,114.42,113.32,113.57
2019-10-04 14:00:00,114.59,114.93,113.56,113.93
2019-10-04 15:00:00,114.17,115.1,114.05,114.58
2019-10-04 16:00:00,114.9,114.97,114.09,114.15
2019-10-04 17:00:00,114.49,115.03,114.49,114.91
2019-10-04 18:00:00,114.86,114.87,114.1,114.47
2019-10-04 19:00:00,114.78,114.91,114.48,114.87
2019-10-04 20:00:00,114.34,114.84,114.33,114.8
2019-10-06 21:00:00,114.36,114.63,114.28,114.34
2019-10-06 22:00:00,114.65,114.8,114.43,114.44
2019-10-06 23:00:00,114.79,114.82,114.6,114.61
2019-10-07 00:00:00,115.09,115.09,114.63,114.77
2019-10-07 01:00:00,115.0,115.26,114.94,115.09
2019-10-07 02:00:00,114.83,115.01,114.72,115.01
2019-10-07 03:00:00,114.54,114.85,114.39,114.81
2019-10-07 04:00:00,114.51,114.62,114.44,114.53
2019-10-07 05:00:00,114.39,114.61,114.37,114.52
2019-10-07 06:00:00,114.47,114.59,114.16,114.42
2019-10-07 07:00:00,113.99,114.79,113.39,114.48
2019-10-07 08:00:00,113.4,114.09,113.26,114.01
2019-10-07 09:00:00,114.15,114.27,113.36,113.41
2019-10-07 10:00:00,114.39,114.44,113.84,114.14
2019-10-07 11:00:00,114.99,115.19,114.26,114.39
2019-10-07 12:00:00,115.74,115.76,114.9,114.99
2019-10-07 13:00:00,115.53,115.92,114.98,115.74
2019-10-07 14:00:00,115.53,115.8,115.09,115.55
2019-10-07 15:00:00,114.79,115.85,114.77,115.5
2019-10-07 16:00:00,114.69,114.84,114.39,114.77
2019-10-07 17:00:00,114.33,114.85,113.77,114.71
2019-10-07 18:00:00,114.06,114.6,113.99,114.33
2019-10-07 19:00:00,114.1,114.28,113.85,114.07
2019-10-07 20:00:00,113.76,114.11,113.76,114.11
2019-10-07 21:00:00,113.8,113.84,113.6,113.68
