,close,max,min,open
2019-08-04 21:00:00,112.74,112.82,112.69,112.7
2019-08-04 22:00:00,112.72,112.79,112.7,112.75
2019-08-04 23:00:00,112.75,112.78,112.71,112.72
2019-08-05 00:00:00,113.11,113.29,112.73,112.76
2019-08-05 01:00:00,113.0,113.23,112.92,113.11
2019-08-05 02:00:00,113.01,113.06,112.73,113.0
2019-08-05 03:00:00,113.11,113.25,113.01,113.01
2019-08-05 04:00:00,113.16,113.27,113.04,113.1
2019-08-05 05:00:00,113.11,113.24,113.05,113.15
2019-08-05 06:00:00,112.98,113.25,112.87,113.1
2019-08-05 07:00:00,113.22,113.36,112.8,112.98
2019-08-05 08:00:00,113.68,113.69,113.21,113.24
2019-08-05 09:00:00,113.73,113.88,113.54,113.67
2019-08-05 10:00:00,114.31,114.31,113.71,113.73
2019-08-05 11:00:00,114.56,114.59,114.21,114.31
2019-08-05 12:00:00,114.48,114.68,114.34,114.56
2019-08-05 13:00:00,114.52,114.68,114.31,114.48
2019-08-05 14:00:00,114.71,115.11,114.55,114.66
2019-08-05 15:00:00,115.02,115.03,114.55,114.71
2019-08-05 16:00:00,115.39,115.45,114.93,115.02
2019-08-05 17:00:00,115.21,115.42,115.21,115.39
2019-08-05 18:00:00,115.18,115.29,115.09,115.22
2019-08-05 19:00:00,115.01,115.27,114.94,115.18
2019-08-05 20:00:00,115.17,115.2,114.96,115.02
2019-08-05 21:00:00,115.42,115.45,115.05,115.15
2019-08-05 22:00:00,115.83,115.89,115.41,115.43
2019-08-05 23:00:00,116.73,116.88,115.66,115.81
2019-08-06 00:00:00,116.77,117.12,116.6,116.7
2019-08-06 01:00:00,115.89,116.77,115.77,116.77
2019-08-06 02:00:00,115.98,116.18,115.84,115.88
2019-08-06 03:00:00,115.16,116.05,115.03,115.98
2019-08-06 04:00:00,114.63,115.16,113.84,115.15
2019-08-06 05:00:00,114.27,114.93,114.26,114.63
2019-08-06 06:00:00,114.72,115.22,114.27,114.29
2019-08-06 07:00:00,115.34,115.63,114.29,114.74
2019-08-06 08:00:00,114.4,115.36,114.32,115.35
