,close,max,min,open
2018-12-19 15:00:00,186.81,187.2,186.53,186.66
2018-12-19 16:00:00,186.91,187.17,186.36,186.81
2018-12-19 17:00:00,187.64,187.65,186.87,186.91
2018-12-19 18:00:00,187.61,187.67,187.62,187.64
2018-12-19 19:00:00,187.61,187.67,187.62,187.64
2018-12-19 20:00:00,187.61,187.67,187.62,187.64
2018-12-19 21:00:00,187.61,187.67,187.62,187.64
2018-12-19 22:00:00,187.61,187.61,187.61,187.61
2018-12-19 23:00:00,187.61,187.61,187.61,187.61
2018-12-20 00:00:00,187.61,187.61,187.61,187.61
2018-12-20 01:00:00,187.61,187.61,187.61,187.61
2018-12-20 02:00:00,187.61,187.61,187.61,187.61
2018-12-20 03:00:00,187.61,187.61,187.61,187.61
2018-12-20 04:00:00,187.61,187.61,187.61,187.61
2018-12-20 05:00:00,187.61,187.61,187.61,187.61
2018-12-20 06:00:00,187.61,187.61,187.61,187.61
2018-12-20 07:00:00,187.61,187.61,187.61,187.61
2018-12-20 08:00:00,187.61,187.61,187.61,187.61
2018-12-20 09:00:00,187.61,187.61,187.61,187.61
2018-12-20 10:00:00,187.61,187.61,187.61,187.61
2018-12-20 11:00:00,187.61,187.61,187.61,187.61
2018-12-20 12:00:00,187.5,187.68,187.5,187.66
2018-12-20 13:00:00,187.36,187.91,187.3,187.5
2018-12-20 14:00:00,187.45,187.85,187.24,187.36
2018-12-20 15:00:00,186.41,187.47,186.11,187.46
2018-12-20 16:00:00,186.65,186.66,186.23,186.41
2018-12-20 17:00:00,186.82,186.98,186.64,186.65
2018-12-20 18:00:00,187.15,187.29,186.64,186.83
2018-12-20 19:00:00,187.44,187.44,187.14,187.14
2018-12-20 20:00:00,187.44,187.44,187.14,187.14
2018-12-20 21:00:00,187.44,187.44,187.14,187.14
2018-12-20 22:00:00,187.44,187.44,187.44,187.44
2018-12-20 23:00:00,187.44,187.44,187.44,187.44
2018-12-21 00:00:00,187.44,187.44,187.44,187.44
2018-12-21 01:00:00,187.44,187.44,187.44,187.44
2018-12-21 02:00:00,187.44,187.44,187.44,187.44
2018-12-21 03:00:00,187.44,187.44,187.44,187.44
2018-12-21 04:00:00,187.44,187.44,187.44,187.44
2018-12-21 05:00:00,187.44,187.44,187.44,187.44
2018-12-21 06:00:00,187.44,187.44,187.44,187.44
2018-12-21 07:00:00,187.44,187.44,187.44,187.44
2018-12-21 08:00:00,187.44,187.44,187.44,187.44
2018-12-21 09:00:00,187.44,187.44,187.44,187.44
2018-12-21 10:00:00,187.44,187.44,187.44,187.44
2018-12-21 11:00:00,187.44,187.44,187.44,187.44
2018-12-21 12:00:00,187.44,187.44,187.44,187.44
2018-12-21 13:00:00,187.44,187.44,187.44,187.44
2018-12-21 14:00:00,187.44,187.44,187.44,187.44
2018-12-21 15:00:00,185.59,187.51,184.68,187.51
2018-12-24 12:00:00,185.61,185.62,185.59,185.62
2018-12-24 13:00:00,185.37,185.61,185.35,185.61
2018-12-24 14:00:00,184.98,185.4,184.98,185.37
2018-12-24 15:00:00,185.29,185.48,184.97,184.98
2018-12-24 16:00:00,185.19,185.31,185.14,185.29
2018-12-24 17:00:00,185.2,185.22,185.16,185.19
2018-12-24 18:00:00,185.14,185.2,185.1,185.2
2018-12-24 19:00:00,185.14,185.14,185.14,185.14
2018-12-25 22:00:00,185.11,185.17,185.06,185.06
2018-12-25 23:00:00,185.1,185.11,185.04,185.11
2018-12-26 00:00:00,185.16,185.19,185.1,185.1
2018-12-26 01:00:00,185.13,185.17,185.13,185.16
2018-12-26 02:00:00,185.09,185.14,185.07,185.13
2018-12-26 03:00:00,185.07,185.09,185.07,185.09
2018-12-26 04:00:00,185.1,185.1,185.07,185.07
2018-12-26 05:00:00,185.1,185.13,185.09,185.1
2018-12-26 06:00:00,185.11,185.13,185.09,185.1
2018-12-26 07:00:00,185.11,185.13,185.1,185.11
2018-12-26 08:00:00,185.23,185.23,185.1,185.11
2018-12-26 09:00:00,185.25,185.26,185.22,185.23
2018-12-26 10:00:00,185.26,185.26,185.23,185.25
2018-12-26 11:00:00,185.32,185.32,185.24,185.25
2018-12-26 12:00:00,185.33,185.37,185.31,185.32
2018-12-26 13:00:00,185.36,185.38,185.31,185.33
2018-12-26 14:00:00,185.48,185.55,185.34,185.36
2018-12-26 15:00:00,185.19,185.49,185.17,185.48
2018-12-26 16:00:00,185.33,185.33,185.16,185.19
2018-12-26 17:00:00,185.65,185.65,185.33,185.33
2018-12-26 18:00:00,185.58,185.71,185.43,185.65
2018-12-26 19:00:00,185.78,185.89,185.5,185.59
2018-12-26 20:00:00,185.91,186.09,185.78,185.78
2018-12-26 21:00:00,185.89,186.06,185.87,185.9
2018-12-26 22:00:00,185.82,185.98,185.32,185.91
2018-12-26 23:00:00,185.67,185.89,185.66,185.82
2018-12-27 00:00:00,185.39,185.72,185.36,185.68
2018-12-27 01:00:00,185.22,185.39,185.2,185.39
2018-12-27 02:00:00,185.25,185.33,185.15,185.22
2018-12-27 03:00:00,185.25,185.3,185.23,185.25
2018-12-27 04:00:00,185.22,185.25,185.15,185.25
2018-12-27 05:00:00,185.39,185.46,185.22,185.22
2018-12-27 06:00:00,185.39,185.46,185.22,185.22
2018-12-27 07:00:00,185.32,185.37,185.17,185.27
2018-12-27 08:00:00,185.18,185.35,185.1,185.32
2018-12-27 09:00:00,185.03,185.28,184.96,185.17
2018-12-27 10:00:00,184.87,185.02,184.86,185.02
2018-12-27 11:00:00,184.96,184.98,184.85,184.86
2018-12-27 12:00:00,185.0,185.0,184.92,184.96
2018-12-27 13:00:00,184.74,185.01,184.72,185.0
2018-12-27 14:00:00,184.51,184.81,184.51,184.75
2018-12-27 15:00:00,184.77,184.77,184.51,184.51
2018-12-27 16:00:00,184.77,184.77,184.51,184.51
2018-12-27 17:00:00,184.77,184.77,184.51,184.51
2018-12-27 18:00:00,184.77,184.77,184.51,184.51
2018-12-27 19:00:00,184.77,184.77,184.51,184.51
2018-12-27 20:00:00,184.77,184.77,184.51,184.51
2018-12-27 21:00:00,184.77,184.77,184.51,184.51
2018-12-27 22:00:00,184.77,184.77,184.51,184.51
2018-12-27 23:00:00,184.77,184.77,184.51,184.51
2018-12-28 00:00:00,184.77,184.77,184.51,184.51
2018-12-28 01:00:00,184.77,184.77,184.51,184.51
2018-12-28 02:00:00,184.77,184.77,184.51,184.51
2018-12-28 03:00:00,184.77,184.77,184.51,184.51
2018-12-28 04:00:00,184.77,184.77,184.51,184.51
2018-12-28 05:00:00,184.77,184.77,184.51,184.51
2018-12-28 06:00:00,184.77,184.77,184.51,184.51
2018-12-28 07:00:00,184.77,184.77,184.51,184.51
2018-12-28 08:00:00,184.77,184.77,184.51,184.51
2018-12-28 09:00:00,184.77,184.77,184.51,184.51
2018-12-28 10:00:00,184.77,184.77,184.51,184.51
2018-12-28 11:00:00,184.77,184.77,184.51,184.51
2018-12-28 12:00:00,184.77,184.77,184.51,184.51
2018-12-28 13:00:00,184.77,184.77,184.51,184.51
2018-12-28 14:00:00,185.33,187.09,183.46,184.75
2018-12-28 15:00:00,183.2,185.55,183.1,185.31
2018-12-28 16:00:00,185.73,186.26,182.38,183.19
2019-01-02 17:00:00,187.4,187.49,185.56,186.0
