,close,max,min,open
2018-12-19 01:00:00,123.68,123.71,123.64,123.66
2018-12-19 02:00:00,123.64,123.7,123.62,123.68
2018-12-19 03:00:00,123.64,123.65,123.62,123.64
2018-12-19 04:00:00,123.68,123.68,123.6,123.64
2018-12-19 05:00:00,123.62,123.7,123.61,123.68
2018-12-19 06:00:00,123.64,123.68,123.59,123.62
2018-12-19 07:00:00,123.53,123.66,123.46,123.64
2018-12-19 08:00:00,123.5,123.56,123.46,123.53
2018-12-19 09:00:00,123.61,123.61,123.46,123.5
2018-12-19 10:00:00,123.44,123.66,123.42,123.61
2018-12-19 11:00:00,123.48,123.55,123.39,123.44
2018-12-19 12:00:00,123.48,123.55,123.46,123.48
2018-12-19 13:00:00,123.5,123.55,123.45,123.48
2018-12-19 14:00:00,123.24,123.5,123.23,123.5
2018-12-19 15:00:00,123.32,123.33,123.16,123.25
2018-12-19 16:00:00,123.32,123.33,123.23,123.32
2018-12-19 17:00:00,123.28,123.35,123.23,123.32
2018-12-19 18:00:00,123.23,123.31,123.17,123.28
2018-12-19 19:00:00,123.76,123.82,123.21,123.21
2018-12-19 20:00:00,123.77,123.77,123.76,123.76
2018-12-19 21:00:00,123.77,123.77,123.76,123.76
2018-12-19 22:00:00,123.77,123.77,123.77,123.77
2018-12-26 00:00:00,121.9,122.23,121.82,122.22
2018-12-26 01:00:00,122.16,122.23,121.8,121.9
2018-12-26 02:00:00,122.18,122.37,122.16,122.16
2018-12-26 03:00:00,122.25,122.32,122.09,122.18
2018-12-26 04:00:00,122.33,122.32,122.24,122.24
2018-12-26 05:00:00,122.33,122.32,122.24,122.24
2018-12-26 06:00:00,122.33,122.32,122.24,122.24
2018-12-26 07:00:00,122.33,122.32,122.24,122.24
2018-12-26 08:00:00,122.33,122.32,122.24,122.24
2018-12-26 09:00:00,122.33,122.32,122.24,122.24
2018-12-26 10:00:00,122.33,122.32,122.24,122.24
2018-12-26 11:00:00,122.33,122.32,122.24,122.24
2018-12-26 12:00:00,122.33,122.32,122.24,122.24
2018-12-26 13:00:00,122.33,122.32,122.24,122.24
2018-12-26 14:00:00,122.33,122.32,122.24,122.24
2018-12-26 15:00:00,122.33,122.32,122.24,122.24
2018-12-26 16:00:00,122.33,122.32,122.24,122.24
2018-12-26 17:00:00,122.33,122.32,122.24,122.24
2018-12-26 18:00:00,122.33,122.32,122.24,122.24
2018-12-26 19:00:00,122.33,122.32,122.24,122.24
2018-12-26 20:00:00,122.33,122.32,122.24,122.24
2018-12-26 21:00:00,122.25,122.44,122.21,122.31
2018-12-26 22:00:00,122.25,122.41,122.17,122.17
2018-12-26 23:00:00,122.25,122.39,122.23,122.25
2018-12-27 00:00:00,121.64,122.27,121.61,122.26
