,close,max,min,open
2018-12-19 01:00:00,154.31,154.6,154.22,154.52
2018-12-19 02:00:00,154.14,154.39,154.14,154.31
2018-12-19 03:00:00,154.15,154.23,154.07,154.14
2018-12-19 04:00:00,154.24,154.27,154.13,154.15
2018-12-19 05:00:00,154.19,154.36,154.17,154.24
2018-12-19 06:00:00,154.4,154.42,154.18,154.18
2018-12-19 07:00:00,154.27,154.42,154.19,154.4
2018-12-19 08:00:00,154.39,154.41,154.18,154.27
2018-12-19 09:00:00,154.24,154.44,154.16,154.39
2018-12-19 10:00:00,154.44,154.46,154.24,154.24
2018-12-19 11:00:00,154.38,154.44,154.3,154.44
2018-12-19 12:00:00,154.5,154.56,154.23,154.38
2018-12-19 13:00:00,154.48,154.55,154.36,154.5
2018-12-19 14:00:00,154.28,154.51,154.19,154.48
2018-12-19 15:00:00,154.59,154.62,154.15,154.29
2018-12-19 16:00:00,154.65,154.66,154.4,154.59
2018-12-19 17:00:00,154.65,154.66,154.4,154.59
2018-12-19 18:00:00,154.65,154.66,154.4,154.59
2018-12-19 19:00:00,154.65,154.66,154.4,154.59
2018-12-19 20:00:00,154.65,154.66,154.4,154.59
2018-12-19 21:00:00,154.65,154.66,154.4,154.59
2018-12-19 22:00:00,154.65,154.65,154.65,154.65
2018-12-19 23:00:00,154.65,154.65,154.65,154.65
2018-12-20 00:00:00,154.65,154.65,154.65,154.65
2018-12-20 01:00:00,154.65,154.65,154.65,154.65
2018-12-20 02:00:00,154.65,154.65,154.65,154.65
2018-12-20 03:00:00,154.65,154.65,154.65,154.65
2018-12-20 04:00:00,154.65,154.65,154.65,154.65
2018-12-20 05:00:00,154.65,154.65,154.65,154.65
2018-12-20 06:00:00,154.65,154.65,154.65,154.65
2018-12-20 07:00:00,154.65,154.65,154.65,154.65
2018-12-20 08:00:00,154.65,154.65,154.65,154.65
2018-12-20 09:00:00,154.65,154.65,154.65,154.65
2018-12-20 10:00:00,154.65,154.65,154.65,154.65
2018-12-20 11:00:00,154.65,154.65,154.65,154.65
2018-12-20 12:00:00,154.65,154.65,154.65,154.65
2018-12-20 13:00:00,154.65,154.65,154.65,154.65
2018-12-20 14:00:00,154.65,154.65,154.65,154.65
2018-12-20 15:00:00,154.65,154.65,154.65,154.65
2018-12-20 16:00:00,154.65,154.65,154.65,154.65
2018-12-20 17:00:00,154.65,154.65,154.65,154.65
2018-12-20 18:00:00,154.65,154.65,154.65,154.65
2018-12-20 19:00:00,154.65,154.65,154.65,154.65
2018-12-20 20:00:00,154.65,154.65,154.65,154.65
2018-12-20 21:00:00,154.65,154.65,154.65,154.65
2018-12-20 22:00:00,154.65,154.65,154.65,154.65
2018-12-23 22:00:00,154.65,154.65,154.65,154.65
2018-12-26 22:00:00,154.65,154.65,154.65,154.65
2019-01-02 22:00:00,154.65,154.65,154.65,154.65
2019-01-06 22:00:00,155.04,155.04,155.04,155.04
2019-01-06 23:00:00,155.04,155.04,155.04,155.04
2019-01-07 00:00:00,155.04,155.04,155.04,155.04
2019-01-07 01:00:00,155.04,155.04,155.04,155.04
2019-01-07 02:00:00,155.04,155.04,155.04,155.04
2019-01-07 03:00:00,155.04,155.04,155.04,155.04
2019-01-07 04:00:00,155.04,155.04,155.04,155.04
2019-01-07 05:00:00,155.04,155.04,155.04,155.04
2019-01-07 06:00:00,155.04,155.04,155.04,155.04
2019-01-07 07:00:00,155.04,155.04,155.04,155.04
2019-01-07 08:00:00,155.04,155.04,155.04,155.04
2019-01-07 09:00:00,155.04,155.04,155.04,155.04
2019-01-07 10:00:00,155.04,155.04,155.04,155.04
2019-01-07 11:00:00,155.04,155.04,155.04,155.04
2019-01-07 12:00:00,155.04,155.04,155.04,155.04
2019-01-07 13:00:00,155.04,155.04,155.04,155.04
2019-01-07 14:00:00,155.04,155.04,155.04,155.04
2019-01-07 15:00:00,155.04,155.04,155.04,155.04
2019-01-07 16:00:00,155.04,155.04,155.04,155.04
2019-01-07 17:00:00,155.04,155.04,155.04,155.04
2019-01-07 18:00:00,155.04,155.04,155.04,155.04
2019-01-07 19:00:00,155.04,155.04,155.04,155.04
2019-01-07 20:00:00,155.14,155.19,155.02,155.02
2019-01-07 21:00:00,155.08,155.18,155.07,155.14
2019-01-07 22:00:00,155.12,155.26,155.02,155.04
2019-01-07 23:00:00,155.12,155.15,155.02,155.12
2019-01-08 00:00:00,154.89,155.15,154.84,155.12
2019-01-08 01:00:00,154.84,155.0,154.8,154.89
2019-01-08 02:00:00,155.72,155.83,154.63,154.84
2019-01-08 03:00:00,154.93,155.75,154.52,155.72
2019-01-08 04:00:00,154.69,154.97,154.38,154.93
2019-01-08 05:00:00,154.69,154.97,154.38,154.93
2019-01-08 06:00:00,154.9,155.21,154.61,154.74
2019-01-08 07:00:00,154.57,155.19,154.38,154.9
2019-01-08 08:00:00,155.02,155.09,154.37,154.56
2019-01-08 09:00:00,154.94,155.43,154.92,155.02
2019-01-08 10:00:00,154.7,154.94,154.44,154.94
2019-01-08 11:00:00,155.41,155.42,154.54,154.69
2019-01-08 12:00:00,154.91,155.64,154.76,155.4
2019-01-08 13:00:00,154.04,154.96,153.96,154.9
2019-01-08 14:00:00,154.49,154.78,153.94,154.04
2019-01-08 15:00:00,154.37,154.65,153.84,154.49
2019-01-08 16:00:00,154.56,154.68,154.26,154.36
2019-01-08 17:00:00,155.12,155.15,154.41,154.56
2019-01-08 18:00:00,154.5,155.32,154.48,155.12
2019-01-08 19:00:00,154.5,154.62,154.37,154.49
2019-01-08 20:00:00,154.43,154.51,154.23,154.5
2019-01-08 21:00:00,154.35,154.54,154.3,154.43
2019-01-08 22:00:00,154.38,154.45,154.23,154.26
