,close,max,min,open
2018-12-19 01:00:00,129.98,130.17,129.79,130.11
2018-12-19 02:00:00,130.02,130.14,129.93,129.98
2018-12-19 03:00:00,130.1,130.19,129.93,130.01
2018-12-19 04:00:00,130.5,130.63,130.05,130.11
2018-12-19 05:00:00,130.28,130.59,130.28,130.5
2018-12-19 06:00:00,130.31,130.38,130.22,130.28
2018-12-19 07:00:00,129.99,130.38,129.83,130.31
2018-12-19 08:00:00,130.39,130.47,129.95,129.99
2018-12-19 09:00:00,130.42,130.72,130.24,130.39
2018-12-19 10:00:00,130.5,130.68,130.36,130.43
2018-12-19 11:00:00,130.53,130.85,130.38,130.5
2018-12-19 12:00:00,130.98,130.98,130.42,130.53
2018-12-19 13:00:00,131.08,131.36,130.94,130.98
2018-12-19 14:00:00,130.48,131.11,130.36,131.08
2018-12-19 15:00:00,130.81,130.85,130.33,130.49
2018-12-19 16:00:00,130.6,130.92,130.51,130.8
2018-12-19 17:00:00,130.77,130.92,130.51,130.61
2018-12-19 18:00:00,130.5,130.9,130.42,130.78
2018-12-19 19:00:00,131.02,131.27,130.38,130.44
2018-12-19 20:00:00,130.65,131.45,130.48,131.02
2018-12-19 21:00:00,130.87,131.04,130.57,130.65
2018-12-19 22:00:00,130.83,131.03,130.44,130.82
2018-12-19 23:00:00,130.76,130.95,130.63,130.83
2018-12-20 00:00:00,130.61,130.84,130.49,130.76
2018-12-20 01:00:00,130.68,130.78,130.46,130.61
2018-12-20 02:00:00,130.7,130.87,130.64,130.68
2018-12-20 03:00:00,130.96,131.0,130.68,130.71
2018-12-20 04:00:00,131.03,131.19,130.83,130.96
2018-12-20 05:00:00,131.23,131.43,130.94,131.03
2018-12-20 06:00:00,131.23,131.43,130.94,131.03
2018-12-20 07:00:00,131.49,131.52,131.13,131.31
2018-12-20 08:00:00,131.23,131.63,131.07,131.49
2018-12-20 09:00:00,131.15,131.4,130.71,131.23
2018-12-20 10:00:00,130.91,131.16,130.81,131.15
2018-12-20 11:00:00,130.98,131.12,130.65,130.91
2018-12-20 12:00:00,131.28,131.29,130.94,131.04
2018-12-20 13:00:00,131.62,131.75,131.25,131.28
2018-12-20 14:00:00,132.06,132.2,131.53,131.63
2018-12-20 15:00:00,132.19,132.44,131.83,132.06
2018-12-20 16:00:00,132.67,132.72,132.05,132.19
2018-12-20 17:00:00,132.52,132.98,132.46,132.66
2018-12-20 18:00:00,132.84,132.87,132.39,132.52
2018-12-20 19:00:00,132.76,133.16,132.54,132.84
2018-12-20 20:00:00,132.65,132.88,132.46,132.75
2018-12-20 21:00:00,132.59,132.74,132.48,132.65
2018-12-20 22:00:00,132.67,132.83,132.33,132.59
2018-12-20 23:00:00,132.69,132.79,132.57,132.66
2018-12-21 00:00:00,132.53,132.87,132.49,132.69
2018-12-21 01:00:00,132.66,132.82,132.52,132.53
