,close,max,min,open
2019-08-04 21:00:00,122.05,122.05,122.05,122.05
2019-08-04 22:00:00,122.05,122.05,122.05,122.05
2019-08-04 23:00:00,122.05,122.05,122.05,122.05
2019-08-05 00:00:00,122.05,122.05,122.05,122.05
2019-08-05 01:00:00,122.05,122.05,122.05,122.05
2019-08-05 02:00:00,122.05,122.05,122.05,122.05
2019-08-05 03:00:00,122.05,122.05,122.05,122.05
2019-08-05 04:00:00,122.05,122.05,122.05,122.05
2019-08-05 05:00:00,122.05,122.05,122.05,122.05
2019-08-05 06:00:00,122.05,122.05,122.05,122.05
2019-08-05 07:00:00,122.05,122.05,122.05,122.05
2019-08-05 08:00:00,122.05,122.05,122.05,122.05
2019-08-05 09:00:00,122.05,122.05,122.05,122.05
2019-08-05 10:00:00,122.05,122.05,122.05,122.05
2019-08-05 11:00:00,122.05,122.05,122.05,122.05
2019-08-05 12:00:00,122.05,122.05,122.05,122.05
2019-08-05 13:00:00,122.05,122.05,122.05,122.05
2019-08-05 14:00:00,122.05,122.05,122.05,122.05
2019-08-05 15:00:00,122.05,122.05,122.05,122.05
2019-08-05 16:00:00,122.05,122.05,122.05,122.05
2019-08-05 17:00:00,122.04,122.06,122.04,122.05
2019-08-05 18:00:00,122.02,122.06,122.02,122.04
2019-08-05 19:00:00,122.14,122.14,122.0,122.02
2019-08-05 20:00:00,122.07,122.16,122.07,122.14
2019-08-05 21:00:00,121.96,122.11,121.96,122.07
2019-08-05 22:00:00,121.97,121.98,121.96,121.96
2019-08-05 23:00:00,121.98,121.99,121.97,121.97
2019-08-06 00:00:00,121.98,121.98,121.96,121.98
2019-08-06 01:00:00,121.98,121.98,121.96,121.98
2019-08-06 02:00:00,121.98,121.98,121.96,121.98
2019-08-06 03:00:00,121.98,121.98,121.96,121.98
2019-08-06 04:00:00,121.98,121.98,121.96,121.98
2019-08-06 05:00:00,121.98,121.98,121.96,121.98
2019-08-06 06:00:00,121.98,121.98,121.96,121.98
2019-08-06 07:00:00,121.98,121.98,121.96,121.98
2019-08-06 08:00:00,121.98,121.98,121.96,121.98
2019-08-06 09:00:00,121.98,121.98,121.96,121.98
2019-08-06 10:00:00,121.98,121.98,121.96,121.98
2019-08-06 11:00:00,121.98,121.98,121.96,121.98
2019-08-06 12:00:00,121.98,121.98,121.96,121.98
2019-08-06 13:00:00,121.98,121.98,121.96,121.98
2019-08-06 14:00:00,121.98,121.98,121.96,121.98
2019-08-06 15:00:00,121.98,121.98,121.96,121.98
2019-08-06 16:00:00,121.98,121.98,121.96,121.98
2019-08-06 17:00:00,121.97,121.98,121.96,121.98
2019-08-06 18:00:00,121.97,121.98,121.96,121.97
2019-08-06 19:00:00,121.98,121.99,121.96,121.97
2019-08-06 20:00:00,121.99,121.99,121.97,121.98
2019-08-06 21:00:00,122.0,122.0,121.97,121.99
2019-08-06 22:00:00,122.0,122.0,121.98,122.0
2019-08-06 23:00:00,122.0,122.0,121.98,122.0
2019-08-07 00:00:00,122.0,122.0,121.98,122.0
2019-08-07 01:00:00,122.0,122.0,121.98,122.0
2019-08-07 02:00:00,122.0,122.0,121.98,122.0
2019-08-07 03:00:00,122.0,122.0,121.98,122.0
2019-08-07 04:00:00,122.0,122.0,121.98,122.0
2019-08-07 05:00:00,122.0,122.0,121.98,122.0
2019-08-07 06:00:00,122.0,122.0,121.98,122.0
2019-08-07 07:00:00,122.0,122.0,121.98,122.0
2019-08-07 08:00:00,122.0,122.0,121.98,122.0
2019-08-07 09:00:00,122.0,122.0,121.98,122.0
2019-08-07 10:00:00,122.0,122.0,121.98,122.0
2019-08-07 11:00:00,122.0,122.0,121.98,122.0
2019-08-07 12:00:00,122.0,122.0,121.98,122.0
2019-08-07 13:00:00,122.0,122.0,121.98,122.0
2019-08-07 14:00:00,122.0,122.0,121.98,122.0
2019-08-07 15:00:00,122.0,122.0,121.98,122.0
2019-08-07 16:00:00,122.0,122.0,121.99,121.99
2019-08-07 17:00:00,121.99,122.02,121.96,122.0
2019-08-07 18:00:00,121.92,121.99,121.9,121.98
2019-08-07 19:00:00,121.9,121.95,121.77,121.92
2019-08-07 20:00:00,121.83,121.91,121.8,121.9
2019-08-07 21:00:00,121.84,121.86,121.8,121.81
2019-08-07 22:00:00,121.87,121.89,121.84,121.84
2019-08-07 23:00:00,121.87,121.88,121.86,121.87
2019-08-08 00:00:00,121.87,121.88,121.86,121.87
2019-08-08 01:00:00,121.87,121.88,121.86,121.87
2019-08-08 02:00:00,121.87,121.88,121.86,121.87
2019-08-08 03:00:00,121.87,121.88,121.86,121.87
2019-08-08 04:00:00,121.87,121.88,121.86,121.87
2019-08-08 05:00:00,121.87,121.88,121.86,121.87
2019-08-08 06:00:00,121.87,121.88,121.86,121.87
2019-08-08 07:00:00,121.87,121.88,121.86,121.87
2019-08-08 08:00:00,121.87,121.88,121.86,121.87
2019-08-08 09:00:00,121.87,121.88,121.86,121.87
2019-08-08 10:00:00,121.87,121.88,121.86,121.87
2019-08-08 11:00:00,121.87,121.88,121.86,121.87
2019-08-08 12:00:00,121.87,121.88,121.86,121.87
2019-08-08 13:00:00,121.87,121.88,121.86,121.87
2019-08-08 14:00:00,121.87,121.88,121.86,121.87
2019-08-08 15:00:00,121.87,121.88,121.86,121.87
2019-08-08 16:00:00,121.87,121.87,121.87,121.87
2019-08-08 17:00:00,121.85,121.9,121.85,121.87
2019-08-08 18:00:00,121.78,121.87,121.77,121.86
2019-08-08 19:00:00,121.84,121.86,121.78,121.78
2019-08-08 20:00:00,121.82,121.86,121.8,121.84
2019-08-08 21:00:00,121.89,121.89,121.76,121.82
2019-08-08 22:00:00,121.88,121.89,121.87,121.89
2019-08-08 23:00:00,121.88,121.89,121.88,121.88
2019-08-11 21:00:00,121.88,121.88,121.88,121.88
2019-08-11 22:00:00,121.88,121.88,121.88,121.88
2019-08-11 23:00:00,121.88,121.88,121.88,121.88
2019-08-12 00:00:00,121.88,121.88,121.88,121.88
2019-08-12 01:00:00,121.88,121.88,121.88,121.88
2019-08-12 02:00:00,121.88,121.88,121.88,121.88
2019-08-12 03:00:00,121.88,121.88,121.88,121.88
2019-08-12 04:00:00,121.88,121.88,121.88,121.88
2019-08-12 05:00:00,121.88,121.88,121.88,121.88
2019-08-12 06:00:00,121.88,121.88,121.88,121.88
2019-08-12 07:00:00,121.88,121.88,121.88,121.88
2019-08-12 08:00:00,121.88,121.88,121.88,121.88
2019-08-12 09:00:00,121.88,121.88,121.88,121.88
2019-08-12 10:00:00,121.88,121.88,121.88,121.88
2019-08-12 11:00:00,121.88,121.88,121.88,121.88
2019-08-12 12:00:00,121.88,121.88,121.88,121.88
2019-08-12 13:00:00,121.88,121.88,121.88,121.88
2019-08-12 14:00:00,121.88,121.88,121.88,121.88
2019-08-12 15:00:00,121.88,121.88,121.88,121.88
2019-08-12 16:00:00,121.89,121.89,121.88,121.88
2019-08-12 17:00:00,121.87,121.89,121.86,121.89
2019-08-12 18:00:00,121.87,121.88,121.86,121.87
2019-08-12 19:00:00,121.88,121.89,121.85,121.87
2019-08-12 20:00:00,121.87,121.9,121.87,121.88
2019-08-12 21:00:00,121.88,121.89,121.85,121.86
2019-08-12 22:00:00,121.9,121.9,121.88,121.88
2019-08-12 23:00:00,121.9,121.9,121.89,121.9
2019-08-13 00:00:00,121.9,121.9,121.9,121.9
2019-08-13 01:00:00,121.9,121.9,121.9,121.9
2019-08-13 02:00:00,121.9,121.9,121.9,121.9
2019-08-13 03:00:00,121.9,121.9,121.9,121.9
2019-08-13 04:00:00,121.9,121.9,121.9,121.9
2019-08-13 05:00:00,121.9,121.9,121.9,121.9
2019-08-13 06:00:00,121.9,121.9,121.9,121.9
2019-08-13 07:00:00,121.9,121.9,121.9,121.9
2019-08-13 08:00:00,121.9,121.9,121.9,121.9
2019-08-13 09:00:00,121.9,121.9,121.9,121.9
2019-08-13 10:00:00,121.9,121.9,121.9,121.9
2019-08-13 11:00:00,121.9,121.9,121.9,121.9
2019-08-13 12:00:00,121.9,121.9,121.9,121.9
2019-08-13 13:00:00,121.9,121.9,121.9,121.9
2019-08-13 14:00:00,121.9,121.9,121.9,121.9
2019-08-13 15:00:00,121.9,121.9,121.9,121.9
2019-08-13 16:00:00,121.9,121.9,121.9,121.9
2019-08-13 17:00:00,121.88,121.91,121.88,121.9
2019-08-13 18:00:00,121.91,121.91,121.88,121.88
2019-08-13 19:00:00,121.92,121.93,121.91,121.91
2019-08-13 20:00:00,121.9,121.94,121.9,121.92
2019-08-13 21:00:00,121.9,121.91,121.88,121.9
2019-08-13 22:00:00,121.92,121.92,121.9,121.9
2019-08-13 23:00:00,121.92,121.92,121.9,121.9
2019-08-14 00:00:00,121.92,121.92,121.9,121.9
2019-08-14 01:00:00,121.92,121.92,121.9,121.9
2019-08-14 02:00:00,121.92,121.92,121.9,121.9
2019-08-14 03:00:00,121.92,121.92,121.9,121.9
2019-08-14 04:00:00,121.92,121.92,121.9,121.9
2019-08-14 05:00:00,121.92,121.92,121.9,121.9
2019-08-14 06:00:00,121.92,121.92,121.9,121.9
2019-08-14 07:00:00,121.92,121.92,121.9,121.9
2019-08-14 08:00:00,121.92,121.92,121.9,121.9
2019-08-14 09:00:00,121.92,121.92,121.9,121.9
2019-08-14 10:00:00,121.92,121.92,121.9,121.9
2019-08-14 11:00:00,121.92,121.92,121.9,121.9
2019-08-14 12:00:00,121.92,121.92,121.9,121.9
2019-08-14 13:00:00,121.92,121.92,121.9,121.9
2019-08-14 14:00:00,121.92,121.92,121.9,121.9
2019-08-14 15:00:00,121.92,121.92,121.9,121.9
