,close,max,min,open
2018-12-19 19:00:00,151.43,152.44,151.25,151.92
2018-12-19 20:00:00,152.14,152.34,149.83,151.41
2018-12-19 21:00:00,151.94,152.32,151.75,152.14
2018-12-19 22:00:00,152.28,152.41,151.64,151.85
2018-12-19 23:00:00,152.3,152.45,151.92,152.21
2018-12-20 00:00:00,152.81,152.86,152.15,152.3
2018-12-20 01:00:00,152.63,152.9,152.56,152.82
2018-12-20 02:00:00,152.56,152.7,152.54,152.64
2018-12-20 03:00:00,152.55,152.6,152.48,152.56
2018-12-20 04:00:00,152.28,152.56,152.25,152.55
2018-12-20 05:00:00,152.09,152.28,152.09,152.28
2018-12-20 06:00:00,152.09,152.28,152.09,152.28
2018-12-20 07:00:00,152.09,152.28,152.09,152.28
2018-12-20 08:00:00,152.09,152.28,152.09,152.28
2018-12-20 09:00:00,152.09,152.28,152.09,152.28
2018-12-20 10:00:00,152.09,152.28,152.09,152.28
2018-12-20 11:00:00,152.08,152.12,152.08,152.12
2018-12-20 12:00:00,152.05,152.09,152.03,152.08
2018-12-20 13:00:00,152.04,152.05,152.01,152.05
2018-12-20 14:00:00,152.01,152.04,152.0,152.04
2018-12-20 15:00:00,152.1,152.13,152.01,152.01
2018-12-20 16:00:00,152.12,152.17,152.1,152.1
2018-12-20 17:00:00,152.06,152.13,152.05,152.12
2018-12-20 18:00:00,152.06,152.09,152.04,152.06
2018-12-20 19:00:00,152.24,152.25,151.99,152.06
2018-12-20 20:00:00,152.4,152.48,152.22,152.24
2018-12-20 21:00:00,152.32,152.44,152.32,152.4
2018-12-20 22:00:00,152.38,152.5,151.89,152.25
2018-12-20 23:00:00,152.56,152.57,152.37,152.38
2018-12-21 00:00:00,152.56,152.59,152.55,152.56
2018-12-21 01:00:00,152.57,152.59,152.55,152.56
2018-12-21 02:00:00,152.58,152.59,152.57,152.58
2018-12-23 22:00:00,152.17,152.49,151.73,152.43
2018-12-23 23:00:00,153.1,153.37,152.08,152.2
2018-12-24 00:00:00,152.92,153.22,152.88,153.1
2018-12-24 01:00:00,152.86,152.92,152.81,152.92
2018-12-24 02:00:00,152.88,152.92,152.82,152.87
2018-12-24 03:00:00,152.92,152.95,152.87,152.87
2018-12-24 04:00:00,152.94,152.95,152.91,152.92
2018-12-24 05:00:00,152.97,152.97,152.92,152.94
2018-12-24 06:00:00,152.97,152.97,152.92,152.94
2018-12-24 07:00:00,152.93,152.97,152.9,152.95
2018-12-24 08:00:00,152.87,152.95,152.85,152.93
2018-12-24 09:00:00,152.95,152.97,152.86,152.87
2018-12-24 10:00:00,152.96,152.99,152.92,152.95
2018-12-24 11:00:00,152.95,152.96,152.92,152.96
2018-12-24 12:00:00,152.87,152.95,152.86,152.95
2018-12-24 13:00:00,152.67,152.88,152.64,152.87
2018-12-24 14:00:00,152.48,152.67,152.42,152.67
2018-12-24 15:00:00,152.5,152.64,152.44,152.48
2018-12-24 16:00:00,152.42,152.53,152.4,152.5
2018-12-24 17:00:00,152.39,152.47,152.35,152.42
2018-12-24 18:00:00,152.34,152.41,152.29,152.39
2018-12-24 19:00:00,152.34,152.34,152.34,152.34
2018-12-25 22:00:00,152.18,152.41,151.97,152.34
2018-12-25 23:00:00,152.59,152.6,152.06,152.19
2018-12-26 00:00:00,152.7,152.7,152.59,152.59
2018-12-26 01:00:00,152.7,152.7,152.59,152.59
2018-12-26 02:00:00,152.7,152.7,152.59,152.59
2018-12-26 03:00:00,152.7,152.7,152.59,152.59
2018-12-26 04:00:00,152.7,152.7,152.59,152.59
2018-12-26 05:00:00,152.7,152.7,152.59,152.59
2018-12-26 06:00:00,152.7,152.7,152.59,152.59
2018-12-26 07:00:00,152.7,152.7,152.59,152.59
2018-12-26 08:00:00,152.7,152.7,152.59,152.59
2018-12-26 09:00:00,152.7,152.7,152.59,152.59
2018-12-26 10:00:00,152.7,152.7,152.59,152.59
2018-12-26 11:00:00,152.7,152.7,152.59,152.59
2018-12-26 12:00:00,152.7,152.7,152.59,152.59
2018-12-26 13:00:00,152.7,152.7,152.59,152.59
2018-12-26 14:00:00,152.7,152.7,152.59,152.59
2018-12-26 15:00:00,152.71,152.71,152.68,152.7
2018-12-26 16:00:00,152.7,152.71,152.7,152.71
2018-12-26 17:00:00,152.74,152.74,152.69,152.7
2018-12-26 18:00:00,152.73,152.75,152.72,152.74
2018-12-26 19:00:00,152.75,152.75,152.72,152.73
2018-12-26 20:00:00,152.44,152.86,152.36,152.75
2018-12-26 21:00:00,152.23,152.59,152.23,152.43
2018-12-26 22:00:00,152.06,152.27,151.11,152.04
2018-12-26 23:00:00,151.98,152.34,151.58,152.07
2018-12-27 00:00:00,152.21,152.31,151.96,151.98
