,close,max,min,open
2018-12-19 19:00:00,172.73,173.33,172.62,173.17
2018-12-19 20:00:00,173.5,173.7,172.14,172.73
2018-12-19 21:00:00,173.01,173.61,172.96,173.48
2018-12-19 22:00:00,172.97,173.16,172.57,172.94
2018-12-19 23:00:00,173.29,173.39,172.86,172.86
2018-12-20 00:00:00,173.38,173.38,173.29,173.29
2018-12-20 01:00:00,173.38,173.38,173.29,173.29
2018-12-20 02:00:00,173.38,173.38,173.29,173.29
2018-12-20 03:00:00,173.38,173.38,173.29,173.29
2018-12-20 04:00:00,173.38,173.38,173.29,173.29
2018-12-20 05:00:00,173.38,173.38,173.29,173.29
2018-12-20 06:00:00,173.38,173.38,173.29,173.29
2018-12-20 07:00:00,173.38,173.38,173.29,173.29
2018-12-20 08:00:00,173.38,173.38,173.29,173.29
2018-12-20 09:00:00,173.38,173.38,173.29,173.29
2018-12-20 10:00:00,173.38,173.38,173.29,173.29
2018-12-20 11:00:00,173.38,173.38,173.29,173.29
2018-12-20 12:00:00,173.38,173.38,173.29,173.29
2018-12-20 13:00:00,173.38,173.38,173.29,173.29
2018-12-20 14:00:00,173.38,173.38,173.29,173.29
2018-12-20 15:00:00,173.38,173.38,173.29,173.29
2018-12-20 16:00:00,173.38,173.38,173.29,173.29
2018-12-20 17:00:00,173.38,173.38,173.29,173.29
2018-12-20 18:00:00,173.38,173.38,173.29,173.29
2018-12-20 19:00:00,173.82,173.81,173.22,173.37
2018-12-20 20:00:00,173.82,173.81,173.22,173.37
2018-12-20 21:00:00,173.82,173.88,173.79,173.79
2018-12-20 22:00:00,174.1,174.15,173.33,173.82
2018-12-20 23:00:00,174.08,174.15,174.02,174.11
2018-12-23 22:00:00,174.04,174.34,173.8,174.08
2018-12-23 23:00:00,174.58,174.77,173.93,174.05
2018-12-24 00:00:00,174.26,174.66,174.22,174.58
2018-12-24 01:00:00,174.16,174.29,174.14,174.25
2018-12-24 02:00:00,174.15,174.15,174.15,174.15
2018-12-25 22:00:00,174.0,174.3,173.84,174.08
2018-12-25 23:00:00,174.43,174.42,173.83,174.05
2018-12-26 00:00:00,174.43,174.42,173.83,174.05
2018-12-26 01:00:00,174.43,174.42,173.83,174.05
2018-12-26 02:00:00,174.43,174.42,173.83,174.05
2018-12-26 03:00:00,174.43,174.42,173.83,174.05
2018-12-26 04:00:00,174.43,174.42,173.83,174.05
2018-12-26 05:00:00,174.43,174.42,173.83,174.05
2018-12-26 06:00:00,174.43,174.42,173.83,174.05
2018-12-26 07:00:00,174.43,174.42,173.83,174.05
2018-12-26 08:00:00,174.43,174.42,173.83,174.05
2018-12-26 09:00:00,174.43,174.42,173.83,174.05
2018-12-26 10:00:00,174.43,174.42,173.83,174.05
2018-12-26 11:00:00,174.43,174.42,173.83,174.05
2018-12-26 12:00:00,174.43,174.42,173.83,174.05
2018-12-26 13:00:00,174.43,174.42,173.83,174.05
2018-12-26 14:00:00,174.43,174.42,173.83,174.05
2018-12-26 15:00:00,174.43,174.42,173.83,174.05
2018-12-26 16:00:00,174.43,174.42,173.83,174.05
2018-12-26 17:00:00,174.43,174.42,173.83,174.05
2018-12-26 18:00:00,174.43,174.42,173.83,174.05
2018-12-26 19:00:00,174.43,174.42,173.83,174.05
2018-12-26 20:00:00,174.43,174.42,173.83,174.05
2018-12-26 21:00:00,174.43,174.42,173.83,174.05
2018-12-26 22:00:00,174.35,174.43,173.45,174.43
2018-12-26 23:00:00,174.35,174.43,173.45,174.43
2018-12-27 00:00:00,174.35,174.43,173.45,174.43
2018-12-27 01:00:00,174.35,174.43,173.45,174.43
2018-12-27 02:00:00,174.35,174.43,173.45,174.43
2018-12-27 03:00:00,174.35,174.43,173.45,174.43
2018-12-27 04:00:00,174.35,174.43,173.45,174.43
2018-12-27 05:00:00,174.35,174.43,173.45,174.43
2018-12-27 06:00:00,174.35,174.43,173.45,174.43
2018-12-27 07:00:00,174.35,174.43,173.45,174.43
2018-12-27 08:00:00,174.35,174.43,173.45,174.43
2018-12-27 09:00:00,174.35,174.43,173.45,174.43
2018-12-27 10:00:00,174.35,174.43,173.45,174.43
2018-12-27 11:00:00,174.35,174.43,173.45,174.43
2018-12-27 12:00:00,174.35,174.43,173.45,174.43
2018-12-27 13:00:00,174.35,174.43,173.45,174.43
2018-12-27 14:00:00,174.35,174.43,173.45,174.43
2018-12-27 15:00:00,174.35,174.43,173.45,174.43
2018-12-27 16:00:00,174.35,174.43,173.45,174.43
2018-12-27 17:00:00,174.35,174.43,173.45,174.43
2018-12-27 18:00:00,174.35,174.43,173.45,174.43
2018-12-27 19:00:00,174.35,174.43,173.45,174.43
2018-12-27 20:00:00,174.35,174.43,173.45,174.43
2018-12-27 21:00:00,174.35,174.43,173.45,174.43
