,close,max,min,open
2018-12-19 01:00:00,519.23,519.95,518.47,518.47
2018-12-19 02:00:00,519.63,519.93,519.07,519.28
2018-12-19 03:00:00,519.95,520.72,519.56,519.8
2018-12-19 04:00:00,520.09,520.39,519.87,519.96
2018-12-19 05:00:00,520.06,520.12,519.89,520.12
2018-12-19 06:00:00,521.21,521.57,519.98,520.06
2018-12-19 07:00:00,519.59,521.4,519.26,521.29
2018-12-19 08:00:00,518.51,520.06,517.72,519.61
2018-12-19 09:00:00,523.81,523.86,518.05,518.49
2018-12-19 10:00:00,523.81,523.86,518.05,518.49
2018-12-19 11:00:00,523.81,523.86,518.05,518.49
2018-12-19 12:00:00,523.81,523.86,518.05,518.49
2018-12-19 13:00:00,523.81,523.86,518.05,518.49
2018-12-19 14:00:00,523.81,523.86,518.05,518.49
2018-12-19 15:00:00,523.81,523.86,518.05,518.49
2018-12-19 16:00:00,523.81,523.86,518.05,518.49
2018-12-19 17:00:00,523.81,523.86,518.05,518.49
2018-12-19 18:00:00,521.02,523.84,521.02,523.25
2018-12-19 19:00:00,522.0,525.21,520.67,521.02
2018-12-19 20:00:00,522.02,522.61,519.06,522.23
2018-12-19 21:00:00,531.91,534.25,519.54,522.02
2018-12-19 22:00:00,531.91,531.91,531.91,531.91
2018-12-19 23:00:00,531.91,531.91,531.91,531.91
2018-12-20 00:00:00,531.91,531.91,531.91,531.91
2018-12-20 01:00:00,531.91,531.91,531.91,531.91
2018-12-20 02:00:00,531.91,531.91,531.91,531.91
2018-12-20 03:00:00,531.91,531.91,531.91,531.91
2018-12-20 04:00:00,531.91,531.91,531.91,531.91
2018-12-20 05:00:00,531.91,531.91,531.91,531.91
2018-12-20 06:00:00,531.91,531.91,531.91,531.91
2018-12-20 07:00:00,531.91,531.91,531.91,531.91
2018-12-20 08:00:00,531.91,531.91,531.91,531.91
2018-12-20 09:00:00,531.91,531.91,531.91,531.91
2018-12-20 10:00:00,531.91,531.91,531.91,531.91
2018-12-20 11:00:00,531.91,531.91,531.91,531.91
2018-12-20 12:00:00,531.91,531.91,531.91,531.91
2018-12-20 13:00:00,531.91,531.91,531.91,531.91
2018-12-20 14:00:00,531.91,531.91,531.91,531.91
2018-12-20 15:00:00,531.91,531.91,531.91,531.91
2018-12-20 16:00:00,531.91,531.91,531.91,531.91
2018-12-20 17:00:00,531.91,531.91,531.91,531.91
