,close,max,min,open
2018-12-19 01:00:00,156.54,156.72,156.43,156.64
2018-12-19 02:00:00,156.7,156.85,156.53,156.54
2018-12-19 03:00:00,156.84,156.85,156.65,156.7
2018-12-19 04:00:00,156.85,156.92,156.7,156.84
2018-12-19 05:00:00,156.78,156.93,156.73,156.85
2018-12-19 06:00:00,156.91,156.96,156.76,156.78
2018-12-19 07:00:00,157.13,157.15,156.83,156.91
2018-12-19 08:00:00,157.3,157.33,156.99,157.13
2018-12-19 09:00:00,157.01,157.34,156.97,157.3
2018-12-19 10:00:00,157.08,157.25,156.97,157.0
2018-12-19 11:00:00,156.91,157.13,156.79,157.08
2018-12-19 12:00:00,157.05,157.05,156.65,156.91
2018-12-19 13:00:00,157.25,157.34,156.89,157.05
2018-12-19 14:00:00,156.79,157.3,156.6,157.25
2018-12-19 15:00:00,156.59,156.87,156.53,156.78
2018-12-19 16:00:00,157.03,157.12,156.59,156.6
2018-12-19 17:00:00,157.63,157.65,156.98,157.04
2018-12-19 18:00:00,157.3,157.79,157.26,157.63
2018-12-19 19:00:00,158.89,159.03,157.21,157.26
2018-12-19 20:00:00,159.15,159.91,158.89,159.0
2018-12-19 21:00:00,159.01,159.41,158.9,159.1
2018-12-19 22:00:00,158.78,158.98,158.57,158.89
2018-12-19 23:00:00,158.91,158.99,158.65,158.76
2018-12-20 00:00:00,158.73,159.03,158.7,158.91
2018-12-20 01:00:00,158.93,159.02,158.68,158.73
2018-12-20 02:00:00,159.15,159.19,158.86,158.93
2018-12-20 03:00:00,159.19,159.3,159.15,159.15
2018-12-20 04:00:00,159.41,159.46,159.18,159.19
2018-12-20 05:00:00,159.73,159.79,159.37,159.41
2018-12-25 22:00:00,160.63,160.75,159.72,160.4
2018-12-25 23:00:00,160.53,160.88,160.33,160.64
2018-12-26 00:00:00,160.59,160.91,160.37,160.53
2018-12-26 01:00:00,159.9,160.58,159.67,160.58
2018-12-26 02:00:00,160.09,160.32,159.68,159.9
2018-12-26 03:00:00,160.02,160.11,159.83,160.09
2018-12-26 04:00:00,160.02,160.08,159.89,160.02
