eod_ts,Dp,Ex,Mc,Rs,Ra,Os,Cs,Rp,Rm,Dc,La,Pf,Cp,Ds,fcal_ts,lcal_ts
2019-05-23 21:00:00,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2976190476190476,2019-05-23 23:00:00.000,2020-08-24 17:33:17.764
2019-05-24 21:00:00,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5952380952380952,2019-05-24 23:00:00.000,2020-08-24 17:33:17.764
2019-05-27 21:00:00,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8928571428571428,2019-05-27 23:00:00.000,2020-08-24 17:33:17.764
2019-05-28 21:00:00,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1904761904761905,2019-05-28 23:00:00.000,2020-08-24 17:33:17.764
2019-05-29 21:00:00,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.488095238095238,2019-05-29 23:00:00.000,2020-08-24 17:33:17.764
2019-05-30 21:00:00,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7857142857142856,2019-05-30 23:00:00.000,2020-08-24 17:33:17.764
2019-05-31 21:00:00,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.083333333333333,2019-05-31 23:00:00.000,2020-08-24 17:33:17.764
2019-06-03 21:00:00,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.380952380952381,2019-06-03 23:00:00.000,2020-08-24 17:33:17.764
2019-06-04 21:00:00,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6785714285714284,2019-06-04 23:00:00.000,2020-08-24 17:33:17.764
2019-06-05 21:00:00,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.976190476190476,2019-06-05 23:00:00.000,2020-08-24 17:33:17.764
2019-06-06 21:00:00,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2738095238095237,2019-06-06 23:00:00.000,2020-08-24 17:33:17.764
