eod_ts,Dp,Ex,Mc,Rs,Ra,Os,Cs,Rp,Rm,Dc,La,Pf,Cp,Ds,fcal_ts,lcal_ts
2019-07-08 21:00:00,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2976190476190476,2019-07-08 23:00:00.000,2020-08-24 17:43:36.374
2019-07-09 21:00:00,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5952380952380952,2019-07-09 23:00:00.000,2020-08-24 17:43:36.374
2019-07-10 21:00:00,0.0,0.0,0.0,10.0,0.23203018877054676,10.0,10.0,0.0,0.0,0.0,0.0,4.001323944995178,0.0,0.8910609622451725,2019-07-10 23:00:00.000,2020-08-24 17:43:36.374
2019-07-11 21:00:00,0.05555555555555555,0.04629629629629629,0.0,10.0,0.1271800329075994,3.0083333333333333,10.0,0.0,0.0,0.0,0.0,3.0397066858741466,1.4950382967281923,1.1825670794693737,2019-07-11 23:00:00.000,2020-08-24 17:43:36.374
2019-07-12 21:00:00,0.08333333333333333,0.06944444444444445,0.0,10.0,1.3495042228375365,3.0083333333333333,10.0,0.0,0.0,0.0,0.0,4.342802731587748,6.5103739401521965,1.4838923535336983,2019-07-12 23:00:00.000,2020-08-24 17:43:36.374
2019-07-15 21:00:00,0.19444444444444445,0.16203703703703706,0.0,10.0,1.3495042228375365,5.073529411764706,0.2517667844522964,0.0,0.0,0.0,0.0,4.440486150817692,6.213157492769488,1.773231702119939,2019-07-15 23:00:00.000,2020-08-24 17:43:36.374
2019-07-16 21:00:00,0.183721378606615,0.15310114883884585,0.0,10.0,1.9559935549864305,5.073529411764706,0.2517667844522964,0.0,0.0,0.0,0.0,2.099292146942349,6.504953996771596,2.046445945219772,2019-07-16 23:00:00.000,2020-08-24 17:43:36.374
2019-07-17 21:00:00,0.18765088855198986,0.15637574045999156,0.0,10.0,1.9559935549864305,5.073529411764706,0.8984374999999989,0.0,0.0,0.0,0.0,2.3231437949966334,5.007014577924305,2.3383051305175364,2019-07-17 23:00:00.000,2020-08-24 17:43:36.374
2019-07-18 21:00:00,0.18765088855198986,0.15637574045999156,0.0,10.0,2.8679414773751883,5.073529411764706,0.8984374999999989,0.0,0.0,0.0,0.0,4.460539503612229,5.239631845284267,2.6673663779303407,2019-07-18 23:00:00.000,2020-08-24 17:43:36.374
2019-07-19 21:00:00,0.19943902979330874,0.16619919149442394,0.0,10.0,3.201815164017168,2.9642857142857166,1.4038461538461544,0.0,0.0,0.0,0.0,1.489860688115416,4.9984201549751175,2.8891096842379045,2019-07-19 23:00:00.000,2020-08-24 17:43:36.374
2019-07-22 21:00:00,0.21387962784820924,0.17823302320684106,0.0,10.0,4.379410473420445,2.9642857142857166,1.4038461538461544,0.0,0.0,0.0,0.0,0.8099593647256376,4.5819892594589575,3.1397168260768185,2019-07-22 23:00:00.000,2020-08-24 17:43:36.374
2019-07-23 21:00:00,0.2309532890516209,0.19246107420968409,0.0,10.0,4.379410473420445,2.5066964285714293,0.8643617021276595,0.0,0.0,0.0,0.0,3.468939923783692,4.581699327496429,3.5219049205999875,2019-07-23 23:00:00.000,2020-08-24 17:43:36.374
2019-07-24 21:00:00,0.23624587373857914,0.196871561448816,0.0,10.0,4.794477979458344,2.5425531914893633,0.8643617021276595,0.0,0.0,0.0,0.0,4.221975230155796,4.203066518166018,3.837528715534973,2019-07-24 23:00:00.000,2020-08-24 17:43:36.374
2019-07-25 21:00:00,0.2404729567197212,0.20039413059976768,0.0,10.0,4.794477979458344,2.5425531914893633,2.2690476190476168,0.0,0.0,0.0,0.0,5.744173300537781,4.3224789898827485,4.15977695921615,2019-07-25 23:00:00.000,2020-08-24 17:43:36.374
2019-07-26 21:00:00,0.2426773771982053,0.20223114766517108,0.0,10.0,4.794477979458344,2.5425531914893633,2.2690476190476168,0.0,0.0,0.0,0.0,6.258173346074242,4.515826963419803,4.457529059528856,2019-07-26 23:00:00.000,2020-08-24 17:43:36.374
2019-07-29 21:00:00,0.2433047149335705,0.2027539291113088,0.0,10.0,4.794477979458344,2.5425531914893633,2.2690476190476168,0.0,0.0,0.0,0.0,6.212576441393438,4.467351795698024,4.755363874686705,2019-07-29 23:00:00.000,2020-08-24 17:43:36.374
2019-07-30 21:00:00,0.2433047149335705,0.2027539291113088,0.0,10.0,5.015972377261803,2.5425531914893633,3.7207446808510647,0.0,0.0,0.0,0.0,6.13673814828638,4.643547711057334,5.0532599224180705,2019-07-30 23:00:00.000,2020-08-24 17:43:36.374
2019-07-31 21:00:00,0.2445798988650245,0.2038165823875204,0.0,10.0,5.239960362960967,3.1694444444444434,3.7207446808510647,0.0,0.0,0.0,0.0,7.562646543855772,4.650444646050905,5.352286832182373,2019-07-31 23:00:00.000,2020-08-24 17:43:36.374
2019-08-01 21:00:00,0.24941353487901774,0.20784461239918148,0.0,10.0,5.515365203389628,3.375,4.875,0.0,0.0,0.0,0.0,8.878214900589557,4.67260483914881,5.652933803553264,2019-08-01 23:00:00.000,2020-08-24 17:43:36.374
2019-08-02 21:00:00,0.2532122237931648,0.211010186494304,0.0,10.0,5.515365203389628,3.5273760330578514,5.800757575757575,0.0,0.0,0.0,0.0,9.156962304619958,4.542255309316746,5.954453622067264,2019-08-02 23:00:00.000,2020-08-24 17:43:36.374
