eod_ts,Dp,Ex,Mc,Rs,Ra,Os,Cs,Rp,Rm,Dc,La,Pf,Cp,Ds,fcal_ts,lcal_ts
2013-07-01 21:00:00,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2976190476190476,2014-12-16 10:05:14.000,2020-08-24 14:14:48.265
2013-07-02 21:00:00,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5952380952380952,2014-12-16 10:05:14.000,2020-08-24 14:14:48.265
2013-07-03 21:00:00,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8928571428571428,2014-12-16 10:05:14.000,2020-08-24 14:14:48.265
2013-07-04 21:00:00,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1904761904761905,2014-12-16 10:05:14.000,2020-08-24 14:14:48.265
2013-07-05 21:00:00,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.488095238095238,2014-12-16 10:05:14.000,2020-08-24 14:14:48.265
2013-07-08 21:00:00,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7857142857142856,2014-12-16 10:05:14.000,2020-08-24 14:14:48.265
2013-07-09 21:00:00,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.083333333333333,2014-12-16 10:05:14.000,2020-08-24 14:14:48.265
2013-07-10 21:00:00,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.380952380952381,2014-12-16 10:05:14.000,2020-08-24 14:14:48.265
2013-07-11 21:00:00,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6785714285714284,2014-12-16 10:05:14.000,2020-08-24 14:14:48.265
2013-07-12 21:00:00,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.976190476190476,2014-12-16 10:05:14.000,2020-08-24 14:14:48.265
2013-07-15 21:00:00,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2738095238095237,2014-12-16 10:05:14.000,2020-08-24 14:14:48.265
2013-07-16 21:00:00,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.571428571428571,2014-12-16 10:05:14.000,2020-08-24 14:14:48.265
2013-07-17 21:00:00,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8690476190476186,2014-12-16 10:05:14.000,2020-08-24 14:14:48.265
2013-07-18 21:00:00,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.166666666666666,2014-12-16 10:05:14.000,2020-08-24 14:14:48.265
2013-07-19 21:00:00,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4642857142857135,2014-12-16 10:05:14.000,2020-08-24 14:14:48.265
2013-07-22 21:00:00,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.761904761904762,2014-12-16 10:05:14.000,2020-08-24 14:14:48.265
2013-07-23 21:00:00,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.059523809523808,2014-12-16 10:05:14.000,2020-08-24 14:14:48.265
2013-07-24 21:00:00,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.357142857142857,2014-12-16 10:05:14.000,2020-08-24 14:14:48.265
2013-07-25 21:00:00,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.654761904761903,2014-12-16 10:05:14.000,2020-08-24 14:14:48.265
2013-07-26 21:00:00,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.952380952380952,2014-12-16 10:05:14.000,2020-08-24 14:14:48.265
2013-07-29 21:00:00,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.952380952380952,2014-12-16 10:05:14.000,2020-08-24 14:14:48.265
2013-07-30 21:00:00,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.952380952380952,2014-12-16 10:05:14.000,2020-08-24 14:14:48.265
2013-07-31 21:00:00,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.952380952380952,2014-12-16 10:05:14.000,2020-08-24 14:14:48.265
