eod_ts,Dp,Ex,Mc,Rs,Ra,Os,Cs,Rp,Rm,Dc,La,Pf,Cp,Ds,fcal_ts,lcal_ts
2017-01-23 22:00:00,0.0,0.0,0.0,10.0,5.627836856917429,10.0,10.0,0.0,0.0,0.0,0.0,6.155354016156387,0.0,0.2976190476190476,2017-02-14 13:41:23.000,2020-08-24 15:03:03.971
2017-01-24 22:00:00,0.06666666666666668,0.05555555555555556,0.0,10.0,4.750202951417063,2.450000000000001,3.558823529411763,0.0,0.0,0.0,0.0,3.5337495255105957,4.377487121369452,0.5916538676106672,2017-02-14 13:41:23.000,2020-08-24 15:03:03.971
2017-01-25 22:00:00,0.13333333333333333,0.11111111111111112,0.0,10.0,8.166417401088886,2.2624999999999997,2.4653846153846146,0.0,0.0,0.0,0.0,3.826686731263481,8.039906677012508,0.8872065368916259,2017-02-14 13:41:23.000,2020-08-24 15:03:03.971
2017-01-26 22:00:00,0.2,0.16666666666666669,0.0,10.0,9.496113557959957,2.474313725490197,3.225,0.0,0.0,0.0,0.0,3.2267174993298213,7.160740998818879,1.1782364641382592,2017-02-14 13:41:23.000,2020-08-24 15:03:03.971
2017-01-27 22:00:00,0.26666666666666666,0.22222222222222224,0.0,10.0,9.672767239670296,3.072083333333333,4.03125,0.0,0.0,0.0,0.0,2.6890418300188728,6.981795024110631,1.4660165757728294,2017-02-14 13:41:23.000,2020-08-24 15:03:03.971
2017-01-30 22:00:00,0.3333333333333333,0.2777777777777778,0.0,10.0,9.787176930946929,5.496686057600613,5.014639333876369,0.0,0.0,0.0,0.0,3.9651092383909496,6.3116070773290005,1.771024717706715,2017-02-14 13:41:23.000,2020-08-24 15:03:03.971
2017-01-31 22:00:00,0.4,0.33333333333333337,0.0,10.0,9.874217674522992,5.387035013258106,6.027812617584348,0.0,0.0,0.0,0.0,7.691208306895341,6.2354196674036615,2.082644500283325,2017-02-14 13:41:23.000,2020-08-24 15:03:03.971
2017-02-01 22:00:00,0.4666666666666667,0.3888888888888889,0.0,10.0,9.915603779124883,4.422310134192678,6.18063531777337,0.0,0.0,0.0,0.0,5.699751187589079,5.568713731124389,2.3802567442894773,2017-02-14 13:41:23.000,2020-08-24 15:03:03.971
2017-02-02 22:00:00,0.5333333333333333,0.4444444444444445,7.340381270111724,10.0,9.94932674349622,4.757121098867535,6.019444444444447,5.288029426918255,7.02794178930961,6.0128340356247945,9.061478468906893,9.787537207488056,5.2228409856074665,2.67955872226392,2017-02-14 13:41:23.000,2020-08-24 15:03:03.971
2017-02-03 22:00:00,0.6,0.5,5.104962852799382,8.501277846506365,9.957458284091569,4.871121586173869,6.190645217192575,5.519880126310059,7.131065785914852,5.996432276551955,9.151927404307466,9.895293338304297,5.050933544375309,2.9796190204236463,2017-02-14 13:41:23.000,2020-08-24 15:03:03.971
2017-02-06 22:00:00,0.6666666666666666,0.5555555555555556,5.794552205231023,7.58031911301615,9.959881109695752,4.836278030204246,6.125997839642283,5.583461266504245,7.058574561258798,5.727829867403281,9.070421980316349,9.755626189273388,4.735874462805626,3.2799030890310865,2017-02-14 13:41:23.000,2020-08-24 15:03:03.971
2017-02-07 22:00:00,0.7333333333333333,0.6111111111111109,6.591629716168387,6.866629854001161,9.963269775472924,4.75262855472719,6.317761740365692,5.562659085971142,6.364652627148516,5.64574813180558,8.9581720321147,9.849012380903387,4.781159083478362,3.5809551460495745,2017-02-14 13:41:23.000,2020-08-24 15:03:03.971
2017-02-08 22:00:00,0.8,0.6666666666666667,7.247062374437754,6.373955017748142,9.96577620512219,5.238247719547085,6.308934154284993,5.1657766291557525,6.236785887910553,5.6120286379808535,8.956324522522332,9.76415868832618,4.964701126381222,3.8823588835218303,2017-02-14 13:41:23.000,2020-08-24 15:03:03.971
2017-02-09 22:00:00,0.8666666666666667,0.7222222222222223,7.731098014244348,6.061846964928612,9.9688394455416,5.3149703557312264,6.352684698267129,5.394546225028786,6.158222491204691,5.5698225097505984,8.957675225887016,9.896509356888432,5.015415617442722,4.18481068369657,2017-02-14 13:41:23.000,2020-08-24 15:03:03.971
